TaxonSort,UltrataxonID,taxonRank,SpNo,taxonID,vernacularName,scientificName,FamilyCommonName,family,order,Population,Australian IUCN RedListStatus_2020,Supplementary,ABD_Avibase ID
1109,1,subspecies,513,u513g,Cape Range Rufous Grasswren,Amytornis striatus parvus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Critically Endangered,,
1110,1,subspecies,513,u513b,Rusty Striated Grasswren,Amytornis striatus rowleyi,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-0BCEFC8F
1111,1,subspecies,513,u513e,Mukarrthippi Grasswren,Amytornis striatus striatus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Critically Endangered,,avibase-99941BA8
1112,1,subspecies,513,u513d,Pilbara Rufous Grasswren,Amytornis striatus whitei,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-E3A8871E
1113,,species,735,735,Short-tailed Grasswren,Amytornis merrotsyi,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,,,avibase-63D1DCD1
1114,1,subspecies,735,u735a,Flinders Ranges Short-tailed Grasswren,Amytornis merrotsyi merrotsyi,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,avibase-F0EDE6C3
1115,1,subspecies,735,u735b,Gawler Ranges Short-tailed Grasswren,Amytornis merrotsyi pedleri,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,avibase-8330CCDB
1116,1,species,518,u518,Black Grasswren,Amytornis housei,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-7187B6CF
1117,1,species,515,u515,Eyrean Grasswren,Amytornis goyderi,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-DEF58D26
1118,1,species,708,u708,Kalkadoon Grasswren,Amytornis ballarae,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,avibase-B6493526
1119,1,species,511,u511,Dusky Grasswren,Amytornis purnelli,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-0E798C7D
1120,,species,512,512,Western Grasswren,Amytornis textilis,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,,,avibase-7157DFC1
1121,1,subspecies,512,u512c,Dirk Hartog Western Grasswren,Amytornis textilis carteri,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-06C1E25E
1122,1,subspecies,512,u512d,Murchison Western Grasswren,Amytornis textilis giganturus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-21D7B216
1123,1,subspecies,512,u512e,Large-tailed Western Grasswren,Amytornis textilis macrourus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-80E88211
1124,1,subspecies,512,u512a,Eyre Peninsula Western Grasswren,Amytornis textilis myall,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Near Threatened,,avibase-E8D3572F
1125,1,subspecies,512,u512b,Shark Bay Western Grasswren,Amytornis textilis textilis,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Least Concern,,avibase-D8746DEE
1126,,species,8022,8022,Thick-billed Grasswren,Amytornis modestus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,,,avibase-C2A97FCD
1127,1,subspecies,8022,u8022g,Cowarie Thick-billed Grasswren,Amytornis modestus cowarie,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,
1128,1,subspecies,8022,u8022f,Lake Frome Thick-billed Grasswren,Amytornis modestus curnamona,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,avibase-39B7C90D
1129,1,subspecies,8022,u8022b,Western Thick-billed Grasswren,Amytornis modestus indulkanna,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Vulnerable,,avibase-4FD48793
1130,1,subspecies,8022,u8022d,Eastern Thick-billed Grasswren,Amytornis modestus inexpectatus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-32DD00CA
1131,1,subspecies,8022,u8022a,MacDonnell Ranges Thick-billed Grasswren,Amytornis modestus modestus,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-C522D3D8
1132,1,subspecies,8022,u8022c,Grey Range Thick-billed Grasswren,Amytornis modestus obscurior,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Critically Endangered,,avibase-24A1E804
1133,1,subspecies,8022,u8022e,Flinders Ranges Thick-billed Grasswren,Amytornis modestus raglessi,"Fairy-wrens, Emu-wrens and Grasswrens",Maluridae,Passeriformes,Endemic,Endangered,,avibase-368DDB9B
1134,,species,519,519,Eastern Bristlebird,Dasyornis brachypterus,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,,,avibase-68FB5B90
1135,1,subspecies,519,u519a,Southern Eastern Bristlebird,Dasyornis brachypterus brachypterus,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,Vulnerable,,avibase-957AA577
1136,1,subspecies,519,u519b,Northern Eastern Bristlebird,Dasyornis brachypterus monoides,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,Critically Endangered,,avibase-CD558687
1137,1,species,520,u520,Western Bristlebird,Dasyornis longirostris,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,Endangered,,avibase-8710A7E5
1138,,species,521,521,Rufous Bristlebird,Dasyornis broadbenti,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,,,avibase-CA9DB79D
1139,1,subspecies,521,u521a,Coorong Rufous Bristlebird,Dasyornis broadbenti broadbenti,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,Least Concern,,avibase-5A682A4C
1140,1,subspecies,521,u521b,Otways Rufous Bristlebird,Dasyornis broadbenti caryochrous,Bristlebirds,Dasyornithidae,Passeriformes,Endemic,Least Concern,,avibase-D46BD62F
1141,1,subspecies,521,u521c,Western Rufous Bristlebird,Dasyornis broadbenti litoralis,Bristlebirds,Dasyornithidae,Passeriformes,"Extinct, Endemic",Extinct,,avibase-C165A7D5
1142,1,species,588,u588,Banded Honeyeater,Cissomela pectoralis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-C86D00F0
1143,1,species,627,u627,White-streaked Honeyeater,Trichodere cockerelli,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-853F2E95
1144,,species,630,630,Crescent Honeyeater,Phylidonyris pyrrhopterus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-220D80CB
1145,1,subspecies,630,u630a,South Australian Crescent Honeyeater,Phylidonyris pyrrhopterus halmaturinus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-044D9FF3
1146,1,subspecies,630,u630b,Eastern Crescent Honeyeater,Phylidonyris pyrrhopterus pyrrhopterus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-AD84806E
1147,,species,632,632,White-cheeked Honeyeater,Phylidonyris niger,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-F7513719
1148,1,subspecies,632,u632a,Western White-cheeked Honeyeater,Phylidonyris niger gouldii,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-2AF04540
1149,1,subspecies,632,u632b,Eastern White-cheeked Honeyeater,Phylidonyris niger niger,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-82CA3A67
1150,,species,631,631,New Holland Honeyeater,Phylidonyris novaehollandiae,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-DF9A1A25
1151,1,subspecies,631,u631b,Bass Strait New Holland Honeyeater,Phylidonyris novaehollandiae caudatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-1CEE5B02
1152,1,subspecies,631,u631c,Kangaroo Island New Holland Honeyeater,Phylidonyris novaehollandiae campbelli,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Vulnerable,,avibase-4CDEABC9
1153,1,subspecies,631,u631d,Tasmanian New Holland Honeyeater,Phylidonyris novaehollandiae canescens,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-0B41D091
1154,1,subspecies,631,u631e,South-western New Holland Honeyeater,Phylidonyris novaehollandiae longirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-560A371B
1155,1,subspecies,631,u631f,Eastern New Holland Honeyeater,Phylidonyris novaehollandiae novaehollandiae,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-37F385EF
1156,,species,597,597,Brown Honeyeater,Lichmera indistincta,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-D198F053
1157,1,subspecies,597,u597a,Western Brown Honeyeater,Lichmera indistincta indistincta,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-8D67C0EB
1158,1,subspecies,597,u597b,Tiwi Brown Honeyeater,Lichmera indistincta melvillensis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-2C750C93
1159,1,subspecies,597,u597c,Eastern Brown Honeyeater,Lichmera indistincta ocularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-4375DE70
1160,,species,641,641,Blue-faced Honeyeater,Entomyzon cyanotis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-3EB7F778
1161,1,subspecies,641,u641a,Eastern Blue-faced Honeyeater,Entomyzon cyanotis cyanotis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-D0F588F2
1162,1,subspecies,641,u641b,Cape York Blue-faced Honeyeater,Entomyzon cyanotis griseigularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-DF6AE885
1163,1,species,8300,u8300,White-quilled Honeyeater,Entomyzon albipennis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,
1164,1,species,8312,u8312,Gilbert's Honeyeater,Melithreptus chloropsis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,
1165,1,species,578,u578,White-naped Honeyeater,Melithreptus lunatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-CAF9A504
1166,1,species,584,u584,Black-headed Honeyeater,Melithreptus affinis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-C976BB55
1167,,species,579,579,White-throated Honeyeater,Melithreptus albogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-650D1F07
1168,1,subspecies,579,u579a,Northern White-throated Honeyeater,Melithreptus albogularis albogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-6D938405
1169,1,subspecies,579,u579b,Eastern White-throated Honeyeater,Melithreptus albogularis inopinatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-F09B6981
1170,1,species,582,u582,Strong-billed Honeyeater,Melithreptus validirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Vulnerable,,avibase-4464B512
1171,1,species,581,u581,Golden-backed Honeyeater,Melithreptus laetior,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-052A0710
1172,1,species,580,u580,Black-chinned Honeyeater,Melithreptus gularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-A64689F9
1173,,species,583,583,Brown-headed Honeyeater,Melithreptus brevirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-08DADC05
1174,1,subspecies,583,u583a,South-eastern Brown-headed Honeyeater,Melithreptus brevirostris brevirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-B87A0853
1175,1,subspecies,583,u583b,Western Brown-headed Honeyeater,Melithreptus brevirostris leucogenys,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-96011032
1176,1,subspecies,583,u583c,Kangaroo Island Brown-headed Honeyeater,Melithreptus brevirostris magnirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Endangered,,avibase-2A4C1B64
1177,1,subspecies,583,u583d,Northern Brown-headed Honeyeater,Melithreptus brevirostris pallidiceps,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-030F6BC7
1178,1,subspecies,583,u583f,Otways-Gippsland Brown-headed Honeyeater,Melithreptus brevirostris wombeyi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-9415CCE2
1179,,species,617,617,White-eared Honeyeater,Nesoptilotis leucotis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-6897E78D
1180,1,subspecies,617,u617e,Inland White-eared Honeyeater,Nesoptilotis leucotis depauperata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,
1181,1,subspecies,617,u617b,South-eastern White-eared Honeyeater,Nesoptilotis leucotis leucotis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-74F177FF
1182,1,subspecies,617,u617a,Western White-eared Honeyeater,Nesoptilotis leucotis novaenorciae,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-BC3E51E1
1183,1,subspecies,617,u617d,Eyre Peninsula White-eared Honeyeater,Nesoptilotis leucotis schoddei,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,
1184,1,subspecies,617,u617c,Kangaroo Island White-eared Honeyeater,Nesoptilotis leucotis thomasi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Endangered,,avibase-1E269604
1185,1,species,616,u616,Yellow-throated Honeyeater,Nesoptilotis flavicollis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-CAD27557
1186,1,species,615,u615,Macleay's Honeyeater,Xanthotis macleayanus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-AA3EB700
1187,,species,629,629,Tawny-breasted Honeyeater,Xanthotis flaviventer,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-4F0E8694
1188,1,subspecies,629,u629a,Cape York Tawny-breasted Honeyeater,Xanthotis flaviventer filiger,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-5CFD7D03
1189,1,subspecies,629,u629b,Papuan Tawny-breasted Honeyeater,Xanthotis flaviventer saturatior,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-E82EC1D9
1190,1,species,585,u585,Striped Honeyeater,Plectorhyncha lanceolata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-37E7828E
1191,1,species,598,u598,Painted Honeyeater,Grantiella picta,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-56DDD096
1192,,species,646,646,Little Friarbird,Philemon citreogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-A8A2AE86
1193,1,subspecies,646,u646a,Eastern Little Friarbird,Philemon citreogularis citreogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-5E2357A4
1194,1,subspecies,646,u646b,North-western Little Friarbird,Philemon citreogularis sordidus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-210E5B3E
1195,,species,642,642,Helmeted Friarbird,Philemon buceroides,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-9EDE54C8
1196,1,subspecies,642,u642a,Sandstone Helmeted Friarbird,Philemon buceroides ammitophilus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,
1197,1,subspecies,642,u642b,Melville Helmeted Friarbird,Philemon buceroides gordoni,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-1D4A8225
1198,1,subspecies,642,u642c,Hornbill Helmeted Friarbird,Philemon buceroides yorki,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-94ACC9A3
1199,,species,644,644,Silver-crowned Friarbird,Philemon argenticeps,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-54042625
1200,1,subspecies,644,u644a,Western Silver-crowned Friarbird,Philemon argenticeps argenticeps,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-1C6919C3
1201,1,subspecies,644,u644b,Cape York Silver-crowned Friarbird,Philemon argenticeps kempi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-F0E39CAB
1202,,species,645,645,Noisy Friarbird,Philemon corniculatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic (breeding only),,,avibase-6AD860B6
1203,1,subspecies,645,u645a,Northern Noisy Friarbird,Philemon corniculatus corniculatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic (breeding only),Least Concern,,avibase-5BE2C5FD
1204,1,subspecies,645,u645b,Southern Noisy Friarbird,Philemon corniculatus monachus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-8F57D8DE
1205,1,species,589,u589,Black Honeyeater,Sugomel nigrum,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-772E19B8
1206,,species,590,590,Dusky Honeyeater,Myzomela obscura,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-B1689D98
1207,1,subspecies,590,u590a,Papuan Dusky Honeyeater,Myzomela obscura fumata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-1D0E626B
1208,1,subspecies,590,u590b,Eastern Dusky Honeyeater,Myzomela obscura harterti,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-6AAC577B
1209,1,subspecies,590,u590c,Top End Dusky Honeyeater,Myzomela obscura obscura,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-354DDE2E
1210,,species,587,587,Red-headed Honeyeater,Myzomela erythrocephala,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-CEE16E70
1211,1,subspecies,587,u587a,Northern Red-headed Honeyeater,Myzomela erythrocephala erythrocephala,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-844B3791
1212,1,subspecies,587,u587b,Papuan Red-headed Honeyeater,Myzomela erythrocephala infuscata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-17558520
1213,1,species,586,u586,Scarlet Honeyeater,Myzomela sanguinolenta,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-352B868C
1214,1,species,592,u592,Western Spinebill,Acanthorhynchus superciliosus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-C5ACCD75
1215,,species,591,591,Eastern Spinebill,Acanthorhynchus tenuirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-A542D690
1216,1,subspecies,591,u591a,Wet Tropics Eastern Spinebill,Acanthorhynchus tenuirostris cairnsensis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-4C6AFCF1
1217,1,subspecies,591,u591b,Tasmanian Eastern Spinebill,Acanthorhynchus tenuirostris dubius,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-24D09F56
1218,1,subspecies,591,u591c,South Australian Eastern Spinebill,Acanthorhynchus tenuirostris halmaturinus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-23396A21
1219,1,subspecies,591,u591d,South-east Eastern Spinebill,Acanthorhynchus tenuirostris tenuirostris,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-FB8DA240
1220,1,species,602,u602,Pied Honeyeater,Certhionyx variegatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-D6C393EC
1221,,species,593,593,Tawny-crowned Honeyeater,Gliciphila melanops,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-AD945C6E
1222,1,subspecies,593,u593a,Western Tasmanian Tawny-crowned Honeyeater,Gliciphila melanops chelidonia,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-37EA8ECE
1223,1,subspecies,593,u593b,Northern Tawny-crowned Honeyeater,Gliciphila melanops melanops,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-24568051
1224,,species,604,604,Green-backed Honeyeater,Glycichaera fallax,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,,,avibase-CA49E4FB
1225,1,subspecies,604,u604,Australian Green-backed Honeyeater,Glycichaera fallax claudi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-841C9B0B
1226,1,species,596,u596,Bar-breasted Honeyeater,Ramsayornis fasciatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-0ECD9105
1227,1,species,595,u595,Brown-backed Honeyeater,Ramsayornis modestus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-8C34DEDF
1228,1,species,600,u600,Rufous-banded Honeyeater,Conopophila albogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-F2B72743
1229,1,species,601,u601,Rufous-throated Honeyeater,Conopophila rufogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-D06D4369
1230,1,species,599,u599,Grey Honeyeater,Conopophila whitei,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-DA492C3A
1231,1,species,452,u452,Gibberbird,Ashbyia lovensis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-A35FBC5E
1232,,species,451,451,Yellow Chat,Epthianura crocea,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-AC1DDE03
1233,1,subspecies,451,u451a,Inland Yellow Chat,Epthianura crocea crocea,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-20F73898
1234,1,subspecies,451,u451b,Capricorn Yellow Chat,Epthianura crocea macgregori,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Endangered,,avibase-87C2808B
1235,1,subspecies,451,u451c,Alligator Rivers Yellow Chat,Epthianura crocea tunneyi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Endangered,,avibase-F6AC7336
1236,1,species,449,u449,Crimson Chat,Epthianura tricolor,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-6A8D3C1E
1237,1,species,448,u448,White-fronted Chat,Epthianura albifrons,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-54C1FDE5
1238,1,species,450,u450,Orange Chat,Epthianura aurifrons,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-484BD738
1239,,species,606,606,Yellow-spotted Honeyeater,Meliphaga notata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-80CAC2CD
1240,1,subspecies,606,u606a,Wet Tropics Yellow-spotted Honeyeater,Meliphaga notata mixta,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-DA0023E4
1241,1,subspecies,606,u606b,Cape York Yellow-spotted Honeyeater,Meliphaga notata notata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-58C04686
1242,,species,605,605,Lewin's Honeyeater,Meliphaga lewinii,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-1EDA991A
1243,1,subspecies,605,u605a,McIlwraith Range Lewin's Honeyeater,Meliphaga lewinii amphochlora,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Vulnerable,,avibase-F55ABDDF
1244,1,subspecies,605,u605b,Southern Lewin's Honeyeater,Meliphaga lewinii lewinii,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-81FC2E1C
1245,1,subspecies,605,u605c,Central Queensland Coast Lewin's Honeyeater,Meliphaga lewinii mab,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-B7205B50
1246,1,species,612,u612,Graceful Honeyeater,Microptilotis gracilis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Australian,Least Concern,,avibase-6E7A4CBC
1247,1,species,5123,u5123,Cryptic Honeyeater,Microptilotis imitatrix,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,
1248,1,species,8293,u8293,Kimberley Honeyeater,Microptilotis fordianus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,
1249,1,species,607,u607,White-lined Honeyeater,Microptilotis albilineatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-2EB016C1
1250,1,species,628,u628,White-gaped Honeyeater,Stomiopera unicolor,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-EC322B71
1251,,species,626,626,Yellow Honeyeater,Stomiopera flava,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-64829846
1252,1,subspecies,626,u626a,Southern Yellow Honeyeater,Stomiopera flava addenda,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-30EF0DB8
1253,1,subspecies,626,u626b,Cape York Yellow Honeyeater,Stomiopera flava flava,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-8F6CB764
1254,1,species,611,u611,Bridled Honeyeater,Bolemoreus frenatus,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-565AF493
1255,1,species,834,u834,Eungella Honeyeater,Bolemoreus hindwoodi,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Near Threatened,,avibase-A2F32028
1256,1,species,640,u640,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-BFB1C22E
1257,1,species,712,u712,Western Wattlebird,Anthochaera lunulata,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-629C5612
1258,,species,710,710,Little Wattlebird,Anthochaera chrysoptera,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,,,avibase-04A7ABB7
1259,1,subspecies,710,u710a,South-eastern Little Wattlebird,Anthochaera chrysoptera chrysoptera,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Least Concern,,avibase-89C93AD0
1260,1,subspecies,710,u710b,Kangaroo Island Little Wattlebird,Anthochaera chrysoptera halmaturina,Honeyeaters and Chats,Meliphagidae,Passeriformes,Endemic,Vulnerable,,avibase-1E7A8A9E
