TaxonSort,UltrataxonID,taxonRank,SpNo,taxonID,vernacularName,scientificName,FamilyCommonName,family,order,Population,Australian IUCN RedListStatus_2020,Supplementary,ABD_Avibase ID
94,,species,957,957,Rock Dove,Columba livia,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-BBA263C2
95,1,subspecies,957,u957,Common Rock Dove,Columba livia livia,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-4464F37C
96,,species,756,756,Metallic Pigeon,Columba vitiensis,Pigeons and Doves,Columbidae,Columbiformes,Extinct (Australia only),,,avibase-CE7203C7
97,1,subspecies,756,u756,Lord Howe Metallic Pigeon,Columba vitiensis godmanae,Pigeons and Doves,Columbidae,Columbiformes,"Extinct, Endemic",Extinct,,avibase-B1FEE37E
98,1,species,28,u28,White-headed Pigeon,Columba leucomela,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-8F3CF81A
99,,species,5067,5067,Oriental Turtle Dove,Streptopelia orientalis,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
100,1,subspecies,5067,u5067,Oriental Turtle Dove (ssp),Streptopelia orientalis ssp,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
101,,species,940,940,Barbary Dove,Streptopelia roseogrisea,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-273A4A2F
102,1,subspecies,940,u940a,Barbary Dove (ssp roseogrisea),Streptopelia roseogrisea roseogrisea,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,
103,1,subspecies,940,u940b,Barbary Dove (ssp arabica),Streptopelia roseogrisea arabica,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,
104,,species,8055,8055,Red Turtle-Dove,Streptopelia tranquebarica,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-BC140778
105,1,subspecies,8055,u8055,Eastern Red Collared-Dove,Streptopelia tranquebarica humilis,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-61FEC764
106,,species,989,989,Spotted Dove,Spilopelia chinensis,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-C8EF4F36
107,1,subspecies,989,u989a,Eastern Asian Spotted Dove,Spilopelia chinensis chinensis,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-B503E5E3
108,1,subspecies,989,u989b,Southern Asian Spotted Dove,Spilopelia chinensis tigrina,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-51CA6F1D
109,,species,988,988,Laughing Dove,Spilopelia senegalensis,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-B2D6AB06
110,1,subspecies,988,u988,African Laughing Dove,Spilopelia senegalensis senegalensis,Pigeons and Doves,Columbidae,Columbiformes,Introduced,,,avibase-772BD73E
111,,species,29,29,Brown Cuckoo-Dove,Macropygia phasianella,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-1CFF2F57
112,1,subspecies,29,u29a,Southern Brown Cuckoo-Dove,Macropygia phasianella phasianella,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-C9923944
113,1,subspecies,29,u29b,Cape York Brown Cuckoo-Dove,Macropygia phasianella quinkan,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-A83842DF
114,1,subspecies,29,u29c,Wet Tropics Brown Cuckoo-Dove,Macropygia phasianella robinsoni,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-9AD4D215
115,1,species,44,u44,Wonga Pigeon,Leucosarcia melanoleuca,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-E91C72D9
116,1,species,38,u38,Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-9D10537C
117,,species,37,37,White-quilled Rock-Pigeon,Petrophassa albipennis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-5AC3491A
118,1,subspecies,37,u37a,Western White-quilled Rock-Pigeon,Petrophassa albipennis albipennis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-A37DE9FE
119,1,subspecies,37,u37b,Stokes Range White-quilled Rock-Pigeon,Petrophassa albipennis boothi,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-BCCC77D3
120,,species,42,42,Spinifex Pigeon,Geophaps plumifera,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-89DA10B8
121,1,subspecies,42,u42a,Pilbara Spinifex Pigeon,Geophaps plumifera ferruginea,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-D1E17FA3
122,1,subspecies,42,u42b,Eastern Spinifex Pigeon,Geophaps plumifera leucogaster,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-D30A35AC
123,1,subspecies,42,u42c,North-western Spinifex Pigeon,Geophaps plumifera plumifera,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-7889A6E5
124,,species,39,39,Squatter Pigeon,Geophaps scripta,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-AD62DDA5
125,1,subspecies,39,u39a,Northern Squatter Pigeon,Geophaps scripta peninsulae,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-5FB4FEB5
126,1,subspecies,39,u39b,Southern Squatter Pigeon,Geophaps scripta scripta,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Vulnerable,,avibase-3D115205
127,,species,40,40,Partridge Pigeon,Geophaps smithii,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-888803D1
128,1,subspecies,40,u40a,Western Partridge Pigeon,Geophaps smithii blaauwi,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Vulnerable,,avibase-E708FA5B
129,1,subspecies,40,u40b,Eastern Partridge Pigeon,Geophaps smithii smithii,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-87873F5D
130,1,species,34,u34,Common Bronzewing,Phaps chalcoptera,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-8D30DDA6
131,,species,35,35,Brush Bronzewing,Phaps elegans,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-020BE546
132,1,subspecies,35,u35a,Eastern Brush Bronzewing,Phaps elegans elegans,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-490C83E4
133,1,subspecies,35,u35b,Western Brush Bronzewing,Phaps elegans occidentalis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-89C60559
134,1,species,36,u36,Flock Bronzewing,Phaps histrionica,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-9560088E
135,,species,43,43,Crested Pigeon,Ocyphaps lophotes,Pigeons and Doves,Columbidae,Columbiformes,Endemic,,,avibase-245D312A
136,1,subspecies,43,u43a,Eastern Crested Pigeon,Ocyphaps lophotes lophotes,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-31348F0E
137,1,subspecies,43,u43b,Western Crested Pigeon,Ocyphaps lophotes whitlocki,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-FE48CA0B
138,1,species,31,u31,Diamond Dove,Geopelia cuneata,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-4A80DFC5
139,,species,30,30,Peaceful Dove,Geopelia placida,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-8DF7FC3F
140,1,subspecies,30,u30a,Pilbara Peaceful Dove,Geopelia placida clelandi,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-1F465472
141,1,subspecies,30,u30b,Papuan Peaceful Dove,Geopelia placida papua,Pigeons and Doves,Columbidae,Columbiformes,Australian,Least Concern,,avibase-15F72EC7
142,1,subspecies,30,u30c,Eastern Peaceful Dove,Geopelia placida placida,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-8776B761
143,,species,32,32,Bar-shouldered Dove,Geopelia humeralis,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-A39F91F0
144,1,subspecies,32,u32a,Pilbara Bar-shouldered Dove,Geopelia humeralis headlandi,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-CDAE69D5
145,1,subspecies,32,u32b,Eastern Bar-shouldered Dove,Geopelia humeralis humeralis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-51A898BC
146,1,subspecies,32,u32c,Northern Bar-shouldered Dove,Geopelia humeralis inexpectata,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-FE905948
147,,species,5063,5063,Nicobar Pigeon,Caloenas nicobarica,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-0FFC77EF
148,1,subspecies,5063,u5063,Nicobar Pigeon (nominate subspecies),Caloenas nicobarica nicobarica,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
149,,species,5065,5065,Grey-capped Emerald-Dove,Chalcophaps indica,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-05E5E8F6
150,1,subspecies,5065,u5065,Christmas Island Grey-capped Emerald-Dove,Chalcophaps indica natalis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Endangered,,avibase-AFE87B9C
151,,species,33,33,Brown-capped Emerald-Dove,Chalcophaps longirostris,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-826A9742
152,1,subspecies,33,u33a,Eastern Brown-capped Emerald-Dove,Chalcophaps longirostris rogersi,Pigeons and Doves,Columbidae,Columbiformes,Australian,Least Concern,,
153,1,subspecies,33,u33b,North-western Brown-capped Emerald-Dove,Chalcophaps longirostris longirostris,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-964ED9A2
154,1,species,769,u769,Blue-tailed Imperial-Pigeon,Ducula concinna,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-D3D367E9
155,1,species,805,u805,Christmas Island Imperial-Pigeon,Ducula whartoni,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-DDC4CBBB
156,,species,793,793,Collared Imperial-Pigeon,Ducula mullerii,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-03BCD297
157,1,subspecies,793,u793,Papuan Collared Imperial-Pigeon,Ducula mullerii mullerii,Pigeons and Doves,Columbidae,Columbiformes,Australian,Least Concern,,avibase-BC695A85
158,1,species,9701,u9701,Zoe's Imperial-pigeon,Ducula zoeae,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
159,1,species,9707,u9707,Pied Imperial Pigeon,Ducula bicolor,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-61DC1C21
160,1,species,8839,u8839,Torresian Imperial-Pigeon,Ducula spilorrhoa,Pigeons and Doves,Columbidae,Columbiformes,Australian,Least Concern,,avibase-A251CB8F
161,,species,25,25,Wompoo Fruit-Dove,Megaloprepia magnifica,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-1A279952
162,1,subspecies,25,u25a,Cape York Wompoo Fruit-Dove,Megaloprepia magnifica assimilis,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-6AA5EB39
163,1,subspecies,25,u25b,Wet Tropics Wompoo Fruit-Dove,Megaloprepia magnifica keri,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-5A8A797C
164,1,subspecies,25,u25c,Southern Wompoo Fruit-Dove,Megaloprepia magnifica magnifica,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-E5D0E541
165,1,species,24,u24,Black-banded Fruit-Dove,Ptilinopus alligator,Pigeons and Doves,Columbidae,Columbiformes,Endemic,Least Concern,,avibase-8601021F
166,1,species,23,u23,Superb Fruit-Dove,Ptilinopus superbus,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-D3E75FB4
167,1,species,9702,u9702,Orange-fronted Fruit-dove,Ptilinopus aurantiifrons,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
168,,species,9932,9932,Orange-bellied Fruit-Dove,Ptilinopus iozonus,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,avibase-91B85A8E
169,1,subspecies,9932,u9932,Orange-bellied Fruit-Dove (ssp),Ptilinopus iozonus ssp,Pigeons and Doves,Columbidae,Columbiformes,Vagrant,,,
170,,species,21,21,Rose-crowned Fruit-Dove,Ptilinopus regina,Pigeons and Doves,Columbidae,Columbiformes,Australian,,,avibase-3EC888E4
