taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
903034,Galaxiella toourtkoourt,Little Galaxias,"Coleman & Raadik, 2015",Aquatic fauna,,species,Fish,Endangered,,Vulnerable,,2015-09-28,2023-01-16,Endangered,Endangered
5051,Gobiomorphus coxii,Coxs Gudgeon,"(Krefft, 1864)",Aquatic fauna,,species,Fish,Endangered,,Endangered,,2013-04-04,2023-01-16,Endangered,Endangered
1671,Gramastacus insolitus,Western Swamp Crayfish,"Riek, 1972",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Critically endangered,rest,2019-07-19,2023-01-16,Endangered,Endangered
5053,Hypseleotris compressa,Empire Gudgeon,"(Krefft, 1864)",Aquatic fauna,,species,Fish,Critically Endangered,,Vulnerable,,2013-04-04,2023-01-16,Critically Endangered,Critically Endangered
4868,Maccullochella macquariensis,Trout Cod,"(Cuvier, 1829)",Aquatic fauna,,species,Fish,Endangered,Endangered,Critically endangered,,2013-04-04,2023-01-16,Endangered,Endangered
4871,Maccullochella peelii,Murray Cod,"(Mitchell, 1838)",Aquatic fauna,,species,Fish,Endangered,Vulnerable,Vulnerable,,2020-08-14,2023-01-16,Endangered,Endangered
4874,Macquaria australasica,Macquarie Perch,"Cuvier, 1830",Aquatic fauna,,species,Fish,Endangered,Endangered,Endangered,,2013-04-04,2023-01-16,Endangered,Endangered
4774,Melanotaenia fluviatilis,Murray-Darling Rainbowfish,"(Castelnau, 1878)",Aquatic fauna,,species,Fish,Endangered,,Vulnerable,,2019-07-19,2023-01-16,Endangered,Endangered
5058,Mogurnda adspersa,Southern Purple-spotted Gudgeon,"(Castelnau, 1878)",Aquatic fauna,,species,Fish,Critically Endangered,,Regionally extinct,,2013-04-04,2023-01-16,Critically Endangered,Critically Endangered
5029,Mugilogobius platynotus,Flatback Mangrovegoby,"(Gunther, 1861)",Aquatic fauna,,species,Fish,Endangered,,Vulnerable,,2013-04-04,2023-01-16,Endangered,Endangered
903231,Nannoperca australis (Murray-Darling lineage),Southern Pygmy Perch (Murray-Darling lineage),,Aquatic fauna,,species,Fish,Vulnerable,Vulnerable,Vulnerable,,2021-09-06,2023-01-16,Vulnerable,Vulnerable
4882,Nannoperca obscura,Yarra Pygmy Perch,"(Klunzkinger, 1872)",Aquatic fauna,,species,Fish,Vulnerable,Vulnerable,Vulnerable,,2015-07-29,2023-01-16,Vulnerable,Vulnerable
903041,Nannoperca sp. 1,Flinders Pygmy Perch,,Aquatic fauna,,species,Fish,Vulnerable,,Vulnerable,,2014-09-05,2023-01-16,Vulnerable,Vulnerable
4885,Nannoperca variegata,Variegated Pygmy Perch,"Kuiter & Allen, 1985",Aquatic fauna,,species,Fish,Endangered,Vulnerable,Vulnerable,,2015-08-07,2023-01-16,Endangered,Endangered
4703,Neochanna cleaveri,Australian Mudfish,"(Scott, 1934)",Aquatic fauna,,species,Fish,Endangered,,Critically endangered,,2012-04-13,2023-01-16,Endangered,Endangered
4665,Potamalosa richmondia,Freshwater Herring,"(Macleay, 1879)",Aquatic fauna,,species,Fish,Extinct,,Regionally extinct,,2013-04-04,2023-01-16,Extinct,Extinct
4686,Prototroctes maraena,Australian Grayling,"Gunther, 1864",Aquatic fauna,,species,Fish,Endangered,Vulnerable,Vulnerable,,2013-04-04,2023-01-16,Endangered,Endangered
528545,Tandanus tandanus,Freshwater Catfish,"(Mitchell, 1838)",Aquatic fauna,,species,Fish,Endangered,,Endangered,,2013-11-12,2023-01-16,Endangered,Endangered
15253,Athanopsis australis,Southern Hooded Shrimp,Banner & Banner 1982,Aquatic invertebrates,,species,Aquatic inverts,Endangered,,Vulnerable,,2014-08-06,2023-01-16,Endangered,Endangered
1368,Attheyella (Delachauxiella) dedeckkeri,Copepod,"Hamond, 1987",Aquatic invertebrates,,species,Aquatic inverts,Endangered,,Vulnerable,,2020-01-13,2023-01-16,Endangered,Endangered
1559,Australatya striolata,Riffle Shrimp,"(McCulloch & McNeill, 1923)",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Endangered,,Vulnerable,,2012-08-17,2023-01-16,Endangered,Endangered
2219,Austroaeschna (Austroaeschna) flavomaculata,Alpine Darner Dragonfly,"Tillyard, 1916",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,,2013-12-16,2023-01-16,Vulnerable,Vulnerable
1464,Austrogammarus australis,Dandenong Freshwater Amphipod,"(Sayce, 1901)",Aquatic invertebrates,,species,Aquatic inverts,Critically Endangered,,Endangered,rest,2010-09-16,2023-01-16,Critically Endangered,Critically Endangered
1467,Austrogammarus haasei,Sherbrooke Amphipod,"(Sayce, 1902)",Aquatic invertebrates,,species,Aquatic inverts,Endangered,,Vulnerable,rest,2010-09-16,2023-01-16,Endangered,Endangered
