taxonID,scientificName,vernacularName,Bonn,Listed_Name_Bonn,kingdom,phylum,class,order,family,genus,taxonRemarks,EPBC_Threat_Status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,status
66491,Thalassarche chrysostoma,Grey-headed Albatross,B2,Thalassarche chrysostoma,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Endangered,Thalassarche chrysostoma,24-DEC-2009,Listed,,,,,,,Listed,Thalassarche chrysostoma,,Completed,Thalassarche chrysostoma,24-Dec-09,25-May-11,Recovery Plan required,Bonn Convention Listed
64457,Thalassarche eremita,Chatham Albatross,B2,Thalassarche eremita,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Endangered,Thalassarche eremita,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche eremita,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
64459,Thalassarche impavida,"Campbell Albatross, Campbell Black-browed Albatross",B2,Thalassarche impavida,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche impavida,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche impavida,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
66472,Thalassarche melanophris,Black-browed Albatross,B2*,Thalassarche melanophris,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche melanophris,06-JUN-2005,Listed,,,,,,,Listed,Thalassarche melanophris,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
64463,Thalassarche salvini,Salvin's Albatross,B2,Thalassarche salvini,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche salvini,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche salvini,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
64462,Thalassarche steadi,White-capped Albatross,B2,Thalassarche steadi,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche steadi,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche steadi,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
851,Tringa brevipes,Grey-tailed Tattler,B2C,Tringa brevipes,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,Listed,Tringa brevipes,Listed,Tringa brevipes,Listed,Tringa brevipes,Listed,Heteroscelus brevipes,,,,,,,Bonn Convention Listed
829,Tringa glareola,Wood Sandpiper,B2C,Tringa glareola,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,Listed,Tringa glareola,Listed,Tringa glareola,Listed,Tringa glareola,Listed - overfly marine area,Tringa glareola,,,,,,,Bonn Convention Listed
831,Tringa incana,Wandering Tattler,B2C,Tringa incana,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,,,Listed,Tringa incana,,,Listed,Heteroscelus incanus,,,,,,,Bonn Convention Listed
832,Tringa nebularia,"Common Greenshank, Greenshank",B2C,Tringa nebularia,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,Listed,Tringa nebularia,Listed,Tringa nebularia,Listed,Tringa nebularia,Listed - overfly marine area,Tringa nebularia,,30/10/2022,Tringa nebularia,,,,Bonn Convention Listed
833,Tringa stagnatilis,"Marsh Sandpiper, Little Greenshank",B2C,Tringa stagnatilis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,Listed,Tringa stagnatilis,Listed,Tringa stagnatilis,Listed,Tringa stagnatilis,Listed - overfly marine area,Tringa stagnatilis,,,,,,,Bonn Convention Listed
835,Tringa totanus,"Common Redshank, Redshank",B2C,Tringa totanus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,Listed,Listed,Tringa totanus,Listed,Tringa totanus,Listed,Tringa totanus,Listed - overfly marine area,Tringa totanus,,,,,,,Bonn Convention Listed
78900,Tursiops aduncus (Arafura/Timor Sea populations),Spotted Bottlenose Dolphin (Arafura/Timor Sea populations),B2,Tursiops aduncus (Arafura/Timor Sea populations),Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
59300,Xenus cinereus,Terek Sandpiper,B2C,Xenus cinereus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,birds,,,,Listed,Listed,Xenus cinereus,Listed,Xenus cinereus,Listed,Xenus cinereus,Listed - overfly marine area,Xenus cinereus,,30/10/2022,Xenus cinereus,,,,Bonn Convention Listed
