taxonRank,kingdom,class,order,family,genus,scientificName,specificEpithet,vernacularName,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,tsprofileid,countryConservation,dcterms_modified,speciesID,taxonID,status
Species,Plantae,Flora,Flora,Malvaceae,Commersonia,Commersonia procumbens,procumbens,,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10735.0,Vulnerable,2017-10-04T17:27:20.77+11:00,21059,21059,Vulnerable
Species,Plantae,Flora,Flora,Malvaceae,Commersonia,Commersonia prostrata,prostrata,Dwarf Kerrawang,"Alive in NSW, Native",Endangered,false,Not Sensitive,10736.0,Endangered,2022-11-04T17:29:05.54+11:00,21060,21060,Endangered
Subspecies,Animalia,Gastropoda,Eupulmonata,Helicarionidae,Gudeoconcha,Gudeoconcha sophiae magnifica,sophiae,Magnificent Helicarionid Land Snail,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20285.0,Critically Endangered,2015-06-22T11:48:33.777+10:00,21100,21100,Critically Endangered
Species,Animalia,Gastropoda,Eupulmonata,Charopidae,Mystivagor,Mystivagor mastersi,mastersi,Masters Charopid Land Snail,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20286.0,Critically Endangered,2015-07-02T13:27:10.493+10:00,21101,21101,Critically Endangered
Species,Animalia,Gastropoda,Eupulmonata,Charopidae,Pseudocharopa,Pseudocharopa ledgbirdi,ledgbirdi,Mount Lidgbird Charopid Land Snail,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20287.0,Critically Endangered,2018-10-26T23:43:27.143+11:00,21102,21102,Critically Endangered
Species,Animalia,Gastropoda,Eupulmonata,Charopidae,Pseudocharopa,Pseudocharopa whiteleggei,whiteleggei,Whitelegge's Land Snail,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20288.0,Critically Endangered,2018-10-30T10:57:21.463+11:00,21103,21103,Critically Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Thelymitra,Thelymitra alpicola,alpicola,Alpine Sun-orchid,"Alive in NSW, Native",Vulnerable,true,Category 2,20296.0,Not Listed,2020-09-08T19:35:47.397+10:00,21113,21113,Vulnerable
Species,Plantae,Flora,Flora,Proteaceae,Banksia,Banksia vincentia,vincentia,,"Alive in NSW, Native",Critically Endangered,false,Category 2,20291.0,Critically Endangered,2018-10-26T23:43:27.613+11:00,21116,21116,Critically Endangered
Subspecies,Plantae,Flora,Flora,Rutaceae,Leionema,Leionema lamprophyllum subsp. fractum,lamprophyllum,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20076.0,Not Listed,2018-10-26T23:43:27.863+11:00,21256,21256,Critically Endangered
Species,Animalia,Reptilia,Squamata,Diplodactylidae,Diplodactylus,Diplodactylus platyurus,platyurus,Eastern Fat-tailed Gecko,"Alive in NSW, Native",Endangered,true,Not Sensitive,10229.0,Not Listed,2019-02-12T16:44:49.517+11:00,21258,21258,Endangered
Species,Animalia,Reptilia,Testudines,Chelidae,Myuchelys,Myuchelys georgesi,georgesi,Bellinger River Snapping Turtle,"Alive in NSW, Native",Critically Endangered,true,Category 2,20301.0,Critically Endangered,2018-08-29T14:35:54.777+10:00,21275,21275,Critically Endangered
Species,Plantae,Flora,Flora,Lamiaceae,Prostanthera,Prostanthera gilesii,gilesii,,"Alive in NSW, Native",Critically Endangered,false,Category 2,20332.0,Not Listed,2018-10-26T23:43:28.113+11:00,21315,21315,Critically Endangered
Species,Plantae,Flora,Flora,Ebenaceae,Diospyros,Diospyros yandina,yandina,Shiny-leaved Ebony,"Alive in NSW, Native",Endangered,false,Not Sensitive,10228.0,Not Listed,2017-10-04T17:27:28.583+11:00,21330,21330,Endangered
Species,Animalia,Mammalia,Chiroptera,Molossidae,Ozimops,Ozimops lumsdenae,lumsdenae,Northern Free-tailed Bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10543.0,Not Listed,2019-07-04T02:01:03.59+10:00,21331,21331,Vulnerable
Species,Plantae,Flora,Flora,Asteraceae,Argyrotegium,Argyrotegium nitidulum,nitidulum,Shining Cudweed,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10320.0,Vulnerable,2018-10-26T23:43:28.363+11:00,21332,21332,Vulnerable
Species,Plantae,Flora,Flora,Plantaginaceae,Veronica,Veronica blakelyi,blakelyi,,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10217.0,Not Listed,2017-10-04T17:27:29.037+11:00,21335,21335,Vulnerable
Species,Plantae,Flora,Flora,Orchidaceae,Diuris,Diuris byronensis,byronensis,Byron Bay Diuris,"Alive in NSW, Native",Endangered,true,Category 2,10241.0,Not Listed,2019-06-24T13:49:21.473+10:00,21481,21481,Endangered
Species,Plantae,Flora,Flora,Dilleniaceae,Hibbertia,Hibbertia spanantha,spanantha,Julian's Hibbertia,"Alive in NSW, Native",Critically Endangered,false,Category 2,20279.0,Critically Endangered,2016-11-28T10:11:41.093+11:00,21483,21483,Critically Endangered
Species,Plantae,Flora,Flora,Rutaceae,Phebalium,Phebalium speciosum,speciosum,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20320.0,Not Listed,2018-10-26T23:43:28.643+11:00,21485,21485,Critically Endangered
Species,Plantae,Flora,Flora,Dilleniaceae,Hibbertia,Hibbertia fumana,fumana,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20323.0,Not Listed,2016-12-15T15:20:50.03+11:00,21491,21491,Critically Endangered
