scientificName,vernacularName,family,genus,sourceStatus,status
Acacia prismifolia,Diels' Wattle,Fabaceae,Acacia,Extinct,Extinct
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia pubifolia,Velvet Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia purpureopetala,Purple-flowered Wattle,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia pycnostachya,Bolivia Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia pygmaea,Dwarf Rock Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia recurvata,Recurved Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia rhamphophylla,Kundip Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia ruppii,Rupp's Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Fabaceae,Acacia,Endangered,Endangered
Acacia spilleriana,Spiller's Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Fabaceae,Acacia,Endangered,Endangered
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Fabaceae,Acacia,Endangered,Endangered
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia unguicula,a shrub,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia vassalii,Vassal's Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Fabaceae,Acacia,Endangered,Endangered
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Fabaceae,Acacia,Endangered,Endangered
Acacia wilsonii,Wilson's Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia woodmaniorum,Woodman's Wattle,Fabaceae,Acacia,Endangered,Endangered
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Pardalotidae,Acanthiza,Vulnerable,Vulnerable
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Acanthizidae,Acanthiza,Vulnerable,Vulnerable
Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Acanthizidae,Acanthiza,Endangered,Endangered
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Asteraceae,Acanthocladium,Critically Endangered,Critically Endangered
Acanthophis hawkei,Plains Death Adder,Elapidae,Acanthophis,Vulnerable,Vulnerable
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Acanthizidae,Acanthornis,Critically Endangered,Critically Endangered
Accipiter hiogaster natalis,Christmas Island Goshawk,Accipitridae,Accipiter,Endangered,Endangered
Achyranthes arborescens,"Chaff Tree, Soft-wood",Amaranthaceae,Achyranthes,Critically Endangered,Critically Endangered
Achyranthes margaretarum,Phillip Island Chaffy Tree,Amaranthaceae,Achyranthes,Critically Endangered,Critically Endangered
Acianthus ledwardii,-,Orchidaceae,Acianthus,Extinct,Extinct
Acriopsis emarginata,Pale Chandelier Orchid,Orchidaceae,Acriopsis,Vulnerable,Vulnerable
Acronychia littoralis,Scented Acronychia,Rutaceae,Acronychia,Endangered,Endangered
Acrophyllum australe,-,Cunoniaceae,Acrophyllum,Vulnerable,Vulnerable
Actephila foetida,-,Euphorbiaceae,Actephila,Vulnerable,Vulnerable
Actinotus schwarzii,Desert Flannel-flower,Apiaceae,Actinotus,Vulnerable,Vulnerable
Adclarkia cameroni,Brigalow Woodland Snail,Camaenidae,Adclarkia,Endangered,Endangered
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Camaenidae,Adclarkia,Critically Endangered,Critically Endangered
Adclarkia dulacca,Dulacca Woodland Snail,Camaenidae,Adclarkia,Endangered,Endangered
Adenanthos dobagii,Fitzgerald Woollybush,Proteaceae,Adenanthos,Endangered,Endangered
Adenanthos ellipticus,Oval-leaf Adenanthos,Proteaceae,Adenanthos,Vulnerable,Vulnerable
Adenanthos eyrei,Toolinna Adenanthos,Proteaceae,Adenanthos,Endangered,Endangered
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Proteaceae,Adenanthos,Endangered,Endangered
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Proteaceae,Adenanthos,Vulnerable,Vulnerable
Adenanthos velutinus,Velvet Woollybush,Proteaceae,Adenanthos,Endangered,Endangered
Advena campbellii,Campbell's Keeled Glass-snail,Helicarionidae,Advena,Critically Endangered,Critically Endangered
Aipysurus apraefrontalis,Short-nosed Seasnake,Hydrophiidae,Aipysurus,Critically Endangered,Critically Endangered
Aipysurus foliosquama,Leaf-scaled Seasnake,Hydrophiidae,Aipysurus,Critically Endangered,Critically Endangered
Alectryon ramiflorus,Isis Tamarind,Sapindaceae,Alectryon,Endangered,Endangered
Allocasuarina defungens,Dwarf Heath Casuarina,Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina fibrosa,Woolly Sheoak,Casuarinaceae,Allocasuarina,Vulnerable,Vulnerable
Allocasuarina glareicola,-,Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina portuensis,Nielsen Park She-oak,Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina robusta,Mount Compass Oak-bush,Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina simulans,Nabiac Casuarina,Casuarinaceae,Allocasuarina,Vulnerable,Vulnerable
Allocasuarina thalassoscopica,-,Casuarinaceae,Allocasuarina,Endangered,Endangered
Allocasuarina tortiramula,Twisted Sheoak,Casuarinaceae,Allocasuarina,Vulnerable,Vulnerable
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Proteaceae,Alloxylon,Vulnerable,Vulnerable
Almaleea cambagei,Torrington Pea,Fabaceae,Almaleea,Vulnerable,Vulnerable
Ammobium craspedioides,Yass Daisy,Asteraceae,Ammobium,Vulnerable,Vulnerable
