scientificName,vernacularName,family,sourceStatus,status
Dysphania carinata,Keeled Goosefoot,Chenopodiaceae,v,Vulnerable
Maireana cheelii,Chariot Wheels,Chenopodiaceae,v,Vulnerable
Maireana georgei,Slit-wing Bluebush,Chenopodiaceae,v,Vulnerable
Maireana lobiflora,Lobed Bluebush,Chenopodiaceae,v,Vulnerable
Swainsona brachycarpa,Slender Swainson-pea,Fabaceae,v,Vulnerable
Swainsona pyrophila,Yellow Swainson-pea,Fabaceae,v,Vulnerable
Swainsona reticulata,Kneed Swainson-pea,Fabaceae,v,Vulnerable
Swainsona sericea,Silky Swainson-pea,Fabaceae,v,Vulnerable
Templetonia egena,Round Templetonia,Fabaceae,v,Vulnerable
Eriochlamys squamata,Scaly Mantle,Asteraceae,v,Vulnerable
Ethuliopsis cunninghamii,Tall Nut-heads,Asteraceae,v,Vulnerable
Glossocardia bidens,Cobbler's Tack,Asteraceae,v,Vulnerable
Haegiela tatei,Small Nut-heads,Asteraceae,v,Vulnerable
Ixodia achillaeoides subsp. arenicola,Coast Ixodia,Asteraceae,v,Vulnerable
Kippistia suaedifolia,Fleshy Minuria,Asteraceae,v,Vulnerable
Sclerolaena convexula,Tall Copperburr,Chenopodiaceae,v,Vulnerable
Sclerolaena decurrens,Green Copperburr,Chenopodiaceae,v,Vulnerable
Sclerolaena intricata,Poverty Bush,Chenopodiaceae,v,Vulnerable
Sclerolaena patenticuspis,Spear-fruit Copperburr,Chenopodiaceae,v,Vulnerable
Tecticornia pergranulata subsp. divaricata,Blackseed Glasswort,Chenopodiaceae,v,Vulnerable
Leiocarpa gatesii,Wrinkled Buttons,Asteraceae,v,Vulnerable
Leptorhynchos waitzia,Button Immortelle,Asteraceae,v,Vulnerable
Leucochrysum molle,Soft Sunray,Asteraceae,v,Vulnerable
Microseris scapigera s.s.,Plains Yam-daisy,Asteraceae,v,Vulnerable
Olearia astroloba,Marble Daisy-bush,Asteraceae,v,Vulnerable
Tecticornia syncarpa,Fused Glasswort,Chenopodiaceae,v,Vulnerable
Climacium dendroides,Marsh Tree-moss,Climaciaceae,v,Vulnerable
Acrobolbus cinerascens,Grey Pouchwort,Acrobolbaceae,v,Vulnerable
Marsupidium setulosum,Bristly Pouchwort,Acrobolbaceae,v,Vulnerable
Olearia pannosa subsp. cardiophylla,Velvet Daisy-bush,Asteraceae,v,Vulnerable
Olearia picridifolia,Rasp Daisy-bush,Asteraceae,v,Vulnerable
Olearia rugosa subsp. allenderae,Promontory Daisy-bush,Asteraceae,v,Vulnerable
Olearia subspicata,Spiked Daisy-bush,Asteraceae,v,Vulnerable
Olearia suffruticosa,Clustered Daisy-bush,Asteraceae,v,Vulnerable
Olearia viscosa,Viscid Daisy-bush,Asteraceae,v,Vulnerable
Ozothamnus adnatus,Winged Everlasting,Asteraceae,v,Vulnerable
Calystegia soldanella,Sea Bindweed,Convolvulaceae,v,Vulnerable
Convolvulus clementii,Desert Bindweed,Convolvulaceae,v,Vulnerable
Acacia loderi,Nealie,Mimosaceae,v,Vulnerable
Acacia lucasii,Woolly-bear Wattle,Mimosaceae,v,Vulnerable
Acacia melvillei,Yarran,Mimosaceae,v,Vulnerable
Acacia nanopravissima,Little Kooka Wattle,Mimosaceae,v,Vulnerable
Acacia notabilis,Mallee Golden Wattle,Mimosaceae,v,Vulnerable
Acacia oswaldii,Umbrella Wattle,Mimosaceae,v,Vulnerable
Acacia phasmoides,Phantom Wattle,Mimosaceae,v,Vulnerable
Acacia rostriformis,Bacchus Marsh Wattle,Mimosaceae,v,Vulnerable
Acacia sporadica,Pale Hickory-wattle,Mimosaceae,v,Vulnerable
Androcalva rossii,Native Hemp,Sterculioideae,v,Vulnerable
Lasiopetalum ferrugineum var. cordatum,Rusty Velvet-bush,Sterculioideae,v,Vulnerable
Levenhookia pusilla,Midget Stylewort,Stylidiaceae,v,Vulnerable
Stylidium laricifolium,Giant Triggerplant,Stylidiaceae,v,Vulnerable
Prasophyllum parviflorum,Slender Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum rousei,Sandhill Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum sp. aff. odoratum C,White Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum sp. aff. odoratum D,Fruit-scented Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum sp. aff. odoratum J,Eastern Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum sp. aff. odoratum K,Lemon-scented Leek-orchid,Orchidaceae,v,Vulnerable
Pterostylis X toveyana,Mentone Greenhood,Orchidaceae,v,Vulnerable
Pterostylis alveata,Coastal Greenhood,Orchidaceae,v,Vulnerable
Pterostylis baptistii,King Greenhood,Orchidaceae,v,Vulnerable
Pterostylis chlorogramma,Green-striped Greenhood,Orchidaceae,v,Vulnerable
Pterostylis coccina,Scarlet Greenhood,Orchidaceae,v,Vulnerable
Poa orba,Lake Omeo Tussock-grass,Poeae,v,Vulnerable
Poa sallacustris,Salt-lake Tussock-grass,Poeae,v,Vulnerable
Saxipoa saxicola,Rock Poa,Poeae,v,Vulnerable
Comesperma polygaloides,Small Milkwort,Polygalaceae,v,Vulnerable
Polygala japonica,Dwarf Milkwort,Polygalaceae,v,Vulnerable
Acacia subtilinervis,Net-veined Wattle,Mimosaceae,v,Vulnerable
Acacia tabula,Wombargo Wattle,Mimosaceae,v,Vulnerable
Acacia trineura,Three-nerve Wattle,Mimosaceae,v,Vulnerable
Acacia verniciflua (1-nerved variant),Seymour Wattle,Mimosaceae,v,Vulnerable
Acacia verniciflua (Warby Range variant),Warby Wattle,Mimosaceae,v,Vulnerable
Acacia verniciflua (large bracteole variant),Tooborac Wattle,Mimosaceae,v,Vulnerable
Ficus coronata,Sandpaper Fig,Moraceae,v,Vulnerable
Thuidium laeviusculum s.s.,Forest Weft-moss,Thuidiaceae,v,Vulnerable
Pimelea drupacea,Cherry Rice-flower,Thymelaeaceae,v,Vulnerable
Pimelea pagophila,Grampians Rice-flower,Thymelaeaceae,v,Vulnerable
Pimelea treyvaudii,Grey Rice-flower,Thymelaeaceae,v,Vulnerable
Pimelea williamsonii,Williamson's Rice-flower,Thymelaeaceae,v,Vulnerable
Pterostylis diminuta,Crowded Greenhood,Orchidaceae,v,Vulnerable
Pterostylis maxima,Large Rustyhood,Orchidaceae,v,Vulnerable
Pterostylis pedoglossa,Prawn Greenhood,Orchidaceae,v,Vulnerable
Pterostylis tunstallii,Granite Greenhood,Orchidaceae,v,Vulnerable
Muehlenbeckia gunnii,Coastal Lignum,Polygonaceae,v,Vulnerable
Rumex crystallinus s.s.,Glistening Dock,Polygonaceae,v,Vulnerable
Notogrammitis angustifolia subsp. nothofageti,Beech Finger-fern,Polypodiaceae,v,Vulnerable
Notoligotrichum australe,Alpine Smoothcap,Polytrichaceae,v,Vulnerable
Conospermum taxifolium,Variable Smoke-bush,Proteaceae,v,Vulnerable
Grevillea barklyana,Gully Grevillea,Proteaceae,v,Vulnerable
Grevillea bedggoodiana,Enfield Grevillea,Proteaceae,v,Vulnerable
Grevillea burrowa,Burrowa Grevillea,Proteaceae,v,Vulnerable
Grevillea celata,Colquhoun Grevillea,Proteaceae,v,Vulnerable
Grevillea floripendula,Ben Major Grevillea,Proteaceae,v,Vulnerable
Grevillea infecunda,Anglesea Grevillea,Proteaceae,v,Vulnerable
Grevillea miqueliana subsp. miqueliana,Oval-leaf Grevillea,Proteaceae,v,Vulnerable
Grevillea miqueliana subsp. moroka,Moroka Grevillea,Proteaceae,v,Vulnerable
Grevillea montis-cole subsp. brevistyla,Langi Ghiran Grevillea,Proteaceae,v,Vulnerable
Grevillea parvula,Genoa Grevillea,Proteaceae,v,Vulnerable
Parietaria cardiostegia,Mallee Pellitory,Urticaceae,v,Vulnerable
Thelymitra X chasmogama,Globe-hood Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra X macmillanii,Crimson Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra alpicola,Alpine Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra azurea,Azure Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra benthamiana,Blotched Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra circumsepta,Naked Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra inflata,Inflated Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra malvina,Mauve-tuft Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra matthewsii,Spiral Sun-orchid,Orchidaceae,v,Vulnerable
Thelymitra mucida,Plum Orchid,Orchidaceae,v,Vulnerable
Althenia marina,Sea Water-mat,Potamogetonaceae,v,Vulnerable
Althenia patentifolia,Spreading Water-mat,Potamogetonaceae,v,Vulnerable
Anoectangium bellii,Kiwi Cave-moss,Pottiaceae,v,Vulnerable
Grevillea polychroma,Tulloch Ard Grevillea,Proteaceae,v,Vulnerable
Persoonia arborea,Tree Geebung,Proteaceae,v,Vulnerable
Psilotum nudum,Skeleton Fork-fern,Psilotaceae,v,Vulnerable
Euphrasia collina subsp. 1,Purple Eyebright,Orobanchaceae,v,Vulnerable
Euphrasia collina subsp. diversicolor,Purple Eyebright,Orobanchaceae,v,Vulnerable
Euphrasia crassiuscula subsp. glandulifera,Thick Eyebright,Orobanchaceae,v,Vulnerable
Euphrasia eichleri,Bogong Eyebright,Orobanchaceae,v,Vulnerable
Orobanche cernua var. australiana,Australian Broomrape,Orobanchaceae,v,Vulnerable
Lysimachia japonica,Creeping Loosestrife,Primulaceae,v,Vulnerable
Tmesipteris elongata,Slender Fork-fern,Psilotaceae,v,Vulnerable
Adiantum formosum,Black Stem,Pteridaceae,v,Vulnerable
Pteris vittata,Chinese Brake,Pteridaceae,v,Vulnerable
Tetraphidopsis pusilla,Arc Moss,Ptychomniaceae,v,Vulnerable
Xyris juncea,Dwarf Yellow-eye,Xyridaceae,v,Vulnerable
Philydrum lanuginosum,Woolly Waterlily,Philydraceae,v,Vulnerable
Glossostigma diandrum,Spoon-leaf Mud-mat,Phrymaceae,v,Vulnerable
Najas marina subsp. armata,Prickly Water-nymph,Hydrocharitaceae,v,Vulnerable
Ranunculus muelleri,Felted Buttercup,Ranunculaceae,v,Vulnerable
Ranunculus undosus,Swamp Buttercup,Ranunculaceae,v,Vulnerable
Calorophus elongatus,Long Rope-rush,Restionaceae,v,Vulnerable
Callistemon forresterae,Forrester's Bottlebrush,Myrtaceae,v,Vulnerable
Callistemon genofluvialis,Genoa River Bottlebrush,Myrtaceae,v,Vulnerable
Callistemon kenmorrisonii,Betka Bottlebrush,Myrtaceae,v,Vulnerable
Callistemon nyallingensis,Boggy Creek Bottlebrush,Myrtaceae,v,Vulnerable
Corymbia maculata,Spotted Gum,Myrtaceae,v,Vulnerable
Darwinia micropetala,Small Darwinia,Myrtaceae,v,Vulnerable
Eucalyptus X macmahonii,Scaly-cap Mallee,Myrtaceae,v,Vulnerable
Phyllanthus australis,Pointed Spurge,Phyllanthaceae,v,Vulnerable
Phyllanthus lacunarius,Lagoon Spurge,Phyllanthaceae,v,Vulnerable
Sauropus trachyspermus,Slender Spurge,Phyllanthaceae,v,Vulnerable
Hypocreopsis amplectens,Clasping Hypocreopsis,Hypocreaceae,v,Vulnerable
Hypoxis exilis,Swamp Star,Hypoxidaceae,v,Vulnerable
Cryptandra ericoides,Heathy Cryptandra,Rhamnaceae,v,Vulnerable
Cryptandra speciosa subsp. speciosa,Mountain Cryptandra,Rhamnaceae,v,Vulnerable
Pomaderris apetala subsp. maritima,Tasman Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris brunnea,Rufous Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris helianthemifolia subsp. helianthemifolia,Blunt-leaf Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris ledifolia,Sydney Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris paniculosa subsp. paniculosa,Inland Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris sericea,Bent Pomaderris,Rhamnaceae,v,Vulnerable
Eucalyptus cadens,Warby Range Swamp-gum,Myrtaceae,v,Vulnerable
Eucalyptus cinerea subsp. victoriensis,Beechworth Silver Stringybark,Myrtaceae,v,Vulnerable
Callitriche brachycarpa,Short Water-starwort,Plantaginaceae,v,Vulnerable
Plantago glacialis,Small Star-plantain,Plantaginaceae,v,Vulnerable
Juncus antarcticus,Cushion Rush,Juncaceae,v,Vulnerable
Pomaderris subplicata,Concave Pomaderris,Rhamnaceae,v,Vulnerable
Pomaderris virgata,Upright Pomaderris,Rhamnaceae,v,Vulnerable
Spyridium cinereum,Tiny Spyridium,Rhamnaceae,v,Vulnerable
Eucalyptus cypellocarpa x goniocalyx,Tremont Bundy,Myrtaceae,v,Vulnerable
Eucalyptus diversifolia subsp. megacarpa,Coast Gum,Myrtaceae,v,Vulnerable
Eucalyptus elaeophloia,Olive Mallee,Myrtaceae,v,Vulnerable
Eucalyptus fasciculosa,Pink Gum,Myrtaceae,v,Vulnerable
Eucalyptus fraxinoides,White Ash,Myrtaceae,v,Vulnerable
Eucalyptus goniocalyx subsp. laxa,Gum-barked Bundy,Myrtaceae,v,Vulnerable
Eucalyptus hawkeri,Arapiles Peppermint-box,Myrtaceae,v,Vulnerable
Eucalyptus leucoxylon subsp. connata,Melbourne Yellow-gum,Myrtaceae,v,Vulnerable
Plantago muelleri,Star Plantain,Plantaginaceae,v,Vulnerable
Veronica hillebrandii,Coast Speedwell,Plantaginaceae,v,Vulnerable
Luzula atrata,Slender Woodrush,Juncaceae,v,Vulnerable
Eucalyptus litoralis,Otway Grey-gum,Myrtaceae,v,Vulnerable
Eucalyptus saxatilis,Rock Mallee,Myrtaceae,v,Vulnerable
Eucalyptus silvestris,Woodland Box,Myrtaceae,v,Vulnerable
Amphibromus sinuatus,Wavy Swamp Wallaby-grass,Poaceae,v,Vulnerable
Aristida holathera var. holathera,Tall Kerosene Grass,Poaceae,v,Vulnerable
Austrostipa nullanulla,Club Spear-grass,Poaceae,v,Vulnerable
Triglochin hexagona,Six-point Arrowgrass,Juncaginaceae,v,Vulnerable
Syzygiella tasmanica,Tan Flapwort,Jungermanniaceae,v,Vulnerable
Synaptantha tillaeacea var. tillaeacea,Native Madder,Rubiaceae,v,Vulnerable
Eucalyptus strzeleckii,Strzelecki Gum,Myrtaceae,v,Vulnerable
Eucalyptus tricarpa subsp. decora,Bealiba Ironbark,Myrtaceae,v,Vulnerable
Leptospermum jingera,Stringybark Tea-tree,Myrtaceae,v,Vulnerable
Leptospermum multicaule,Silver Tea-tree,Myrtaceae,v,Vulnerable
Austrostipa pilata,Prickly Spear-grass,Poaceae,v,Vulnerable
Austrostipa tenuifolia,Long-awn Spear-grass,Poaceae,v,Vulnerable
Chloris ventricosa,Plump Windmill Grass,Poaceae,v,Vulnerable
Prostanthera arapilensis,Arapiles Mint-bush,Lamiaceae,v,Vulnerable
Prostanthera galbraithiae,Wellington Mint-bush,Lamiaceae,v,Vulnerable
Prostanthera incana,Velvet Mint-bush,Lamiaceae,v,Vulnerable
Prostanthera rhombea,Sparkling Mint-bush,Lamiaceae,v,Vulnerable
Teucrium thieleanum,Mountain Germander,Lamiaceae,v,Vulnerable
Westringia cremnophila,Snowy River Westringia,Lamiaceae,v,Vulnerable
Westringia lucida,Shining Westringia,Lamiaceae,v,Vulnerable
Asterolasia phebalioides,Downy Star-Bush,Rutaceae,v,Vulnerable
Boronia anemonifolia subsp. variabilis,Coast Boronia,Rutaceae,v,Vulnerable
Boronia citrata,Lemon Boronia,Rutaceae,v,Vulnerable
Boronia filifolia,Slender Boronia,Rutaceae,v,Vulnerable
Boronia galbraithiae,Aniseed Boronia,Rutaceae,v,Vulnerable
Boronia ledifolia,Showy Boronia,Rutaceae,v,Vulnerable
Boronia pilosa subsp. parvidaemonis,Desert Boronia,Rutaceae,v,Vulnerable
Correa backhouseana var. backhouseana,Coast Correa,Rutaceae,v,Vulnerable
Correa lawrenceana var. cordifolia,Pink Mountain-correa,Rutaceae,v,Vulnerable
Melaleuca halmaturorum,Salt Paperbark,Myrtaceae,v,Vulnerable
Sannantha crenulata,Fern-leaf Baeckea,Myrtaceae,v,Vulnerable
Deyeuxia boormanii,Fine Bent-grass,Poaceae,v,Vulnerable
Deyeuxia decipiens,Devious Bent-grass,Poaceae,v,Vulnerable
Deyeuxia imbricata,Dense Bent-grass,Poaceae,v,Vulnerable
Deyeuxia pungens,Narrow-leaf Bent-grass,Poaceae,v,Vulnerable
Deyeuxia ramosa,Climbing Bent-grass,Poaceae,v,Vulnerable
Deyeuxia talariata,Skirted Bent-grass,Poaceae,v,Vulnerable
Dichelachne robusta,Tall Plume-grass,Poaceae,v,Vulnerable
Digitaria ammophila,Silky Umbrella-grass,Poaceae,v,Vulnerable
Digitaria divaricatissima var. divaricatissima,Umbrella Grass,Poaceae,v,Vulnerable
Cololejeunea minutissima,Minute Pouncewort,Lejeuneaceae,v,Vulnerable
Utricularia gibba,Floating Bladderwort,Lentibulariaceae,v,Vulnerable
Utricularia monanthos,Tasmanian Bladderwort,Lentibulariaceae,v,Vulnerable
Bazzania hochstetteri,Caducous Whipwort,Lepidoziaceae,v,Vulnerable
Pseudocephalozia paludicola,Alpine Leafy Liverwort,Lepidoziaceae,v,Vulnerable
Crowea exalata subsp. revoluta,Whipstick Crowea,Rutaceae,v,Vulnerable
Microcybe multiflora subsp. multiflora,Red Microcybe,Rutaceae,v,Vulnerable
Nematolepis frondosa,Leafy Nematolepis,Rutaceae,v,Vulnerable
Nematolepis squamea subsp. retusa,Harsh Nematolepis,Rutaceae,v,Vulnerable
Nematolepis wilsonii,Shiny Nematolepis,Rutaceae,v,Vulnerable
Phebalium festivum,Dainty Phebalium,Rutaceae,v,Vulnerable
Phebalium lowanense,Lowan Phebalium,Rutaceae,v,Vulnerable
Phebalium squamulosum subsp. argenteum,Silvery Phebalium,Rutaceae,v,Vulnerable
Philotheca angustifolia subsp. montana,Narrow-leaf Wax-flower,Rutaceae,v,Vulnerable
Philotheca myoporoides subsp. brevipedunculata,Suggan Buggan Wax-flower,Rutaceae,v,Vulnerable
Philotheca myoporoides subsp. petraea,Mt Stewart Wax-flower,Rutaceae,v,Vulnerable
Philotheca virgata,Tasmanian Wax-flower,Rutaceae,v,Vulnerable
Zieria aspalathoides subsp. aspalathoides,Whorled Zieria,Rutaceae,v,Vulnerable
Zieria citriodora,Lemon-scented Zieria,Rutaceae,v,Vulnerable
Zieria littoralis,Dwarf Zieria,Rutaceae,v,Vulnerable
Jasminum didymum subsp. lineare,Desert Jasmine,Oleaceae,v,Vulnerable
Epilobium tasmanicum,Snow Willow-herb,Onagraceae,v,Vulnerable
Botrychium australe,Austral Moonwort,Ophioglossaceae,v,Vulnerable
Botrychium lunaria,Grassy Moonwort,Ophioglossaceae,v,Vulnerable
Ophioglossum polyphyllum,Upright Adder's-tongue,Ophioglossaceae,v,Vulnerable
Acianthus collinus,Hooded Mosquito-orchid,Orchidaceae,v,Vulnerable
Enneapogon gracilis,Slender Bottle-washers,Poaceae,v,Vulnerable
Eragrostis australasica,Cane Grass,Poaceae,v,Vulnerable
Eragrostis lacunaria,Purple Love-grass,Poaceae,v,Vulnerable
Eragrostis setifolia,Bristly Love-grass,Poaceae,v,Vulnerable
Hierochloe submutica,Alpine Holy-grass,Poaceae,v,Vulnerable
Tricholepidozia pulcherrima var. mooreana,Silky Threadwort,Lepidoziaceae,v,Vulnerable
Logania granitica,Mountain Logania,Loganiaceae,v,Vulnerable
Amyema linophylla subsp. orientalis,Buloke Mistletoe,Loranthaceae,v,Vulnerable
Phlegmariurus varius,Long Clubmoss,Lycopodiaceae,v,Vulnerable
Ammannia multiflora,Jerry-jerry,Lythraceae,v,Vulnerable
Korthalsella rubra subsp. rubra,Jointed Mistletoe,Santalaceae,v,Vulnerable
Santalum obtusifolium,Blunt Sandalwood,Santalaceae,v,Vulnerable
Caladenia aff. venusta (Tallageira),Tallageira Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia ancylosa,Genoa Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia clavescens,Castlemaine Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia grampiana,Grampians Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia insularis,French Island Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia oenochila,Wine-lipped Spider-orchid,Orchidaceae,v,Vulnerable
Lachnagrostis adamsonii,Adamson's Blown-grass,Poaceae,v,Vulnerable
Panicum laevinode,Pepper Grass,Poaceae,v,Vulnerable
Panicum simile,Two-colour Panic,Poaceae,v,Vulnerable
Lawrencia berthae,Showy Lawrencia,Malvaceae,v,Vulnerable
Malva preissiana s.s. (white-flowered coastal form),Coast Hollyhock,Malvaceae,v,Vulnerable
Radyera farragei,Desert Rose Mallow,Malvaceae,v,Vulnerable
Sida ammophila,Sand Sida,Malvaceae,v,Vulnerable
Sida fibulifera,Pin Sida,Malvaceae,v,Vulnerable
Sida intricata,Twiggy Sida,Malvaceae,v,Vulnerable
Sida spodochroma,Limestone Sida,Malvaceae,v,Vulnerable
Abutilon otocarpum,Desert Lantern,Malveae,v,Vulnerable
Thesium australe,Austral Toad-flax,Santalaceae,v,Vulnerable
Dodonaea hexandra,Horned Hop-bush,Sapindaceae,v,Vulnerable
Dodonaea procumbens,Trailing Hop-bush,Sapindaceae,v,Vulnerable
Dodonaea truncatiales,Angular Hop-bush,Sapindaceae,v,Vulnerable
Caladenia oreophila,Monaro Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia ornata,Ornate Pink-fingers,Orchidaceae,v,Vulnerable
Caladenia osmera,Pungent Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia peisleyi,Heath Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia reticulata s.s.,Veined Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia sp. aff. concolor (Midlands),Midlands Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia stricta,Upright Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia tessellata,Thick-lip Spider-orchid,Orchidaceae,v,Vulnerable
Caladenia toxochila,Bow-lip Spider-orchid,Orchidaceae,v,Vulnerable
Corunastylis densa,Dense Midge-orchid,Orchidaceae,v,Vulnerable
Plinthanthesis paradoxa,Wiry Wallaby-grass,Poaceae,v,Vulnerable
Rytidosperma dimidiatum,Tasmanian Wallaby-grass,Poaceae,v,Vulnerable
Nymphoides crenata,Wavy Marshwort,Menyanthaceae,v,Vulnerable
Ornduffia umbricola var. umbricola,Lax Marsh-flower,Menyanthaceae,v,Vulnerable
Metzgeria saccata,Lobed Veilwort,Metzgeriaceae,v,Vulnerable
Acacia ancistrophylla var. lissophylla,Dwarf Myall,Mimosaceae,v,Vulnerable
Acacia ausfeldii,Ausfeld's Wattle,Mimosaceae,v,Vulnerable
Eremophila bignoniiflora,Bignonia Emu-bush,Scrophulariaceae,v,Vulnerable
Eremophila polyclada,Twiggy Emu-bush,Scrophulariaceae,v,Vulnerable
Abrotanella nivigena,Snow-wort,Senecioneae,v,Vulnerable
Corunastylis sp. aff. morrisii (Pyrete Ranges),Purple-beard Midge-orchid,Orchidaceae,v,Vulnerable
Corybas despectans,Coast Helmet-orchid,Orchidaceae,v,Vulnerable
Diuris punctata var. punctata,Purple Diuris,Orchidaceae,v,Vulnerable
Diuris behrii,Golden Cowslips,Orchidaceae,v,Vulnerable
Diuris daltonii,Western Purple Diuris,Orchidaceae,v,Vulnerable
Diuris palustris,Swamp Diuris,Orchidaceae,v,Vulnerable
Rytidosperma richardsonii,Straw Wallaby-grass,Poaceae,v,Vulnerable
Sorghum leiocladum,Wild Sorghum,Poaceae,v,Vulnerable
Sporobolus creber,Western Rat-tail Grass,Poaceae,v,Vulnerable
Acacia caerulescens,Limestone Blue Wattle,Mimosaceae,v,Vulnerable
Acacia cineramis,Smooth Nealie,Mimosaceae,v,Vulnerable
Acacia daviesii,Timbertop Wattle,Mimosaceae,v,Vulnerable
Acacia dawsonii,Poverty Wattle,Mimosaceae,v,Vulnerable
Acacia decora,Western Silver Wattle,Mimosaceae,v,Vulnerable
Acacia euthycarpa subsp. oblanceolata,Wedderburn Wattle,Mimosaceae,v,Vulnerable
Acacia exudans,Casterton Wattle,Mimosaceae,v,Vulnerable
Acacia glandulicarpa,Hairy-pod Wattle,Mimosaceae,v,Vulnerable
Acacia infecunda,Famine Wattle,Mimosaceae,v,Vulnerable
Acacia irrorata subsp. irrorata,Green Wattle,Mimosaceae,v,Vulnerable
Solanum lacunarium,Lagoon Nightshade,Solanaceae,v,Vulnerable
Microtis orbicularis,Swamp Onion-orchid,Orchidaceae,v,Vulnerable
Prasophyllum aff. odoratum H,Otway Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum aff. pyriforme B,Inland Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum aff. sphacelatum (Cobberas),Cobberas Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum barnettii,Elegant Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum lindleyanum,Green Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum litorale,Coastal Leek-orchid,Orchidaceae,v,Vulnerable
Prasophyllum maccannii,Inland Leek-orchid,Orchidaceae,v,Vulnerable
Dryopoa dives subsp. B,Grampians Mountain-grass,Poeae,v,Vulnerable
Poa halmaturina,Dwarf Coast Poa,Poeae,v,Vulnerable
Poa labillardierei var. acris,Sharp Mountain Tussock-grass,Poeae,v,Vulnerable
Roepera compressa,Rabbit-ears Twin-leaf,Zygophyllaceae,v,Vulnerable
Ambassis agassizii,Agassiz's Glassfish,Ambassidae,rx,Regionally extinct
Potamalosa richmondia,Freshwater Herring,Clupeidae,rx,Regionally extinct
Mogurnda adspersa,Southern Purple-spotted Gudgeon,Eleotridae,rx,Regionally extinct
Dasyurus geoffroii,Western Quoll,Dasyuridae,rx,Regionally extinct
Dasyurus viverrinus,Eastern Quoll,Dasyuridae,rx,Regionally extinct
Phascogale calura,Red-tailed Phascogale,Dasyuridae,rx,Regionally extinct
Aepyprymnus rufescens,Rufous Bettong,Potoroidae,rx,Regionally extinct
Pezoporus occidentalis,Night Parrot,Psittacidae,rx,Regionally extinct
Oxyuranus microlepidotus,Small-scaled Snake,Elapidae,rx,Regionally extinct
Xylocopa (Lestis) aeratus,Metallic Green Carpenter Bee,Apidae,rx,Regionally extinct
Psophodes cristatus,Chirruping Wedgebill,Psophodidae,rx,Regionally extinct
Ogyris halmaturia,Large Bronze Azure Butterfly,Lycaenidae,rx,Regionally extinct
Onychogalea fraenata,Bridled Nail-tailed Wallaby,Macropodidae,rx,Regionally extinct
Thylogale billardierii,Rufous-bellied Pademelon,Macropodidae,rx,Regionally extinct
Leporillus conditor,Greater Stick-nest Rat,Muridae,rx,Regionally extinct
Pseudomys bolami,Bolam's Mouse,Muridae,rx,Regionally extinct
Pseudomys desertor,Desert Mouse,Muridae,rx,Regionally extinct
Synemon theresa,Cryptic Sun Moth,Synemoninae,rx,Regionally extinct
Heteronympha cordace wilsoni,Western Bright-eyed Brown Butterfly,Nymphalidae,rx,Regionally extinct
Hypocysta adiante,Orange Ringlet Butterfly,Nymphalidae,rx,Regionally extinct
Carpobrotus aff. rossii (N.W. Victoria),Mallee Pigface,Aizoaceae,r,Rare
Carpobrotus glaucescens,Bluish Pigface,Aizoaceae,r,Rare
Sarcozona praecox,Sarcozona,Aizoaceae,r,Rare
Geranium brevicaule,Alpine Crane's-bill,Geraniaceae,r,Rare
Geranium neglectum,Swamp Crane's-bill,Geraniaceae,r,Rare
Geranium potentilloides var. abditum,Soft Crane's-bill,Geraniaceae,r,Rare
Geranium sp. 3,Pale-flower Crane's-bill,Geraniaceae,r,Rare
Pappochroma nitidum,Sticky Fleabane,Asteraceae,r,Rare
