scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Acacia georginae,Angiospermae,Leguminosae,Rare,Rare,Georgina Gidgee,Georgina Gidgea,,SA
Acacia glandulicarpa,Angiospermae,Leguminosae,Endangered,Endangered,Hairy-pod Wattle,,,SA
Acacia gracilifolia,Angiospermae,Leguminosae,Rare,Rare,Graceful Wattle,,,SA
Acacia gunnii,Angiospermae,Leguminosae,Rare,Rare,Ploughshare Wattle,,,SA
Acacia helmsiana,Angiospermae,Leguminosae,Rare,Rare,Helm's Wattle,,,SA
Acacia hemiteles,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia hexaneura,Angiospermae,Leguminosae,Rare,Rare,Six-nerve Spine-bush,Cowell Spine-bush,,SA
Acacia imbricata,Angiospermae,Leguminosae,Rare,Rare,Feathery Wattle,Imbricate Wattle,,SA
Acacia iteaphylla,Angiospermae,Leguminosae,Rare,Rare,Flinders Ranges Wattle,Willow-leaf Wattle,,SA
Acacia jennerae,Angiospermae,Leguminosae,Rare,Rare,Coonavittra Wattle,,,SA
Acacia latzii,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia lineata,Angiospermae,Leguminosae,Rare,Rare,Streaked Wattle,,,SA
Acacia loderi,Angiospermae,Leguminosae,Rare,Rare,Nealie,Eastern Myall,,SA
Acacia menzelii,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Menzel's Wattle,Tallebung Wattle,,SA
Acacia mitchellii,Angiospermae,Leguminosae,Rare,Rare,Mitchell's Wattle,,,SA
Acacia montana,Angiospermae,Leguminosae,Rare,Rare,Mallee Wattle,,,SA
Acacia mutabilis,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia pendula,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Weeping Myall,,,SA
Acacia pickardii,Angiospermae,Leguminosae,Rare,Rare,Pickard's Wattle,,,SA
Acacia pinguifolia,Angiospermae,Leguminosae,Endangered,Endangered,Fat-leaf Wattle,,,SA
Acacia praemorsa,Angiospermae,Leguminosae,Endangered,Endangered,Senna Wattle,Cassia Wattle,,SA
Acacia quornensis,Angiospermae,Leguminosae,Rare,Rare,Quorn Wattle,,,SA
Acacia rhetinocarpa,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Resin Wattle,Neat Wattle,,SA
Acacia rhigiophylla,Angiospermae,Leguminosae,Rare,Rare,Dagger-leaf Wattle,,,SA
Acacia rhodophloia,Angiospermae,Leguminosae,Rare,Rare,Minni Ritchi,Red-bark Wattle,,SA
Acacia simmonsiana,Angiospermae,Leguminosae,Rare,Rare,Hall's Wattle,,,SA
Acacia spilleriana,Angiospermae,Leguminosae,Endangered,Endangered,Spiller's Wattle,Round-leaf Mulga-bush,,SA
Acacia stricta,Angiospermae,Leguminosae,Rare,Rare,Hop Wattle,Straight Wattle,,SA
Acacia suaveolens,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Sweet Wattle,,,SA
Acacia symonii,Angiospermae,Leguminosae,Rare,Rare,Symon's Wattle,,,SA
Acacia tenuior,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia tenuissima,Angiospermae,Leguminosae,Rare,Rare,Slender Wattle,,,SA
Acacia toondulya,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia trineura,Angiospermae,Leguminosae,Endangered,Endangered,Three-nerve Wattle,Green Wattle,,SA
Acacia whibleyana,Angiospermae,Leguminosae,Endangered,Endangered,Whibley's Wattle,,,SA
Acanthocladium dockeri,Angiospermae,Compositae,Endangered,Endangered,Spiny Everlasting,,,SA
Acanthophis pyrrhus,,,SA: V,Vulnerable,Desert Death Adder ,,,SA
Accipiter novaehollandiae,,,SA: E,Endangered,Grey Goshawk,,,SA
Achnophora tatei,Angiospermae,Compositae,Rare,Rare,Kangaroo Island River Daisy,,,SA
Acrobates pygmaeus,,,SA: E,Endangered,Feathertail Glider,,,SA
Actitis hypoleucos,,,SA: R,Rare,Common ndpiper,,,SA
Adiantum capillus-veneris,Pteridophyta,Adiantaceae,Vulnerable,Vulnerable,Dainty Maiden-hair,Limestone Maiden-hair,,SA
Adonis microcarpa,Angiospermae,Ranunculaceae,Declared,Declared,Pheasant's Eye,Red Chamomile,,SA
Allittia cardiocarpa,Angiospermae,Compositae,Rare,Rare,Swamp Daisy,,,SA
Allittia uliginosa,Angiospermae,Compositae,Rare,Rare,Wet-heath Daisy,Small Swamp Daisy,,SA
Allium triquetrum,Angiospermae,Liliaceae,Declared,Declared,Three-cornered Garlic,Angled Onion,,SA
Allium vineale,Angiospermae,Liliaceae,Declared,Declared,Crow Garlic,Field Garlic,,SA
Allocasuarina robusta,Angiospermae,Casuarinaceae,Endangered,Endangered,Mount Compass Oak-bush,,,SA
Alternanthera pungens,Angiospermae,Amaranthaceae,Declared,Declared,Khaki Weed,,,SA
Althaea australis,Angiospermae,Malvaceae,Vulnerable,Vulnerable,Australian Mallow,,,SA
Ambrosia artemisiifolia,Angiospermae,Compositae,Declared,Declared,Annual Ragweed,Bitterweed,,SA
Ambrosia confertiflora,Angiospermae,Compositae,Declared,Declared,Burr Ragweed,,,SA
Ambrosia psilostachya,Angiospermae,Compositae,Declared,Declared,Perennial Ragweed,Western Ragweed,,SA
Ambrosia tenuifolia,Angiospermae,Compositae,Declared,Declared,Lacy Ragweed,Lacy Ambrosia,,SA
Amphibolurus muricatus,,,SA: R,Rare,Jacky Lizard ,,,SA
Amphibromus archeri,Angiospermae,Gramineae,Rare,Rare,Pointed Swamp Wallaby-grass,,,SA
Amphibromus macrorhinus,Angiospermae,Gramineae,Rare,Rare,Long-nosed Swamp Wallaby-grass,,,SA
Amphibromus recurvatus,Angiospermae,Gramineae,Rare,Rare,Dark Swamp Wallaby-grass,,,SA
Amsinckia calycina,Angiospermae,Boraginaceae,Declared,Declared,Hairy Fiddle-neck,,,SA
Amsinckia lycopsoides,Angiospermae,Boraginaceae,Declared,Declared,Bugloss Fiddle-neck,,,SA
Amytornis barbatus,,,SA: R,Rare,Grey Grasswren,,,SA
Amytornis striatus,,,SA: R,Rare,Striated Grasswren,,,SA
Anas rhynchotis,,,SA: R,Rare,Australasian Shoveler,,,SA
Androcalva multiloba,Angiospermae,Sterculiaceae,Endangered,Endangered,Trailing Commersonia,,,SA
Anhinga novaehollandiae,,,SA: R,Rare,Australasian Darter,,,SA
Anogramma leptophylla,Pteridophyta,Adiantaceae,Rare,Rare,Annual Fern,,,SA
Anseranas semipalmata,,,SA: E,Endangered,Magpie Goose,,,SA
Antechinus agilis,,,SA: E,Endangered,Agile Antechinus,,,SA
Antechinus flavipes,,,SA: V,Vulnerable,Yellow-footed Antechinus,,,SA
Antechinus minimus,,,SA: E,Endangered,Swamp Antechinus,,,SA
Anthocercis angustifolia,Angiospermae,Solanaceae,Rare,Rare,Narrow-leaf Ray-flower,Rock Ray-flower,,SA
Anthocercis anisantha,Angiospermae,Solanaceae,Rare,Rare,Port Lincoln Ray-flower,Spiny Ray-flower,,SA
Anthochaera phrygia,,,SA:E,Endangered,Regent Honeyeater,,,SA
Aphelocephala pectoralis,,,SA: R,Rare,Chestnut-breasted Whiteface,,,SA
Aprasia aurita,,,SA: E,Endangered,Eared Worm-lizard ,,,SA
Aprosmictus erythropterus,,,SA: R,Rare,Red-winged Parrot,,,SA
Arctocephalus pusillus,,,SA: R,Rare,Australian Fur Seal (Brown Fur Seal),,,SA
Arctocephalus tropicalis,,,SA: E,Endangered,Subantarctic Fur Seal,,,SA
Ardea ibis,,,SA: R,Rare,Cattle Egret,,,SA
Ardea intermedia,,,SA: R,Rare,Intermediate Egret,,,SA
Ardeotis australis,,,SA: V,Vulnerable,Australian Bustard,,,SA
Arenaria interpres,,,SA: R,Rare,Ruddy Turnstone,,,SA
Aristida arida,Angiospermae,Gramineae,Rare,Rare,,,,SA
Aristida australis,Angiospermae,Gramineae,Rare,Rare,,,,SA
Arthropodium milleflorum,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Pale Vanilla-lily,,,SA
Asparagus asparagoides,Angiospermae,Liliaceae,Declared,Declared,Bridal Creeper,Smilax Asparagus,,SA
Asparagus asparagoides,Angiospermae,Liliaceae,Declared,Declared,Bridal Creeper,Smilax Asparagus,,SA
Asparagus declinatus,Angiospermae,Liliaceae,Declared,Declared,,,,SA
Asperula oblanceolata,Angiospermae,Rubiaceae,Rare,Rare,Water Woodruff,,,SA
Asperula sp. A (A.B.Cashmore September 1933),Angiospermae,Rubiaceae,Endangered,Endangered,Alpine Woodruff,,,SA
Asperula subsimplex,Angiospermae,Rubiaceae,Rare,Rare,Water Woodruff,,,SA
Asperula syrticola,Angiospermae,Rubiaceae,Rare,Rare,Southern Flinders Woodruff,,,SA
Asperula tetraphylla,Angiospermae,Rubiaceae,Vulnerable,Vulnerable,Mountain Woodruff,,,SA
Asphodelus fistulosus,Angiospermae,Liliaceae,Declared,Declared,Onion Weed,Wild Onion,,SA
Aspidites ramsayi,,,SA: R,Rare,Woma ,,,SA
Asplenium bulbiferum,Pteridophyta,Aspleniaceae,Endangered,Endangered,Mother Spleenwort,Hens-and-chickens,,SA
Asplenium trichomanes,Pteridophyta,Aspleniaceae,Rare,Rare,Common Spleenwort,,,SA
Asterolasia muricata,Angiospermae,Rutaceae,Rare,Rare,Lemon Star-bush,,,SA
Asterolasia phebalioides,Angiospermae,Rutaceae,Vulnerable,Vulnerable,Downy Star-bush,,,SA
Atriplex australasica,Angiospermae,Chenopodiaceae,Rare,Rare,,,,SA
Atriplex eichleri,Angiospermae,Chenopodiaceae,Rare,Rare,Eichler's Saltbush,,,SA
Atriplex humifusa,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,,,,SA
Atriplex kochiana,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,Koch's Saltbush,,,SA
Atriplex morrisii,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,,,,SA
Atriplex papillata,Angiospermae,Chenopodiaceae,Endangered,Endangered,Coral Saltbush,,,SA
Austrocylindropuntia cylindrica,Angiospermae,Cactaceae,Declared,Declared,Cane Cactus,,,SA
Austrocylindropuntia subulata,Angiospermae,Cactaceae,Declared,Declared,Eve's-pin Cactus,,,SA
Austrostipa breviglumis,Angiospermae,Gramineae,Rare,Rare,Cane Spear-grass,Bamboo Spear-grass,,SA
Austrostipa densiflora,Angiospermae,Gramineae,Rare,Rare,Fox-tail Spear-grass,Dense Spear-grass,,SA
Austrostipa echinata,Angiospermae,Gramineae,Rare,Rare,Spiny Spear-grass,,,SA
Austrostipa gibbosa,Angiospermae,Gramineae,Rare,Rare,Swollen Spear-grass,Spurred Spear-grass,,SA
Austrostipa multispiculis,Angiospermae,Gramineae,Rare,Rare,Many-flowered Spear-grass,,,SA
Austrostipa nullanulla,Angiospermae,Gramineae,Vulnerable,Vulnerable,Club Spear-grass,,,SA
Austrostipa oligostachya,Angiospermae,Gramineae,Endangered,Endangered,Fine-head Spear-grass,,,SA
Austrostipa petraea,Angiospermae,Gramineae,Rare,Rare,Flinders Range Spear-grass,,,SA
Austrostipa plumigera,Angiospermae,Gramineae,Rare,Rare,,,,SA
Austrostipa tenuifolia,Angiospermae,Gramineae,Rare,Rare,,,,SA
Austrostipa tuckeri,Angiospermae,Gramineae,Rare,Rare,Tucker's Spear-grass,,,SA
Austrostipa vickeryana,Angiospermae,Gramineae,Rare,Rare,Vickery's Spear-grass,,,SA
Balaenoptera acutorostrata,,,SA: R,Rare,Dwarf Minke Whale,,,SA
Balaenoptera borealis,,,SA: V,Vulnerable,Sei Whale,,,SA
Balaenoptera edeni,,,SA: R,Rare,Bryde’s Whale,,,SA
Balaenoptera musculus,,,SA: E,Endangered,Blue Whale,,,SA
Balaenoptera physalus,,,SA: V,Vulnerable,Fin Whale,,,SA
Baloskion tetraphyllum,Angiospermae,Restionaceae,Vulnerable,Vulnerable,Tassel Cord-rush,Feather Plant,,SA
Basedowia tenerrima,Angiospermae,Compositae,Rare,Rare,,,,SA
Bassia scoparia,Angiospermae,Chenopodiaceae,Declared,Declared,,,,SA
Bassiana trilineata,,,SA: R,Rare,Western Three-lined Skink ,,,SA
Bauera rubioides,Angiospermae,Baueraceae,Rare,Rare,Wiry Bauera,,,SA
Berardius arnuxii,,,SA: R,Rare,Arnoux’s Beaked Whale,,,SA
Bergia occultipetala,Angiospermae,Elatinaceae,Vulnerable,Vulnerable,,,,SA
Bettongia lesueur,,,SA: E,Endangered,Burrowing Bettong,,,SA
Beyeria subtecta,Angiospermae,Euphorbiaceae,Endangered,Endangered,Kangaroo Island Turpentine Bush,,,SA
Bifora testiculata,Angiospermae,Umbelliferae,Declared,Declared,Bifora,Carrot Weed,,SA
Billardiera scandens,Angiospermae,Pittosporaceae,Rare,Rare,Eastern Apple-berry,Common Apple-berry,,SA
Billardiera sp. Yorke Peninsula (P.C.Heyligers 80164),Angiospermae,Pittosporaceae,Endangered,Endangered,Lehmann's Apple-berry,,,SA
Biziura lobata,,,SA: R,Rare,Musk Duck,,,SA
Blechnum chambersii,Pteridophyta,Blechnaceae,Endangered,Endangered,Lance Water-fern,,,SA
Blechnum nudum,Pteridophyta,Blechnaceae,Rare,Rare,Fishbone Water-fern,,,SA
Blechnum rupestre,Pteridophyta,Blechnaceae,Endangered,Endangered,Small Rasp-fern,Rasp-fern,,SA
Blechnum wattsii,Pteridophyta,Blechnaceae,Rare,Rare,Hard Water-fern,,,SA
Boronia nana,Angiospermae,Rutaceae,Rare,Rare,Dwarf Boronia,,,SA
Boronia nana,Angiospermae,Rutaceae,Rare,Rare,Dwarf Boronia,,,SA
Boronia parviflora,Angiospermae,Rutaceae,Rare,Rare,Swamp Boronia,,,SA
Boronia pilosa,Angiospermae,Rutaceae,Rare,Rare,Hairy Boronia,,,SA
Bossiaea peninsularis,Angiospermae,Leguminosae,Endangered,Endangered,Sword Bossiaea,,,SA
Botaurus poiciloptilus,,,SA:V,Vulnerable,Australasian Bittern,,,SA
Bothriochloa macra,Angiospermae,Gramineae,Rare,Rare,Red-leg Grass,,,SA
Botrychium australe,Pteridophyta,Ophioglossaceae,Endangered,Endangered,Austral Moonwort,Moonwort,,SA
Brachyscome aculeata,Angiospermae,Compositae,Rare,Rare,Hill Daisy,Branching Daisy,,SA
Brachyscome breviscapis,Angiospermae,Compositae,Rare,Rare,Short-stem Daisy,,,SA
Brachyscome ciliaris,Angiospermae,Compositae,Rare,Rare,,,,SA
Brachyscome diversifolia,Angiospermae,Compositae,Endangered,Endangered,Tall Daisy,Large-head Daisy,,SA
Brachyscome graminea,Angiospermae,Compositae,Rare,Rare,Grass Daisy,,,SA
Brachyscome melanocarpa,Angiospermae,Compositae,Vulnerable,Vulnerable,Black-fruit Daisy,Black-seed Dasiy,,SA
Brachyscome muelleri,Angiospermae,Compositae,Endangered,Endangered,Corunna Daisy,,,SA
Brachyscome paludicola,Angiospermae,Compositae,Rare,Rare,Swamp Daisy,,,SA
Brachyscome parvula,Angiospermae,Compositae,Rare,Rare,Coast Daisy,Small Daisy,,SA
Brachyscome readeri,Angiospermae,Compositae,Rare,Rare,Reader's Daisy,Southern Daisy,,SA
Brachyscome tatei,Angiospermae,Compositae,Rare,Rare,Nullarbor Daisy,Tate's Daisy,,SA
Brachyscome xanthocarpa,Angiospermae,Compositae,Rare,Rare,Yellow-fruit Daisy,,,SA
Bulbostylis pyriformis,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Bulbostylis turbinata,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Burhinus grallarius,,,SA: R,Rare,Bush Stonecurlew,,,SA
Cacatua leadbeateri,,,SA: R,Rare,Major Mitchell’s Cockatoo,,,SA
Caesia parviflora,Angiospermae,Liliaceae,Rare,Rare,Pale Grass-lily,,,SA
Caladenia argocalla,Angiospermae,Orchidaceae,Endangered,Endangered,White Beauty Spider-orchid,Large White Spider-orchid,,SA
Caladenia behrii,Angiospermae,Orchidaceae,Endangered,Endangered,Pink-lip Spider-orchid,Behr's White Spider-orchid,,SA
Caladenia bicalliata,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,,,,SA
Caladenia bicalliata,Angiospermae,Orchidaceae,Rare,Rare,Western Daddy-long-legs,,,SA
Caladenia brumalis,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Winter Spider-orchid,,,SA
Caladenia calcicola,Angiospermae,Orchidaceae,Endangered,Endangered,Limestone Spider-orchid,Eastern Limestone Spider-orchid,,SA
Caladenia clavigera,Angiospermae,Orchidaceae,Endangered,Endangered,Plain-lip Spider-orchid,Clubbed Spider-orchid,,SA
Caladenia coactilis,Angiospermae,Orchidaceae,Rare,Rare,Flinders Ranges Caladenia,,,SA
Caladenia colorata,Angiospermae,Orchidaceae,Endangered,Endangered,Coloured Spider-orchid,Mallee White Spider-orchid,,SA
Caladenia conferta,Angiospermae,Orchidaceae,Endangered,Endangered,Coast Spider-orchid,,,SA
Caladenia congesta,Angiospermae,Orchidaceae,Endangered,Endangered,Black-tongue Caladenia,,,SA
Caladenia cruciformis,Angiospermae,Orchidaceae,Endangered,Endangered,Bordertown Spider-orchid,,,SA
Caladenia cucullata,Angiospermae,Orchidaceae,Rare,Rare,Hooded Caladenia,,,SA
Caladenia dilatata,Angiospermae,Orchidaceae,Endangered,Endangered,Late Spider-orchid,,,SA
Caladenia flaccida,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Drooping Spider-orchid,Red Spider-orchid,,SA
Caladenia formosa,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Elegant Spider Orchid,,,SA
Caladenia fragrantissima,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Scented Spider-orchid,Cream Spider-orchid,,SA
Caladenia fulva,Angiospermae,Orchidaceae,Endangered,Endangered,Tawny Spider-orchid,,,SA
Caladenia gladiolata,Angiospermae,Orchidaceae,Endangered,Endangered,Bayonet Spider-orchid,,,SA
Caladenia intuta,Angiospermae,Orchidaceae,Endangered,Endangered,Ghost Spider Orchid,,,SA
Caladenia leptochila,Angiospermae,Orchidaceae,Rare,Rare,Narrow-lip Spider-orchid,Queen Spider-orchid,,SA
Caladenia leptochila,Angiospermae,Orchidaceae,Rare,Rare,Narrow-lip Spider-orchid,Queen Spider-orchid,,SA
Caladenia macroclavia,Angiospermae,Orchidaceae,Endangered,Endangered,Large-club Spider-orchid,,,SA
Caladenia moschata,Angiospermae,Orchidaceae,Endangered,Endangered,Musky Caladenia,,,SA
Caladenia necrophylla,Angiospermae,Orchidaceae,Rare,Rare,Late Spider-orchid,,,SA
Caladenia ornata,Angiospermae,Orchidaceae,Endangered,Endangered,Ornate Pink Fingers,,,SA
Caladenia ovata,Angiospermae,Orchidaceae,Endangered,Endangered,Kangaroo Island Spider-orchid,Ovate Spider-orchid,,SA
Caladenia parva,Angiospermae,Orchidaceae,Rare,Rare,Small Green-comb Spider-orchid,Small Spider-orchid,,SA
Caladenia pusilla,Angiospermae,Orchidaceae,Rare,Rare,Pigmy Caladenia,,,SA
Caladenia reticulata,Angiospermae,Orchidaceae,Rare,Rare,Veined Spider-orchid,Veined Caladenia,,SA
Caladenia richardsiorum,Angiospermae,Orchidaceae,Endangered,Endangered,Little Dip Spider-orchid,,,SA
Caladenia rigida,Angiospermae,Orchidaceae,Endangered,Endangered,Stiff White Spider-orchid,Adelaide Hills White Spider-orchid,,SA
Caladenia sanguinea,Angiospermae,Orchidaceae,Rare,Rare,Crimson Daddy-long-legs,Red Spider-orchid,,SA
Caladenia saxatilis,Angiospermae,Orchidaceae,Rare,Rare,Star Spider-orchid,,,SA
Caladenia sp. Finniss (R.Bates 308),Angiospermae,Orchidaceae,Endangered,Endangered,Finniss Spider-orchid,,,SA
Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A),Angiospermae,Orchidaceae,Endangered,Endangered,,,,SA
Caladenia stellata,Angiospermae,Orchidaceae,Rare,Rare,Star Spider-orchid,,,SA
Caladenia valida,Angiospermae,Orchidaceae,Endangered,Endangered,Robust Spider-orchid,,,SA
Caladenia venusta,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Large White Spider-orchid,White Spider-orchid,,SA
Caladenia versicolor,Angiospermae,Orchidaceae,Endangered,Endangered,Grampians Spider-orchid,Candy Spider-orchid,,SA
Caladenia vulgaris,Angiospermae,Orchidaceae,Rare,Rare,Plain Caladenia,Lesser Caladenia,,SA
Caladenia woolcockiorum,Angiospermae,Orchidaceae,Endangered,Endangered,Woolcock's Spider-orchid,,,SA
Caladenia xanthochila,Angiospermae,Orchidaceae,Endangered,Endangered,Yellow-lip Spider-orchid,,,SA
Caladenia xantholeuca,Angiospermae,Orchidaceae,Endangered,Endangered,Flinders Ranges White Caladenia,,,SA
Caladenia zephyra,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,West Wind Spider-orchid,,,SA
Calamanthus (Hylacola) cautus,,,SA: R,Rare,Shy Heathwren,,,SA
Calandrinia sphaerophylla,Angiospermae,Portulacaceae,Rare,Rare,Bead Purslane,,,SA
Calandrinia stagnensis,Angiospermae,Portulacaceae,Rare,Rare,,,,SA
Caleana major,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Large Duck-orchid,Flying Duck,,SA
Calectasia intermedia,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Eastern Blue Tinsel-lily,,,SA
Calidris alba,,,SA: R,Rare,Sanderling,,,SA
Calidris melanotos,,,SA: R,Rare,Pectoral ndpiper,,,SA
Calidris subminuta,,,SA: R,Rare,Long-toed Stint,,,SA
Calidris tenuirostris,,,SA: R,Rare,Great Knot,,,SA
Callistemon brachyandrus,Angiospermae,Myrtaceae,Rare,Rare,Prickly Bottlebrush,,,SA
Callitriche sonderi,Angiospermae,Callitrichaceae,Rare,Rare,Matted Water Starwort,,,SA
Callitriche umbonata,Angiospermae,Callitrichaceae,Vulnerable,Vulnerable,Water Starwort,,,SA
Calocephalus lacteus,Angiospermae,Compositae,Endangered,Endangered,Milky Beauty-heads,,,SA
Calocephalus sonderi,Angiospermae,Compositae,Rare,Rare,Pale Beauty-heads,Yellow Poverty Weed,,SA
Calochilus cupreus,Angiospermae,Orchidaceae,Endangered,Endangered,Copper Beard-orchid,,,SA
Calochilus herbaceus,Angiospermae,Orchidaceae,Rare,Rare,Swamp Bearded Orchid,,,SA
Calochilus paludosus,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Red Beard-orchid,Swamp Beard-orchid,,SA
Calochilus pruinosus,Angiospermae,Orchidaceae,Rare,Rare,Plains Beard-orchid,,,SA
Caloprymnus campestris,,,SA: E,Endangered,Desert Rat-kangaroo,,,SA
Calotis scapigera,Angiospermae,Compositae,Rare,Rare,Tufted Burr-daisy,,,SA
Calyptorhynchus funereus,,,SA: V,Vulnerable,Yellow-tailed Black Cockatoo,,,SA
Calyptorhynchus lathami,,,SA: E,Endangered,Glossy Black Cockatoo,,,SA
Calytrix smeatoniana,Angiospermae,Myrtaceae,Rare,Rare,Kangaroo Island Heath-myrtle,,,SA
Caperea marginata,,,SA: R,Rare,Pygmy Right Whale,,,SA
Cardamine gunnii,Angiospermae,Cruciferae,Vulnerable,Vulnerable,Spade-leaf Bitter-cress,Common Bitter-cress,,SA
Cardamine paucijuga,Angiospermae,Cruciferae,Rare,Rare,Annual Bitter-cress,,,SA
Cardamine tenuifolia,Angiospermae,Cruciferae,Rare,Rare,Slender Bitter-cress,,,SA
Carduus tenuiflorus,Angiospermae,Compositae,Declared,Declared,Slender Thistle,Winged Slender Thistle,,SA
Caretta caretta,,,SA: E,Endangered,Loggerhead Turtle,,,SA
Carex gunniana,Angiospermae,Cyperaceae,Rare,Rare,Mountain Sedge,,,SA
Cassinia tegulata,Angiospermae,Compositae,Endangered,Endangered,Sticky Cassinia,,,SA
Cenchrus longispinus,Angiospermae,Gramineae,Declared,Declared,Spiny Burr-grass,Innocent Weed,,SA
Cenchrus spinifex,Angiospermae,Gramineae,Declared,Declared,Spiny Burr-grass,Coast Burr-grass,,SA
Centella uniflora,Angiospermae,Umbelliferae,Vulnerable,Vulnerable,,,,SA
Centrolepis cephaloformis,Angiospermae,Centrolepidaceae,Rare,Rare,Cushion Centrolepis,Dwarf Centrolepis,,SA
Centrolepis cephaloformis,Angiospermae,Centrolepidaceae,Rare,Rare,Cushion Centrolepis,Dwarf Centrolepis,,SA
Centrolepis glabra,Angiospermae,Centrolepidaceae,Rare,Rare,Smooth Centrolepis,,,SA
Ceratogyne obionoides,Angiospermae,Compositae,Rare,Rare,Wingwort,,,SA
Ceratophyllum demersum,Angiospermae,Ceratophyllaceae,Rare,Rare,Hornwort,,,SA
Cercartetus nanus,,,SA: V,Vulnerable,Eastern Pygmy-possum,,,SA
Cereopsis novaehollandiae,,,SA: R,Rare,Cape Barren Goose,,,SA
Ceyx azureus,,,SA: E,Endangered,Azure Kingfisher,,,SA
Chaeropus ecaudatus,,,SA: E,Endangered,Pig-footed Bandicoot,,,SA
Chalinolobus picatus,,,SA:  E,Endangered,Little Pied Bat,,,SA
Charadrius leschenaultii,,,SA: R,Rare,Greater nd Plover,,,SA
Charadrius mongolus,,,SA: R,Rare,Lesser nd Plover,,,SA
Cheiranthera volubilis,Angiospermae,Pittosporaceae,Vulnerable,Vulnerable,Twining Hand-flower,Twining Finger-flower,,SA
Chelodina expansa,,,SA: V,Vulnerable,Broad-shelled Tortoise ,,,SA
Chelonia mydas,,,SA: V,Vulnerable,Green Turtle ,,,SA
Chenopodium erosum,Angiospermae,Chenopodiaceae,Rare,Rare,Papery Goosefoot,,,SA
Chiloglottis cornuta,Angiospermae,Orchidaceae,Endangered,Endangered,Green Bird-orchid,,,SA
Chiloglottis trapeziformis,Angiospermae,Orchidaceae,Endangered,Endangered,Dainty Bird-orchid,,,SA
Chlamydera guttata,,,SA: R,Rare,Western Bowerbird,,,SA
Chlamydera maculata,,,SA: E,Endangered,Spotted Bowerbird,,,SA
Chondrilla juncea,Angiospermae,Compositae,Declared,Declared,Skeleton Weed,Naked Weed,,SA
Chondropyxis halophila,Angiospermae,Compositae,Rare,Rare,Salt Button-daisy,Salt Button-heads,,SA
Choretrum chrysanthum,Angiospermae,Santalaceae,Rare,Rare,Yellow Sour-bush,,,SA
Choretrum spicatum,Angiospermae,Santalaceae,Rare,Rare,Spiked Sour-bush,,,SA
Choretrum spicatum,Angiospermae,Santalaceae,Rare,Rare,Spiked Sour-bush,,,SA
Chorizandra australis,Angiospermae,Cyperaceae,Endangered,Endangered,Bristle-rush,Bristle-sedge,,SA
Christella dentata,Pteridophyta,Thelypteridaceae,Rare,Rare,Soft Shield-fern,Binung,,SA
Chrysanthemoides monilifera,Angiospermae,Compositae,Declared,Declared,Boneseed,Bitou Bush,,SA
Cinclosoma punctatum anachoreta,,,SA:E,Endangered,Spotted Quailthrush,,,SA
Cinclosoma punctatum punctatum,,,SA:E,Endangered,Spotted Quailthrush,,,SA
Cirsium arvense,Angiospermae,Compositae,Declared,Declared,Perennial Thistle,Creeping Thistle,,SA
Cirsium vulgare,Angiospermae,Compositae,Declared,Declared,Spear Thistle,Swamp Thistle,,SA
Citrus glauca,Angiospermae,Rutaceae,Vulnerable,Vulnerable,Desert Lime,Wild Lime,,SA
Cladium procerum,Angiospermae,Cyperaceae,Rare,Rare,Leafy Twig-rush,,,SA
Cladorhynchus leucocephalus,,,SA: V,Vulnerable,Banded Stilt,,,SA
Clematis aristata,Angiospermae,Ranunculaceae,Vulnerable,Vulnerable,Mountain Clematis,Australian Clematis,,SA
Climacteris affinis,,,SA: R,Rare,White-browed Treecreeper,,,SA
Codonocarpus pyramidalis,Angiospermae,Gyrostemonaceae,Endangered,Endangered,Slender Bell-fruit,Camel Poison,,SA
Colobanthus apetalus,Angiospermae,Caryophyllaceae,Vulnerable,Vulnerable,Coast Colobanth,,,SA
