scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Scutellaria humilis,Angiospermae,Labiatae,Rare,Rare,Dwarf Skullcap,Skullcap,,SA
Senecio behrianus,Angiospermae,Compositae,Endangered,Endangered,Behr's Groundsel,Stiff Groundsel,,SA
Senecio gawlerensis,Angiospermae,Compositae,Rare,Rare,Gawler Ranges Groundsel,,,SA
Senecio gypsicola,Angiospermae,Compositae,Rare,Rare,Gypsum Groundsel,Gypsum Othonna,,SA
Senecio helichrysoides,Angiospermae,Compositae,Endangered,Endangered,George's Groundsel,Grey Groundsel,,SA
Senecio jacobaea,Angiospermae,Compositae,Declared,Declared,Ragwort,St Jame's Wort,,SA
Senecio laceratus,Angiospermae,Compositae,Rare,Rare,Cut-leaf Groundsel,Coarse-tooth Groundsel,,SA
Senecio macrocarpus,Angiospermae,Compositae,Vulnerable,Vulnerable,Large-fruit Groundsel,,,SA
Senecio megaglossus,Angiospermae,Compositae,Endangered,Endangered,Large-flower Groundsel,Superb Groundsel,,SA
Senecio pinnatifolius,Angiospermae,Compositae,Rare,Rare,,,,SA
Senecio psilocarpus,Angiospermae,Compositae,Vulnerable,Vulnerable,,,,SA
Sida sp. Wakaya Desert (C.Dunlop 1984),Angiospermae,Malvaceae,Rare,Rare,,,,SA
Silene vulgaris,Angiospermae,Caryophyllaceae,Declared,Declared,Bladder Campion,Blue Root,,SA
Silybum marianum,Angiospermae,Compositae,Declared,Declared,Variegated Thistle,Cabbage Thistle,,SA
Sminthopsis aitkeni,,,SA: E,Endangered,Kangaroo Island Dunnart,,,SA
Sminthopsis psammophila,,,SA: V,Vulnerable,Sandhill Dunnart,,,SA
Sminthopsis youngsoni,,,SA: R,Rare,Lesser Hairy-footed Dunnart,,,SA
Solanum elaeagnifolium,Angiospermae,Solanaceae,Declared,Declared,Silver-leaf Nightshade,Silver Nightshade,,SA
Solanum eremophilum,Angiospermae,Solanaceae,Rare,Rare,Rare Nightshade,,,SA
Sphaerolobium minus,Angiospermae,Leguminosae,Rare,Rare,Leafless Globe-pea,,,SA
