Taxon_Id,Kingdom,Class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,EPBC_status,Significant,Confidential,Endemicity,status
1843,animals,birds,Scolopacidae,Numenius madagascariensis,eastern curlew,"(Linnaeus, 1766)",E,CE,Y,N,QAI,Endangered
1092,animals,birds,Turnicidae,Turnix melanogaster,black-breasted button-quail,"(Gould, 1837)",V,V,Y,N,QA,Vulnerable
1093,animals,birds,Turnicidae,Turnix olivii,buff-breasted button-quail,"Robinson, 1900",CR,E,Y,Y,Q,Critically endangered
1900,animals,birds,Laridae,Sternula nereis exsul,New Caledonian fairy tern,"Mathews, 1912",E,,Y,N,VI,Endangered
1171,animals,birds,Cacatuidae,Calyptorhynchus lathami,glossy black-cockatoo,"(Temminck, 1807)",V,,Y,N,QA,Vulnerable
22493,animals,birds,Cacatuidae,Calyptorhynchus lathami erebus,glossy black-cockatoo (northern),"Schodde & Mason, 1993",V,,Y,N,Q,Vulnerable
22494,animals,birds,Cacatuidae,Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern),"Temminck, 1807",V,V,Y,N,QA,Vulnerable
1192,animals,birds,Cacatuidae,Lophochroa leadbeateri leadbeateri,Major Mitchell's cockatoo,"(Vigors, 1831)",E,E,Y,N,QA,Endangered
1175,animals,birds,Cacatuidae,Probosciger aterrimus macgillivrayi,palm cockatoo,"(Mathews, 1912)",E,V,Y,N,QI,Endangered
1164,animals,birds,Psittaculidae,Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,"Gould, 1867",CR,CE,Y,N,QA,Critically endangered
1165,animals,birds,Psittaculidae,Cyclopsitta diophthalma macleayana,Macleay's fig-parrot,"Ramsay, 1874",V,,Y,N,Q,Vulnerable
1168,animals,birds,Psittaculidae,Eclectus roratus macgillivrayi,eclectus parrot (Cape York Peninsula),"Mathews, 1913",V,,Y,N,Q,Vulnerable
1149,animals,birds,Psittaculidae,Lathamus discolor,swift parrot,"(Shaw, 1790)",E,CE,Y,N,QA,Endangered
1153,animals,birds,Psittaculidae,Neophema chrysostoma,blue-winged parrot,"(Kuhl, 1820)",V,V,Y,N,QA,Vulnerable
1133,animals,birds,Psittaculidae,Pezoporus occidentalis,night parrot,"Gould, 1861",E,E,Y,Y,QA,Endangered
1135,animals,birds,Psittaculidae,Pezoporus wallicus wallicus,ground parrot,"(Kerr, 1792)",V,,Y,N,QA,Vulnerable
1117,animals,birds,Psittaculidae,Psephotus chrysopterygius,golden-shouldered parrot,"Gould, 1858",E,E,Y,N,Q,Endangered
1119,animals,birds,Psittaculidae,Psephotus pulcherrimus,paradise parrot,"Gould, 1845",PE,EX,Y,N,QA,Extinct in the wild
1104,animals,birds,Strigidae,Ninox rufa meesi,rufous owl (Cape York subspecies),"Mason & Schodde, 1980",NT,,Y,N,Q,Near threatened
1107,animals,birds,Strigidae,Ninox strenua,powerful owl,"(Gould, 1838)",V,,Y,N,QA,Vulnerable
1097,animals,birds,Tytonidae,Tyto novaehollandiae kimberli,masked owl (northern subspecies),"Mathews, 1912",V,V,Y,N,QA,Vulnerable
1467,animals,birds,Menuridae,Menura alberti,Albert's lyrebird,"Bonaparte, 1851",NT,,Y,N,QA,Near threatened
1632,animals,birds,Atrichornithidae,Atrichornis rufescens,rufous scrub-bird,"(Ramsay, 1867)",V,E,Y,Y,QA,Vulnerable
22456,animals,birds,Climacteridae,Climacteris picumnus victoriae,brown treecreeper (south-eastern),"Mathews, 1912",V,V,Y,N,QA,Vulnerable
