family,status,sourceStatus,vernacularName,scientificName,taxonRemarks,sensitivityZoneId
,Endangered,Endangered,Carpentarian rock-rat,Zyzomys palatalis,Mammal,NT
,Extinct,Extinct,Central hare-wallaby,Lagorchestes asomatus,Mammal,NT
,Critically endangered,Critically endangered,Central rock-rat,Zyzomys pedunculatus,Mammal,NT
,Endangered,Endangered,Christmas Island frigatebird,Fregata andrewsi,Bird,NT
,Endangered,Endangered,Common brushtail possum (central and south eastern),Trichosurus vulpecula vulpecula,Mammal,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Common brushtail possum (north-western),Trichosurus vulpecula arnhemensis,Mammal,NT
,Vulnerable,Vulnerable,Crack-dwelling ctenotus (Keep-Ord Rivers),Ctenotus rimacola camptris,Reptile,NT
,Extinct,Extinct,Crescent nailtail wallaby,Onychogalea lunata,Mammal,NT
,Vulnerable,Vulnerable,Crest-tailed mulgara,Dasycercus cristicauda,Mammal,NT
,Listed nationally but not under NT legislation Bird,Listed nationally but not under NT legislation Bird,Crested shrike-tit,Falcunculus frontatus whitei,Bird,NT
,Critically endangered,Critically endangered,Curlew sandpiper,Calidris ferruginea,Bird,NT
,Extinct,Extinct,Desert bandicoot,Perameles eremiana,Mammal,NT
,Extinct,Extinct,Desert bettong,Bettongia anhydra,Mammal,NT
,Endangered,Endangered,Dodd’s azure,Ogyris iphis doddi,Invertebrate,NT
,Endangered,Endangered,Dusky hopping-mouse,Notomys fuscus,Mammal,NT
,Vulnerable,Vulnerable,Dwarf sawfish,Pristis clavata,Fish,NT
,Vulnerable,Vulnerable,Ellery Creek squat snail,Semotrachia elleryi,Invertebrate,NT
,Vulnerable,Vulnerable,Emily Gap squat snail ,Semotrachia emilia,Invertebrate,NT
,Critically endangered,Critically endangered,Far eastern curlew ,Numenius madagascariensis,Bird,NT
,Endangered,Endangered,Fawn Antechinus ,Antechinus bellus,Mammal,NT
,Least concern ,Least concern (extinct in NT),Fawn hopping-mouse ,Notomys cervinus,Mammal,NT
,Vulnerable,Vulnerable,Fenn Gap squat snail ,Semotrachia filixiana,Invertebrate,NT
,Vulnerable,Vulnerable,Finke goby,Chlamydogobius japalpa,Fish,NT
,Vulnerable,Vulnerable,Finke Gorge rocksnail ,Granulomelon arcigerens,Invertebrate,NT
,Critically endangered,Critically endangered,Fitzroy Station rocksnail ,Mesodontrachia fitzroyana,Invertebrate,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Flatback turtle ,Natator depressus,Reptile,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Ghost bat ,Macroderma gigas,Mammal,NT
,Vulnerable,Vulnerable,Gillen Creek rocksnail ,Granulomelon gilleni,Invertebrate,NT
,Endangered,Endangered,Golden bandicoot ,Isoodon auratus,Mammal,NT
,Critically endangered,Critically endangered,Golden-backed tree-rat ,Mesembriomys macrurus,Mammal,NT
,Vulnerable,Vulnerable,Gouldian finch ,Erythrura gouldiae,Bird,NT
,Vulnerable,Vulnerable,Great desert skink ,Liopholis kintorei,Reptile,NT
,Critically endangered,Critically endangered,Great knot ,Calidris tenuirostris,Bird,NT
,Vulnerable,Vulnerable,Greater bilby ,Macrotis lagotis,Mammal,NT
,Vulnerable,Vulnerable,Greater sand plover ,Charadrius leschenaultii,Bird,NT
,Vulnerable,Vulnerable,Green sawfish,Pristis zijsron,Fish,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Green turtle ,Chelonia mydas,Reptile,NT
,Vulnerable,Vulnerable,Grey falcon ,Falco hypoleucos,Bird,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Grey nurse shark,Carcharias taurus,Fish,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Gulf snapping turtle ,Elseya lavarackorum,Reptile,NT
,Vulnerable,Vulnerable,Harts Range knob-lip snail ,Dirutrachia sublevata,Invertebrate,NT
,Vulnerable,Vulnerable,Harts Range rocksnail ,Granulomelon grandituberculatum,Invertebrate,NT
,Vulnerable,Vulnerable,Hawksbill turtle ,Eretmochelys imbricata,Reptile,NT
,Vulnerable,Vulnerable,Hillier's keeled snail ,Divellomelon hillieri,Invertebrate,NT
,Critically endangered,Critically endangered,Hooded robin (Tiwi) ,Melanodryas cucullata melvillensis,Bird,NT
,Vulnerable,Vulnerable,Horsfield’s bushlark (Tiwi) ,Mirafra javanica melvillensis,Bird,NT
,Vulnerable,Vulnerable,Howard River toadlet ,Uperoleia daviesae,Amphibian,NT
,Vulnerable,Vulnerable,Huckitta Ruins squat snail ,Semotrachia huckittana,Invertebrate,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Humpback whale ,Megaptera novaeangliae,Mammal,NT
,Vulnerable,Vulnerable,Illara Waterhole squat snail ,Semotrachia illarana,Invertebrate,NT
,Vulnerable,Vulnerable,Jessie Gap squat snail ,Semotrachia jessieana,Invertebrate,NT
,Vulnerable,Vulnerable,Jinka Spring squat snail ,Semotrachia jinkana,Invertebrate,NT
,Vulnerable ,Vulnerable (extinct in NT),Kowari ,Dasyuroides byrnei,Mammal,NT
,Vulnerable,Vulnerable,Krichauff Ranges snail ,Semotrachia esau,Invertebrate,NT
,Vulnerable,Vulnerable,Largetooth sawfish,Pristis pristis,Fish,NT
,Critically endangered,Critically endangered,Leatherback turtle ,Dermochelys coriacea,Reptile,NT
,Extinct,Extinct,Lesser bilby ,Macrotis leucura,Mammal,NT
,Endangered,Endangered,Lesser sand plover ,Charadrius mongolus,Bird,NT
,Extinct,Extinct,Lesser stick-nest rat ,Leporillus apicalis,Mammal,NT
,Vulnerable,Vulnerable,Loggerhead turtle ,Caretta caretta,Reptile,NT
,Extinct,Extinct,Long-tailed hopping-mouse ,Notomys longicaudatus,Mammal,NT
,Vulnerable,Vulnerable,Lorentz grunter,Pingalla lorentzi,Fish,NT
,Endangered ,Endangered (extinct in wild in NT),Mala ,Lagorchestes hirsutus Central Australian subspecies,Mammal,NT
,Critically endangered,Critically endangered,Malleefowl ,Leipoa ocellata,Bird,NT
,Vulnerable,Vulnerable,Masked owl (northern mainland) ,Tyto novaehollandiae kimberli,Bird,NT
,Endangered,Endangered,Masked owl (Tiwi) ,Tyto novaehollandiae melvillensis,Bird,NT
,Vulnerable,Vulnerable,Melville squat-keeled snail ,Trochomorpha melvillensis,Invertebrate,NT
,Vulnerable,Vulnerable,Merten’s water monitor ,Varanus mertensi,Reptile,NT
,Vulnerable,Vulnerable,Mitchell’s water monitor ,Varanus mitchelli,Reptile,NT
,Endangered,Endangered,Nabarlek (Top End) ,Petrogale concinna canescens,Mammal,NT
,Critically endangered ,Critically endangered (possibly extinct),Nabarlek (Victoria River district) ,Petrogale concinna concinna,Mammal,NT
,Endangered,Endangered,Night parrot ,Pezoporus occidentalis,Bird,NT
,Endangered,Endangered,Northern brush-tailed phascogale ,Phascogale pirata,Mammal,NT
,Vulnerable,Vulnerable,Northern hopping-mouse ,Notomys aquilo,Mammal,NT
,Critically endangered,Critically endangered,Northern quoll ,Dasyurus hallucatus,Mammal,NT
,Endangered,Endangered,Northern river shark,Glyphis garricki,Fish  ,NT
,Endangered ,Endangered (extinct in NT),Numbat ,Myrmecobius fasciatus,Mammal,NT
,Vulnerable,Vulnerable,Oenpelli python ,Simalia oenpelliensis,Reptile,NT
,Vulnerable,Vulnerable,Olive ridley ,Lepidochelys olivacea,Reptile,NT
,Vulnerable,Vulnerable,Painted honeyeater ,Grantiella picta,Bird,NT
,Vulnerable,Vulnerable,Pale field-rat ,Rattus tunneyi,Mammal,NT
,Vulnerable,Vulnerable,Palm Valley rocksnail ,Granulomelon squamulosum,Invertebrate,NT
,Vulnerable,Vulnerable,Partridge pidgeon (eastern) ,Geophaps smithii smithii,Bird,NT
,Extinct,Extinct,Pig-footed bandicoot ,Chaeropus ecaudatus,Mammal,NT
,Vulnerable,Vulnerable,Plains death adder ,Acanthophsis hawkei,Reptile,NT
,Endangered,Endangered,Plains mouse ,Pseudomys australis,Mammal,NT
,Critically endangered,Critically endangered,Plains-wanderer ,Pedionomus torquatus,Bird,NT
,Vulnerable,Vulnerable,Princess parrot ,Polytelis alexandrae,Bird,NT
,Vulnerable,Vulnerable,Purple-crowned fairy-wren (western) ,Malurus coronatus coronatus,Bird,NT
,Vulnerable,Vulnerable,Red Centre pinwheel snail ,Tateropa aemula,Invertebrate,NT
,Vulnerable,Vulnerable,Red goshawk ,Erythrotriorchis radiatus,Bird,NT
,Endangered,Endangered,Red knot ,Calidris canutus,Bird,NT
,Vulnerable ,Vulnerable (extinct in NT),Red-tailed phascogale ,Phascogale calura,Mammal,NT
,Endangered,Endangered,Rosewood keeled snail ,Ordtrachia septentrionalis,Invertebrate,NT
,Vulnerable,Vulnerable,Ross River squat snail ,Semotrachia rossana,Invertebrate,NT
,Vulnerable,Vulnerable,Runutjirbana Ridge squat snail ,Semotrachia runutjirbana,Invertebrate,NT
,Critically endangered,Critically endangered,Saddle Creek rocksnail ,Vincentrachia desmonda,Invertebrate,NT
,Endangered,Endangered,Sandhill dunnart ,Sminthopsis psammophila,Mammal,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Scalloped hammerhead,Sphyrna lewini,Fish,NT
,Vulnerable ,Vulnerable (extinct in NT),Shark Bay mouse ,Pseudomys fieldi,Mammal,NT
,Extinct,Extinct,Short-tailed hopping-mouse ,Notomys amplus,Mammal,NT
,Vulnerable,Vulnerable,Slater’s skink ,Liopholis slateri,Reptile,NT
,Vulnerable,Vulnerable,Speartooth shark,Glyphis glyphis,Fish,NT
,Vulnerable,Vulnerable,Spencer Gorge squat snail ,Semotrachia winneckeana,Invertebrate,NT
,Vulnerable,Vulnerable,Spencer’s tapered snail ,Bothriembryon spenceri,Invertebrate,NT
,Vulnerable,Vulnerable,Temple Bar squat snail ,Semotrachia caupona,Invertebrate,NT
,Extinct,Extinct,Thick-billed grasswren (MacDonnell Ranges) ,Amytornis modestus modestus,Bird,NT
,Critically endangered,Critically endangered,Thick-billed grasswren (western) ,Amytornis modestus indulkanna,Bird,NT
,Vulnerable,Vulnerable,Tiwi Islands treesnail ,Amphidromus cognatus,Invertebrate,NT
,Vulnerable,Vulnerable,Victoria River squat snail ,Trachiopsis victoriana,Invertebrate,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Water mouse ,Xeromys myoides,Mammal,NT
,Vulnerable,Vulnerable,Watt’s multicoiled snail ,Vidumelon wattii,Invertebrate,NT
,Vulnerable ,Vulnerable (extinct in NT),Western quoll ,Dasyurus geoffroii,Mammal,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Whale shark,Rhincodon typus,Fish,NT
,Vulnerable,Vulnerable,White-throated grasswren ,Amytornis woodwardi,Bird,NT
,Endangered,Endangered,Yellow chat (Alligator Rivers) ,Epthianura crocea tunneyi,Bird,NT
,Vulnerable,Vulnerable,Yellow-snouted ground gecko ,Lucasium occultum,Reptile,NT
,Vulnerable,Vulnerable,Yellow-spotted monitor ,Varanus panoptes,Reptile,NT
