taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1256,Animalia,Aves,Diomedeidae,Thalassarche melanophris,black-browed albatross,"Temminck, 1828",SL,Y,N,Special least concern,Not Endemic to Australia,Vulnerable
34156,Animalia,Aves,Diomedeidae,Thalassarche salvini,Salvin's albatross,"(Rothschild, 1893)",SL,Y,N,Special least concern,Vagrant (International),Vulnerable
27766,Animalia,Aves,Diomedeidae,Thalassarche steadi,white-capped albatross,"Falla, 1933",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1198,Animalia,Aves,Procellariidae,Ardenna carneipes,flesh-footed shearwater,"Gould, 1844",SL,Y,N,Special least concern,Not Endemic to Australia,
1200,Animalia,Aves,Procellariidae,Ardenna grisea,sooty shearwater,"(Gmelin, 1789)",V,Y,N,Vulnerable,Not Endemic to Australia,
1188,Animalia,Aves,Procellariidae,Ardenna pacifica,wedge-tailed shearwater,"(Gmelin, 1789)",V,Y,N,Vulnerable,Not Endemic to Australia,
1190,Animalia,Aves,Procellariidae,Ardenna tenuirostris,short-tailed shearwater,"(Temminck, 1835)",SL,Y,N,Special least concern,Not Endemic to Australia,
1240,Animalia,Aves,Procellariidae,Bulweria bulwerii,Bulwer's petrel,"(Jardine & Selby, 1828)",SL,Y,N,Special least concern,Vagrant (Unknown),
1242,Animalia,Aves,Procellariidae,Calonectris leucomelas,streaked shearwater,"(Temminck, 1835)",SL,Y,N,Special least concern,Not Endemic to Australia,
1233,Animalia,Aves,Procellariidae,Halobaena caerulea,blue petrel,"(Gmelin, 1789)",V,Y,N,Vulnerable,Vagrant (Unknown),Vulnerable
1222,Animalia,Aves,Procellariidae,Macronectes giganteus,southern giant-petrel,"(Gmelin, 1789)",E,Y,N,Endangered,Not Endemic to Australia,Endangered
1223,Animalia,Aves,Procellariidae,Macronectes halli,northern giant-petrel,"Mathews, 1912",V,Y,N,Vulnerable,Vagrant (Unknown),Vulnerable
