scientificName,vernacularName,Current Scientific Name,status,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,listed sprat taxonID,current sprat taxonID,kingdom,class,Profile,Date extracted,nsl name,family,genus,species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author,sourceStatus
Acacia deuteroneura,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,12836,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12836,2022-10-05,https://id.biodiversity.org.au/name/apni/61790,Fabaceae,Acacia,deuteroneura,-,-,Pedley,-,Vulnerable
Acacia enterocarpa,Jumping-jack Wattle,-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,17615,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17615,2022-10-05,https://id.biodiversity.org.au/name/apni/62586,Fabaceae,Acacia,enterocarpa,-,-,R.V.Sm.,-,Endangered
Acacia equisetifolia,a shrub,-,Critically Endangered,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87480,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87480,2022-10-05,https://id.biodiversity.org.au/name/apni/246583,Fabaceae,Acacia,equisetifolia,-,-,Maslin  Cowie,-,Critically Endangered
Acacia eremophiloides,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,9280,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9280,2022-10-05,https://id.biodiversity.org.au/name/apni/62649,Fabaceae,Acacia,eremophiloides,-,-,Pedley  P.Forster,-,Vulnerable
Acacia flocktoniae,Flockton Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3134,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3134,2022-10-05,https://id.biodiversity.org.au/name/apni/63159,Fabaceae,Acacia,flocktoniae,-,-,Maiden,-,Vulnerable
Acacia forrestiana,Forest's Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,17235,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17235,2022-10-05,https://id.biodiversity.org.au/name/apni/63207,Fabaceae,Acacia,forrestiana,-,-,E.Pritzel,-,Vulnerable
Acacia georgensis,Bega Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9848,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9848,2022-10-05,https://id.biodiversity.org.au/name/apni/63478,Fabaceae,Acacia,georgensis,-,-,Tindale,-,Vulnerable
Acacia glandulicarpa,Hairy-pod Wattle,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,8838,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8838,2022-10-05,https://id.biodiversity.org.au/name/apni/63594,Fabaceae,Acacia,glandulicarpa,-,-,Reader,-,Vulnerable
Acacia gordonii,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5031,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5031,2022-10-05,https://id.biodiversity.org.au/name/apni/63812,Fabaceae,Acacia,gordonii,-,-,(Tind.) Pedley,-,Endangered
Acacia grandifolia,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3566,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3566,2022-10-05,https://id.biodiversity.org.au/name/apni/63868,Fabaceae,Acacia,grandifolia,-,-,Pedley,-,Vulnerable
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,14928,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14928,2022-10-05,https://id.biodiversity.org.au/name/apni/64171,Fabaceae,Acacia,handonis,-,-,Pedley,-,Vulnerable
Acacia imitans,Gibson Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65211,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65211,2022-10-05,https://id.biodiversity.org.au/name/apni/151151,Fabaceae,Acacia,imitans,-,-,Maslin,-,Endangered
Acacia insolita subsp. recurva,Yornaning Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64495,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64495,2022-10-05,https://id.biodiversity.org.au/name/apni/153115,Fabaceae,Acacia,insolita,subsp.,recurva,-,Maslin,Endangered
Acacia kingiana,-,-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,13816,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13816,2022-10-05,https://id.biodiversity.org.au/name/apni/65055,Fabaceae,Acacia,kingiana,-,-,Maiden  Blakely,-,Extinct
