scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Beddomeia bowryensis ,Ponder & Clark,Hydrobiid Snail (Bowry Creek),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia fallax ,Ponder & Clark,Hydrobiid Snail (Heathcote Creek),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia forthensis ,Ponder & Clark,Forth River Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia franklandensis ,Ponder & Clark,Hydrobiid Snail (Frankland River ),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia gibba ,Ponder & Clark,Hydrobiid Snail (Salmon River Road),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia hullii ,Petterd,Hulls Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia inflata ,Ponder & Clark,Upper Castra Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia mesibovi ,Ponder & Clark,Hydrobiid Snail (Arthur River),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia minima ,Petterd,Hydrobiid Snail (Scottsdale),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia protuberata ,Ponder & Clark,Hydrobiid Snail (Emu River),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia salmonis ,Ponder & Clark,Hydrobiid Snail (Salmon River),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia tasmanica ,Tenison-Woods,Hydrobiid Snail (Terrys Creek),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia topsiae ,Ponder & Clark,Hydrobiid Snail (Williamson Creek),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia trochiformis ,Ponder & Clark,Savage River Mine Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia turnerae ,Ponder & Clark,Hydrobiid Snail (Minnow River),Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia wilmotensis ,Ponder & Clark,Wilmot River Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia zeehanensis ,Ponder & Clark,Zeehan Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Benthodorbis pawpela ,Winston Ponder,Great Lake Glacidorbid Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Cavernotettix craggiensis,Richards,Craggy Island Cave Cricket,Orthoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
"Charopidae ""Skemps""",,Skemps Snail,Sigmurethra,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Dasyurotaenia robusta,Beddard,Tapeworm (Tasmanian Devil),Cyclophyllideae,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Echinodillo cavaticus ,Green,Flinders Island Cave Slater,Isopoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
