taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,status,EPBCstatus,conservationSignificant,confidential,endemicity
40916,animals,reptiles,Carphodactylidae,Phyllurus pinnaclensis,Pinnacles leaf-tailed gecko,"Hoskin, Bertola & Higgie, 2019",Critically endangered,,Yes,No,Queensland endemic
34950,animals,reptiles,Carphodactylidae,Saltuarius eximius,Cape Melville leaf-tailed gecko,"Hoskin & Couper, 2013",Critically endangered,,Yes,Yes,Queensland endemic
238,animals,reptiles,Scincidae,Ctenotus serotinus,gravel-downs ctenotus,"Czechura, 1986",Critically endangered,,Yes,No,Queensland endemic
125,animals,reptiles,Scincidae,Nangura spinosa,Nangur skink,"Covacevich, Couper & James, 1993",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
100,animals,reptiles,Scincidae,Techmarscincus jigurru,Bartle Frere cool-skink,"(Covacevich, 1984)",Critically endangered,,Yes,No,Queensland endemic
35645,animals,reptiles,Typhlopidae,Anilios insperatus,Fassifern blind snake,"Venchi, Wilson & Borsboom, 2015",Critically endangered,,Yes,No,Queensland endemic
41668,plants,land plants,Apocynaceae,Leichhardtia araujacea,,(F.Muell.) P.I.Forst.,Critically endangered,Extinct,Yes,No,Queensland endemic
8847,plants,land plants,Asteraceae,Calotis glabrescens,,C.T.White,Critically endangered,,Yes,No,Queensland endemic
31728,plants,land plants,Asteraceae,Trioncinia patens,,A.E.Holland & D.W.Butler,Critically endangered,,Yes,No,Queensland endemic
34929,plants,land plants,Athyriaceae,Diplazium squamuligerum,,(Rosenst.) Parris,Critically endangered,,Yes,Yes,Queensland endemic
2265,plants,land plants,Boryaceae,Borya inopinata,Stewart Range pincushion lily,P.I.Forst. & E.J.Thomps.,Critically endangered,,Yes,No,Queensland endemic
30590,plants,land plants,Byttneriaceae,Commersonia beeronensis,,Guymer,Critically endangered,,Yes,No,Queensland endemic
31105,plants,land plants,Byttneriaceae,Commersonia inglewoodensis,,Guymer,Critically endangered,,Yes,No,Queensland endemic
30649,plants,land plants,Byttneriaceae,Commersonia pearnii,,Guymer,Critically endangered,,Yes,No,Queensland endemic
31104,plants,land plants,Byttneriaceae,Commersonia perkinsiana,headland commersonia,Guymer,Critically endangered,,Yes,No,Queensland endemic
41357,plants,land plants,Campanulaceae,Lobelia fontana,,Albr. & N.G.Walsh,Critically endangered,,Yes,No,Queensland endemic
26374,plants,land plants,Celastraceae,Apatophyllum flavovirens,,A.R.Bean & Jessup,Critically endangered,,Yes,No,Queensland endemic
35014,plants,land plants,Clusiaceae,Garcinia russellii,Rupert's mangosteen,W.E.Cooper,Critically endangered,,Yes,No,Queensland endemic
19354,plants,land plants,Cunoniaceae,Eucryphia jinksii,Springbrook leatherwood,P.I.Forst.,Critically endangered,,Yes,No,Australian endemic
18195,plants,land plants,Cunoniaceae,Eucryphia wilkiei,Wilkie's leatherwood,B.Hyland,Critically endangered,Vulnerable,Yes,No,Queensland endemic
41407,plants,land plants,Droseraceae,Drosera buubugujin,,M.T.Mathieson,Critically endangered,,Yes,Yes,Queensland endemic
31864,plants,land plants,Eriocaulaceae,Eriocaulon aloefolium,,R.J.Davies,Critically endangered,,Yes,No,Queensland endemic
31863,plants,land plants,Eriocaulaceae,Eriocaulon giganticum,,R.J.Davies,Critically endangered,,Yes,No,Queensland endemic
34716,plants,land plants,Euphorbiaceae,Croton lucens,,P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
28906,plants,land plants,Euphorbiaceae,Croton mamillatus,Bahrs scrub croton,P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
30717,plants,land plants,Gyrostemonaceae,Gyrostemon osmus,,Halford,Critically endangered,,Yes,No,Queensland endemic
21854,plants,land plants,Hymenophyllaceae,Crepidomanes aphlebioides,,(Christ) I.M.Turner,Critically endangered,,Yes,Yes,Naturally occurs in Queensland and overseas
41411,plants,land plants,Hymenophyllaceae,Hymenophyllum reinwardtii,,Bosch,Critically endangered,,Yes,Yes,Naturally occurs in Queensland and overseas
13883,plants,land plants,Hymenophyllaceae,Hymenophyllum whitei,,Goy,Critically endangered,Extinct,Yes,Yes,Queensland endemic
40987,plants,land plants,Lamiaceae,Coleus acariformis,Mt Emu mint bush,(P.I.Forst.) P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
41025,plants,land plants,Lamiaceae,Coleus insularis,Millmerran mint bush,(P.I.Forst.) P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
41031,plants,land plants,Lamiaceae,Coleus minutus,Mt Mulligan mint bush,(P.I.Forst.) P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
9727,plants,land plants,Lamiaceae,Prostanthera albohirta,,C.T.White,Critically endangered,Critically endangered,Yes,No,Queensland endemic
35582,plants,land plants,Lamiaceae,Prostanthera athertoniana,,B.J.Conn & T.C.Wilson,Critically endangered,,Yes,No,Queensland endemic
35828,plants,land plants,Lamiaceae,Prostanthera eungella,,B.J.Conn & K.M.Proft,Critically endangered,,Yes,No,Queensland endemic
35580,plants,land plants,Lamiaceae,Prostanthera mulliganensis,Mount Mulligan prostanthera,B.J.Conn & T.C.Wilson,Critically endangered,,Yes,No,Queensland endemic
33258,plants,land plants,Lamiaceae,Prostanthera tozerana,Mount Tozer prostanthera,B.J.Conn & T.C.Wilson,Critically endangered,,Yes,No,Queensland endemic
41056,plants,land plants,Leguminosae,Acacia castorum,Peak Range wattle,Pedley,Critically endangered,,Yes,No,Queensland endemic
14906,plants,land plants,Leguminosae,Acacia deuteroneura,,Pedley,Critically endangered,Vulnerable,Yes,No,Queensland endemic
40993,plants,land plants,Leguminosae,Acacia forsteri,Forster's wattle,Pedley,Critically endangered,,Yes,No,Queensland endemic
36080,plants,land plants,Leguminosae,Cynometra roseiflora,,W.E.Cooper,Critically endangered,,Yes,No,Queensland endemic
36500,plants,land plants,Lycopodiaceae,Phlegmariurus creber,rat-tail tassel-fern,(Alderw.) A.R.Field & Bostock,Critically endangered,,Yes,Yes,Queensland endemic
34757,plants,land plants,Lycopodiaceae,Phlegmariurus dalhousieanus,blue tassel-fern,(Spring) A.R.Field & Bostock,Critically endangered,Endangered,Yes,Yes,Naturally occurs in Queensland and overseas
34780,plants,land plants,Lycopodiaceae,Phlegmariurus squarrosus,water tassel-fern,(G.Forst.) A.Love & D.Love,Critically endangered,Critically endangered,Yes,Yes,Naturally occurs in Australia and overseas
28807,plants,land plants,Myrtaceae,Backhousia oligantha,,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
34783,plants,land plants,Myrtaceae,Backhousia tetraptera,,Jackes,Critically endangered,,Yes,No,Queensland endemic
27465,plants,land plants,Myrtaceae,Decaspermum struckoilicum,Mount Morgan myrtle,N.Snow & Guymer,Critically endangered,Endangered,Yes,No,Queensland endemic
12508,plants,land plants,Myrtaceae,Eucalyptus argophloia,Queensland western white gum,Blakely,Critically endangered,Vulnerable,Yes,No,Queensland endemic
40899,plants,land plants,Myrtaceae,Eucalyptus dalveenica,,"T.L.Collins, R.L.Andrew & J.J.Bruhl",Critically endangered,,Yes,No,Queensland endemic
27386,plants,land plants,Myrtaceae,Gossia gonoclada,,(F.Muell. ex Benth.) N.Snow & Guymer,Critically endangered,Endangered,Yes,No,Queensland endemic
34763,plants,land plants,Myrtaceae,Homoranthus brevistylis,,L.M.Copel.,Critically endangered,,Yes,No,Queensland endemic
26372,plants,land plants,Myrtaceae,Homoranthus coracinus,,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
34765,plants,land plants,Myrtaceae,Homoranthus cummingii,,L.M.Copel.,Critically endangered,,Yes,No,Queensland endemic
34988,plants,land plants,Myrtaceae,Homoranthus inopinatus,,"L.M.Copel., J.Holmes & G.Holmes",Critically endangered,,Yes,No,Queensland endemic
8991,plants,land plants,Myrtaceae,Homoranthus montanus,,Craven & S.R.Jones,Critically endangered,Vulnerable,Yes,No,Queensland endemic
16918,plants,land plants,Myrtaceae,Homoranthus papillatus,mouse bush,Byrnes,Critically endangered,,Yes,No,Queensland endemic
33038,plants,land plants,Myrtaceae,Homoranthus tricolor,,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
31444,plants,land plants,Myrtaceae,Homoranthus vagans,,L.M.Copel.,Critically endangered,,Yes,No,Queensland endemic
8919,plants,land plants,Myrtaceae,Kunzea calida,Mount Stewart kunzea,F.Muell.,Critically endangered,,Yes,No,Queensland endemic
28334,plants,land plants,Myrtaceae,Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),Main Range lenwebbia,,Critically endangered,,Yes,No,Queensland endemic
35418,plants,land plants,Myrtaceae,Melaleuca lophocoracorum,,"A.J.Ford, Craven & Brophy",Critically endangered,,Yes,No,Queensland endemic
22496,plants,land plants,Myrtaceae,Rhodamnia angustifolia,narrow-leaved malletwood,N.Snow & Guymer,Critically endangered,,Yes,No,Queensland endemic
27480,plants,land plants,Myrtaceae,Rhodamnia longisepala,,N.Snow & A.J.Ford,Critically endangered,,Yes,No,Queensland endemic
13407,plants,land plants,Myrtaceae,Rhodamnia maideniana,smooth scrub turpentine,C.T.White,Critically endangered,,Yes,No,Australian endemic
14255,plants,land plants,Myrtaceae,Rhodamnia rubescens,scrub turpentine,(Benth.) Miq.,Critically endangered,Critically endangered,Yes,No,Australian endemic
16290,plants,land plants,Myrtaceae,Rhodomyrtus psidioides,native guava,(G.Don) Benth.,Critically endangered,Critically endangered,Yes,No,Australian endemic
28903,plants,land plants,Myrtaceae,Syzygium fratris,brotherly love lilly pilly,Craven,Critically endangered,,Yes,No,Queensland endemic
2180,plants,land plants,Oleaceae,Notelaea ipsviciensis,Cooneana olive,W.K.Harris,Critically endangered,Critically endangered,Yes,No,Queensland endemic
10517,plants,land plants,Orchidaceae,Oberonia attenuata,Mossman fairy orchid,Dockrill,Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
34709,plants,land plants,Poaceae,Calyptochloa gracillima subsp. ipsviciensis,,E.J.Thomps.,Critically endangered,,Yes,No,Queensland endemic
6389,plants,land plants,Proteaceae,Grevillea hodgei,Coochin Hills grevillea,Olde & Marriott,Critically endangered,Critically endangered,Yes,No,Queensland endemic
17042,plants,land plants,Proteaceae,Grevillea scortechinii subsp. scortechinii,black grevillea,F.Muell.,Critically endangered,Critically endangered,Yes,No,Queensland endemic
34711,plants,land plants,Proteaceae,Hollandaea porphyrocarpa,,A.J.Ford & P.H.Weston,Critically endangered,,Yes,No,Queensland endemic
8185,plants,land plants,Proteaceae,Macadamia jansenii,,C.L.Gross & P.H.Weston,Critically endangered,Endangered,Yes,Yes,Queensland endemic
2427,plants,land plants,Pteridaceae,Antrophyum austroqueenslandicum,,D.L.Jones,Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
34656,plants,land plants,Rhamnaceae,Emmenosperma pancherianum,,Baill.,Critically endangered,,Yes,No,Naturally occurs in Australia and overseas
35848,plants,land plants,Rhizophoraceae,Bruguiera x hainesii,Haines's orange mangrove,C.G.Rogers,Critically endangered,Critically endangered,Yes,No,Naturally occurs in Queensland and overseas
28273,plants,land plants,Rutaceae,Boronia grimshawii,Grimshaw's boronia,Duretto,Critically endangered,,Yes,No,Queensland endemic
28656,plants,land plants,Rutaceae,Zieria actites,Mt Larcom stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31689,plants,land plants,Rutaceae,Zieria alata,Mt Lewis stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31684,plants,land plants,Rutaceae,Zieria boolbunda,Boolbunda stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31683,plants,land plants,Rutaceae,Zieria cephalophila,Sydney Heads stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31682,plants,land plants,Rutaceae,Zieria eungellaensis,Eungella stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
28663,plants,land plants,Rutaceae,Zieria exsul,banished stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
41055,plants,land plants,Rutaceae,Zieria fordii,Ford's stink bush,Duretto,Critically endangered,,Yes,No,Queensland endemic
41601,plants,land plants,Rutaceae,Zieria gymnocarpa,,(J.A.Armstr.) P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31681,plants,land plants,Rutaceae,Zieria hydroscopica,Coominglah stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
31685,plants,land plants,Rutaceae,Zieria madida,Thornton Peak stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
2321,plants,land plants,Rutaceae,Zieria montana,Mt Barney stink bush,J.A.Armstr.,Critically endangered,,Yes,No,Queensland endemic
31680,plants,land plants,Rutaceae,Zieria scopulus,Flinders Peak stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
28217,plants,land plants,Rutaceae,Zieria vagans,Gurgeena stink bush,Duretto & P.I.Forst.,Critically endangered,,Yes,No,Queensland endemic
41054,plants,land plants,Rutaceae,Zieria wilhelminae,Mt Jukes stink bush,Duretto,Critically endangered,,Yes,No,Queensland endemic
35541,plants,land plants,Solanaceae,Solanum adoxum,,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
22296,plants,land plants,Solanaceae,Solanum angustum,,Domin,Critically endangered,,Yes,No,Queensland endemic
33795,plants,land plants,Solanaceae,Solanum orgadophilum,Capella potato bush,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
41063,plants,land plants,Sterculiaceae,Brachychiton guymeri,,"J.A.Bever., Fensham & P.I.Forst.",Critically endangered,,Yes,No,Queensland endemic
7389,plants,land plants,Sterculiaceae,Brachychiton sp. (Ormeau L.H.Bird AQ435851),Ormeau bottle tree,,Critically endangered,Critically endangered,Yes,No,Queensland endemic
41350,plants,land plants,Thelypteridaceae,Amblovenatum immersum,,(Blume) Parris,Critically endangered,,Yes,Yes,Naturally occurs in Queensland and overseas
41354,plants,land plants,Thelypteridaceae,Amblovenatum tildeniae,,(Holttum) T.E.Almeida & A.R.Field,Critically endangered,,Yes,Yes,Queensland endemic
36389,plants,land plants,Thymelaeaceae,Pimelea fugiens,,A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
36428,plants,land plants,Thymelaeaceae,Pimelea leptospermoides subsp. bowmanni,,(Benth.) A.R.Bean,Critically endangered,,Yes,No,Queensland endemic
687,animals,amphibians,Limnodynastidae,Philoria kundagungan,red-and-yellow mountainfrog,"(Ingram & Corben, 1975)",Endangered,Endangered,Yes,Yes,Australian endemic
675,animals,amphibians,Myobatrachidae,Mixophyes fleayi,Fleay's barred frog,"Corben & Ingram, 1987",Endangered,Endangered,Yes,Yes,Australian endemic
650,animals,amphibians,Myobatrachidae,Rheobatrachus vitellinus,northern gastric brooding frog,"Mahony, Tyler & Davies, 1984",Endangered,Extinct,Yes,No,Queensland endemic
653,animals,amphibians,Myobatrachidae,Taudactylus eungellensis,Eungella dayfrog,"Liem & Hosmer, 1973",Endangered,Endangered,Yes,Yes,Queensland endemic
603,animals,amphibians,Hylidae,Litoria nannotis,waterfall frog,"(Andersson, 1916)",Endangered,,Yes,No,Queensland endemic
598,animals,amphibians,Hylidae,Litoria rheocola,common mistfrog,"Liem, 1974",Endangered,,Yes,No,Queensland endemic
29400,animals,amphibians,Microhylidae,Cophixalus aenigma,tapping nurseryfrog,"Hoskin, 2004",Endangered,Endangered,Yes,No,Queensland endemic
1087,animals,birds,Casuariidae,Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),"Mueller, 1866",Endangered,Endangered,Yes,No,Queensland endemic
1251,animals,birds,Diomedeidae,Thalassarche cauta,shy albatross,"Gould, 1841",Endangered,Vulnerable,Yes,No,Naturally occurs in Australia and overseas
1253,animals,birds,Diomedeidae,Thalassarche chrysostoma,grey-headed albatross,"Forster, 1785",Endangered,Endangered,Yes,No,vagrant - origin not defined
1222,animals,birds,Procellariidae,Macronectes giganteus,southern giant-petrel,"(Gmelin, 1789)",Endangered,Endangered,Yes,No,Naturally occurs in Australia and overseas
1836,animals,birds,Ardeidae,Botaurus poiciloptilus,Australasian bittern,"(Wagler, 1827)",Endangered,Endangered,Yes,No,Naturally occurs in Australia and overseas
1728,animals,birds,Accipitridae,Erythrotriorchis radiatus,red goshawk,"(Latham, 1801)",Endangered,Vulnerable,Yes,No,Australian endemic
1936,animals,birds,Charadriidae,Charadrius mongolus,lesser sand plover,"Pallas, 1776",Endangered,Endangered,Yes,No,Naturally occurs in Australia and overseas
1883,animals,birds,Rostratulidae,Rostratula australis,Australian painted-snipe,"(Gould, 1838)",Endangered,Endangered,Yes,No,Australian endemic
1877,animals,birds,Scolopacidae,Calidris canutus,red knot,"(Linnaeus, 1758)",Endangered,Endangered,Yes,No,Naturally occurs in Australia and overseas
1843,animals,birds,Scolopacidae,Numenius madagascariensis,eastern curlew,"(Linnaeus, 1766)",Endangered,Critically endangered,Yes,No,Naturally occurs in Australia and overseas
1093,animals,birds,Turnicidae,Turnix olivii,buff-breasted button-quail,"Robinson, 1900",Endangered,Endangered,Yes,Yes,Queensland endemic
1900,animals,birds,Laridae,Sternula nereis exsul,New Caledonian fairy tern,"Mathews, 1912",Endangered,,Yes,No,International vagrant
1175,animals,birds,Cacatuidae,Probosciger aterrimus macgillivrayi,palm cockatoo,"(Mathews, 1912)",Endangered,Vulnerable,Yes,No,Naturally occurs in Queensland and overseas
1164,animals,birds,Psittacidae,Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,"Gould, 1867",Endangered,Endangered,Yes,No,Australian endemic
1149,animals,birds,Psittacidae,Lathamus discolor,swift parrot,"(Shaw, 1790)",Endangered,Critically endangered,Yes,No,Australian endemic
1133,animals,birds,Psittacidae,Pezoporus occidentalis,night parrot,"Gould, 1861",Endangered,Endangered,Yes,Yes,Australian endemic
1117,animals,birds,Psittacidae,Psephotus chrysopterygius,golden-shouldered parrot,"Gould, 1858",Endangered,Endangered,Yes,No,Queensland endemic
29885,animals,birds,Maluridae,Amytornis barbatus barbatus,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",Endangered,Endangered,Yes,Yes,Australian endemic
1564,animals,birds,Maluridae,Amytornis dorotheae,Carpentarian grasswren,"(Mathews, 1914)",Endangered,Endangered,Yes,Yes,Australian endemic
1405,animals,birds,Dasyornithidae,Dasyornis brachypterus,eastern bristlebird,"(Latham, 1801)",Endangered,Endangered,Yes,Yes,Australian endemic
22459,animals,birds,Meliphagidae,Epthianura crocea macgregori,yellow chat (Dawson),"Keast, 1958",Endangered,Critically endangered,Yes,Yes,Queensland endemic
1376,animals,birds,Estrildidae,Chloebia gouldiae,Gouldian finch,"(Gould, 1844)",Endangered,Endangered,Yes,Yes,Australian endemic
1370,animals,birds,Estrildidae,Neochmia phaeton evangelinae,crimson finch (white-bellied subspecies),"(Hombron & Jacquinot, 1841)",Endangered,Endangered,Yes,Yes,Naturally occurs in Queensland and overseas
18452,animals,birds,Estrildidae,Neochmia ruficauda ruficauda,star finch (eastern subspecies),"(Gould, 1837)",Endangered,Endangered,Yes,No,Australian endemic
1365,animals,birds,Estrildidae,Poephila cincta cincta,black-throated finch (white-rumped subspecies),"Gould, 1837",Endangered,Endangered,Yes,Yes,Australian endemic
22531,animals,cartilaginous fishes,Odontaspididae,Carcharias taurus,greynurse shark,"Rafinesque, 1810",Endangered,Critically endangered,Yes,No,Naturally occurs in Australia and overseas
32708,animals,insects,Oecophoridae,Trisyntopa scatophaga,antbed moth,"(White, 1922)",Endangered,Endangered,Yes,No,Queensland endemic
2008,animals,insects,Nymphalidae,Argynnis hyperbius inconstans,Australian fritillary,"Butler, 1873",Endangered,Critically endangered,Yes,Yes,Australian endemic
33591,animals,malacostracans,Parastacidae,Euastacus eungella,,"Morgan, 1988",Endangered,,Yes,No,Queensland endemic
33593,animals,malacostracans,Parastacidae,Euastacus hystricosus,,"Riek, 1951",Endangered,,Yes,No,Queensland endemic
33596,animals,malacostracans,Parastacidae,Euastacus monteithorum,,"Morgan, 1989",Endangered,,Yes,Yes,Queensland endemic
33597,animals,malacostracans,Parastacidae,Euastacus robertsi,,"Monroe, 1977",Endangered,,Yes,No,Queensland endemic
33603,animals,malacostracans,Parastacidae,Tenuibranchiurus glypticus,swamp crayfish,"Riek, 1951",Endangered,,Yes,No,Queensland endemic
35003,animals,mammals,Dasyuridae,Antechinus argentus,silver-headed antechinus,"Baker, Mutton & Hines 2013",Endangered,Endangered,Yes,No,Queensland endemic
823,animals,mammals,Dasyuridae,Antechinus arktos,black-tailed antechinus,"Baker, Mutton, Hines & Van Dyck (2014)",Endangered,Endangered,Yes,No,Australian endemic
802,animals,mammals,Dasyuridae,Dasyurus maculatus gracilis,spotted-tailed quoll (northern subspecies),"(Ramsay, 1888)",Endangered,Endangered,Yes,No,Queensland endemic
803,animals,mammals,Dasyuridae,Dasyurus maculatus maculatus,spotted-tailed quoll (southern subspecies),"(Kerr, 1792)",Endangered,Endangered,Yes,No,Australian endemic
789,animals,mammals,Dasyuridae,Sminthopsis douglasi,Julia Creek dunnart,"Archer, 1979",Endangered,Vulnerable,Yes,No,Queensland endemic
841,animals,mammals,Thylacomyidae,Macrotis lagotis,greater bilby,"(Reid, 1837)",Endangered,Vulnerable,Yes,No,Australian endemic
876,animals,mammals,Petauridae,Petaurus australis unnamed subsp.,yellow-bellied glider (northern subspecies),"Thomas, 1923",Endangered,Vulnerable,Yes,No,Queensland endemic
878,animals,mammals,Petauridae,Petaurus gracilis,mahogany glider,"(de Vis, 1883)",Endangered,Endangered,Yes,No,Queensland endemic
2455,animals,mammals,Pseudocheiridae,Petauroides armillatus,central greater glider,"Thomas, 1923",Endangered,Vulnerable,Yes,No,Australian endemic
866,animals,mammals,Potoroidae,Bettongia tropica,northern bettong,"Wakefield, 1967",Endangered,Endangered,Yes,No,Queensland endemic
907,animals,mammals,Macropodidae,Onychogalea frenata,bridled nailtail wallaby,"(Gould, 1840)",Endangered,Endangered,Yes,No,Queensland endemic
891,animals,mammals,Macropodidae,Petrogale persephone,Proserpine rock-wallaby,"Maynes, 1982",Endangered,Endangered,Yes,No,Queensland endemic
986,animals,mammals,Pteropodidae,Pteropus conspicillatus,spectacled flying-fox,"Gould, 1850",Endangered,Endangered,Yes,No,Naturally occurs in Australia and overseas
994,animals,mammals,Megadermatidae,Macroderma gigas,ghost bat,"(Dobson, 1880)",Endangered,Vulnerable,Yes,No,Australian endemic
969,animals,mammals,Rhinolophidae,Rhinolophus philippinensis,greater large-eared horseshoe bat,"Waterhouse, 1843",Endangered,Vulnerable,Yes,Yes,Naturally occurs in Queensland and overseas
1004,animals,mammals,Hipposideridae,Hipposideros semoni,Semon`s leaf-nosed bat,"Matschie, 1903",Endangered,Vulnerable,Yes,No,Naturally occurs in Australia and overseas
1008,animals,mammals,Emballonuridae,Saccolaimus saccolaimus nudicluniatus,bare-rumped sheathtail bat,"(De Vis, 1905)",Endangered,Vulnerable,Yes,No,Naturally occurs in Australia and overseas
754,animals,mammals,Muridae,Notomys fuscus,dusky hopping-mouse,"(Jones, 1925)",Endangered,Vulnerable,Yes,No,Australian endemic
