family,status,sourceStatus,vernacularName,scientificName,taxonRemarks
,Endangered,Endangered,Carpentarian grasswren,Amytornis dorotheae,Bird
,Endangered,Endangered,Carpentarian rock-rat,Zyzomys palatalis,Mammal
,Endangered,Endangered,Christmas Island frigatebird,Fregata andrewsi,Bird
,Endangered,Endangered,Common brushtail possum (central and south eastern),Trichosurus vulpecula vulpecula,Mammal
,Endangered,Endangered,Dodd’s azure,Ogyris iphis doddi,Invertebrate
,Endangered,Endangered,Dusky hopping-mouse,Notomys fuscus,Mammal
,Endangered,Endangered,Fawn Antechinus ,Antechinus bellus,Mammal
,Endangered,Endangered,Golden bandicoot ,Isoodon auratus,Mammal
,Endangered,Endangered,Lesser sand plover ,Charadrius mongolus,Bird
,Endangered,Endangered,Masked owl (Tiwi) ,Tyto novaehollandiae melvillensis,Bird
,Endangered,Endangered,Nabarlek (Top End) ,Petrogale concinna canescens,Mammal
,Endangered,Endangered,Night parrot ,Pezoporus occidentalis,Bird
,Endangered,Endangered,Northern brush-tailed phascogale ,Phascogale pirata,Mammal
,Endangered,Endangered,Northern river shark,Glyphis garricki,Fish  
,Endangered,Endangered,Plains mouse ,Pseudomys australis,Mammal
,Endangered,Endangered,Red knot ,Calidris canutus,Bird
,Endangered,Endangered,Rosewood keeled snail ,Ordtrachia septentrionalis,Invertebrate
,Endangered,Endangered,Sandhill dunnart ,Sminthopsis psammophila,Mammal
,Endangered,Endangered,Yellow chat (Alligator Rivers) ,Epthianura crocea tunneyi,Bird
,Critically Endangered,Critically Endangered (possibly extinct),Nabarlek (Victoria River district) ,Petrogale concinna concinna,Mammal
Fabaceae,Critically Endangered,Critically Endangered,,Acacia equisetifolia,
Sapindaceae,Critically Endangered,Critically Endangered,,Atalaya brevialata,
Rutaceae,Critically Endangered,Critically Endangered,,Clausena excavata,
Elaeocarpaceae,Critically Endangered,Critically Endangered,,Elaeocarpus miegei,
Fabaceae,Critically Endangered,Critically Endangered,,Intsia bijuga,
,Critically Endangered,Critically Endangered,Bar-tailed godwit (northern Siberian),Limosa lapponica menzbieri,Bird
,Critically Endangered,Critically Endangered,Central rock-rat,Zyzomys pedunculatus,Mammal
,Critically Endangered,Critically Endangered,Curlew sandpiper,Calidris ferruginea,Bird
,Critically Endangered,Critically Endangered,Far eastern curlew ,Numenius madagascariensis,Bird
,Critically Endangered,Critically Endangered,Fitzroy Station rocksnail ,Mesodontrachia fitzroyana,Invertebrate
,Critically Endangered,Critically Endangered,Golden-backed tree-rat ,Mesembriomys macrurus,Mammal
,Critically Endangered,Critically Endangered,Great knot ,Calidris tenuirostris,Bird
,Critically Endangered,Critically Endangered,Hooded robin (Tiwi) ,Melanodryas cucullata melvillensis,Bird
,Critically Endangered,Critically Endangered,Leatherback turtle ,Dermochelys coriacea,Reptile
,Critically Endangered,Critically Endangered,Malleefowl ,Leipoa ocellata,Bird
,Critically Endangered,Critically Endangered,Northern quoll ,Dasyurus hallucatus,Mammal
,Critically Endangered,Critically Endangered,Plains-wanderer ,Pedionomus torquatus,Bird
,Critically Endangered,Critically Endangered,Saddle Creek rocksnail ,Vincentrachia desmonda,Invertebrate
,Critically Endangered,Critically Endangered,Thick-billed grasswren (western) ,Amytornis modestus indulkanna,Bird
