taxonID,scientificName,vernacularName,status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,Bonn,Listed_Name_Bonn,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,kingdom,phylum,class,order,family,genus,taxonRemarks,ACT_NC_Act,ACT_NC_Act_Listed_Name,NSW_TSC_Act_and_FM_Act,NSW_TSC_Act_and_FM_Act_Listed_Name,NT_TPWC_Act,NT_TPWC_Act_Listed_Name,Qld_NC_Act,Qld_NC_Act_Listed_Name,SA_NPW_Act,SA_NPW_Act_Listed_Name,Tas_TSP_Act,Tas_TSP_Act_Listed_Name,Vic_FFG_Act_Advisory_Lists_,Vic_FFG_Act_Advisory_Lists_Listed_Name,WA_WC_Act,WA_WC_Act_Listed_Name,IUCN_Red_List,IUCN_Red_List_Listed_Names,Australian_Capital_Territory,New_South_Wales,Northern_Territory,Queensland,South_Australia,Tasmania,Victoria,Western_Australia,Ashmore_and_Cartier_Islands,Cocos_Keeling_Islands,Christmas_Island,Coral_Sea_Islands,Jervis_Bay_Territory,Norfolk_Island,Heard_and_McDonald_Islands,Australian_Antarctic_Territory,Commonwealth_Marine_Area
10927,Acacia crombiei,Pink Gidgee,Vulnerable,Acacia crombiei,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia crombiei,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
3908,Acacia curranii,Curly-bark Wattle,Vulnerable,Acacia curranii,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia curranii,,,Vulnerable,Acacia curranii,,,,,,,,,,,,Present,,Present,,,,,,,,,,,,,
55214,Acacia dangarensis, ,Critically Endangered,Acacia dangarensis,25-SEP-2020,,,,,,,,,,,,,Completed,Acacia dangarensis,25-Sep-20,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Critically Endangered,Acacia dangarensis,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
20600,Acacia denticulosa,Sandpaper Wattle,Vulnerable,Acacia denticulosa,16-JUL-2000,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia denticulosa,,,,,,,,,,Endemic,,,,,,,,,
5685,Acacia depressa,Echidna Wattle,Vulnerable,Acacia depressa,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia depressa,,,,,,,,,,Endemic,,,,,,,,,
12836,Acacia deuteroneura, ,Vulnerable,Acacia deuteroneura,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Critically Endangered,Acacia deuteroneura,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
17615,Acacia enterocarpa,Jumping-jack Wattle,Endangered,Acacia enterocarpa,16-JUL-2000,,,,,,,,,,,,,,,29-Sep-21,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Endangered,Acacia enterocarpa,,,Endangered,Acacia enterocarpa,,,,,,,,,Present,,Present,,,,,,,,,,
87480,Acacia equisetifolia,a shrub,Critically Endangered,Acacia equisetifolia,18-AUG-2006,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,Critically Endangered,Acacia sp. Graveside Gorge (V.J.Levitzke 806) NT Herbarium,,,,,,,,,,,,,,,"Endemic, Endemic, Endemic",,,,,,,,,,,,,,
9280,Acacia eremophiloides, ,Vulnerable,Acacia eremophiloides,16-JUL-2000,,,,,,,,,,,,,,,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia eremophiloides,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
3134,Acacia flocktoniae,Flockton Wattle,Vulnerable,Acacia flocktoniae,16-JUL-2000,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia flocktoniae,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
