scientificName,vernacularName,class,family,sourceStatus,status
Beddomeia waterhouseae ,Claytons Rivulet Freshwater Snail,Invertebrates,Mesogastropoda,e,Endangered
Castiarina insculpta,Miena Jewel Beetle,Invertebrates,Coleoptera,e,Endangered
Chrysolarentia decisaria ,Tunbridge Looper Moth,Invertebrates,Lepidoptera,e,Endangered
Engaeus granulatus ,Central North Burrowing Crayfish,Invertebrates,Decapoda,e,Endangered
Engaeus spinicaudatus ,Scottsdale Burrowing Crayfish,Invertebrates,Decapoda,e,Endangered
Haloniscus searlei ,Salt Lake Slater,Invertebrates,Isopoda,e,Endangered
Hoplogonus bornemisszai ,Bornemisszas Stag Beetle,Invertebrates,Coleoptera,e,Endangered
Leucopatus anophthalmus ,Blind Velvet Worm,Invertebrates,Onychophora,e,Endangered
Lissotes latidens ,Broad-toothed Stag Beetle,Invertebrates,Coleoptera,e,Endangered
Micropathus kiernani ,Southern Sandstone Cave Cricket,Invertebrates,Orthoptera,e,Endangered
Migas plomleyi ,Spider (Cataract Gorge),Invertebrates,Araneae,e,Endangered
Miselaoma weldii,Stanley Pinhead Snail,Invertebrates,Sigmurethra,e,Endangered
Onchotelson spatulatus ,Isopod (Great Lake),Invertebrates,Isopoda,e,Endangered
Oreisplanus munionga larana ,Marrawah Skipper,Invertebrates,Lepidoptera,e,Endangered
Patiriella littoralis,Derwent River Seastar,Invertebrates,Asterinidae,e,Endangered
Plesiothele fentoni ,Lake Fenton Trapdoor Spider,Invertebrates,Araneae,e,Endangered
Schayera baiulus,Schayer's Grasshopper,Invertebrates,Orthoptera,e,Endangered
Smilasterias tasmaniae ,Bruny Island Seastar,Invertebrates,Asterinidae,e,Endangered
Taskiria mccubbini ,Caddis Fly (Lake Pedder),Invertebrates,Trichoptera,e,Endangered
Taskiropsyche lacustris ,Caddis Fly (Lake Pedder),Invertebrates,Trichoptera,e,Endangered
Acanthiza pusilla archibaldi,King Island Brown Thornbill,Vertebrates,Birds,e,Endangered
Acanthornis magna greeniana,King Island Scrubtit,Vertebrates,Birds,e,Endangered
Accipiter novaehollandiae ,Grey Goshawk,Vertebrates,Birds,e,Endangered
Aquila audax fleayi ,Wedge-tailed Eagle,Vertebrates,Birds,e,Endangered
Arctocephalus tropicalis,Subantarctic Fur Seal,Vertebrates,Mammals,e,Endangered
Balaenoptera musculus,Blue Whale,Vertebrates,Mammals,e,Endangered
Brachionichthys hirsutus,Spotted Handfish,Vertebrates,Fish,e,Endangered
Brachiopsilus ziebelli,Ziebell's Handfish,Vertebrates,Fish,e,Endangered
Caretta caretta ,Loggerhead Turtle,Vertebrates,Reptiles,e,Endangered
Carinascincus palfreymani,Pedra Branca Skink,Vertebrates,Reptiles,e,Endangered
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Vertebrates,Birds,e,Endangered
Diomedea exulans,Wandering Albatross,Vertebrates,Birds,e,Endangered
Eubalaena australis,Southern Right Whale,Vertebrates,Mammals,e,Endangered
Galaxias fontanus ,Swan Galaxias,Vertebrates,Fish,e,Endangered
Galaxias johnstoni ,Clarence Galaxias,Vertebrates,Fish,e,Endangered
Galaxias pedderensis,Pedder Galaxias,Vertebrates,Fish,e,Endangered
Lathamus discolor,Swift Parrot,Vertebrates,Birds,e,Endangered
Limnodynastes peroni,Striped Marsh Frog,Vertebrates,Amphibians,e,Endangered
Megaptera novaeangliae,Humpback Whale,Vertebrates,Mammals,e,Endangered
Mirounga leonina,Southern Elephant Seal,Vertebrates,Mammals,e,Endangered
Neophema chrysogaster,Orange-bellied Parrot,Vertebrates,Birds,e,Endangered
Numenius madagascariensis,Eastern Curlew,Vertebrates,Birds,e,Endangered
Pachyptila turtur subantarctica ,Southern Fairy Prion,Vertebrates,Birds,e,Endangered
Paragalaxias mesotes ,Arthurs Paragalaxias,Vertebrates,Fish,e,Endangered
Pardalotus quadragintus ,Forty-spotted Pardalote,Vertebrates,Birds,e,Endangered
Procellaria cinerea,Grey Petrel,Vertebrates,Birds,e,Endangered
Pseudomys novaehollandiae,New Holland Mouse,Vertebrates,Mammals,e,Endangered
Pterodroma mollis ,Soft-plumaged Petrel,Vertebrates,Birds,e,Endangered
Sarcophilus harrisii,Tasmanian Devil,Vertebrates,Mammals,e,Endangered
Sterna vittata bethunei ,Antarctic Tern,Vertebrates,Birds,e,Endangered
Sternula albifrons sinensis ,Little Tern,Vertebrates,Birds,e,Endangered
Thalassarche chrysostoma,Grey-headed Albatross,Vertebrates,Birds,e,Endangered
Thalassarche melanophris,Black-browed Albatross,Vertebrates,Birds,e,Endangered
Thymichthys politus,Red Handfish,Vertebrates,Fish,e,Endangered
Tyto novaehollandiae castanops,Masked Owl,Vertebrates,Birds,e,Endangered
Zearaja maugeana,Maugean Skate,Vertebrates,Fish,e,Endangered
