scientificName,vernacularName,class,family,sourceStatus,status
Beddomeia lodderae ,Castra Rivulet Freshwater Snail,Invertebrates,Mesogastropoda,v,Vulnerable
Beddomeia phasianella ,Hydrobiid Snail (Keddies Creek),Invertebrates,Mesogastropoda,v,Vulnerable
Beddomeia wiseae ,Hydrobiid Snail (Blizzards Creek),Invertebrates,Mesogastropoda,v,Vulnerable
Catadromus lacordairei ,Green-lined Ground Beetle,Invertebrates,Coleoptera,v,Vulnerable
Chloritobadistes victoriae ,Southern Hairy Red Snail,Invertebrates,Eupulmonata,v,Vulnerable
Dasybela achroa ,Saltmarsh Looper Moth,Invertebrates,Lepidoptera,v,Vulnerable
Engaeus martigener,Furneaux Burrowing Crayfish,Invertebrates,Decapoda,v,Vulnerable
Engaeus orramakunna,Mt. Arthur Burrowing Crayfish,Invertebrates,Decapoda,v,Vulnerable
Engaeus yabbimunna ,Burrowing Crayfish (Burnie) ,Invertebrates,Decapoda,v,Vulnerable
Gazameda gunnii,Gunn's Screw Shell,Invertebrates,Mesogastropoda,v,Vulnerable
Goedetrechus mendumae ,Cave Beetle (Ida Bay),Invertebrates,Coleoptera,v,Vulnerable
Goedetrechus parallelus,Cave Beetle (Junee-Florentine),Invertebrates,Coleoptera,v,Vulnerable
Hoplogonus simsoni ,Simsons Stag Beetle,Invertebrates,Coleoptera,v,Vulnerable
Hoplogonus vanderschoori ,Vanderschoors Stag Beetle,Invertebrates,Coleoptera,v,Vulnerable
Oreixenica ptunarra ,Ptunarra Brown Butterfly,Invertebrates,Lepidoptera,v,Vulnerable
Parvulastra vivipara ,Live-bearing Seastar,Invertebrates,Asterinidae,v,Vulnerable
Pasmaditta jungermanniae ,Cataract Gorge Pinhead Snail,Invertebrates,Sigmurethra,v,Vulnerable
Antechinus vandycki,Tasman Peninsula Dusky Antechinus,Vertebrates,Mammals,v,Vulnerable
Balaenoptera physalus,Fin Whale,Vertebrates,Mammals,v,Vulnerable
Carcharodon carcharias,Great White Shark,Vertebrates,Fish,v,Vulnerable
Chelonia mydas ,Green Turtle,Vertebrates,Reptiles,v,Vulnerable
Dermochelys coriacea,Leathery Turtle,Vertebrates,Reptiles,v,Vulnerable
Eretmochelys imbricata ,Hawksbill Turtle,Vertebrates,Reptiles,v,Vulnerable
Galaxias parvus ,Swamp Galaxias,Vertebrates,Fish,v,Vulnerable
Galaxias tanycephalus ,Saddled Galaxias,Vertebrates,Fish,v,Vulnerable
Galaxiella pusilla ,Dwarf Galaxias,Vertebrates,Fish,v,Vulnerable
Haliaeetus leucogaster,White-bellied Sea-Eagle,Vertebrates,Birds,v,Vulnerable
Halobaena caerulea,Blue Petrel,Vertebrates,Birds,v,Vulnerable
Leucocarbo atriceps purpurascens,Macquarie Island Shag,Vertebrates,Birds,v,Vulnerable
Litoria raniformis ,Green and Gold Frog,Vertebrates,Amphibians,v,Vulnerable
Macronectes giganteus,Southern Giant Petrel,Vertebrates,Birds,v,Vulnerable
Paragalaxias dissimilis,Shannon Paragalaxias,Vertebrates,Fish,v,Vulnerable
Paragalaxias eleotroides ,Great Lake Paragalaxias,Vertebrates,Fish,v,Vulnerable
Phoebetria palpebrata ,Light-mantled Albatross,Vertebrates,Birds,v,Vulnerable
Platycercus caledonicus brownii,King Island Green Rosella,Vertebrates,Birds,v,Vulnerable
Podiceps cristatus,Great Crested Grebe,Vertebrates,Birds,v,Vulnerable
Prototroctes maraena,Australian Grayling,Vertebrates,Fish,v,Vulnerable
Pseudemoia pagenstecheri ,Tussock Skink,Vertebrates,Reptiles,v,Vulnerable
Pterodroma lessonii ,White-headed Petrel,Vertebrates,Birds,v,Vulnerable
Sterna striata ,White-fronted Tern,Vertebrates,Birds,v,Vulnerable
Sternula nereis nereis,Fairy Tern,Vertebrates,Birds,v,Vulnerable
Thalassarche cauta,Shy Albatross,Vertebrates,Birds,v,Vulnerable
Acacia pataczekii,wallys wattle,Dicotyledonae,Fabaceae,r,Rare
Acacia siculiformis,dagger wattle,Dicotyledonae,Fabaceae,r,Rare
Acacia ulicifolia,juniper wattle,Dicotyledonae,Fabaceae,r,Rare
Acacia uncifolia,coast wirilda,Dicotyledonae,Fabaceae,r,Rare
Agrostis australiensis,southern bent,Monocotyledonae,Poaceae,r,Rare
Agrostis diemenica,flatleaf southern bent,Monocotyledonae,Poaceae,r,Rare
Allocasuarina crassa,cape pillar sheoak,Dicotyledonae,Casuarinaceae,r,Rare
Allocasuarina duncanii,conical sheoak,Dicotyledonae,Casuarinaceae,r,Rare
Amphibromus neesii,southern swampgrass,Monocotyledonae,Poaceae,r,Rare
Aphelia gracilis,slender fanwort,Monocotyledonae,Centrolepidaceae,r,Rare
Aphelia pumilio,dwarf fanwort,Monocotyledonae,Centrolepidaceae,r,Rare
Argyrotegium fordianum,soft cottonleaf,Dicotyledonae,Asteraceae,r,Rare
Argyrotegium poliochlorum,greygreen cottonleaf,Dicotyledonae,Asteraceae,r,Rare
Asperula minima,mossy woodruff,Dicotyledonae,Rubiaceae,r,Rare
Asperula scoparia subsp. scoparia,prickly woodruff,Dicotyledonae,Rubiaceae,r,Rare
Asperula subsimplex,water woodruff,Dicotyledonae,Rubiaceae,r,Rare
Australina pusilla subsp. muelleri,shade nettle,Dicotyledonae,Urticaceae,r,Rare
Australopyrum velutinum,velvet wheatgrass,Monocotyledonae,Poaceae,r,Rare
Austrostipa bigeniculata,doublejointed speargrass,Monocotyledonae,Poaceae,r,Rare
Austrostipa blackii,crested speargrass,Monocotyledonae,Poaceae,r,Rare
Banksia serrata,saw banksia,Dicotyledonae,Proteaceae,r,Rare
Baumea articulata,jointed twigsedge,Monocotyledonae,Cyperaceae,r,Rare
Baumea gunnii,slender twigsedge,Monocotyledonae,Cyperaceae,r,Rare
Bolboschoenus caldwellii,sea clubsedge,Monocotyledonae,Cyperaceae,r,Rare
Bolboschoenus medianus,marsh clubsedge,Monocotyledonae,Cyperaceae,r,Rare
Bossiaea tasmanica,spiny bossia,Dicotyledonae,Fabaceae,r,Rare
Brachyloma depressum,spreading heath,Dicotyledonae,Ericaceae,r,Rare
Brachyscome perpusilla,tiny daisy,Dicotyledonae,Asteraceae,r,Rare
Brachyscome radicata,spreading daisy,Dicotyledonae,Asteraceae,r,Rare
Brunonia australis,blue pincushion,Dicotyledonae,Goodeniaceae,r,Rare
Caesia calliantha,blue grasslily,Monocotyledonae,Hemerocallidaceae,r,Rare
Caladenia filamentosa,daddy longlegs,Monocotyledonae,Orchidaceae,r,Rare
Caladenia pusilla,tiny fingers,Monocotyledonae,Orchidaceae,r,Rare
Calandrinia granulifera,pygmy purslane,Dicotyledonae,Portulacaceae,r,Rare
Callitriche sonderi,matted waterstarwort,Dicotyledonae,Plantaginaceae,r,Rare
Callitriche umbonata,winged waterstarwort,Dicotyledonae,Plantaginaceae,r,Rare
Calocephalus citreus,lemon beautyheads,Dicotyledonae,Asteraceae,r,Rare
Calocephalus lacteus,milky beautyheads,Dicotyledonae,Asteraceae,r,Rare
Calystegia sepium subsp. sepium,swamp bindweed,Dicotyledonae,Convolvulaceae,r,Rare
Calystegia soldanella,sea bindweed,Dicotyledonae,Convolvulaceae,r,Rare
Carex capillacea,yellowleaf sedge,Monocotyledonae,Cyperaceae,r,Rare
Carex cephalotes,snow sedge,Monocotyledonae,Cyperaceae,r,Rare
Carex gunniana,mountain sedge,Monocotyledonae,Cyperaceae,r,Rare
