scientificName,vernacularName,status,sourceStatus
Drummondita longifolia,,Vulnerable,VU
Drummondita miniata,,Priority 3: Poorly-known species,P3
Drummondita rubriviridis,,Priority 1: Poorly-known species,P1
Drummondita wilsonii,,Priority 1: Poorly-known species,P1
Duma horrida subsp. abdita,,Endangered,EN
Dysphania congestiflora,,Priority 3: Poorly-known species,P3
Echinochloa kimberleyensis,,Priority 1: Poorly-known species,P1
Einadia nutans subsp. nutans,,Priority 3: Poorly-known species,P3
Elachanthus pusillus,,Priority 2: Poorly-known species,P2
Elacholoma sp. Showy flowers (C.P. Campbell 1762),,Priority 1: Poorly-known species,P1
Elatine macrocalyx,,Priority 3: Poorly-known species,P3
Eleocharis acutangula subsp. acutangula,,Priority 1: Poorly-known species,P1
Eleocharis keigheryi,,Vulnerable,VU
Eleocharis ochrostachys,,Priority 3: Poorly-known species,P3
Eleocharis papillosa,,Priority 3: Poorly-known species,P3
Eleocharis philippinensis,,Priority 3: Poorly-known species,P3
Elionurus tylophorus,,Priority 2: Poorly-known species,P2
Empusa habenarina,,Priority 2: Poorly-known species,P2
Enekbatus bounites,,Priority 2: Poorly-known species,P2
Enekbatus cristatus,,Priority 2: Poorly-known species,P2
Enekbatus dualis,,Priority 1: Poorly-known species,P1
Enekbatus longistylus,,Priority 3: Poorly-known species,P3
Enekbatus planifolius,,Priority 1: Poorly-known species,P1
Enteropogon minutus,,Priority 1: Poorly-known species,P1
Epitriche demissus,,Priority 2: Poorly-known species,P2
Eragrostis confertiflora,,Priority 3: Poorly-known species,P3
Eragrostis crateriformis,,Priority 3: Poorly-known species,P3
Eragrostis filicaulis,,Priority 2: Poorly-known species,P2
Eragrostis lanicaulis,,Priority 3: Poorly-known species,P3
Eragrostis lasioclada,,Priority 1: Poorly-known species,P1
Eragrostis lilliputiana,,Priority 3: Poorly-known species,P3
Eragrostis petraea,,Priority 1: Poorly-known species,P1
Eragrostis rigidiuscula,,Priority 1: Poorly-known species,P1
Eragrostis schultzii,,Priority 3: Poorly-known species,P3
Eragrostis sp. Erect spikelets (P.K. Latz 2122),,Priority 3: Poorly-known species,P3
Eragrostis sp. Lake Carey (J. Paterson & J. Warden WB 40825) PN,,Priority 1: Poorly-known species,P1
Eragrostis sp. Limestone (P.K. Latz 5921),,Priority 3: Poorly-known species,P3
Eragrostis sp. Mt Robinson (S. van Leeuwen 4109),,Priority 2: Poorly-known species,P2
Eragrostis spartinoides,,Priority 3: Poorly-known species,P3
Eragrostis surreyana,,Priority 3: Poorly-known species,P3
Eremaea acutifolia,,Priority 3: Poorly-known species,P3
Eremaea blackwelliana,,"Priority 4: Rare, Near Threatened",P4
Eremaea sp. Cairn Hill (B. Morgan 532),,Priority 2: Poorly-known species,P2
Eremaea violacea subsp. Dobaderry Swamp (M.E. Trudgen 3909),,Priority 2: Poorly-known species,P2
Eremophila acutifolia,,Priority 3: Poorly-known species,P3
Eremophila adenotricha,,Priority 1: Poorly-known species,P1
Eremophila annosicaulis,,Priority 3: Poorly-known species,P3
Eremophila anomala,,Priority 1: Poorly-known species,P1
Eremophila appressa,,Priority 1: Poorly-known species,P1
Eremophila arachnoides subsp. arachnoides,,Priority 3: Poorly-known species,P3
Eremophila arachnoides subsp. tenera,,Priority 3: Poorly-known species,P3
Eremophila arguta,,Priority 1: Poorly-known species,P1
Eremophila attenuata,,Priority 1: Poorly-known species,P1
Eremophila aureivisca,,Priority 1: Poorly-known species,P1
Eremophila ballythunnensis,,Priority 1: Poorly-known species,P1
Eremophila biserrata,,"Priority 4: Rare, Near Threatened",P4
Eremophila brevifolia,,Priority 2: Poorly-known species,P2
Eremophila buirchellii,,Priority 2: Poorly-known species,P2
Eremophila caerulea subsp. merrallii,,"Priority 4: Rare, Near Threatened",P4
Eremophila calcicola,,Priority 2: Poorly-known species,P2
Eremophila campanulata,,Priority 3: Poorly-known species,P3
Eremophila capricornica,,Priority 1: Poorly-known species,P1
Eremophila chamaephila,,Priority 3: Poorly-known species,P3
Eremophila ciliata,,Endangered,EN
Eremophila coacta,,Priority 3: Poorly-known species,P3
Eremophila compacta subsp. Kennedy Range (B. Buirchell BB 107)	,,Priority 2: Poorly-known species,P2
Eremophila complanata,,Priority 2: Poorly-known species,P2
Eremophila compressa,,Priority 3: Poorly-known species,P3
Eremophila congesta,,Priority 1: Poorly-known species,P1
Eremophila cuneata,,Priority 1: Poorly-known species,P1
Eremophila daddii,,Priority 1: Poorly-known species,P1
Eremophila decussata,,Priority 1: Poorly-known species,P1
Eremophila demissa,,Priority 1: Poorly-known species,P1
Eremophila dendritica,,Priority 2: Poorly-known species,P2
Eremophila denticulata subsp. denticulata,,Vulnerable,VU
Eremophila denticulata subsp. trisulcata,,Endangered,EN
Eremophila eversa,,Priority 1: Poorly-known species,P1
Eremophila fasciata,,Priority 3: Poorly-known species,P3
Eremophila ferricola,,Priority 1: Poorly-known species,P1
Eremophila flaccida subsp. attenuata,,Priority 3: Poorly-known species,P3
Eremophila forrestii subsp. capensis,,Priority 3: Poorly-known species,P3
Eremophila forrestii subsp. viridis,,Priority 3: Poorly-known species,P3
Eremophila glabra subsp. Lake Austin (P.J. Curry & P. Hennig 367),,Priority 1: Poorly-known species,P1
Eremophila glabra subsp. Morawa (C.A. Gardner 7521),,Priority 1: Poorly-known species,P1
Eremophila glabra subsp. Rason Lake (R.D. Royce 5582),,Priority 1: Poorly-known species,P1
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),,Critically Endangered,CR
Eremophila glabra subsp. York (P.G. Wilson 12172 B),,Priority 1: Poorly-known species,P1
Eremophila glabra subsp. chlorella,,Endangered,EN
Eremophila graciliflora,,Priority 1: Poorly-known species,P1
Eremophila gracillima,,Priority 3: Poorly-known species,P3
Eremophila grandiflora,,Priority 1: Poorly-known species,P1
Eremophila hamulata,,Priority 1: Poorly-known species,P1
Eremophila hillii,,"Priority 4: Rare, Near Threatened",P4
Eremophila humilis,,Priority 1: Poorly-known species,P1
Eremophila inflata,,"Priority 4: Rare, Near Threatened",P4
Eremophila jamesiorum,,Priority 2: Poorly-known species,P2
Eremophila koobabbiensis,,Critically Endangered,CR
Eremophila laccata,,Priority 1: Poorly-known species,P1
Eremophila lactea,,Critically Endangered,CR
Eremophila lanata,,Priority 3: Poorly-known species,P3
Eremophila lucida,,Priority 1: Poorly-known species,P1
Eremophila maculata subsp. filifolia,,Priority 1: Poorly-known species,P1
Eremophila magnifica subsp. magnifica,,"Priority 4: Rare, Near Threatened",P4
Eremophila magnifica subsp. velutina,,Priority 3: Poorly-known species,P3
Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310),,Priority 1: Poorly-known species,P1
Eremophila microphylla,,Priority 3: Poorly-known species,P3
Eremophila microtheca,,"Priority 4: Rare, Near Threatened",P4
Eremophila mirabilis,,Priority 2: Poorly-known species,P2
Eremophila muelleriana,,Priority 3: Poorly-known species,P3
Eremophila naaykensii,,Priority 3: Poorly-known species,P3
Eremophila nivea,,Critically Endangered,CR
Eremophila obliquisepala,,Priority 3: Poorly-known species,P3
Eremophila occidens,,Priority 2: Poorly-known species,P2
Eremophila oldfieldii subsp. papula,,Priority 1: Poorly-known species,P1
Eremophila pallida,,Priority 2: Poorly-known species,P2
Eremophila parvifolia subsp. parvifolia,,"Priority 4: Rare, Near Threatened",P4
Eremophila perglandulosa,,Priority 1: Poorly-known species,P1
Eremophila petrophila subsp. densa,,Priority 3: Poorly-known species,P3
Eremophila physocalyx,,Priority 3: Poorly-known species,P3
Eremophila pilosa,,Priority 1: Poorly-known species,P1
Eremophila pinnatifida,,Critically Endangered,CR
Eremophila platycalyx subsp. Wongawol (N.H. Speck 1291),,Priority 1: Poorly-known species,P1
Eremophila praecox,,Priority 2: Poorly-known species,P2
Eremophila prolata,,Priority 1: Poorly-known species,P1
Eremophila pungens,,"Priority 4: Rare, Near Threatened",P4
Eremophila purpurascens,,Priority 3: Poorly-known species,P3
Eremophila pusilliflora,,Priority 2: Poorly-known species,P2
Eremophila racemosa,,"Priority 4: Rare, Near Threatened",P4
Eremophila rarissima,,Priority 1: Poorly-known species,P1
Eremophila regia,,Priority 1: Poorly-known species,P1
Eremophila resiliens,,Priority 1: Poorly-known species,P1
Eremophila resinosa,,Endangered,EN
Eremophila retropila,,Priority 1: Poorly-known species,P1
Eremophila rhegos,,Priority 1: Poorly-known species,P1
Eremophila rigens,,Priority 3: Poorly-known species,P3
Eremophila rigida,,Priority 3: Poorly-known species,P3
Eremophila rostrata subsp. rostrata,,Critically Endangered,CR
Eremophila rostrata subsp. trifida,,Critically Endangered,CR
Eremophila sargentii,,Priority 2: Poorly-known species,P2
Eremophila scaberula,,Critically Endangered,CR
Eremophila scrobiculata,,Priority 1: Poorly-known species,P1
Eremophila sericea,,Priority 1: Poorly-known species,P1
Eremophila serpens,,"Priority 4: Rare, Near Threatened",P4
Eremophila shonae subsp. diffusa,,Priority 3: Poorly-known species,P3
Eremophila simulans subsp. megacalyx,,Priority 3: Poorly-known species,P3
Eremophila sp. Beverley (K. Kershaw KK 2438),,Priority 1: Poorly-known species,P1
Eremophila sp. Byro (R. Wait 6128/97),,Priority 3: Poorly-known species,P3
Eremophila sp. Coodardo Gap (B. Buirchell BB 330),,Priority 1: Poorly-known species,P1
Eremophila sp. Great Victoria Desert (R. Davis 10621),,Priority 2: Poorly-known species,P2
Eremophila sp. Ironstone (G. Cockerton & B. McLean LCH 31311),,Priority 1: Poorly-known species,P1
Eremophila sp. Katjarra South (N. Gibson et al. NG 7149),,Priority 1: Poorly-known species,P1
Eremophila sp. Lake Carey (E. Mattiske LM 197) PN,,Priority 1: Poorly-known species,P1
Eremophila sp. Landor (J. Start D7 33) PN,,Priority 1: Poorly-known species,P1
Eremophila sp. Meekatharra (D.J. Edinger 4430),,Priority 1: Poorly-known species,P1
Eremophila sp. Mt Channar Range (C. Keating & M.E. Trudgen CK 408),,Priority 1: Poorly-known species,P1
Eremophila sp. Murgoo (S.J.J. Davies s.n. 15/8/1960),,Priority 3: Poorly-known species,P3
Eremophila sp. Ostrina (M. Officer 164),,Priority 1: Poorly-known species,P1
Eremophila sp. Pingandy dentate (B. Buirchell BB 331),,Priority 1: Poorly-known species,P1
Eremophila sp. Snowy Mountain (S. van Leeuwen 3737),,Priority 1: Poorly-known species,P1
Eremophila sp. Thundelarra (B. Buirchell BB 324),,Priority 1: Poorly-known species,P1
Eremophila sp. Tropicana (B. Buirchell BB 323),,Priority 1: Poorly-known species,P1
Eremophila sp. West Angelas (S. van Leeuwen 4068),,Priority 2: Poorly-known species,P2
Eremophila sp. Wubin North (R. Wait 8305),,Priority 1: Poorly-known species,P1
Eremophila sp. long pedicels (G. Cockerton 1975),,Priority 2: Poorly-known species,P2
Eremophila splendens,,Priority 1: Poorly-known species,P1
Eremophila spongiocarpa,,Priority 3: Poorly-known species,P3
Eremophila subangustifolia,,Critically Endangered,CR
Eremophila subteretifolia,,Critically Endangered,CR
Eremophila succinea,,Priority 3: Poorly-known species,P3
Eremophila tenella,,Priority 1: Poorly-known species,P1
Eremophila ternifolia,,Vulnerable,VU
Eremophila undulata,,Priority 2: Poorly-known species,P2
Eremophila veneta,,"Priority 4: Rare, Near Threatened",P4
Eremophila vernicosa,,Vulnerable,VU
Eremophila veronica,,Priority 3: Poorly-known species,P3
Eremophila verticillata,,Critically Endangered,CR
Eremophila victoriae,,Priority 1: Poorly-known species,P1
Eremophila virens,,Endangered,EN
Eremophila viscida,,Endangered,EN
Eremophila viscimarginata,,Priority 1: Poorly-known species,P1
Eremophila waitii,,Priority 1: Poorly-known species,P1
Eremophila warnesii,,Priority 1: Poorly-known species,P1
Eremophila xantholaemus,,Priority 1: Poorly-known species,P1
Eremophila yinnetharrensis,,Priority 1: Poorly-known species,P1
Eremophila youngii subsp. lepidota,,"Priority 4: Rare, Near Threatened",P4
Eriachne armitii,,Priority 1: Poorly-known species,P1
Eriachne burkittii,,Priority 1: Poorly-known species,P1
Eriachne filiformis,,Priority 3: Poorly-known species,P3
Eriachne imbricata,,Priority 2: Poorly-known species,P2
Eriachne minuta,,Priority 3: Poorly-known species,P3
Eriachne sp. Carson Escarpment (R.L. Barrett & M.D. Barrett RLB 4884),,Priority 3: Poorly-known species,P3
Eriachne sp. Mitchell Plateau (M.D. Barrett & R.L. Barrett MDB 1517),,Priority 1: Poorly-known species,P1
Eriachne sp. Morgan River (R.L. Barrett & M.D. Barrett RLB 3282),,Priority 1: Poorly-known species,P1
Eriachne sp. North Kimberley (M.D. Barrett & R.L. Barrett MDB 1779),,Priority 1: Poorly-known species,P1
Eriachne sp. Theda (R.L. Barrett & M.D. Barrett RLB 3275),,Priority 1: Poorly-known species,P1
Eriocaulon inapertum,,Priority 1: Poorly-known species,P1
Eriocaulon patericola,,Priority 1: Poorly-known species,P1
Eriocaulon rivicola,,Priority 2: Poorly-known species,P2
Eriocaulon sp. Morgan River (A.T. Cross ATC 62),,Priority 1: Poorly-known species,P1
Eriochilus glareosus,,Priority 1: Poorly-known species,P1
Eriochilus scaber subsp. orbifolius,,Priority 2: Poorly-known species,P2
Eriochloa fatmensis,,Priority 3: Poorly-known species,P3
Erpodium coronatum var. australiense,,Priority 2: Poorly-known species,P2
Erymophyllum hemisphaericum,,Priority 1: Poorly-known species,P1
Eryngium pinnatifidum subsp. Palustre (G.J. Keighery 13459),,Priority 3: Poorly-known species,P3
Eryngium pinnatifidum subsp. Umbraphilum (G.J. Keighery 13967),,Priority 2: Poorly-known species,P2
Eryngium sp. Ferox (G.J. Keighery 16034),,Priority 3: Poorly-known species,P3
Eryngium sp. Lake Muir (E. Wittwer 2293),,Priority 2: Poorly-known species,P2
Eryngium sp. Subdecumbens (G.J. Keighery 5390),,Priority 3: Poorly-known species,P3
Eucalyptus abdita,,Priority 2: Poorly-known species,P2
Eucalyptus absita,,Critically Endangered,CR
Eucalyptus absita x loxophleba,,Priority 1: Poorly-known species,P1
Eucalyptus angularis,,Priority 2: Poorly-known species,P2
Eucalyptus annettae,,Priority 2: Poorly-known species,P2
Eucalyptus annuliformis,,Priority 1: Poorly-known species,P1
Eucalyptus aquilina,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus arachnaea subsp. arrecta,,Priority 3: Poorly-known species,P3
Eucalyptus arborella,,Priority 3: Poorly-known species,P3
Eucalyptus argutifolia,,Vulnerable,VU
Eucalyptus articulata,,Endangered,EN
Eucalyptus beardiana,,Endangered,EN
Eucalyptus blaxellii,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus brandiana,,Priority 2: Poorly-known species,P2
Eucalyptus brevipes,,Endangered,EN
Eucalyptus brevistylis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus brockwayi,,Priority 3: Poorly-known species,P3
Eucalyptus buprestium x erectifolia,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus buprestium x ligulata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus buprestium x marginata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus buprestium x staeri,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus burdettiana,,Vulnerable,VU
Eucalyptus caesia subsp. caesia,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus caesia subsp. magna,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus calcicola subsp. calcicola,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus calcicola subsp. unita,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus calycogona subsp. miraculum,,Priority 1: Poorly-known species,P1
Eucalyptus calyerup,,Priority 1: Poorly-known species,P1
Eucalyptus canescens subsp. beadellii,,Priority 3: Poorly-known species,P3
Eucalyptus canescens subsp. canescens,,Priority 3: Poorly-known species,P3
Eucalyptus ceracea,,Vulnerable,VU
Eucalyptus cerasiformis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus coronata,,Endangered,EN
Eucalyptus costuligera,,Priority 1: Poorly-known species,P1
Eucalyptus creta,,Priority 3: Poorly-known species,P3
Eucalyptus crispata,,Endangered,EN
Eucalyptus crucis subsp. crucis,,Endangered,EN
Eucalyptus crucis subsp. praecipua,,Endangered,EN
Eucalyptus cuprea,,Endangered,EN
Eucalyptus deflexa,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus desmondensis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus dielsii x platypus,,Priority 1: Poorly-known species,P1
Eucalyptus dissimulata subsp. dissimulata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus dissimulata subsp. plauta,,Priority 1: Poorly-known species,P1
Eucalyptus distans,,Priority 1: Poorly-known species,P1
Eucalyptus distuberosa subsp. aerata,,Priority 1: Poorly-known species,P1
Eucalyptus dolichorhyncha,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus dolorosa,,Critically Endangered,CR
Eucalyptus ebbanoensis subsp. photina,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus educta,,Priority 2: Poorly-known species,P2
Eucalyptus efflorescens,,Priority 1: Poorly-known species,P1
Eucalyptus eremophila subsp. pterocarpa,,Priority 1: Poorly-known species,P1
Eucalyptus erythronema subsp. inornata,,Priority 3: Poorly-known species,P3
Eucalyptus exigua,,Priority 3: Poorly-known species,P3
Eucalyptus exilis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus fitzgeraldii,,Priority 2: Poorly-known species,P2
Eucalyptus foecunda subsp. aeolica,,Priority 2: Poorly-known species,P2
Eucalyptus foecunda subsp. foecunda,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus foliosa,,Priority 3: Poorly-known species,P3
Eucalyptus formanii subsp. circulata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus formanii subsp. formanii,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus fraseri subsp. melanobasis,,Priority 2: Poorly-known species,P2
Eucalyptus frenchiana,,Priority 3: Poorly-known species,P3
Eucalyptus georgei subsp. fulgida,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus georgei subsp. georgei,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus goniantha subsp. kynouron,,Priority 2: Poorly-known species,P2
Eucalyptus histophylla,,Priority 3: Poorly-known species,P3
Eucalyptus impensa,,Critically Endangered,CR
Eucalyptus insularis subsp. continentalis,,Endangered,EN
Eucalyptus insularis subsp. insularis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus jimberlanica,,Priority 1: Poorly-known species,P1
Eucalyptus johnsoniana,,Vulnerable,VU
Eucalyptus jutsonii subsp. jutsonii,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus jutsonii subsp. kobela,,Priority 1: Poorly-known species,P1
Eucalyptus kenneallyi,,Priority 1: Poorly-known species,P1
Eucalyptus kruseana,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus lateritica,,Endangered,EN
Eucalyptus leprophloia,,Endangered,EN
Eucalyptus ligulata subsp. ligulata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus ligulata subsp. stirlingica,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus loxophleba x wandoo,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus lucens,,Priority 1: Poorly-known species,P1
Eucalyptus luculenta,,Priority 2: Poorly-known species,P2
Eucalyptus macrocarpa subsp. elachantha,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus macrocarpa x pyriformis,,Priority 3: Poorly-known species,P3
Eucalyptus marginata x megacarpa,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus marginata x pachyloma,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus mcquoidii,,Priority 2: Poorly-known species,P2
Eucalyptus melanophitra,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus merleae,,Priority 2: Poorly-known species,P2
Eucalyptus merrickiae,,Vulnerable,VU
Eucalyptus mimica subsp. continens,,Priority 1: Poorly-known species,P1
Eucalyptus mimica subsp. mimica,,Priority 3: Poorly-known species,P3
Eucalyptus misella,,Priority 1: Poorly-known species,P1
Eucalyptus mooreana,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus newbeyi,,Priority 3: Poorly-known species,P3
Eucalyptus nutans,,Vulnerable,VU
Eucalyptus ordiana,,Priority 2: Poorly-known species,P2
Eucalyptus ornata,,Priority 3: Poorly-known species,P3
Eucalyptus pendens,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus pimpiniana,,Priority 3: Poorly-known species,P3
Eucalyptus platydisca,,Vulnerable,VU
Eucalyptus polita,,Priority 3: Poorly-known species,P3
Eucalyptus praetermissa,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus preissiana subsp. lobata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus preissiana x staeri,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus pruiniramis,,Endangered,EN
Eucalyptus pterocarpa,,Priority 3: Poorly-known species,P3
Eucalyptus purpurata,,Vulnerable,VU
Eucalyptus quaerenda,,Priority 3: Poorly-known species,P3
Eucalyptus ravensthorpensis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus recta,,Vulnerable,VU
Eucalyptus relicta,,Priority 2: Poorly-known species,P2
Eucalyptus retusa,,Priority 1: Poorly-known species,P1
Eucalyptus revelata,,Priority 2: Poorly-known species,P2
Eucalyptus rhodantha var. rhodantha,,Vulnerable,VU
Eucalyptus rhodantha var. x petiolaris,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus rhomboidea,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus rowleyi,,Priority 3: Poorly-known species,P3
Eucalyptus rudis subsp. cratyantha,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus rugulata,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus sargentii subsp. onesis,,Priority 3: Poorly-known species,P3
Eucalyptus semiglobosa,,Priority 3: Poorly-known species,P3
Eucalyptus semota,,Priority 1: Poorly-known species,P1
Eucalyptus sinuosa,,Priority 2: Poorly-known species,P2
Eucalyptus sp. Dunbar Road (D. Nicolle & M. French DN 5466) PN,,Priority 1: Poorly-known species,P1
Eucalyptus sp. Esperance (M.E. French 1579),,Priority 1: Poorly-known species,P1
Eucalyptus sp. Pitta Creek (R.L. Barrett & M.D. Barrett RLB 1677),,Priority 1: Poorly-known species,P1
Eucalyptus sparsa,,Priority 3: Poorly-known species,P3
Eucalyptus spathulata subsp. salina,,Priority 3: Poorly-known species,P3
Eucalyptus steedmanii,,Vulnerable,VU
Eucalyptus stoatei,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus subangusta subsp. virescens,,Priority 3: Poorly-known species,P3
Eucalyptus suberea,,Vulnerable,VU
Eucalyptus sweedmaniana,,Priority 2: Poorly-known species,P2
Eucalyptus synandra,,Vulnerable,VU
Eucalyptus uncinata subsp. crassifolia,,Priority 2: Poorly-known species,P2
Eucalyptus vesiculosa,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus virginea,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus websteriana subsp. norsemanica,,Priority 1: Poorly-known species,P1
Eucalyptus x balanites,,Critically Endangered,CR
Eucalyptus x bennettiae,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x brachyphylla,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x carnabyi,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x chrysantha,,Priority 2: Poorly-known species,P2
Eucalyptus x erectifolia,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x graniticola,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x kalganensis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x missilis,,"Priority 4: Rare, Near Threatened",P4
Eucalyptus x mundijongensis,,Priority 1: Poorly-known species,P1
Eucalyptus x phylacis,,Critically Endangered,CR
Eucalyptus zopherophloia,,"Priority 4: Rare, Near Threatened",P4
Eugenia reinwardtiana,,Priority 1: Poorly-known species,P1
Eulophia bicallosa,,Priority 3: Poorly-known species,P3
Euphorbia australis var. glabra,,Priority 3: Poorly-known species,P3
Euphorbia clementii,,Priority 3: Poorly-known species,P3
Euphorbia inappendiculata var. inappendiculata,,Priority 2: Poorly-known species,P2
Euphorbia inappendiculata var. queenslandica,,Priority 2: Poorly-known species,P2
Euphorbia parvicaruncula,,Priority 1: Poorly-known species,P1
Euphorbia sarcostemmoides,,Priority 1: Poorly-known species,P1
Euphorbia stevenii,,Priority 3: Poorly-known species,P3
Euphrasia scabra,,Priority 2: Poorly-known species,P2
Euploca aenigmata,,Priority 1: Poorly-known species,P1
Euploca alcyonium,,Priority 1: Poorly-known species,P1
Euploca apertum,,Priority 1: Poorly-known species,P1
Euploca argyrea,,Priority 1: Poorly-known species,P1
Euploca calvariavis,,Priority 1: Poorly-known species,P1
Euploca cupressina,,Priority 1: Poorly-known species,P1
Euploca discordis,,Priority 1: Poorly-known species,P1
Euploca foveolata,,Priority 1: Poorly-known species,P1
Euploca galioides,,Priority 1: Poorly-known species,P1
Euploca geocharis,,Priority 1: Poorly-known species,P1
Euploca mitchellii,,Priority 1: Poorly-known species,P1
Euploca mutica,,Priority 3: Poorly-known species,P3
Euploca nesopelyda,,Priority 1: Poorly-known species,P1
Euploca parviantrum,,Priority 1: Poorly-known species,P1
Euploca synaimon,,Priority 1: Poorly-known species,P1
Euploca tachyglossoides,,Priority 1: Poorly-known species,P1
Euploca uniflora,,Priority 1: Poorly-known species,P1
Euryomyrtus inflata,,Priority 3: Poorly-known species,P3
Euryomyrtus recurva,,Priority 3: Poorly-known species,P3
Eutaxia acanthoclada,,Priority 3: Poorly-known species,P3
Eutaxia actinophylla,,Priority 3: Poorly-known species,P3
Eutaxia andocada,,Priority 1: Poorly-known species,P1
Eutaxia hirsuta,,Priority 2: Poorly-known species,P2
Eutaxia lasiocalyx,,Priority 2: Poorly-known species,P2
Eutaxia nanophylla,,Priority 3: Poorly-known species,P3
Eutaxia rubricarina,,Priority 3: Poorly-known species,P3
Eutaxia sp. Jasper Hill (R.J. Cranfield 8607),,Priority 1: Poorly-known species,P1
Eutaxia sp. North Ironcap (P. Armstrong PA 06/898),,Priority 1: Poorly-known species,P1
Evolvulus alsinoides var. alsinoides,,Priority 3: Poorly-known species,P3
Fabronia hampeana,,Priority 2: Poorly-known species,P2
Ficus lilliputiana forma lilliputiana,,"Priority 4: Rare, Near Threatened",P4
Ficus lilliputiana forma pilosa,,"Priority 4: Rare, Near Threatened",P4
Fimbristylis dictyocolea,,Priority 1: Poorly-known species,P1
Fimbristylis helicophylla,,Priority 2: Poorly-known species,P2
Fimbristylis laxiglumis,,Priority 2: Poorly-known species,P2
Fimbristylis pilifera,,Priority 1: Poorly-known species,P1
Fimbristylis rupestris,,Priority 3: Poorly-known species,P3
Fimbristylis sieberiana,,Priority 3: Poorly-known species,P3
Fimbristylis sp. Bachsten Creek (M.D. Barrett MDB 695),,Priority 2: Poorly-known species,P2
Fimbristylis sp. D Kimberley Flora (A.C. Beauglehole 52448),,Priority 1: Poorly-known species,P1
Fimbristylis sp. E Kimberley Flora (C.R. Dunlop 5403),,Priority 1: Poorly-known species,P1
Fimbristylis sp. H Kimberley Flora (Carr 3944 & Beauglehole 47722),,Priority 1: Poorly-known species,P1
Fimbristylis sp. I Kimberley Flora (R.J. Hnatiuk 112),,Priority 1: Poorly-known species,P1
Fimbristylis sp. King Edward Falls (M.D. Barrett MDB 2205),,Priority 1: Poorly-known species,P1
Fimbristylis sp. L Kimberley Flora (K.F. Kenneally 11167),,Priority 2: Poorly-known species,P2
Fimbristylis sp. Shay Gap (K.R. Newbey 10293),,Priority 1: Poorly-known species,P1
Fimbristylis subaristata,,Priority 1: Poorly-known species,P1
Fitzwillia axilliflora,,Priority 2: Poorly-known species,P2
Fitzwillia sp. Newdegate (A. Coates 8766) PN,,Priority 1: Poorly-known species,P1
Frankenia brachyphylla,,Priority 2: Poorly-known species,P2
