scientificName,vernacularName,status,sourceStatus
Anilios sp. 'Cape Range',Cape Range blind snake,Priority 1: Poorly-known species,P1
Anilios splendidus,splendid blind snake (North West Cape),Priority 2: Poorly-known species,P2
Anilios troglodytes,Sandamara blind snake (Napier Range),Priority 1: Poorly-known species,P1
Anilios yampiensis,Yampi blind snake (Yampi Sound),Priority 2: Poorly-known species,P2
Anous stolidus,common noddy,Migratory,MI
Anous tenuirostris melanops,Australian lesser noddy,Endangered,EN
Anoxypristis cuspidata,narrow sawfish,Migratory,MI
Antichiropus sp. 'DIP004',Roy Hill Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP005',Abydos Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP006',Area C Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP007',Bond's Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP008',Flinders Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP013',Cloudbreak Antichiropus millipede,Priority 1: Poorly-known species,P1
Antichiropus sp. 'DIP029',Mt Bruce Antichiropus millipede,Priority 1: Poorly-known species,P1
Antipodogomphus hodgkini,Pilbara dragonfly,Priority 3: Poorly-known species,P3
Aprasia haroldi,Shark Bay worm-lizard,Priority 1: Poorly-known species,P1
Aprasia rostrata,Ningaloo worm lizard,Priority 3: Poorly-known species,P3
Apus pacificus,fork-tailed swift,Migratory,MI
Arctocephalus forsteri,"New Zealand fur seal, long-nosed fur seal",Other Specially Protected,OS
Arctocephalus tropicalis,Subantarctic fur seal,Vulnerable,VU
Ardenna carneipes,flesh-footed shearwater,Vulnerable,VU
Ardenna grisea,sooty shearwater,Migratory,MI
Ardenna pacifica,wedge-tailed shearwater,Migratory,MI
Ardenna tenuirostris,short-tailed shearwater,Migratory,MI
Arenaria interpres,ruddy turnstone,Migratory,MI
Aspidites ramsayi (southwest subpopulation),woma (southwest subpopulation),Priority 1: Poorly-known species,P1
Atelomastix anancita,Cape Arid atelomastix millipede,Vulnerable,VU
Atelomastix brennani,Brennan’s atelomastix millipede,Vulnerable,VU
Atelomastix culleni,Cullen’s atelomastix millipede,Vulnerable,VU
Atelomastix danksi,Toolbrunup atelomastix millipede,Vulnerable,VU
Atelomastix dendritica,Recherche atelomastix millipede,Vulnerable,VU
Atelomastix flavognatha,yellow jawed atelomastix millipede,Vulnerable,VU
Atelomastix grandis,Le Grand atelomastix millipede,Vulnerable,VU
Atelomastix julianneae,Waldock’s atelomastix millipede,Vulnerable,VU
Atelomastix lengae,Leng’s atelomastix millipede,Vulnerable,VU
Atelomastix longbottomi,Longbottom’s atelomastix millipede,Vulnerable,VU
Atelomastix melindae,Moir’s atelomastix millipede,Vulnerable,VU
Atelomastix poustiei,Wedge Hill atelomastix millipede,Vulnerable,VU
Atelomastix priona,saw atelomastix millipede,Vulnerable,VU
Atelomastix sarahae,Comer’s atelomastix millipede,Vulnerable,VU
Atelomastix tigrina,striped atelomastix millipede,Vulnerable,VU
Atelomastix tumula,Bluff Knoll atelomastix millipede,Vulnerable,VU
Atrichornis clamosus,"noisy scrub-bird, tjimiluk",Endangered,EN
Australotomurus morbidus,"cemetery springtail, Guildford springtail",Priority 3: Poorly-known species,P3
Austroassiminea letha,Cape Leeuwin freshwater snail,Vulnerable,VU
Austroconops mcmillani,McMillan's biting midge (Swan Coastal Plain),Priority 2: Poorly-known species,P2
Austrosaga spinifer,spiny katydid (Swan Coastal Plain),Priority 2: Poorly-known species,P2
Balaenoptera bonaerensis,Antarctic minke whale,Migratory,MI
Balaenoptera borealis,sei whale,Endangered,EN
Balaenoptera edeni,Bryde's whale,Migratory,MI
Balaenoptera musculus,blue whale,Endangered,EN
Balaenoptera physalus,fin whale,Endangered,EN
Bamazomus subsolanus,eastern Cape Range bamazomus,Endangered,EN
Bamazomus vespertinus,western Cape Range bamazomus,Endangered,EN
Baudinella baudinensis,Baudin Island camaenid land snail,Priority 3: Poorly-known species,P3
Bertmainius colonus,Eastern Stirling Range pygmy trapdoor spider,Vulnerable,VU
Bertmainius monachus,Talyuberlup pygmy trapdoor spider,Endangered,EN
Bertmainius mysticus,mystical pygmy trapdoor spider,Priority 2: Poorly-known species,P2
Bertmainius opimus,western pygmy trapdoor spider,Priority 3: Poorly-known species,P3
Bertmainius pandus,Toolbrunup pygmy trapdoor spider,Critically Endangered,CR
Bertmainius tingle,Tingle pygmy trapdoor spider,Endangered,EN
Bertmainius tumidus,thick-legged pygmy trapdoor spider,Endangered,EN
Bettongia anhydra,desert bettong,Extinct,EX
Bettongia lesueur graii,"burrowing bettong (inland), boodie (inland)",Extinct,EX
Bettongia lesueur lesueur,"Shark Bay burrowing bettong, boodie (Shark Bay)",Conservation Dependent,CD
Bettongia lesueur subsp. (Barrow and Boodie Islands),"Barrow Island burrowing bettong, boodie (Barrow and Boodie Islands)",Conservation Dependent,CD
Bettongia penicillata ogilbyi,"woylie, brush-tailed bettong",Critically Endangered,CR
Bettongia pusilla,Nullarbor dwarf bettong,Extinct,EX
Bogidomma australis,Barrow Island bogidomma amphipod,Vulnerable,VU
Botaurus poiciloptilus,Australasian bittern,Endangered,EN
Bothriembryon bradshawi,Bradshaw's bothriembryontid land snail (Tambellup),Priority 3: Poorly-known species,P3
Bothriembryon brazieri,Brazier's bothriembryontid land snail (Sitrling Ranges and Porongorups),Priority 2: Poorly-known species,P2
Bothriembryon glauerti,a bothriembryontid land snail (Stirling Ranges),Priority 2: Poorly-known species,P2
Bothriembryon irvineanus,Irvine's bothriembryontid land snail (Cape Naturaliste),Priority 2: Poorly-known species,P2
Bothriembryon perobesus,a bothriembryontid land snail (Moore River),Priority 1: Poorly-known species,P1
Bothriembryon praecelsus,a bothriembryontid land snail (Kellerberrin),Extinct,EX
Bothriembryon whitleyi,Whitley's bothriembryontid land snail (Geraldton),Extinct,EX
Branchinella apophysata,a fairy shrimp (Laverton),Priority 1: Poorly-known species,P1
Branchinella basispina,a fairy shrimp (Balladonia-Norseman),Priority 3: Poorly-known species,P3
Branchinella denticulata,a fairy shrimp (Carnavon to Kalgoorlie),Priority 3: Poorly-known species,P3
Branchinella simplex,a fairy shrimp (inland WA),Priority 1: Poorly-known species,P1
Branchinella wellardi,a fairy shrimp (Carnarvon and Murchison),Priority 3: Poorly-known species,P3
Budginmaya eulae,Eula's planthopper,Priority 1: Poorly-known species,P1
Bulweria bulwerii,Bulwer's petrel,Migratory,MI
Bunderia misophaga,a copepod (Bundera Sinkhole),Critically Endangered,CR
Cacatua pastinator pastinator,Muir's corella,Conservation Dependent,CD
Calamanthus campestris dorrie,Dorre Island rufous fieldwren,Vulnerable,VU
Calamanthus campestris hartogi,Dirk Hartog Island rufous fieldwren,Vulnerable,VU
Calamoecia elongata,a copepod (Northcliffe),Priority 3: Poorly-known species,P3
Calidris acuminata,sharp-tailed sandpiper,Migratory,MI
Calidris alba,sanderling,Migratory,MI
Calidris canutus,red knot,Endangered,EN
Calidris ferruginea,curlew sandpiper,Critically Endangered,CR
Calidris melanotos,pectoral sandpiper,Migratory,MI
Calidris ruficollis,red-necked stint,Migratory,MI
Calidris subminuta,long-toed stint,Migratory,MI
Calidris tenuirostris,great knot,Critically Endangered,CR
Calonectris leucomelas,streaked shearwater,Migratory,MI
Calyptorhynchus banksii naso,forest red-tailed black cockatoo,Vulnerable,VU
Calyptorhynchus baudinii,Baudin's cockatoo,Endangered,EN
Calyptorhynchus latirostris,Carnaby's cockatoo,Endangered,EN
Caperea marginata,pygmy right whale,Migratory,MI
Carcharhinus falciformis,silky shark,Migratory,MI
Carcharias taurus,grey nurse shark,Vulnerable,VU
Carcharodon carcharias,great white shark,Vulnerable,VU
Caretta caretta,loggerhead turtle,Endangered,EN
Carinotrachia carsoniana,Carson River camaenid land snail,Vulnerable,VU
Cecropis daurica,red-rumped swallow,Migratory,MI
Cereopsis novaehollandiae grisea,Recherche Cape Barren goose,Vulnerable,VU
Cetorhinus maximus,basking shark,Migratory,MI
Chaeropus ecaudatus,"pig-footed bandicoot, kantjilpa",Extinct,EX
Chaeropus yirratji ,"northern pig-footed bandicoot, yirratji",Extinct,EX
Charadrius bicinctus,double-banded plover,Migratory,MI
Charadrius dubius,little ringed plover,Migratory,MI
Charadrius leschenaultii,"greater sand plover, large sand plover",Vulnerable,VU
Charadrius mongolus,lesser sand plover,Endangered,EN
Charadrius veredus,oriental plover,Migratory,MI
Chelonia mydas,green turtle,Vulnerable,VU
Cherax tenuimanus,Margaret River hairy marron,Critically Endangered,CR
Chlidonias leucopterus,white-winged black tern,Migratory,MI
Christinus sp. 'Cape Le Grand',Cape Le Grand gecko,Priority 2: Poorly-known species,P2
Conilurus penicillatus penicillatus,"brush-tailed rabbit-rat, pakooma",Vulnerable,VU
Craterocephalus helenae,Drysdale hardyhead,Priority 2: Poorly-known species,P2
Craterocephalus lentiginosus,Prince Regent hardyhead,Priority 2: Poorly-known species,P2
Crenadactylus sp. 'Cape Range',Cape Range Crenadactylus,Priority 2: Poorly-known species,P2
Crinia fimbriata,Kimberley froglet,Priority 3: Poorly-known species,P3
Cristilabrum bubulum,a camaenid land snail (Ningbing Ranges),Endangered,EN
Cristilabrum buryillum,Buryill Point camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum grossum,a camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum isolatum,a camaenid land snail (Sandy Creek),Endangered,EN
Cristilabrum monodon,a camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum primum,a camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum rectum,a camaenid land snail (central Ningbing Ranges),Critically Endangered,CR
Cristilabrum simplex,a camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum solitudum,a camaenid land snail (Ningbing Ranges),Critically Endangered,CR
Cristilabrum spectaculum,a camaenid land snail (Jeremiah Hills),Endangered,EN
Crocodylus johnstoni,Australian freshwater crocodile,Other Specially Protected,OS
Crocodylus porosus,saltwater crocodile,Migratory,MI
Cryptagama aurita,gravel dragon,Priority 1: Poorly-known species,P1
Ctenophorus nguyarna,Lake Disappointment dragon,Priority 1: Poorly-known species,P1
Ctenophorus yinnietharra,Yinnietharra rock dragon,Vulnerable,VU
Ctenotus angusticeps,"Airlie Island Ctenotus, Northwestern coastal Ctenotus",Priority 3: Poorly-known species,P3
Ctenotus decaneurus yampiensis,Yampi Ctenotus,Priority 2: Poorly-known species,P2
Ctenotus delli,"Dell's skink, Darling Range southwest Ctenotus","Priority 4: Rare, Near Threatened",P4
Ctenotus gemmula (Swan Coastal Plain subpopulation),jewelled southwest Ctenotus (Swan Coastal Plain subpopulation),Priority 3: Poorly-known species,P3
Ctenotus lancelini,Lancelin Island skink,Vulnerable,VU
Ctenotus nigrilineatus,pin-striped finesnout Ctenotus,Priority 1: Poorly-known species,P1
Ctenotus ora,Coastal Plains skink,Priority 3: Poorly-known species,P3
Ctenotus uber johnstonei,spotted Ctenotus (northeast),Priority 2: Poorly-known species,P2
Ctenotus zastictus,Hamelin ctenotus,Vulnerable,VU
Cuculus optatus,oriental cuckoo,Migratory,MI
Cyclodomorphus branchialis,gilled slender blue-tongue,Vulnerable,VU
Cyliosoma sarahae,Sarah's pill millipede,Vulnerable,VU
Cynotelopus notabilis,Western Australian pill millipede,Endangered,EN
Damochlora millepunctata,a camaenid land snail (Admiralty Gulf),Priority 1: Poorly-known species,P1
Damochlora spina,a camaenid land snail (Kalumburu),Priority 3: Poorly-known species,P3
Daphnia jollyi,a water flea (inland south west),Priority 1: Poorly-known species,P1
Daphnia occidentalis,a water flea (Karri forests),Priority 3: Poorly-known species,P3
Dasycercus blythi,brush-tailed mulgara,"Priority 4: Rare, Near Threatened",P4
Dasycercus cristicauda,"crest-tailed mulgara, Minyiminyi","Priority 4: Rare, Near Threatened",P4
Dasyornis broadbenti litoralis,rufous bristlebird,Extinct,EX
Dasyornis longirostris,western bristlebird,Endangered,EN
Dasyurus geoffroii,"chuditch, western quoll",Vulnerable,VU
Dasyurus hallucatus,northern quoll,Endangered,EN
Delma concinna major,javelin legless lizard (Shark Bay),Priority 1: Poorly-known species,P1
Dermochelys coriacea,leatherback turtle,Vulnerable,VU
Diomedea amsterdamensis ,Amsterdam albatross,Critically Endangered,CR
Diomedea antipodensis,Antipodean albatross,Migratory,MI
Diomedea antipodensis gibsoni,Gibson's albatross,Endangered,EN
Diomedea dabbenena,Tristan albatross,Critically Endangered,CR
Diomedea epomophora,southern royal albatross,Vulnerable,VU
Diomedea exulans,wandering albatross,Vulnerable,VU
Diomedea sanfordi,northern royal albatross,Endangered,EN
Diplodactylus capensis,Cape Range stone gecko,Priority 2: Poorly-known species,P2
Diplodactylus fulleri,Lake Disappointment ground gecko,Priority 1: Poorly-known species,P1
Diplodactylus kenneallyi,Kenneally's gecko (Lake Buchanan),Priority 2: Poorly-known species,P2
Diporiphora convergens,Crystal Creek two-lined dragon,Priority 2: Poorly-known species,P2
Draculoides bramstokeri,Barrow Island draculoides,Vulnerable,VU
Draculoides brooksi,northern Cape Range draculoides,Endangered,EN
Draculoides julianneae,western Cape Range draculoides,Endangered,EN
Draculoides mesozeirus,Middle Robe draculoides,Vulnerable,VU
