scientificName,Common Name,sourceStatus,status
Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant (E.A. Griffin 2039),,P2,Priority 2: Poorly-known species
Acacia lateriticola var. Glabrous variant (B.R.Maslin 6765),,P3,Priority 3: Poorly-known species
Acacia latipes subsp. licina,,P3,Priority 3: Poorly-known species
Acacia leeuweniana,,P1,Priority 1: Poorly-known species
Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),,P2,Priority 2: Poorly-known species
Acacia lentiginea,,P2,Priority 2: Poorly-known species
Acacia leptalea,Chinocup Wattle,VU,Vulnerable
Acacia leptocarpa,Mangarr Mangal,P1,Priority 1: Poorly-known species
Acacia leptoneura,,CR,Critically Endangered
Acacia leptospermoides subsp. obovata,,P2,Priority 2: Poorly-known species
Acacia leptospermoides subsp. psammophila,,P3,Priority 3: Poorly-known species
Acacia levata,,P3,Priority 3: Poorly-known species
Acacia lineolata subsp. multilineata,,P1,Priority 1: Poorly-known species
Acacia lirellata subsp. compressa,,P2,Priority 2: Poorly-known species
Acacia lirellata subsp. lirellata,,P3,Priority 3: Poorly-known species
Acacia lobulata,Chiddarcooping Wattle,EN,Endangered
Acacia mackenziei,Norm's Whorled Wattle,P1,Priority 1: Poorly-known species
Acacia manipularis,,P1,Priority 1: Poorly-known species
Acacia megacephala,,P3,Priority 3: Poorly-known species
Acacia merrickiae,,P4,"Priority 4: Rare, Near Threatened"
Acacia microneura,,P1,Priority 1: Poorly-known species
Acacia mitodes,,P2,Priority 2: Poorly-known species
Acacia monticola x tumida var. kulparn,,P3,Priority 3: Poorly-known species
Acacia muriculata,,P1,Priority 1: Poorly-known species
Acacia mutabilis subsp. incurva,,P2,Priority 2: Poorly-known species
Acacia mutabilis subsp. rhynchophylla,,P3,Priority 3: Poorly-known species
Acacia mutabilis subsp. stipulifera,,P3,Priority 3: Poorly-known species
Acacia newbeyi,,P3,Priority 3: Poorly-known species
Acacia nigripilosa subsp. latifolia,,P1,Priority 1: Poorly-known species
Acacia nitidula,,P3,Priority 3: Poorly-known species
Acacia nodiflora,,P3,Priority 3: Poorly-known species
Acacia obesa,,P3,Priority 3: Poorly-known species
Acacia obtriangularis,,P1,Priority 1: Poorly-known species
Acacia oncinophylla subsp. oncinophylla,,P3,Priority 3: Poorly-known species
Acacia oncinophylla subsp. patulifolia,,P4,"Priority 4: Rare, Near Threatened"
Acacia orthotropica,,P2,Priority 2: Poorly-known species
Acacia papulosa,,P2,Priority 2: Poorly-known species
Acacia parkerae,Parker's Wattle,P3,Priority 3: Poorly-known species
Acacia paula,,P1,Priority 1: Poorly-known species
Acacia pelophila,,P1,Priority 1: Poorly-known species
Acacia perpusilla,,P1,Priority 1: Poorly-known species
Acacia petricola,Mount Augustus Rock Wattle,P2,Priority 2: Poorly-known species
Acacia phacelia,,P3,Priority 3: Poorly-known species
Acacia phaeocalyx,,P3,Priority 3: Poorly-known species
Acacia pharangites,Wongan Gully Wattle,CR,Critically Endangered
Acacia phlebopetala var. pubescens,,P2,Priority 2: Poorly-known species
Acacia plautella,,P3,Priority 3: Poorly-known species
Acacia plicata,,P3,Priority 3: Poorly-known species
Acacia prismifolia,Diels' Wattle,CR,Critically Endangered
Acacia pterocaulon,,P1,Priority 1: Poorly-known species
Acacia pulchella var. reflexa acuminate bracteole variant (R.J. Cumming 882),,P3,Priority 3: Poorly-known species
Acacia pygmaea,Dwarf Rock Wattle,EN,Endangered
Acacia recurvata,Recurved Wattle,VU,Vulnerable
Acacia repanda,,P3,Priority 3: Poorly-known species
Acacia repens,,P1,Priority 1: Poorly-known species
Acacia retrorsa,,P2,Priority 2: Poorly-known species
Acacia rhamphophylla,Kundip Wattle,CR,Critically Endangered
Acacia richardsii,,P3,Priority 3: Poorly-known species
Acacia ridleyana,,P3,Priority 3: Poorly-known species
