scientificName,vernacularName,effectiveDate,status,sourceStatus
Galium antarcticum,Subantarctic Bedstraw,2013-02-26,Critically Endangered,Critically Endangered
Gastrolobium argyrotrichum,Metricup Pea,2018-05-11,Critically Endangered,Critically Endangered
Gastrolobium diabolophyllum,Bodallin Poison,2009-06-11,Critically Endangered,Critically Endangered
Gastrolobium luteifolium,Yellow-leafed Gastrolobium,2009-12-01,Critically Endangered,Critically Endangered
Gastrolobium vestitum,,2018-05-11,Critically Endangered,Critically Endangered
Gentiana bredboensis,Bredbo Gentian,2019-07-04,Critically Endangered,Critically Endangered
Grevillea brachystylis�subsp.�grandis,Large-flowered Short-styled Grevillea,2009-01-08,Critically Endangered,Critically Endangered
Grevillea bracteosa�subsp.�howatharra,,2017-08-15,Critically Endangered,Critically Endangered
Grevillea caleyi,Caley's Grevillea,2018-05-11,Critically Endangered,Critically Endangered
Grevillea hodgei,Coochin Hills Grevillea,2021-12-08,Critically Endangered,Critically Endangered
Grevillea rivularis,Carrington Falls Grevillea,2021-11-13,Critically Endangered,Critically Endangered
Grevillea scortechinii�subsp.�scortechinii,Black Grevillea,2021-12-07,Critically Endangered,Critically Endangered
Grevillea�sp. Gillingarra (R.J.Cranfield 4087),,2018-05-11,Critically Endangered,Critically Endangered
Grevillea thelemanniana,Spider Net Grevillea,2018-02-15,Critically Endangered,Critically Endangered
Grevillea wilkinsonii,Tumut Grevillea,2021-11-13,Critically Endangered,Critically Endangered
Guichenotia seorsiflora,,2009-12-01,Critically Endangered,Critically Endangered
Gyrostemon reticulatus,Net-veined Gyrostemon,2006-08-18,Critically Endangered,Critically Endangered
Haloragis platycarpa,Broad-fruited Haloragis,2006-08-18,Critically Endangered,Critically Endangered
Hemigenia ramosissima,Branched Hemigenia,2009-06-11,Critically Endangered,Critically Endangered
Hibbertia abyssus,Bandalup Buttercup,2016-12-07,Critically Endangered,Critically Endangered
Hibbertia circinata,,2021-11-13,Critically Endangered,Critically Endangered
Hibbertia priceana,,2009-06-11,Critically Endangered,Critically Endangered
Hibbertia puberula�subsp.�glabrescens,,2009-01-16,Critically Endangered,Critically Endangered
Hibbertia�sp. Toolbrunup (J.R.Wheeler 2504)�=�Hibbertia barrettiae,,2019-07-04,Critically Endangered,Critically Endangered
Hibbertia spanantha,Julian's Hibbertia,2016-12-07,Critically Endangered,Critically Endangered
Hibbertia tenuis,,2010-08-19,Critically Endangered,Critically Endangered
Hibiscus insularis,Phillip Island Hibiscus,2003-11-25,Critically Endangered,Critically Endangered
Homoranthus bebo,,2019-07-04,Critically Endangered,Critically Endangered
Homoranthus bruhlii,,2021-11-13,Critically Endangered,Critically Endangered
Homoranthus elusus,,2021-11-13,Critically Endangered,Critically Endangered
Hybanthus cymulosus,Ninghan Violet,2009-12-01,Critically Endangered,Critically Endangered
Isopogon robustus,Robust Coneflower,2009-06-11,Critically Endangered,Critically Endangered
