class,order,family,vernacularName,taxonID,genus,species,scientificName,sourceStatus,npwActStatusComments,epbcStatus,epbcActStatusComments,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,subspeciesAuthor,status,majorGroup,subSpecies,NPW ACT STATUS,NPW ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Corben's Long-eared Bat,Q04388,Nyctophilus,corbeni,Nyctophilus corbeni,V,,VU,,,2007-09-17 00:00:00,2012-03-26 00:00:00,"Parnaby, 2009",,Vulnerable,,,,,,,,
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Gould's Long-eared Bat,M01334,Nyctophilus,gouldi,Nyctophilus gouldi,E,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Tomes, 1858",,Endangered,,,,,,,,
MAMMALIA,CHIROPTERA,MINIOPTERIDAE,Large Bent-winged Bat,K01341,Miniopterus,orianae bassanii,Miniopterus orianae bassanii,E,,CR,listed 31/10/2015,The subspecies M. o. bassanii Southern Bent-winged Bat is the only taxon found in SA and is nationally listed as CE and in SA as E. See Introduction for an explanation of the taxonomic decision to change from M. schreibersii.,1990-03-01 00:00:00,2012-11-27 00:00:00,"(Kuhl, 1819)",,Endangered,,,,,,,,
MAMMALIA,CARNIVORA,OTARIIDAE,Australian Fur Seal (Brown Fur Seal),E01542,Arctocephalus,pusillus,Arctocephalus pusillus,R,,,,"Only one subspecies, A. p. doriferus Wood Jones, 1925 found in Australian waters.",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Schreber, 1775)",,Rare,,,,,,,,
MAMMALIA,CARNIVORA,OTARIIDAE,Subantarctic Fur Seal,U04258,Arctocephalus,tropicalis,Arctocephalus tropicalis,E,,EN,transferred from VU to EN effective 7 Dec 2016,,2000-05-23 00:00:00,2002-11-01 00:00:00,"(Gray, 1872)",,Endangered,,,,,,,,
MAMMALIA,CARNIVORA,OTARIIDAE,Australian Sea Lion,Z01539,Neophoca,cinerea,Neophoca cinerea,V,,EN,status changed from VU to EN 23/12/2020,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Peron, 1816)",,Vulnerable,,,,,,,,
MAMMALIA,CARNIVORA,PHOCIDAE,Leopard Seal,S01549,Hydrurga,leptonyx,Hydrurga leptonyx,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(de Blainville, 1820)",,Rare,,,,,,,,
MAMMALIA,CARNIVORA,PHOCIDAE,Southern Elephant Seal,M01546,Mirounga,leonina,Mirounga leonina,R,,VU,retained in vulnerable 7 Dec 2016,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Linnaeus, 1758)",,Rare,,,,,,,,
MAMMALIA,CETACEA,BALAENIDAE,Southern Right Whale,K01561,Eubalaena,australis,Eubalaena australis,V,,EN,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Desmoulins, 1822)",,Vulnerable,,,,,,,,
MAMMALIA,CETACEA,BALAENOPTERIDAE,Dwarf Minke Whale,M01570,Balaenoptera,acutorostrata,Balaenoptera acutorostrata,R,,,,The Dwarf Minke Whale is an un-named subspecies of the Common Minke Whale.,1990-03-01 00:00:00,2002-11-01 00:00:00,"Lacepede, 1804",,Rare,,,,,,,,
