scientificName,vernacularName,family,status,sourceStatus
Cophixalus peninsularis,Cape York nurseryfrog,Microhylidae,Vulnerable,V
Cophixalus saxatilis,Black Mountain boulderfrog,Microhylidae,Vulnerable,V
Cophixalus zweifeli,Cape Melville boulderfrog,Microhylidae,Vulnerable,V
Casuarius casuarius johnsonii (northern population),southern cassowary (northern population),Casuariidae,Vulnerable,V
Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),Casuariidae,Endangered,E
Phaethon rubricauda,red-tailed tropicbird,Phaethontidae,Vulnerable,V
Geophaps scripta scripta,squatter pigeon (southern subspecies),Columbidae,Vulnerable,V
Podargus ocellatus plumiferus,plumed frogmouth,Podargidae,Vulnerable,V
Hirundapus caudacutus,white-throated needletail,Apodidae,Vulnerable,V
Diomedea antipodensis antipodensis,Antipodean albatross,Diomedeidae,Vulnerable,V
Diomedea antipodensis gibsoni,Gibson's albatross,Diomedeidae,Vulnerable,V
Diomedea exulans,wandering albatross,Diomedeidae,Vulnerable,V
Phoebetria fusca,sooty albatross,Diomedeidae,Vulnerable,V
Thalassarche bulleri,Buller's albatross,Diomedeidae,Vulnerable,V
Thalassarche carteri,Indian yellow-nosed albatross,Diomedeidae,Vulnerable,V
Thalassarche cauta,shy albatross,Diomedeidae,Endangered,E
Thalassarche chrysostoma,grey-headed albatross,Diomedeidae,Endangered,E
Thalassarche steadi,white-capped albatross,Diomedeidae,Vulnerable,V
Ardenna grisea,sooty shearwater,Procellariidae,Vulnerable,V
Ardenna pacifica,wedge-tailed shearwater,Procellariidae,Vulnerable,V
Halobaena caerulea,blue petrel,Procellariidae,Vulnerable,V
Macronectes giganteus,southern giant-petrel,Procellariidae,Endangered,E
Macronectes halli,northern giant-petrel,Procellariidae,Vulnerable,V
Pterodroma heraldica,Herald petrel,Procellariidae,Critically Endangered,CR
Botaurus poiciloptilus,Australasian bittern,Ardeidae,Endangered,E
Erythrotriorchis radiatus,red goshawk,Accipitridae,Endangered,E
Falco hypoleucos,grey falcon,Falconidae,Vulnerable,V
Esacus magnirostris,beach stone-curlew,Burhinidae,Vulnerable,V
Charadrius leschenaultii,greater sand plover,Charadriidae,Vulnerable,V
Charadrius mongolus,lesser sand plover,Charadriidae,Endangered,E
Pedionomus torquatus,plains-wanderer,Pedionomidae,Critically Endangered,CR
Rostratula australis,Australian painted-snipe,Rostratulidae,Endangered,E
Calidris canutus,red knot,Scolopacidae,Endangered,E
Calidris ferruginea,curlew sandpiper,Scolopacidae,Critically Endangered,CR
Calidris tenuirostris,great knot,Scolopacidae,Critically Endangered,CR
Limosa lapponica baueri,Western Alaskan bar-tailed godwit,Scolopacidae,Vulnerable,V
Numenius madagascariensis,eastern curlew,Scolopacidae,Endangered,E
Turnix melanogaster,black-breasted button-quail,Turnicidae,Vulnerable,V
Turnix olivii,buff-breasted button-quail,Turnicidae,Critically Endangered,CR
Sternula nereis exsul,New Caledonian fairy tern,Laridae,Endangered,E
Calyptorhynchus lathami,glossy black-cockatoo,Cacatuidae,Vulnerable,V
Calyptorhynchus lathami erebus,glossy black-cockatoo (northern),Cacatuidae,Vulnerable,V
Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern),Cacatuidae,Vulnerable,V
Lophochroa leadbeateri leadbeateri,Major Mitchell's cockatoo,Cacatuidae,Endangered,E
Probosciger aterrimus macgillivrayi,palm cockatoo,Cacatuidae,Endangered,E
Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,Psittaculidae,Critically Endangered,CR
Cyclopsitta diophthalma macleayana,Macleay's fig-parrot,Psittaculidae,Vulnerable,V
Eclectus roratus macgillivrayi,eclectus parrot (Cape York Peninsula),Psittaculidae,Vulnerable,V
Lathamus discolor,swift parrot,Psittaculidae,Endangered,E
Neophema chrysostoma,blue-winged parrot,Psittaculidae,Vulnerable,V
Pezoporus occidentalis,night parrot,Psittaculidae,Endangered,E
Pezoporus wallicus wallicus,ground parrot,Psittaculidae,Vulnerable,V
Psephotus chrysopterygius,golden-shouldered parrot,Psittaculidae,Endangered,E
Psephotus pulcherrimus,paradise parrot,Psittaculidae,Extinct in the wild,PE
Ninox rufa meesi,rufous owl (Cape York subspecies),Strigidae,Near threatened,NT
Ninox strenua,powerful owl,Strigidae,Vulnerable,V
Tyto novaehollandiae kimberli,masked owl (northern subspecies),Tytonidae,Vulnerable,V
Menura alberti,Albert's lyrebird,Menuridae,Near threatened,NT
Atrichornis rufescens,rufous scrub-bird,Atrichornithidae,Vulnerable,V
Climacteris picumnus victoriae,brown treecreeper (south-eastern),Climacteridae,Vulnerable,V
Amytornis barbatus,grey grasswren,Maluridae,Near threatened,NT
Amytornis barbatus barbatus,grey grasswren (Bulloo),Maluridae,Endangered,E
Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),Maluridae,Near threatened,NT
Amytornis dorotheae,Carpentarian grasswren,Maluridae,Endangered,E
Amytornis rowleyi,rusty grasswren,Maluridae,Near threatened,NT
Malurus coronatus,purple-crowned fairy-wren,Maluridae,Vulnerable,V
Stipiturus malachurus,southern emu-wren,Maluridae,Vulnerable,V
Dasyornis brachypterus,eastern bristlebird,Dasyornithidae,Endangered,E
Aphelocephala leucopsis,southern whiteface,Acanthizidae,Vulnerable,V
Anthochaera phrygia,regent honeyeater,Meliphagidae,Critically Endangered,CR
Bolemoreus hindwoodi,Eungella honeyeater,Meliphagidae,Vulnerable,V
Epthianura crocea,yellow chat,Meliphagidae,Vulnerable,V
Epthianura crocea crocea,yellow chat (gulf),Meliphagidae,Vulnerable,V
Epthianura crocea macgregori,yellow chat (Dawson),Meliphagidae,Endangered,E
Grantiella picta,painted honeyeater,Meliphagidae,Vulnerable,V
Melanodryas cucullata cucullata,hooded robin (south-eastern),Petroicidae,Endangered,E
Chloebia gouldiae,Gouldian finch,Estrildidae,Endangered,E
Erythrura trichroa,blue-faced parrot-finch,Estrildidae,Near threatened,NT
Neochmia ruficauda ruficauda,star finch (eastern subspecies),Estrildidae,Endangered,E
Poephila cincta cincta,black-throated finch (white-rumped subspecies),Estrildidae,Endangered,E
Stagonopleura guttata,diamond firetail,Estrildidae,Vulnerable,V
Carcharias taurus,greynurse shark,Odontaspididae,Endangered,E
Hemitrygon fluviorum,estuary stingray,Dasyatidae,Near threatened,NT
Trisyntopa scatophaga,antbed moth,Oecophoridae,Endangered,E
Ornithoptera richmondia,Richmond birdwing,Papilionidae,Vulnerable,V
Argynnis hyperbius inconstans,Australian fritillary,Nymphalidae,Endangered,E
Acrodipsas illidgei,Illidge's ant-blue,Lycaenidae,Vulnerable,V
Hypochrysops apollo apollo,Apollo jewel (Wet Tropics subspecies),Lycaenidae,Vulnerable,V
Hypochrysops piceatus,bulloak jewel,Lycaenidae,Critically Endangered,CR
Jalmenus eubulus,pale imperial hairstreak,Lycaenidae,Vulnerable,V
Nacaduba pactolus cela,bold blue-line,Lycaenidae,Vulnerable,V
Cherax robustus,,Parastacidae,Vulnerable,V
Euastacus bindal,Mt Elliot crayfish,Parastacidae,Critically Endangered,CR
Euastacus binzayedi,,Parastacidae,Critically Endangered,CR
Euastacus dalagarbe,,Parastacidae,Critically Endangered,CR
Euastacus eungella,,Parastacidae,Endangered,E
Euastacus hystricosus,,Parastacidae,Endangered,E
Euastacus jagara,Jagara hairy crayfish,Parastacidae,Critically Endangered,CR
Euastacus maidae,,Parastacidae,Critically Endangered,CR
Euastacus monteithorum,,Parastacidae,Endangered,E
Euastacus robertsi,,Parastacidae,Endangered,E
Euastacus suttoni,,Parastacidae,Endangered,E
Tenuibranchiurus glypticus,swamp crayfish,Parastacidae,Endangered,E
Antechinus argentus,silver-headed antechinus,Dasyuridae,Endangered,E
Antechinus arktos,black-tailed antechinus,Dasyuridae,Endangered,E
Dasycercus blythi,brush-tailed mulgara,Dasyuridae,Vulnerable,V
Dasycercus cristicauda,crest-tailed mulgara,Dasyuridae,Vulnerable,V
Dasyuroides byrnei,kowari,Dasyuridae,Endangered,E
Dasyurus geoffroii geoffroii,western quoll,Dasyuridae,Extinct in the wild,PE
Dasyurus maculatus gracilis,spotted-tailed quoll (northern subspecies),Dasyuridae,Endangered,E
Dasyurus maculatus maculatus,spotted-tailed quoll (southern subspecies),Dasyuridae,Endangered,E
Sminthopsis archeri,chestnut dunnart,Dasyuridae,Near threatened,NT
Sminthopsis douglasi,Julia Creek dunnart,Dasyuridae,Endangered,E
Sminthopsis leucopus janetzkiae,Wet Tropics white-footed dunnart,Dasyuridae,Vulnerable,V
Macrotis lagotis,greater bilby,Thylacomyidae,Endangered,E
Phascolarctos cinereus,koala,Phascolarctidae,Endangered,E
Lasiorhinus krefftii,northern hairy-nosed wombat,Vombatidae,Critically Endangered,CR
Vombatus ursinus,common wombat,Vombatidae,Near threatened,NT
Petaurus australis australis,yellow-bellied glider (southern subspecies),Petauridae,Vulnerable,V
Petaurus australis unnamed subsp.,yellow-bellied glider (northern subspecies),Petauridae,Endangered,E
Petaurus gracilis,mahogany glider,Petauridae,Endangered,E
Hemibelideus lemuroides,lemuroid ringtail possum,Pseudocheiridae,Critically Endangered,CR
Petauroides armillatus,central greater glider,Pseudocheiridae,Endangered,E
Petauroides minor,northern greater glider,Pseudocheiridae,Vulnerable,V
Petauroides volans sensu lato,greater glider,Pseudocheiridae,Vulnerable,V
Bettongia gaimardi gaimardi,eastern bettong,Potoroidae,Extinct,EX
Bettongia lesueur graii,burrowing bettong,Potoroidae,Extinct,EX
Bettongia tropica,northern bettong,Potoroidae,Endangered,E
Caloprymnus campestris,desert rat-kangaroo,Potoroidae,Extinct in the wild,PE
Potorous tridactylus tridactylus,long-nosed potoroo,Potoroidae,Vulnerable,V
Dendrolagus bennettianus,Bennett's tree-kangaroo,Macropodidae,Near threatened,NT
Dendrolagus lumholtzi,Lumholtz's tree-kangaroo,Macropodidae,Near threatened,NT
Onychogalea frenata,bridled nailtail wallaby,Macropodidae,Endangered,E
Petrogale coenensis,Cape York rock-wallaby,Macropodidae,Vulnerable,V
Petrogale penicillata,brush-tailed rock-wallaby,Macropodidae,Vulnerable,V
Petrogale persephone,Proserpine rock-wallaby,Macropodidae,Endangered,E
Petrogale purpureicollis,purple-necked rock-wallaby,Macropodidae,Vulnerable,V
Petrogale sharmani,Sharman's rock-wallaby,Macropodidae,Vulnerable,V
Petrogale xanthopus celeris,yellow-footed rock-wallaby,Macropodidae,Vulnerable,V
Pteropus brunneus,Percy Island flying-fox,Pteropodidae,Extinct,EX
Pteropus conspicillatus,spectacled flying-fox,Pteropodidae,Endangered,E
Macroderma gigas,ghost bat,Megadermatidae,Endangered,E
Rhinolophus philippinensis,greater large-eared horseshoe bat,Rhinolophidae,Endangered,E
Hipposideros cervinus,fawn leaf-nosed bat,Hipposideridae,Vulnerable,V
Hipposideros diadema reginae,diadem leaf-nosed bat,Hipposideridae,Near threatened,NT
Hipposideros semoni,Semon`s leaf-nosed bat,Hipposideridae,Endangered,E
Hipposideros stenotis,northern leaf-nosed bat,Hipposideridae,Vulnerable,V
Rhinonicteris aurantia,orange leaf-nosed bat,Hipposideridae,Vulnerable,V
Saccolaimus saccolaimus nudicluniatus,bare-rumped sheathtail bat,Emballonuridae,Endangered,E
Taphozous australis,coastal sheathtail bat,Emballonuridae,Near threatened,NT
Chalinolobus dwyeri,large-eared pied bat,Vespertilionidae,Endangered,E
Murina florium,tube-nosed insectivorous bat,Vespertilionidae,Vulnerable,V
Nyctophilus corbeni,eastern long-eared bat,Vespertilionidae,Vulnerable,V
Conilurus albipes,white-footed rabbit-rat,Muridae,Extinct in the wild,PE
Conilurus capricornensis,Capricorn rabbit-rat,Muridae,Extinct,EX
Conilurus penicillatus,brush-tailed tree-rat,Muridae,Vulnerable,V
Melomys rubicola,Bramble Cay melomys,Muridae,Extinct in the wild,PE
Notomys aquilo,northern hopping-mouse,Muridae,Vulnerable,V
Notomys fuscus,dusky hopping-mouse,Muridae,Endangered,E
Notomys mordax,Darling Downs hopping-mouse,Muridae,Extinct in the wild,PE
Pseudomys australis,plains rat,Muridae,Vulnerable,V
Pseudomys glaucus,silky mouse,Muridae,Extinct,EX
Pseudomys novaehollandiae,New Holland mouse,Muridae,Vulnerable,V
Pseudomys oralis,Hastings River mouse,Muridae,Endangered,E
Xeromys myoides,water mouse,Muridae,Vulnerable,V
Dugong dugon,dugong,Dugongidae,Vulnerable,V
Arctocephalus tropicalis,Subantarctic fur seal,Otariidae,Vulnerable,V
Orcaella heinsohni,Australian snubfin dolphin,Delphinidae,Vulnerable,V
Sousa sahulensis,Australian humpback dolphin,Delphinidae,Vulnerable,V
Melanotaenia sp. nov. 'Malanda',Malanda rainbowfish,Melanotaeniidae,Critically Endangered,CR
Melanotaenia sp. nov. 'Running River',Running River rainbowfish,Melanotaeniidae,Critically Endangered,CR
Pseudomugil mellis,honey blue eye,Pseudomugilidae,Endangered,E
Scaturiginichthys vermeilipinnis,redfin blue eye,Pseudomugilidae,Endangered,E
Hippocampus whitei,White's Seahorse,Syngnathidae,Endangered,E
Nannoperca oxleyana,Oxleyan pygmy perch,Percichthyidae,Endangered,E
Chlamydogobius micropterus,Elizabeth Springs goby,Gobiidae,Endangered,E
Chlamydogobius squamigenus,Edgbaston goby,Gobiidae,Endangered,E
Stiphodon pelewensis,Daintree cling goby,Gobiidae,Vulnerable,V
Stiphodon rutilaureus,orange cling goby,Gobiidae,Vulnerable,V
Stiphodon surrufus,emerald cling goby,Gobiidae,Vulnerable,V
Crocodylus porosus,estuarine crocodile,Crocodylidae,Vulnerable,V
Caretta caretta,loggerhead turtle,Cheloniidae,Endangered,E
Chelonia mydas,green turtle,Cheloniidae,Vulnerable,V
Eretmochelys imbricata,hawksbill turtle,Cheloniidae,Endangered,E
Lepidochelys olivacea,olive ridley turtle,Cheloniidae,Endangered,E
Natator depressus,flatback turtle,Cheloniidae,Vulnerable,V
Dermochelys coriacea,leatherback turtle,Dermochelyidae,Endangered,E
Elseya albagula,white-throated snapping turtle,Chelidae,Critically Endangered,CR
Elseya oneiros,Gulf snapping turtle,Chelidae,Vulnerable,V
Elusor macrurus,Mary River turtle,Chelidae,Endangered,E
Emydura subglobosa,red-flushed river turtle,Chelidae,Near threatened,NT
Emydura subglobosa angkibaanya,Jardine River turtle,Chelidae,Critically Endangered,CR
Emydura subglobosa worrelli,diamond head turtle,Chelidae,Near threatened,NT
Rheodytes leukops,Fitzroy River turtle,Chelidae,Vulnerable,V
Wollumbinia belli,Bell's turtle,Chelidae,Endangered,E
Lepidodactylus pumilus,slender chained gecko,Gekkonidae,Near threatened,NT
Oedura lineata,Arcadia velvet gecko,Diplodactylidae,Critically Endangered,CR
Strophurus taenicauda,golden-tailed gecko,Diplodactylidae,Near threatened,NT
Orraya occultus,McIlwraith leaf-tailed gecko,Carphodactylidae,Critically Endangered,CR
Phyllurus amnicola,Mount Elliot broad-tailed gecko,Carphodactylidae,Vulnerable,V
Phyllurus caudiannulatus,ringed thin-tailed gecko,Carphodactylidae,Vulnerable,V
Phyllurus championae,Connors' Range broad-tailed gecko,Carphodactylidae,Vulnerable,V
Phyllurus gulbaru,Gulbaru gecko,Carphodactylidae,Critically Endangered,CR
Phyllurus isis,Mount Jukes broad-tailed gecko,Carphodactylidae,Vulnerable,V
Phyllurus kabikabi,Oakview leaf-tailed gecko,Carphodactylidae,Critically Endangered,CR
Phyllurus pinnaclensis,Pinnacles leaf-tailed gecko,Carphodactylidae,Critically Endangered,CR
Saltuarius eximius,Cape Melville leaf-tailed gecko,Carphodactylidae,Critically Endangered,CR
Delma mitella,Atherton delma,Pygopodidae,Near threatened,NT
Delma torquata,collared delma,Pygopodidae,Vulnerable,V
Tympanocryptis condaminensis,Condamine earless dragon,Agamidae,Endangered,E
Tympanocryptis wilsoni,Roma earless dragon,Agamidae,Endangered,E
Varanus mertensi,Mertens' water monitor,Varanidae,Endangered,E
Varanus mitchelli,Mitchell's water monitor,Varanidae,Critically Endangered,CR
Varanus prasinus,emerald monitor,Varanidae,Near threatened,NT
Anomalopus mackayi,long-legged worm-skink,Scincidae,Endangered,E
Austroablepharus barrylyoni,Lyon's soil-crevice skink,Scincidae,Critically Endangered,CR
Concinnia frerei,Bartle Frere bar-sided skink,Scincidae,Endangered,E
Ctenotus capricorni,Capricorn ctenotus,Scincidae,Near threatened,NT
Ctenotus monticola,Atherton ctenotus,Scincidae,Vulnerable,V
Ctenotus rawlinsoni,Cape heath ctenotus,Scincidae,Vulnerable,V
Ctenotus schevilli,Scheville's ctenotus,Scincidae,Near threatened,NT
Ctenotus serotinus,gravel-downs ctenotus,Scincidae,Critically Endangered,CR
Egernia rugosa,yakka skink,Scincidae,Vulnerable,V
Emoia atrocostata atrocostata,littoral whiptail-skink,Scincidae,Near threatened,NT
Emoia atrocostata australis,littoral whiptail-skink,Scincidae,Vulnerable,V
Harrisoniascincus zia,rainforest cool-skink,Scincidae,Vulnerable,V
Karma tryoni,Tryon's skink,Scincidae,Endangered,E
Lampropholis colossus,Bunya sunskink,Scincidae,Near threatened,NT
Lampropholis mirabilis,saxicoline sunskink,Scincidae,Near threatened,NT
Lerista allanae,Allan's lerista,Scincidae,Endangered,E
Lerista ameles,limbless fine-lined slider,Scincidae,Near threatened,NT
Lerista cinerea,vine-thicket fine-lined slider,Scincidae,Vulnerable,V
Lerista colliveri,nubbined fine-lined slider,Scincidae,Endangered,E
Lerista hobsoni,Hobson's fine-line slider,Scincidae,Near threatened,NT
Lerista ingrami,Ingram's lerista,Scincidae,Vulnerable,V
Lerista rochfordensis,Rochford slider,Scincidae,Endangered,E
Lerista vanderduysi,leaden-bellied fine-line slider,Scincidae,Vulnerable,V
Lerista vittata,Mount Cooper striped lerista,Scincidae,Endangered,E
Lygisaurus rococo,Chillagoe litter-skink,Scincidae,Near threatened,NT
Lygisaurus tanneri,Endeavour River litter-skink,Scincidae,Vulnerable,V
Magmellia luteilateralis,orange-speckled forest-skink,Scincidae,Vulnerable,V
Nangura spinosa,Nangur skink,Scincidae,Critically Endangered,CR
Saproscincus eungellensis,Eungella shadeskink,Scincidae,Vulnerable,V
Techmarscincus jigurru,Bartle Frere cool-skink,Scincidae,Critically Endangered,CR
Tiliqua scincoides intermedia,northern bluetongue,Scincidae,Critically Endangered,CR
Anilios insperatus,Fassifern blind snake,Typhlopidae,Critically Endangered,CR
Anilios silvia,striped blind snake,Typhlopidae,Near threatened,NT
Aspidites ramsayi,woma,Boidae,Near threatened,NT
Morelia viridis,green python,Boidae,Near threatened,NT
Acanthophis antarcticus,common death adder,Elapidae,Vulnerable,V
Acanthophis hawkei,plains death adder,Elapidae,Vulnerable,V
Denisonia maculata,ornamental snake,Elapidae,Vulnerable,V
Furina dunmalli,Dunmall's snake,Elapidae,Vulnerable,V
Hemiaspis damelii,grey snake,Elapidae,Endangered,E
Adclarkia cameroni,,Camaenidae,Vulnerable,V
Adclarkia dawsonensis,boggomoss snail,Camaenidae,Endangered,E
Adclarkia dulacca,Dulacca woodland snail,Camaenidae,Endangered,E
Lychnothamnus barbatus,,Characeae,Vulnerable,V
Graptophyllum excelsum,,Acanthaceae,Near threatened,NT
Graptophyllum ilicifolium,holly-leaved graptophyllum,Acanthaceae,Vulnerable,V
Graptophyllum reticulatum,reticulated holly,Acanthaceae,Endangered,E
Lepidagathis royenii,,Acanthaceae,Vulnerable,V
Rhaphidospora bonneyana,,Acanthaceae,Vulnerable,V
Rhaphidospora cavernarum,,Acanthaceae,Vulnerable,V
Xerothamnella herbacea,,Acanthaceae,Endangered,E
Ryparosa kurrangii,,Achariaceae,Near threatened,NT
Gunniopsis sp. (Edgbaston R.J.Fensham 5094),,Aizoaceae,Endangered,E
Astonia australiensis,,Alismataceae,Endangered,E
Nyssanthes impervia,,Amaranthaceae,Vulnerable,V
Nyssanthes longistyla,,Amaranthaceae,Vulnerable,V
Ptilotus brachyanthus,,Amaranthaceae,Endangered,E
Ptilotus extenuatus,,Amaranthaceae,Endangered,E
Ptilotus maconochiei,,Amaranthaceae,Near threatened,NT
Ptilotus senarius,,Amaranthaceae,Extinct in the wild,PE
Ptilotus uncinellus,,Amaranthaceae,Endangered,E
Buchanania mangoides,,Anacardiaceae,Vulnerable,V
Meiogyne hirsuta,,Annonaceae,Near threatened,NT
Polyalthia submontana subsp. submontana,,Annonaceae,Near threatened,NT
Pseuduvaria hylandii,,Annonaceae,Near threatened,NT
Eryngium fontanum,,Apiaceae,Endangered,E
Lilaeopsis brisbanica,,Apiaceae,Endangered,E
Oenanthe javanica,,Apiaceae,Near threatened,NT
Cerbera dumicola,,Apocynaceae,Near threatened,NT
Dischidia littoralis,,Apocynaceae,Vulnerable,V
Gymnema stramineum,,Apocynaceae,Vulnerable,V
Hoya anulata,,Apocynaceae,Near threatened,NT
Hoya inconspicua,,Apocynaceae,Near threatened,NT
Hoya macgillivrayi,red hoya,Apocynaceae,Near threatened,NT
Leichhardtia araujacea,,Apocynaceae,Critically Endangered,CR
Leichhardtia brevifolia,,Apocynaceae,Vulnerable,V
Leichhardtia coronata,,Apocynaceae,Vulnerable,V
Leichhardtia longiloba,,Apocynaceae,Vulnerable,V
Leichhardtia paludicola,,Apocynaceae,Vulnerable,V
Leichhardtia pumila,,Apocynaceae,Vulnerable,V
Leichhardtia rara,,Apocynaceae,Vulnerable,V
Neisosperma kilneri,,Apocynaceae,Vulnerable,V
Ochrosia moorei,southern ochrosia,Apocynaceae,Endangered,E
Parsonsia bartlensis,,Apocynaceae,Vulnerable,V
Parsonsia kroombitensis,,Apocynaceae,Vulnerable,V
Parsonsia larcomensis,,Apocynaceae,Vulnerable,V
Parsonsia largiflorens,,Apocynaceae,Endangered,E
Parsonsia sankowskyana,,Apocynaceae,Endangered,E
Parsonsia tenuis,slender silkpod,Apocynaceae,Vulnerable,V
Parsonsia wildensis,,Apocynaceae,Vulnerable,V
Parsonsia wongabelensis,,Apocynaceae,Endangered,E
Phyllanthera grayi,,Apocynaceae,Vulnerable,V
Sarcolobus vittatus,,Apocynaceae,Vulnerable,V
Secamone auriculata,,Apocynaceae,Vulnerable,V
Vincetoxicum forsteri,,Apocynaceae,Endangered,E
Vincetoxicum rupicola,,Apocynaceae,Endangered,E
Vincetoxicum woollsii,,Apocynaceae,Endangered,E
Aponogeton bullosus,,Aponogetonaceae,Endangered,E
Aponogeton elongatus subsp. elongatus,,Aponogetonaceae,Near threatened,NT
Aponogeton elongatus subsp. fluitans,,Aponogetonaceae,Vulnerable,V
Aponogeton lancesmithii,,Aponogetonaceae,Endangered,E
Aponogeton prolifer,,Aponogetonaceae,Endangered,E
Remusatia vivipara,,Araceae,Near threatened,NT
Astrotricha roddii,,Araliaceae,Endangered,E
Heptapleurum bractescens,,Araliaceae,Near threatened,NT
Hydrocotyle dipleura,,Araliaceae,Vulnerable,V
Polyscias bellendenkerensis,,Araliaceae,Vulnerable,V
Trachymene geraniifolia,,Araliaceae,Near threatened,NT
Trachymene glandulosa,,Araliaceae,Near threatened,NT
Agathis microstachya,bull kauri,Araucariaceae,Near threatened,NT
Archontophoenix myolensis,,Arecaceae,Endangered,E
Arenga australasica,,Arecaceae,Vulnerable,V
Calamus aruensis,,Arecaceae,Vulnerable,V
Calamus warburgii,,Arecaceae,Vulnerable,V
Hydriastele costata,,Arecaceae,Vulnerable,V
Linospadix palmerianus,,Arecaceae,Near threatened,NT
Livistona concinna,,Arecaceae,Near threatened,NT
Livistona drudei,Halifax fan palm,Arecaceae,Vulnerable,V
Livistona fulva,,Arecaceae,Vulnerable,V
Livistona lanuginosa,,Arecaceae,Vulnerable,V
Livistona nitida,,Arecaceae,Near threatened,NT
Wodyetia bifurcata,foxtail palm,Arecaceae,Vulnerable,V
Argophyllum cryptophlebum,,Argophyllaceae,Near threatened,NT
Argophyllum verae,,Argophyllaceae,Vulnerable,V
Pararistolochia praevenosa,,Aristolochiaceae,Near threatened,NT
Asplenium normale,,Aspleniaceae,Vulnerable,V
Asplenium pellucidum,,Aspleniaceae,Vulnerable,V
Hymenasplenium perriei,,Aspleniaceae,Vulnerable,V
Hymenasplenium wildii,,Aspleniaceae,Vulnerable,V
Brachyscome ascendens,Binna Burra daisy,Asteraceae,Vulnerable,V
Calocephalus glabratus,,Asteraceae,Vulnerable,V
Calotis glabrescens,,Asteraceae,Critically Endangered,CR
Calotis suffruticosa,,Asteraceae,Endangered,E
Camptacra perdita,,Asteraceae,Endangered,E
Cassinia collina,,Asteraceae,Vulnerable,V
Cymbonotus maidenii,,Asteraceae,Endangered,E
Glossocardia orthochaeta,,Asteraceae,Endangered,E
Lagenophora fimbriata,,Asteraceae,Vulnerable,V
Leuzea australis,,Asteraceae,Vulnerable,V
Olearia heterocarpa,nightcap daisy bush,Asteraceae,Near threatened,NT
Olearia hygrophila,swamp daisy,Asteraceae,Endangered,E
Olearia orientalis,,Asteraceae,Endangered,E
Ozothamnus eriocephalus,,Asteraceae,Vulnerable,V
