name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Chamelaucium floriferum subsp. floriferum,,Chamelaucium floriferum subsp. floriferum,Priority 2: Poorly-known species,added,,,
Chamelaucium forrestii,,Chamelaucium sp. Mt Frankland (A.S.George 11117),Priority 2: Poorly-known species,added,,,
Chamelaucium lullfitzii,Gingin Wax,Chamelaucium sp. Gingin (N.G.Marchant 6),Vulnerable,added,,,
Chamelaucium orarium,,Chamelaucium orarium,Priority 2: Poorly-known species,added,,,
Chamelaucium repens,,Chamelaucium sp. Canna (G.J.Keighery s.n. PERTH 02236435),Priority 1: Poorly-known species,added,,,
Chamelaucium roycei,Royce's Waxflower,Chamelaucium sp. S coastal plain (R.D.Royce 4872),Vulnerable,added,,,
Chamelaucium xanthocladum,,Chamelaucium xanthocladum,Priority 2: Poorly-known species,added,,,
Chrysocephalum apiculatum subsp. racemosum,,Chrysocephalum apiculatum subsp. racemosum,Priority 3: Poorly-known species,added,,,
Comesperma minutum,,Comesperma minutum,Priority 1: Poorly-known species,added,,,
Comesperma sabulosum,,Comesperma sabulosum,Priority 3: Poorly-known species,added,,,
Conostephium wonganense,Pearl Flowers,Conostephium,Priority 1: Poorly-known species,added,,,
Conostylis sp. Watheroo (S.D. Hopper 7668) PN,,Conostylis,Priority 2: Poorly-known species,added,,,
Convolvulus pyrophilus,Bindweeds,Convolvulus,Priority 1: Poorly-known species,added,,,
Corchorus fitzroyensis,Fitzroy River Corchorus,Corchorus fitzroyensis,Priority 3: Poorly-known species,added,,,
Corybas autumnalis,,Corybas autumnalis,Priority 2: Poorly-known species,added,,,
Corymbia chlorolampra,Mountain Marri,Corymbia haematoxylon,Priority 1: Poorly-known species,added,,,
Corynotheca acanthoclada,Spiny Zigzag Lily,Corynotheca acanthoclada,Priority 1: Poorly-known species,added,,,
Corynotheca flexuosissima,Compact Zigzag Lily,Corynotheca flexuosissima,Priority 3: Poorly-known species,added,,,
Crassula colorata var. miriamae,,Crassula colorata var. miriamae,Priority 2: Poorly-known species,added,,,
Cryptandra subtilis,No Petals Cryptandra,Cryptandra subtilis,Priority 3: Poorly-known species,added,,,
Cucumis sp. Bastion Range (A.A. Mitchell et al. AAM 10710),,Cucumis sp. Bastion Range (A.A.Mitchell et al. AAM 10710),Priority 1: Poorly-known species,added,,,
Cyanicula sp. Esperance (G. Brockman 735),,Cyanicula sp. Esperance (G.Brockman 735) WA Herbarium,Priority 1: Poorly-known species,added,,,
Cyanothamnus acanthocladus,,Cyanothamnus acanthocladus,Priority 2: Poorly-known species,added,,,
Cyanothamnus baeckeaceus subsp. patulus,,Cyanothamnus baeckeaceus subsp. patulus,Priority 1: Poorly-known species,added,,,
Cyanothamnus ramosus subsp. lesueuranus,,Cyanothamnus ramosus subsp. lesueuranus,Priority 2: Poorly-known species,added,,,
Cyanothamnus tenuis,Blue Boronia,Boronia tenuis,"Priority 4: Rare, Near Threatened",added,,,
Cyanothamnus westringioides,,Cyanothamnus westringioides,Priority 2: Poorly-known species,added,,,
Cyanthillium gracile,,Cyanthillium gracile,Priority 3: Poorly-known species,added,,,
Cyathostemon sp. Red Roo Rock (G.F. Craig 6896),,Cyathostemon sp. Red Roo Rock (G.F.Craig 6896),Priority 1: Poorly-known species,added,,,
Cyperus albescens,,Cyperus albescens,Priority 3: Poorly-known species,added,,,
Dampiera prasiolitica,Coolgardie Dampiera,Dampiera prasiolitica,Priority 1: Poorly-known species,added,,,
Darwinia sp. Bindoon (S. Patrick 281) PN,,Darwinia sp. Bindoon (S.Patrick 281),Priority 1: Poorly-known species,added,,,
Darwinia sp. Corrigin (T. Erickson TEE 308) PN,,Darwinia sp. Corrigin (T.Erickson TEE 308),Priority 2: Poorly-known species,added,,,
Darwinia sp. Mt Ridley (W.R. Archer 510914),,Darwinia sp. Mt Ridley (W.R.Archer 510914),Priority 1: Poorly-known species,added,,,
Darwinia sp. Strawberry (M.G. Corrick 8279),,Darwinia sp. Strawberry (M.G.Corrick 8279),Priority 2: Poorly-known species,added,,,
Darwinia sphaerica,Canna Darwinia,Darwinia sphaerica,Priority 2: Poorly-known species,added,,,
Daviesia elongata,,Daviesia elongata,Vulnerable,added,,,
Daviesia implexa,,Daviesia implexa,Priority 3: Poorly-known species,added,,,
Daviesia nudiflora subsp. amplectens,,Daviesia nudiflora subsp. amplectens,Priority 1: Poorly-known species,added,,,
Daviesia nudiflora subsp. drummondii,,Daviesia nudiflora subsp. drummondii,Priority 3: Poorly-known species,added,,,
Deyeuxia abscondita,Preston Bentgrass,Deyeuxia abscondita,Priority 1: Poorly-known species,added,,,
Dielsiodoxa altimontana,,Dielsiodoxa,Priority 2: Poorly-known species,added,,,
Dillwynia sp. Coujinup Hill (M.A. Burgman 1560),,Dillwynia sp. Coujinup Hill (M.A.Burgman 1560),Priority 1: Poorly-known species,added,,,
Dipodium basalticum,,Dipodium sp. Basalt Woodland (M.D.Barrett 198),Priority 1: Poorly-known species,added,,,
Diuris brevis,,Diuris brevis,Priority 2: Poorly-known species,added,,,
Dolichocarpa sp. Hamersley Station (A.A. Mitchell PRP 1479) PN,,Dolichocarpa,Priority 3: Poorly-known species,added,,,
Dopatrium junceum,,Dopatrium junceum,Priority 1: Poorly-known species,added,,,
Drosera albonotata,,Drosera albonotata,Priority 2: Poorly-known species,added,,,
Drosera bicolor,,Drosera bicolor,Priority 1: Poorly-known species,added,,,
Drosera eremaea,,Drosera macrantha subsp. eremaea,Priority 3: Poorly-known species,added,,,
Drosera huegelii var. phillmanniana,,Drosera huegelii var. phillmanniana,Priority 2: Poorly-known species,added,,,
Drosera lasiantha,,Drosera lasiantha,Priority 2: Poorly-known species,added,,,
Drosera leioblastus,,Drosera leioblastus,Priority 1: Poorly-known species,added,,,
Drosera leucostigma,,Drosera leucostigma,Priority 1: Poorly-known species,added,,,
Drosera nivea,,Drosera nivea,Priority 1: Poorly-known species,added,,,
Drosera occidentalis,Minute Pygmy Sundew,Drosera occidentalis,"Priority 4: Rare, Near Threatened",added,,,
Drosera orbiculata,,Drosera orbiculata,Priority 1: Poorly-known species,added,,,
Drosera oreopodion,,Drosera oreopodion,Priority 1: Poorly-known species,added,,,
Drosera paleacea,Dwarf Sundew,Drosera paleacea,Priority 1: Poorly-known species,added,,,
Drosera patens,,Drosera patens,Priority 1: Poorly-known species,added,,,
Drosera prophylla,,Drosera prophylla,Priority 3: Poorly-known species,added,,,
Drosera radicans,,Drosera radicans,Priority 3: Poorly-known species,added,,,
Drosera rechingeri,,Drosera rechingeri,Priority 3: Poorly-known species,added,,,
Drosera sp. Kentdale (G.J. Bourke 458) PN,Sundews,Drosera,Priority 2: Poorly-known species,added,,,
Drosera sp. Lesueur National Park (C.A. Gardner 9350) PN,Sundews,Drosera,Priority 2: Poorly-known species,added,,,
Drosera sp. Yampi Peninsula (A.J.M. Hopkins BA 0248) PN,Sundews,Drosera,Priority 1: Poorly-known species,added,,,
Drummondita billyacatting,,Drummondita,Priority 2: Poorly-known species,added,,,
Drummondita rubriviridis,,Drummondita,Priority 1: Poorly-known species,added,,,
Einadia nutans subsp. nutans,Nodding Saltbush,Einadia nutans subsp. nutans,Priority 3: Poorly-known species,added,,,
Elacholoma sp. Showy flowers (C.P. Campbell 1762),,Elacholoma sp. Showy flowers (C.P. Campbell 1762),Priority 1: Poorly-known species,added,,,
Elionurus tylophorus,Toothed Wire Grass,Elionurus tylophorus,Priority 2: Poorly-known species,added,,,
Empusa habenarina,Common Sphinx Orchid,Liparis habenarina,Priority 2: Poorly-known species,added,,,
Eragrostis lasioclada,,Ectrosia lasioclada,Priority 1: Poorly-known species,added,,,
Eragrostis lilliputiana,,Eragrostis lilliputiana,Priority 3: Poorly-known species,added,,,
Eragrostis sp. Erect spikelets (P.K. Latz 2122),,Eragrostis sp. Erect spikelets (P.K. Latz 2122),Priority 3: Poorly-known species,added,,,
Eragrostis sp. Lake Carey (J. Paterson & J. Warden WB 40825) PN,Lovegrasses,Eragrostis,Priority 1: Poorly-known species,added,,,
Eragrostis sp. Limestone (P.K. Latz 5921),,Eragrostis sp. Limestone (P.K.Latz 5921),Priority 3: Poorly-known species,added,,,
Eremophila acutifolia,,Eremophila acutifolia,Priority 3: Poorly-known species,added,,,
Eremophila annosicaulis,,,Priority 3: Poorly-known species,added,,,
Eremophila compacta subsp. Kennedy Range (B. Buirchell BB 107)	,,Eremophila compacta subsp. Kennedy Range (B.Buirchell BB 107),Priority 2: Poorly-known species,added,,,
Eremophila demissa,,Eremophila demissa,Priority 1: Poorly-known species,added,,,
Eremophila glabra subsp. Lake Austin (P.J. Curry & P. Hennig 367),,Eremophila glabra subsp. Lake Austin (P.J.Curry & P.Hennig 367),Priority 1: Poorly-known species,added,,,
Eremophila glabra subsp. Rason Lake (R.D. Royce 5582),,Eremophila glabra subsp. Rason Lake (R.D.Royce 5582),Priority 1: Poorly-known species,added,,,
Eremophila inflata,,Calamphoreus inflatus,"Priority 4: Rare, Near Threatened",added,,,
Eremophila microphylla,,Eremophila microphylla,Priority 3: Poorly-known species,added,,,
Eremophila naaykensii,,,Priority 3: Poorly-known species,added,,,
Eremophila oldfieldii subsp. papula,,Eremophila oldfieldii subsp. papula,Priority 1: Poorly-known species,added,,,
Eremophila platycalyx subsp. Wongawol (N.H. Speck 1291),,Eremophila platycalyx subsp. Wongawol (N.H.Speck 1291),Priority 1: Poorly-known species,added,,,
Eremophila rarissima,,Eremophila rarissima,Priority 1: Poorly-known species,added,,,
Eremophila sericea,,Eremophila sericea,Priority 1: Poorly-known species,added,,,
