"taxonRank","kingdom","class","order","family","genus","scientificName","specificEpithet","vernacularName","establishmentMeans","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","dcterms_modified","generalisation"
"Species","Plantae","Flora","Flora","Marattiaceae","Angiopteris","Angiopteris evecta","evecta","Giant Fern","Alive in NSW, Native","Endangered","false","Category 2",10051,"Not Listed","2017-12-04T09:49:48.957+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis alpina","alpina","Alpine Greenhood","Alive in NSW, Native","Vulnerable","true","Category 2",20305,"Not Listed","2020-09-08T19:38:01.433+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum affine","affine","Jervis Bay Leek Orchid","Alive in NSW, Native","Endangered","true","Category 2",10663,"Endangered","2017-10-04T17:43:10.01+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis pulchella","pulchella","Waterfall Greenhood","Alive in NSW, Native","Vulnerable","true","Category 2",10704,"Vulnerable","2017-10-04T17:36:01.313+11:00","10km"
"Species","Plantae","Flora","Flora","Platyzomataceae","Platyzoma","Platyzoma microphyllum","microphyllum","Braid Fern","Alive in NSW, Native","Endangered","false","Category 3",10636,"Not Listed","2017-10-04T17:44:03.637+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium rhyoliticum","rhyoliticum","Rhyolite Midge Orchid","Alive in NSW, Native","Endangered","true","Category 2",10342,"Endangered","2017-10-04T17:44:27.933+11:00","10km"
"Species","Plantae","Flora","Flora","Marsileaceae","Pilularia","Pilularia novae-hollandiae","novae-hollandiae","Austral Pillwort","Alive in NSW, Native","Endangered","false","Category 3",10628,"Not Listed","2017-10-04T17:44:01.34+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Geodorum","Geodorum densiflorum","densiflorum","Pink Nodding Orchid","Alive in NSW, Native","Endangered","true","Category 2",10349,"Not Listed","2017-10-04T17:40:46.133+11:00","10km"
"Species","Plantae","Flora","Flora","Lindsaeaceae","Lindsaea","Lindsaea brachypoda","brachypoda","Short-footed Screw Fern","Alive in NSW, Native","Endangered","false","Category 3",10480,"Not Listed","2017-10-04T17:43:59.167+11:00","1km"
"Species","Plantae","Flora","Flora","Rutaceae","Zieria","Zieria adenophora","adenophora","Araluen Zieria","Alive in NSW, Native","Critically Endangered","false","Category 2",10849,"Endangered","2017-10-04T17:44:20.73+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Cymbidium","Cymbidium canaliculatum","canaliculatum","Tiger Orchid","Alive in NSW, Native","Not Listed","true","Category 2",NA,"Not Listed","2017-10-04T17:40:11.49+11:00","10km"
"Species","Plantae","Flora","Flora","Myrtaceae","Eucalyptus","Eucalyptus copulans","copulans",NA,"Alive in NSW, Native","Endangered","false","Category 3",10291,"Endangered","2017-10-04T17:45:38.78+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis nigricans","nigricans","Dark Greenhood","Alive in NSW, Native","Vulnerable","true","Category 2",10703,"Not Listed","2017-10-04T17:42:10.23+11:00","10km"
"Species","Plantae","Flora","Flora","Apiaceae","Trachymene","Trachymene scapigera","scapigera","Mountain Trachymene","Alive in NSW, Native","Endangered","false","Category 3",10811,"Endangered","2017-10-04T17:42:24.73+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris disposita","disposita","Willawarrin Doubletail","Alive in NSW, Native","Endangered","true","Category 2",10237,"Not Listed","2017-10-04T17:46:05.39+11:00","10km"
"Species","Plantae","Flora","Flora","Psilotaceae","Psilotum","Psilotum complanatum","complanatum","Flat Fork Fern","Alive in NSW, Native","Endangered","false","Category 3",10695,"Not Listed","2017-10-04T17:44:05.48+11:00","1km"
"Species","Plantae","Flora","Flora","Haloragaceae","Myriophyllum","Myriophyllum implicatum","implicatum",NA,"Alive in NSW, Native","Critically Endangered","false","Category 2",20146,"Not Listed","2012-09-04T16:44:28.56+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia arenaria","arenaria","Sand-hill Spider Orchid","Alive in NSW, Native","Endangered","true","Category 2",10121,"Endangered","2017-10-04T17:41:01.9+11:00","10km"
"Variety","Plantae","Flora","Flora","Primulaceae","Lysimachia","Lysimachia vulgaris var. davurica","vulgaris","Yellow Loosestrife","Alive in NSW, Native","Endangered","false","Category 3",10498,"Not Listed","2018-07-11T12:44:01.023+10:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris bracteata","bracteata",NA,"Alive in NSW, Native","Endangered","true","Category 2",20036,"Extinct","2020-09-14T14:44:23.97+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris aequalis","aequalis","Buttercup Doubletail","Alive in NSW, Native","Endangered","true","Category 2",10235,"Vulnerable","2017-10-04T17:35:45.033+11:00","10km"
"Species","Plantae","Flora","Flora","Gyrostemonaceae","Gyrostemon","Gyrostemon thesioides","thesioides",NA,"Alive in NSW, Native","Endangered","false","Category 3",10384,"Not Listed","2017-10-04T17:46:58.14+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Oberonia","Oberonia complanata","complanata","Yellow-flowered King of the Fairies","Alive in NSW, Native","Endangered","true","Category 2",10570,"Not Listed","2017-10-04T17:41:25.993+11:00","10km"
"Species","Plantae","Flora","Flora","Ericaceae","Leucopogon","Leucopogon confertus","confertus","Torrington Beard-heath","Alive in NSW, Native","Endangered","false","Category 3",10472,"Endangered","2017-10-04T17:30:20.43+11:00","1km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea divaricata","divaricata",NA,"Alive in NSW, Native","Endangered","false","Category 3",10362,"Not Listed","2017-10-04T17:37:31.347+11:00","1km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea beadleana","beadleana","Beadle's Grevillea","Alive in NSW, Native","Endangered","false","Category 3",10360,"Endangered","2017-10-04T17:44:19.12+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris flavescens","flavescens","Pale Yellow Doubletail","Alive in NSW, Native","Critically Endangered","true","Category 2",10238,"Critically Endangered","2017-10-04T17:46:05.623+11:00","10km"
"Species","Plantae","Flora","Flora","Lamiaceae","Prostanthera","Prostanthera staurophylla","staurophylla","Tenterfield Mint-bush","Alive in NSW, Native","Endangered","false","Category 2",10680,"Vulnerable","2021-03-17T13:45:16.64+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis chaetophora","chaetophora",NA,"Alive in NSW, Native","Vulnerable","true","Category 2",20280,"Not Listed","2018-10-26T23:43:18.813+11:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Persoonia","Persoonia hirsuta","hirsuta","Hairy Geebung","Alive in NSW, Native","Endangered","true","Category 3",10595,"Endangered","2017-10-04T17:37:52.66+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia tessellata","tessellata","Thick Lip Spider Orchid","Alive in NSW, Native","Endangered","true","Category 2",10124,"Vulnerable","2017-10-04T17:35:31.063+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Dendrobium","Dendrobium melaleucaphilum","melaleucaphilum","Spider orchid","Alive in NSW, Native","Endangered","true","Category 2",10213,"Not Listed","2017-10-04T17:40:41.367+11:00","10km"
"Species","Plantae","Flora","Flora","Fabaceae (Mimosoideae)","Acacia","Acacia dangarensis","dangarensis",NA,"Alive in NSW, Native","Critically Endangered","false","Category 3",20028,"Not Listed","2017-10-04T17:45:55.983+11:00","1km"
"Species","Plantae","Flora","Flora","Euphorbiaceae","Fontainea","Fontainea oraria","oraria","Coastal Fontainea","Alive in NSW, Native","Critically Endangered","false","Category 2",10334,"Endangered","2017-10-04T17:44:27.497+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis foliata","foliata","Slender Greenhood","Alive in NSW, Native","Vulnerable","true","Category 2",20321,"Not Listed","2018-10-26T23:43:19.8+11:00","10km"
"Species","Plantae","Flora","Flora","Thymelaeaceae","Pimelea","Pimelea venosa","venosa","Bolivia Hill Rice-flower","Alive in NSW, Native","Endangered","false","Category 3",10633,"Endangered","2020-09-08T19:03:37.473+10:00","1km"
