category,scientificname,vernacularname,taxonrank,taxonomicstatus,kingdom,phylum,class,order,family,sourcestatus,status,authority,ngunnawal,comments,synonym,taxonremarks
Plant,Gentiana baeuerlenii,Baeuerlen's Gentian,species,accepted,Plantae,Charophyta,Equisetopsida,Gentianales,Gentianaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Bird,Grantiella picta,Painted Honeyeater,species,accepted,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Bird,Hieraaetus morphnoides,Little Eagle,species,accepted,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Bird,Hirundapus caudacutus,White-throated Needletail,species,accepted,Animalia,Chordata,Aves,Apodiformes,Apodidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Mammal,Isoodon obesulus obesulus,Southern Brown Bandicoot,subspecies,accepted,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Mandawari,,,
Bird,Lalage tricolor,White-winged Triller,species,accepted,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Bird,Lathamus discolor,Swift Parrot,species,accepted,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
Plant,Lepidium ginninderrense,Ginninderra Peppercress,species,accepted,Plantae,Charophyta,Equisetopsida,Brassicales,Brassicaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Frog,Litoria aurea,Green and Golden Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,Locally extinct,,
Frog,Litoria castanea,Yellow-spotted Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,Locally extinct,,
Frog,Litoria raniformis,Southern Bell Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,Locally extinct,,
Frog,Litoria verreauxii alpina,Alpine Tree Frog,subspecies,accepted,Animalia,Chordata,Amphibia,Anura,Hylidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Fish,Maccullochella macquariensis,Trout Cod,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gudu,,,
Fish,Macquaria australasica,Macquarie Perch,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gubay,,,
Mammal,Mastacomys fuscus mordicus,Broad-toothed Rat,subspecies,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Luda,,,
Bird,Melanodryas cucullata cucullata,Hooded Robin,subspecies,accepted,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Plant,Muehlenbeckia tuggeranong,Tuggeranong Lignum,species,accepted,Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Invertebrate,Perunga ochracea,Perunga Grasshopper,species,accepted,Animalia,Arthropoda,invertibratea,Orthoptera,Acrididae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Baaman,,,
Mammal,Petauroides volans,Greater Glider,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Banguu,,,
Mammal,Petrogale penicillata,Brush-tailed Rock-wallaby,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Baray,,,
Bird,Petroica boodang,Scarlet Robin,species,accepted,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Mammal,Phascolarctos cinereus,Koala,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Gula,,,
Bird,Polytelis swainsonii,Superb Parrot,species,accepted,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Plant,Pomaderris pallida,Pale Pomaderris,species,accepted,Plantae,Charophyta,Equisetopsida,Rosales,Rhamnaceae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Plant,Prasophyllum petilum,Tarengo Leek Orchid,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Mammal,Pseudomys fumeus,Smoky Mouse,species,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Ganimang,,,
Mammal,Pseudomys novaehollandiae,New Holland Mouse,species,accepted,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Frog,Pseudophryne pengilleyi,Northern Corroboree Frog,species,accepted,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),Galaangga,,,
Mammal,Pteropus poliocephalus,Grey-headed Flying-fox,species,accepted,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Plant,Pterostylis oreophila,Kiandra Greenhood,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
Bird,Rostratula australis,Australian Painted Snipe,species,accepted,Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,included in ACT Migratory Species Action Plan,,
Plant,Rutidosis leptorhynchoides,Button Wrinklewort,species,accepted,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Plant,Swainsona recta,Small Purple Pea,species,accepted,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Invertebrate,Synemon plana,Golden Sun Moth,species,accepted,Animalia,Arthropoda,invertibratea,Lepidoptera,Castniidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Plant,Thesium australe,Austral Toadflax,species,accepted,Plantae,Charophyta,Equisetopsida,Malpighiales,Santalaceae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Reptile,Tympanocryptis lineata,Grassland Earless Dragon,species,accepted,Animalia,Chordata,Reptilia,Squamata,Agamidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,"Recent taxonomic changes to the species, from Tympanocryptis pinguicolla to Tympanocryptis lineata, are documented in Melville et al. 2019. but the species name has not yet updated in the NCA List",Tympanocryptis pinguicolla,
Reptile,Tympanocryptis pinguicolla,Grassland Earless Dragon,species,homotypic synonym,Animalia,Chordata,Reptilia,Squamata,Agamidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,Homotypic synonym of Tympanocryptis lineata,Tympanocryptis lineata,Homotypic synonym of Tympanocryptis lineata
