scientificName,vernacularName,family,genus,status,sourceStatus
Pimelea penicillaris,Sandhill Riceflower,THYMELAEACEAE,Pimelea,Rare,R
Pimelea williamsonii,Williamson's Riceflower,THYMELAEACEAE,Pimelea,Rare,R
Viola betonicifolia ssp. betonicifolia,Showy Violet,VIOLACEAE,Viola,Endangered,E
Frankenia cinerea,,FRANKENIACEAE,Frankenia,Rare,R
Frankenia cupularis,,FRANKENIACEAE,Frankenia,Rare,R
Frankenia plicata,,FRANKENIACEAE,Frankenia,Vulnerable,V
Frankenia subteres,,FRANKENIACEAE,Frankenia,Rare,R
Bergia occultipetala,,ELATINACEAE,Bergia,Vulnerable,V
Elatine gratioloides,Waterwort,ELATINACEAE,Elatine,Rare,R
Lythrum salicaria,Purple Loosestrife,LYTHRACEAE,Lythrum,Rare,R
Callistemon brachyandrus,Prickly Bottlebrush,MYRTACEAE,Callistemon,Rare,R
Calytrix smeatoniana,Kangaroo Island Heath-myrtle,MYRTACEAE,Calytrix,Rare,R
Eucalyptus alatissima,Kingsmill's Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus albens,White Box,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus arcana,Carpenters Rocks Manna Gum,MYRTACEAE,Eucalyptus,Vulnerable,V
Eucalyptus behriana,Broad-leaf Box,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus bicostata,Southern Blue Gum,MYRTACEAE,Eucalyptus,Vulnerable,V
Eucalyptus calycogona ssp. spaffordii,Spafford's Square-fruit Mallee,MYRTACEAE,Eucalyptus,Endangered,E
Eucalyptus canescens ssp. beadellii,Beadell's Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus cretata,Darke Peak Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus dalrympleana ssp. dalrympleana,Candlebark Gum,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus diversifolia ssp. hesperia,Coastal White Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus fasciculosa,Pink Gum,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus gillenii,Mount Lindsay Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus goniocalyx ssp. exposa,Long-leaf Box,MYRTACEAE,Eucalyptus,Vulnerable,V
Eucalyptus leptopoda ssp. elevata,,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus leucoxylon ssp. megalocarpa,Large-fruit Blue Gum,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus macrorhyncha ssp. macrorhyncha,Red Stringybark,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus pauciflora ssp. pauciflora,Snow Gum,MYRTACEAE,Eucalyptus,Vulnerable,V
Eucalyptus percostata,Ribbed White Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus phenax ssp. compressa,Kangaroo Island Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus viminalis ssp. viminalis,Manna Gum,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus wimmerensis,Wimmera Mallee Box,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus wyolensis,Wyola Mallee,MYRTACEAE,Eucalyptus,Rare,R
Eucalyptus X paludicola,Mount Compass Swamp Gum,MYRTACEAE,Eucalyptus,Endangered,E
Melaleuca armillaris ssp. akineta,Needle-leaf Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca cuticularis,Western Swamp-paperbark,MYRTACEAE,Melaleuca,Endangered,E
Melaleuca fulgens ssp. corrugata,Wrinkled Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca leiocarpa,Pungent Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca nanophylla,Dwarf-leaf Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca oxyphylla,Pointed-leaf Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca squamea,Swamp Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Melaleuca squarrosa,Bottlebrush Tea-tree,MYRTACEAE,Melaleuca,Rare,R
Melaleuca wilsonii,Wilson's Honey-myrtle,MYRTACEAE,Melaleuca,Rare,R
Micromyrtus ciliata,Fringed Heath-myrtle,MYRTACEAE,Micromyrtus,Rare,R
Gonocarpus humilis,Shade Raspwort,HALORAGACEAE,Gonocarpus,Rare,R
Gonocarpus micranthus ssp. micranthus,Creeping Raspwort,HALORAGACEAE,Gonocarpus,Rare,R
Haloragis eichleri,Eichler's Raspwort,HALORAGACEAE,Haloragis,Rare,R
Haloragis eyreana,Prickly Raspwort,HALORAGACEAE,Haloragis,Endangered,E
Haloragis myriocarpa,,HALORAGACEAE,Haloragis,Rare,R
Myriophyllum amphibium,Broad Milfoil,HALORAGACEAE,Myriophyllum,Rare,R
Myriophyllum crispatum,Upright Milfoil,HALORAGACEAE,Myriophyllum,Vulnerable,V
Myriophyllum glomeratum,Clustered Milfoil,HALORAGACEAE,Myriophyllum,Endangered,E
Myriophyllum integrifolium,Tiny Milfoil,HALORAGACEAE,Myriophyllum,Rare,R
Myriophyllum papillosum,Robust Milfoil,HALORAGACEAE,Myriophyllum,Rare,R
Myriophyllum variifolium,Varied Milfoil,HALORAGACEAE,Myriophyllum,Rare,R
Centella uniflora,,UMBELLIFERAE,Centella,Vulnerable,V
Eryngium ovinum,Blue Devil,UMBELLIFERAE,Eryngium,Vulnerable,V
Eryngium vesiculosum,Prostrate Blue Devil,UMBELLIFERAE,Eryngium,Rare,R
Hydrocotyle comocarpa,Fringe-fruit Pennywort,UMBELLIFERAE,Hydrocotyle,Rare,R
Hydrocotyle crassiuscula,Spreading Pennywort,UMBELLIFERAE,Hydrocotyle,Rare,R
Hydrocotyle diantha,Kangaroo Island Pennywort,UMBELLIFERAE,Hydrocotyle,Endangered,E
Oreomyrrhis eriopoda,Australian Carraway,UMBELLIFERAE,Oreomyrrhis,Endangered,E
Platysace heterophylla var. tepperi,Kangaroo Island Platysace,UMBELLIFERAE,Platysace,Rare,R
Xanthosia tasmanica,Southern Xanthosia,UMBELLIFERAE,Xanthosia,Rare,R
Leucopogon hirsutus,Hairy Beard-heath,EPACRIDACEAE,Leucopogon,Rare,R
Leucopogon obovatus ssp. obovatus,,EPACRIDACEAE,Leucopogon,Rare,R
Sprengelia incarnata,Pink Swamp-heath,EPACRIDACEAE,Sprengelia,Rare,R
Styphelia clelandii,Cleland's Beard-heath,EPACRIDACEAE,Styphelia,Rare,R
Samolus eremaeus,Desert Samolus,PRIMULACEAE,Samolus,Rare,R
Logania insularis,Kangaroo Island Logania,LOGANIACEAE,Logania,Vulnerable,V
Logania saxatilis,Rock Logania,LOGANIACEAE,Logania,Rare,R
Logania scabrella,Rough Logania,LOGANIACEAE,Logania,Rare,R
Mitrasacme pilosa var. pilosa,Hairy Mitrewort,LOGANIACEAE,Mitrasacme,Vulnerable,V
Phyllangium distylis,Tiny Mitrewort,LOGANIACEAE,Phyllangium,Rare,R
Phyllangium sulcatum,,LOGANIACEAE,Phyllangium,Vulnerable,V
Gentianella gunniana,Mountain Gentian,GENTIANACEAE,Gentianella,Vulnerable,V
Nymphoides crenata,Wavy Marshwort,MENYANTHACEAE,Nymphoides,Rare,R
Nymphoides geminata,Entire Marshwort,MENYANTHACEAE,Nymphoides,Vulnerable,V
Ornduffia umbricola var. beaugleholei,Beauglehole's Marsh-flower,MENYANTHACEAE,Ornduffia,Vulnerable,V
Asperula oblanceolata,Water Woodruff,RUBIACEAE,Asperula,Rare,R
Asperula subsimplex,Water Woodruff,RUBIACEAE,Asperula,Rare,R
Asperula syrticola,Southern Flinders Woodruff,RUBIACEAE,Asperula,Rare,R
Asperula tetraphylla,Mountain Woodruff,RUBIACEAE,Asperula,Vulnerable,V
Galium curvihirtum,Tight Bedstraw,RUBIACEAE,Galium,Rare,R
Leptostigma reptans,Dwarf Nertera,RUBIACEAE,Leptostigma,Rare,R
Nertera granadensis,Matted Nertera,RUBIACEAE,Nertera,Endangered,E
Cuscuta tasmanica,Tasmanian Dodder,CONVOLVULACEAE,Cuscuta,Vulnerable,V
Embadium johnstonii,Johnston's Slipper-plant,BORAGINACEAE,Embadium,Rare,R
Embadium stagnense,Arcoona Slipper-plant,BORAGINACEAE,Embadium,Rare,R
Plagiobothrys orthostatus,,BORAGINACEAE,Plagiobothrys,Vulnerable,V
Callitriche sonderi,Matted Water Starwort,CALLITRICHACEAE,Callitriche,Rare,R
Callitriche umbonata,Water Starwort,CALLITRICHACEAE,Callitriche,Vulnerable,V
Mentha diemenica,Slender Mint,LABIATAE,Mentha,Rare,R
Mentha satureioides,Native Pennyroyal,LABIATAE,Mentha,Rare,R
Microcorys macredieana,,LABIATAE,Microcorys,Rare,R
Prostanthera calycina,West Coast Mintbush,LABIATAE,Prostanthera,Vulnerable,V
Prostanthera chlorantha,Green Mintbush,LABIATAE,Prostanthera,Rare,R
Prostanthera eurybioides,Monarto Mintbush,LABIATAE,Prostanthera,Endangered,E
Prostanthera nudula,Mount Illbillee Mintbush,LABIATAE,Prostanthera,Vulnerable,V
Scutellaria humilis,Dwarf Skullcap,LABIATAE,Scutellaria,Rare,R
Teucrium grandiusculum ssp. grandiusculum,,LABIATAE,Teucrium,Vulnerable,V
Teucrium grandiusculum ssp. pilosum,,LABIATAE,Teucrium,Endangered,E
Anthocercis angustifolia,Narrow-leaf Ray-flower,SOLANACEAE,Anthocercis,Rare,R
Anthocercis anisantha ssp. anisantha,Port Lincoln Ray-flower,SOLANACEAE,Anthocercis,Rare,R
Nicotiana burbidgeae,,SOLANACEAE,Nicotiana,Vulnerable,V
Nicotiana truncata,,SOLANACEAE,Nicotiana,Rare,R
Solanum eremophilum,Rare Nightshade,SOLANACEAE,Solanum,Rare,R
Elacholoma prostrata,Small Monkey-flower,SCROPHULARIACEAE,Elacholoma,Rare,R
Euphrasia collina ssp. collina,Purple Eyebright,SCROPHULARIACEAE,Euphrasia,Vulnerable,V
Euphrasia collina ssp. muelleri,Mueller's Eyebright,SCROPHULARIACEAE,Euphrasia,Endangered,E
Euphrasia collina ssp. osbornii,Osborn's Eyebright,SCROPHULARIACEAE,Euphrasia,Endangered,E
Euphrasia collina ssp. paludosa,Swamp Eyebright,SCROPHULARIACEAE,Euphrasia,Endangered,E
Euphrasia collina ssp. trichocalycina,,SCROPHULARIACEAE,Euphrasia,Endangered,E
Glossostigma sp. Long stout-pedicelled (W.R.Barker 2481),,SCROPHULARIACEAE,Glossostigma,Vulnerable,V
Gratiola pedunculata,Stalked Brooklime,SCROPHULARIACEAE,Gratiola,Rare,R
Gratiola pubescens,Glandular Brooklime,SCROPHULARIACEAE,Gratiola,Rare,R
Gratiola pumilo,Dwarf Brooklime,SCROPHULARIACEAE,Gratiola,Rare,R
Limosella granitica,Granite Mudwort,SCROPHULARIACEAE,Limosella,Vulnerable,V
Mazus pumilio,Swamp Mazus,SCROPHULARIACEAE,Mazus,Vulnerable,V
Stemodia sp. Haegii (J.Z.Weber 9055),Haegi's Stemodia,SCROPHULARIACEAE,Stemodia,Rare,R
Veronica decorosa,Showy Speedwell,SCROPHULARIACEAE,Veronica,Rare,R
Veronica derwentiana ssp. anisodonta,Kangaroo Island Speedwell,SCROPHULARIACEAE,Veronica,Rare,R
Veronica derwentiana ssp. derwentiana,Derwent Speedwell,SCROPHULARIACEAE,Veronica,Endangered,E
Veronica derwentiana ssp. homalodonta,Mt Lofty Speedwell,SCROPHULARIACEAE,Veronica,Endangered,E
Veronica gracilis,Slender Speedwell,SCROPHULARIACEAE,Veronica,Vulnerable,V
Veronica parnkalliana,Port Lincoln Speedwell,SCROPHULARIACEAE,Veronica,Endangered,E
Veronica subtilis,Slender Speedwell,SCROPHULARIACEAE,Veronica,Vulnerable,V
Xerothamnella parvifolia,,ACANTHACEAE,Xerothamnella,Endangered,E
Orobanche cernua var. australiana,Australian Broomrape,OROBANCHACEAE,Orobanche,Rare,R
Utricularia australis,Yellow Bladderwort,LENTIBULARIACEAE,Utricularia,Rare,R
Utricularia beaugleholei,Beauglehole's Bladderwort,LENTIBULARIACEAE,Utricularia,Vulnerable,V
Utricularia lateriflora,Small Bladderwort,LENTIBULARIACEAE,Utricularia,Vulnerable,V
Utricularia violacea,Violet Bladderwort,LENTIBULARIACEAE,Utricularia,Rare,R
Eremophila barbata,Blue Range Emubush,MYOPORACEAE,Eremophila,Rare,R
Eremophila gibbifolia,Coccid Emubush,MYOPORACEAE,Eremophila,Rare,R
Eremophila hillii,Hill's Emubush,MYOPORACEAE,Eremophila,Rare,R
Eremophila interstans ssp. interstans,,MYOPORACEAE,Eremophila,Rare,R
Eremophila parvifolia ssp. parvifolia,Small-leaf Emubush,MYOPORACEAE,Eremophila,Rare,R
Eremophila pentaptera,,MYOPORACEAE,Eremophila,Rare,R
Eremophila polyclada,Twiggy Emubush,MYOPORACEAE,Eremophila,Rare,R
Eremophila praecox,,MYOPORACEAE,Eremophila,Rare,R
Eremophila subfloccosa ssp. glandulosa,Green-flower Emubush,MYOPORACEAE,Eremophila,Rare,R
Myoporum parvifolium,Creeping Boobialla,MYOPORACEAE,Myoporum,Rare,R
Plantago multiscapa,Many-stem Plantain,PLANTAGINACEAE,Plantago,Vulnerable,V
Plantago sp. A (A.C.Robinson 704),Pearson Island Plantain,PLANTAGINACEAE,Plantago,Rare,R
Isotoma fluviatilis ssp. australis,Swamp Isotome,CAMPANULACEAE,Isotoma,Rare,R
Isotoma scapigera,Salt Isotome,CAMPANULACEAE,Isotoma,Rare,R
Lobelia beaugleholei,Showy Lobelia,CAMPANULACEAE,Lobelia,Vulnerable,V
Lobelia cleistogamoides,,CAMPANULACEAE,Lobelia,Rare,R
Lobelia concolor,Poison Pratia,CAMPANULACEAE,Lobelia,Rare,R
Lobelia heterophylla ssp. centralis,,CAMPANULACEAE,Lobelia,Rare,R
Lobelia pedunculata,White-flower Matted Pratia,CAMPANULACEAE,Lobelia,Vulnerable,V
Lobelia pratioides,Poison Lobelia,CAMPANULACEAE,Lobelia,Rare,R
Wahlenbergia gymnoclada,Naked Bluebell,CAMPANULACEAE,Wahlenbergia,Vulnerable,V
Dampiera lanceolata var. intermedia,Aldinga Dampiera,GOODENIACEAE,Dampiera,Endangered,E
Dampiera roycei,,GOODENIACEAE,Dampiera,Rare,R
Goodenia anfracta,,GOODENIACEAE,Goodenia,Rare,R
Goodenia benthamiana,Bentham's Goodenia,GOODENIACEAE,Goodenia,Rare,R
Goodenia brunnea,,GOODENIACEAE,Goodenia,Rare,R
Goodenia chambersii,,GOODENIACEAE,Goodenia,Rare,R
Goodenia cycnopotamica,,GOODENIACEAE,Goodenia,Rare,R
Goodenia glandulosa,,GOODENIACEAE,Goodenia,Rare,R
Goodenia gracilis,Grampians Goodenia,GOODENIACEAE,Goodenia,Vulnerable,V
Goodenia heteromera,Spreading Goodenia,GOODENIACEAE,Goodenia,Rare,R
Goodenia saccata,Flinders Ranges Goodenia,GOODENIACEAE,Goodenia,Rare,R
Lechenaultia aphylla,Leafless Lechenaultia,GOODENIACEAE,Lechenaultia,Vulnerable,V
Scaevola calendulacea,Dune Fanflower,GOODENIACEAE,Scaevola,Vulnerable,V
Scaevola hookeri,Creeping Fanflower,GOODENIACEAE,Scaevola,Endangered,E
Scaevola myrtifolia,Myrtle Fanflower,GOODENIACEAE,Scaevola,Rare,R
Scaevola obovata,,GOODENIACEAE,Scaevola,Vulnerable,V
Levenhookia sonderi,Slender Stylewort,STYLIDIACEAE,Levenhookia,Vulnerable,V
Levenhookia stipitata,,STYLIDIACEAE,Levenhookia,Rare,R
Stylidium beaugleholei,Beauglehole's Trigger-plant,STYLIDIACEAE,Stylidium,Rare,R
Stylidium desertorum,,STYLIDIACEAE,Stylidium,Vulnerable,V
Stylidium ecorne,,STYLIDIACEAE,Stylidium,Rare,R
Stylidium inaequipetalum,,STYLIDIACEAE,Stylidium,Vulnerable,V
Stylidium tepperianum,Kangaroo Island Trigger-plant,STYLIDIACEAE,Stylidium,Rare,R
Acanthocladium dockeri,Spiny Everlasting,COMPOSITAE,Acanthocladium,Endangered,E
Achnophora tatei,Kangaroo Island River Daisy,COMPOSITAE,Achnophora,Rare,R
Allittia cardiocarpa,Swamp Daisy,COMPOSITAE,Allittia,Rare,R
Allittia uliginosa,Wet-heath Daisy,COMPOSITAE,Allittia,Rare,R
Basedowia tenerrima,,COMPOSITAE,Basedowia,Rare,R
Brachyscome aculeata,Hill Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome breviscapis,Short-stem Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome ciliaris var. subintegrifolia,,COMPOSITAE,Brachyscome,Rare,R
Brachyscome diversifolia,Tall Daisy,COMPOSITAE,Brachyscome,Endangered,E
Brachyscome graminea,Grass Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome melanocarpa ssp. melanocarpa,Black-fruit Daisy,COMPOSITAE,Brachyscome,Vulnerable,V
Brachyscome muelleri,Corunna Daisy,COMPOSITAE,Brachyscome,Endangered,E
Brachyscome parvula,Coast Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome readeri,Reader's Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome tatei,Nullarbor Daisy,COMPOSITAE,Brachyscome,Rare,R
Brachyscome xanthocarpa,Yellow-fruit Daisy,COMPOSITAE,Brachyscome,Rare,R
Calocephalus lacteus,Milky Beauty-heads,COMPOSITAE,Calocephalus,Endangered,E
Calocephalus sonderi,Pale Beauty-heads,COMPOSITAE,Calocephalus,Rare,R
Calotis scapigera,Tufted Burr-daisy,COMPOSITAE,Calotis,Rare,R
Cassinia tegulata,Sticky Cassinia,COMPOSITAE,Cassinia,Endangered,E
Ceratogyne obionoides,Wingwort,COMPOSITAE,Ceratogyne,Rare,R
Chondropyxis halophila,Salt Button-daisy,COMPOSITAE,Chondropyxis,Rare,R
Coronidium adenophorum,Branched Everlasting,COMPOSITAE,Coronidium,Rare,R
Coronidium gunnianum,Pale Everlasting,COMPOSITAE,Coronidium,Endangered,E
Craspedia paludicola,Swamp Buttons,COMPOSITAE,Craspedia,Vulnerable,V
Elachanthus glaber,Shiny Elachanth,COMPOSITAE,Elachanthus,Rare,R
Gratwickia monochaeta,,COMPOSITAE,Gratwickia,Rare,R
Haeckeria cassiniiformis,Dogwood Haeckeria,COMPOSITAE,Haeckeria,Rare,R
Haegiela tatei,Small Nut-heads,COMPOSITAE,Haegiela,Rare,R
Hyalosperma stoveae,Dwarf Sunray,COMPOSITAE,Hyalosperma,Rare,R
Iotasperma sessilifolium,,COMPOSITAE,Iotasperma,Rare,R
Ixodia achillaeoides ssp. arenicola,Sand Ixodia,COMPOSITAE,Ixodia,Endangered,E
Leiocarpa pluriseta,,COMPOSITAE,Leiocarpa,Rare,R
Leptinella reptans,Creeping Cotula,COMPOSITAE,Leptinella,Rare,R
Leptorhynchos elongatus,Lanky Buttons,COMPOSITAE,Leptorhynchos,Endangered,E
Leptorhynchos melanocarpus,Lake Acraman Button-daisy,COMPOSITAE,Leptorhynchos,Vulnerable,V
Leptorhynchos orientalis,Eastern Annual Buttons,COMPOSITAE,Leptorhynchos,Rare,R
Leptorhynchos scaber,Annual Buttons,COMPOSITAE,Leptorhynchos,Rare,R
Leptorhynchos tenuifolius,Wiry Buttons,COMPOSITAE,Leptorhynchos,Rare,R
Olearia adenolasia,Musk Daisy-bush,COMPOSITAE,Olearia,Rare,R
Olearia arckaringensis,Arckaringa Daisy,COMPOSITAE,Olearia,Endangered,E
Olearia arida,Desert Daisy-bush,COMPOSITAE,Olearia,Vulnerable,V
Olearia erubescens,Moth Daisy-bush,COMPOSITAE,Olearia,Endangered,E
Olearia glandulosa,Swamp Daisy-bush,COMPOSITAE,Olearia,Vulnerable,V
Olearia glutinosa,Sticky Daisy-bush,COMPOSITAE,Olearia,Endangered,E
Olearia microdisca,Small-flower Daisy-bush,COMPOSITAE,Olearia,Endangered,E
Olearia pannosa ssp. cardiophylla,Velvet Daisy-bush,COMPOSITAE,Olearia,Rare,R
Olearia pannosa ssp. pannosa,Silver Daisy-bush,COMPOSITAE,Olearia,Vulnerable,V
Olearia passerinoides ssp. glutescens,Sticky Daisy-bush,COMPOSITAE,Olearia,Rare,R
Olearia picridifolia,Rasp Daisy-bush,COMPOSITAE,Olearia,Rare,R
Olearia suffruticosa,Clustered Daisy-bush,COMPOSITAE,Olearia,Endangered,E
Ozothamnus pholidotus,Scaly Haeckeria,COMPOSITAE,Ozothamnus,Vulnerable,V
Ozothamnus scaber,Rough Bush-everlasting,COMPOSITAE,Ozothamnus,Vulnerable,V
Picris squarrosa,Squat Picris,COMPOSITAE,Picris,Rare,R
Pleuropappus phyllocalymmeus,Silver Candles,COMPOSITAE,Pleuropappus,Vulnerable,V
Podolepis jaceoides,Showy Copper-wire Daisy,COMPOSITAE,Podolepis,Rare,R
Podolepis muelleri,Button Podolepis,COMPOSITAE,Podolepis,Vulnerable,V
Pycnosorus chrysanthes,Yellow Drumsticks,COMPOSITAE,Pycnosorus,Endangered,E
Pycnosorus globosus,Drumsticks,COMPOSITAE,Pycnosorus,Vulnerable,V
Rhodanthe anthemoides,Chamomile Everlasting,COMPOSITAE,Rhodanthe,Endangered,E
Rhodanthe oppositifolia ssp. oppositifolia,Twin-leaf Everlasting,COMPOSITAE,Rhodanthe,Vulnerable,V
Senecio behrianus,Behr's Groundsel,COMPOSITAE,Senecio,Endangered,E
Senecio gawlerensis,Gawler Ranges Groundsel,COMPOSITAE,Senecio,Rare,R
Senecio gypsicola,Gypsum Groundsel,COMPOSITAE,Senecio,Rare,R
Senecio laceratus,Cut-leaf Groundsel,COMPOSITAE,Senecio,Rare,R
Senecio macrocarpus,Large-fruit Groundsel,COMPOSITAE,Senecio,Vulnerable,V
Senecio megaglossus,Large-flower Groundsel,COMPOSITAE,Senecio,Endangered,E
Senecio pinnatifolius var. pinnatifolius,,COMPOSITAE,Senecio,Rare,R
Senecio psilocarpus,,COMPOSITAE,Senecio,Vulnerable,V
Vittadinia australasica var. oricola,New Holland Daisy,COMPOSITAE,Vittadinia,Vulnerable,V
Hydrilla verticillata,Waterthyme,HYDROCHARITACEAE,Hydrilla,Rare,R
Ottelia ovalifolia ssp. ovalifolia,Swamp Lily,HYDROCHARITACEAE,Ottelia,Rare,R
Cycnogeton alcockiae,Alcock's Water-ribbons,JUNCAGINACEAE,Cycnogeton,Rare,R
Triglochin minutissima,Tiny Arrowgrass,JUNCAGINACEAE,Triglochin,Rare,R
Triglochin turrifera,Turret Arrowgrass,JUNCAGINACEAE,Triglochin,Vulnerable,V
Potamogeton australiensis,Thin Pondweed,POTAMOGETONACEAE,Potamogeton,Vulnerable,V
Potamogeton ochreatus,Blunt Pondweed,POTAMOGETONACEAE,Potamogeton,Rare,R
Zostera muelleri ssp. mucronata,Garweed,ZOSTERACEAE,Zostera,Rare,R
Zannichellia palustris,,ZANNICHELLIACEAE,Zannichellia,Rare,R
Najas tenuifolia,Water Nymph,NAJADACEAE,Najas,Endangered,E
Arthropodium milleflorum,Pale Vanilla-lily,LILIACEAE,Arthropodium,Vulnerable,V
Caesia parviflora var. minor,Pale Grass-lily,LILIACEAE,Caesia,Rare,R
Calectasia intermedia,Eastern Blue Tinsel-lily,LILIACEAE,Calectasia,Vulnerable,V
Corynotheca licrota,Sand Lily,LILIACEAE,Corynotheca,Rare,R
Dianella callicarpa,Swamp Flax-lily,LILIACEAE,Dianella,Endangered,E
Dianella longifolia var. grandis,Pale Flax-lily,LILIACEAE,Dianella,Rare,R
Dianella porracea,Pale Flax-lily,LILIACEAE,Dianella,Vulnerable,V
Dianella tarda,Late-flowered Flax-lily,LILIACEAE,Dianella,Endangered,E
Lomandra filiformis ssp. coriacea,Wattle Mat-rush,LILIACEAE,Lomandra,Rare,R
Lomandra multiflora ssp. multiflora,Many-flower Mat-rush,LILIACEAE,Lomandra,Endangered,E
Stypandra glauca,Nodding Grass-lily,LILIACEAE,Stypandra,Vulnerable,V
Thelionema caespitosum,Tufted Lily,LILIACEAE,Thelionema,Vulnerable,V
Thysanotus nudicaulis,,LILIACEAE,Thysanotus,Endangered,E
Thysanotus tenellus,Grassy Fringe-lily,LILIACEAE,Thysanotus,Rare,R
Thysanotus tuberosus ssp.,Tuber Fringe-lily,LILIACEAE,Thysanotus,Vulnerable,V
Thysanotus tuberosus ssp. tuberosus,Tuber Fringe-lily,LILIACEAE,Thysanotus,Vulnerable,V
Thysanotus wangariensis,Eyre Peninsula Fringe-lily,LILIACEAE,Thysanotus,Rare,R
Wurmbea decumbens,Trailing Nancy,LILIACEAE,Wurmbea,Rare,R
Wurmbea deserticola,Desert Nancy,LILIACEAE,Wurmbea,Rare,R
Wurmbea dioica ssp. lacunaria,Lagoon Nancy,LILIACEAE,Wurmbea,Endangered,E
Wurmbea latifolia ssp. latifolia,Broad-leaf Nancy,LILIACEAE,Wurmbea,Vulnerable,V
Wurmbea latifolia ssp. vanessae,Broad-leaf Nancy,LILIACEAE,Wurmbea,Rare,R
Wurmbea nilpinna,,LILIACEAE,Wurmbea,Vulnerable,V
Wurmbea sinora,,LILIACEAE,Wurmbea,Endangered,E
Wurmbea stellata,Star Nancy,LILIACEAE,Wurmbea,Rare,R
Wurmbea uniflora,One-flower Nancy,LILIACEAE,Wurmbea,Endangered,E
Xanthorrhoea minor ssp. lutea,Little Yacca,LILIACEAE,Xanthorrhoea,Endangered,E
Xanthorrhoea semiplana ssp. tateana,Tate's Grass-tree,LILIACEAE,Xanthorrhoea,Rare,R
Xanthorrhoea thorntonii,Desert Grass-tree,LILIACEAE,Xanthorrhoea,Rare,R
Juncus amabilis,,JUNCACEAE,Juncus,Vulnerable,V
Juncus australis,Austral Rush,JUNCACEAE,Juncus,Rare,R
Juncus homalocaulis,Wiry Rush,JUNCACEAE,Juncus,Vulnerable,V
Juncus prismatocarpus,Branching Rush,JUNCACEAE,Juncus,Endangered,E
Juncus procerus,Tall Rush,JUNCACEAE,Juncus,Rare,R
Juncus radula,Hoary Rush,JUNCACEAE,Juncus,Vulnerable,V
Luzula flaccida,Pale Wood-rush,JUNCACEAE,Luzula,Vulnerable,V
Luzula ovata,Clustered Wood-rush,JUNCACEAE,Luzula,Rare,R
Xyris operculata,Tall Yellow-eye,XYRIDACEAE,Xyris,Rare,R
Eriocaulon carsonii ssp. carsonii,Salt Pipewort,ERIOCAULACEAE,Eriocaulon,Endangered,E
Baloskion tetraphyllum ssp. tetraphyllum,Tassel Cord-rush,RESTIONACEAE,Baloskion,Vulnerable,V
Desmocladus diacolpicus,Bundled Cord-rush,RESTIONACEAE,Desmocladus,Vulnerable,V
Eurychorda complanata,Flat Cord-rush,RESTIONACEAE,Eurychorda,Vulnerable,V
Lepyrodia valliculae,Kangaroo Island Scale-rush,RESTIONACEAE,Lepyrodia,Rare,R
Centrolepis cephaloformis ssp. cephaloformis,Cushion Centrolepis,CENTROLEPIDACEAE,Centrolepis,Rare,R
Centrolepis cephaloformis ssp. murrayi,Cushion Centrolepis,CENTROLEPIDACEAE,Centrolepis,Rare,R
Centrolepis glabra,Smooth Centrolepis,CENTROLEPIDACEAE,Centrolepis,Rare,R
Amphibromus archeri,Pointed Swamp Wallaby-grass,GRAMINEAE,Amphibromus,Rare,R
Amphibromus macrorhinus,Long-nosed Swamp Wallaby-grass,GRAMINEAE,Amphibromus,Rare,R
Amphibromus recurvatus,Dark Swamp Wallaby-grass,GRAMINEAE,Amphibromus,Rare,R
Aristida arida,,GRAMINEAE,Aristida,Rare,R
Aristida australis,,GRAMINEAE,Aristida,Rare,R
Austrostipa breviglumis,Cane Spear-grass,GRAMINEAE,Austrostipa,Rare,R
Austrostipa densiflora,Fox-tail Spear-grass,GRAMINEAE,Austrostipa,Rare,R
