scientificName,vernacularName,family,genus,status,sourceStatus
Pandion haliaetus cristatus,Eastern Osprey,PANDIONIDAE,Pandion,Endangered,E
Accipiter novaehollandiae,Grey Goshawk,ACCIPITRIDAE,Accipiter,Endangered,E
Elanus scriptus,Letter-winged Kite,ACCIPITRIDAE,Elanus,Vulnerable,V
Haliaeetus leucogaster,White-bellied Sea Eagle,ACCIPITRIDAE,Haliaeetus,Endangered,E
Hamirostra melanosternon,Black-breasted Buzzard,ACCIPITRIDAE,Hamirostra,Rare,R
Hieraaetus morphnoides,Little Eagle,ACCIPITRIDAE,Hieraaetus,Vulnerable,V
Lophoictinia isura,Square-tailed Kite,ACCIPITRIDAE,Lophoictinia,Endangered,E
Ardeotis australis,Australian Bustard,OTIDIDAE,Ardeotis,Vulnerable,V
Lewin pectoralis pectoralis,Lewin's Rail,RALLIDAE,Lewin,Vulnerable,V
Zapornia tabuensis,Spotless Crake,RALLIDAE,Zapornia,Rare,R
Antigone rubicunda,Brolga,GRUIDAE,Antigone,Vulnerable,V
Turnix pyrrhothorax,Red-chested Buttonquail,TURNICIDAE,Turnix,Rare,R
Turnix varius varius,Painted Buttonquail,TURNICIDAE,Turnix,Rare,R
Burhinus grallarius,Bush Stonecurlew,BURHINIDAE,Burhinus,Rare,R
Haematopus fuliginosus fuliginosus,Sooty Oystercatcher,HAEMATOPODIDAE,Haematopus,Rare,R
Haematopus longirostris,Pied Oystercatcher,HAEMATOPODIDAE,Haematopus,Rare,R
Cladorhynchus leucocephalus,Banded Stilt,RECURVIROSTRIDAE,Cladorhynchus,Vulnerable,V
Charadrius leschenaultii leschenaultii,Greater Sand Plover,CHARADRIIDAE,Charadrius,Rare,R
Charadrius mongolus mongolus,Lesser Sand Plover,CHARADRIIDAE,Charadrius,Endangered,E
Pluvialis fulva,Pacific Golden Plover,CHARADRIIDAE,Pluvialis,Rare,R
Thinornis cucullatus cucullatus,Hooded Plover,CHARADRIIDAE,Thinornis,Vulnerable,V
Rostratula australis,Australian Painted-snipe,ROSTRATULIDAE,Rostratula,Endangered,E
Pedionomus torquatus,Plains-wanderer,PEDIONOMIDAE,Pedionomus,Endangered,E
Actitis hypoleucos,Common Sandpiper,SCOLOPACIDAE,Actitis,Rare,R
Arenaria interpres interpres,Ruddy Turnstone,SCOLOPACIDAE,Arenaria,Rare,R
Calidris alba alba,Sanderling,SCOLOPACIDAE,Calidris,Rare,R
Calidris canutus rogersi,Red Knot (ssp. rogersi),SCOLOPACIDAE,Calidris,Endangered,E
Calidris ferruginea,Curlew Sandpiper,SCOLOPACIDAE,Calidris,Endangered,E
Calidris melanotos,Pectoral Sandpiper,SCOLOPACIDAE,Calidris,Rare,R
Calidris pugnax,Ruff,SCOLOPACIDAE,Calidris,Rare,R
Calidris subminuta,Long-toed Stint,SCOLOPACIDAE,Calidris,Rare,R
Calidris tenuirostris,Great Knot,SCOLOPACIDAE,Calidris,Endangered,E
Gallinago hardwickii,Latham's Snipe,SCOLOPACIDAE,Gallinago,Rare,R
Limosa lapponica baueri,Bar-tailed Godwit (ssp. baueri),SCOLOPACIDAE,Limosa,Rare,R
Limosa limosa melanuroides,Black-tailed Godwit,SCOLOPACIDAE,Limosa,Rare,R
Numenius madagascariensis,Far Eastern Curlew,SCOLOPACIDAE,Numenius,Endangered,E
Numenius phaeopus variegatus,Whimbrel,SCOLOPACIDAE,Numenius,Rare,R
Tringa brevipes,Grey-tailed Tattler,SCOLOPACIDAE,Tringa,Rare,R
Tringa glareola,Wood Sandpiper,SCOLOPACIDAE,Tringa,Rare,R
Xenus cinereus,Terek Sandpiper,SCOLOPACIDAE,Xenus,Rare,R
Larus dominicanus dominicanus,Kelp Gull,LARIDAE,Larus,Rare,R
Sterna hirundo longipennis,Common Tern,LARIDAE,Sterna,Rare,R
Sternula albifrons sinensis,Little Tern,LARIDAE,Sternula,Endangered,E
Sternula nereis nereis,Fairy Tern,LARIDAE,Sternula,Endangered,E
Stercorarius antarcticus lonnbergi,Brown Skua,STERCORARIIDAE,Stercorarius,Vulnerable,V
Geophaps plumifera leucogaster,Spinifex Pigeon,COLUMBIDAE,Geophaps,Rare,R
Phaps histrionica,Flock Bronzewing,COLUMBIDAE,Phaps,Rare,R
Tyto longimembris longimembris,Eastern Grass Owl,TYTONIDAE,Tyto,Rare,R
Tyto novaehollandiae novaehollandiae,Australian Masked Owl,TYTONIDAE,Tyto,Endangered,E
Ninox connivens connivens,Barking Owl,STRIGIDAE,Ninox,Rare,R
Ninox strenua,Powerful Owl,STRIGIDAE,Ninox,Endangered,E
Hirundapus caudacutus caudacutus,White-throated Needletail,APODIDAE,Hirundapus,Vulnerable,V
Ceyx azureus azureus,Azure Kingfisher,ALCEDINIDAE,Ceyx,Endangered,E
Falco hypoleucos,Grey Falcon,FALCONIDAE,Falco,Rare,R
Falco peregrinus macropus,Peregrine Falcon,FALCONIDAE,Falco,Rare,R
Falco subniger,Black Falcon,FALCONIDAE,Falco,Rare,R
Calyptorhynchus banksii graptogyne,Red-tailed Black Cockatoo (south-east),CACATUIDAE,Calyptorhynchus,Endangered,E
Calyptorhynchus lathami halmaturinus,Glossy Black-Cockatoo (Kangaroo Island subspecies),CACATUIDAE,Calyptorhynchus,Endangered,E
