scientificName,vernacularName,family,genus,sourceStatus,status
Baloghia marmorata,Jointed Baloghia,Euphorbiaceae,Baloghia,Vulnerable,Vulnerable
Macrozamia johnsonii,Johnson's Cycad,Zamiaceae,Macrozamia,Endangered,Endangered
Drynaria rigidula,Basket Fern,Polypodiaceae,Drynaria,Endangered,Endangered
Sophora tomentosa,Silverbush,Fabaceae (Faboideae),Sophora,Endangered,Endangered
Allocasuarina simulans,Nabiac Casuarina,Casuarinaceae,Allocasuarina,Vulnerable,Vulnerable
Lindsaea incisa,Slender Screw Fern,Lindsaeaceae,Lindsaea,Endangered,Endangered
Boronia umbellata,Orara Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Prostanthera marifolia,Seaforth Mintbush,Lamiaceae,Prostanthera,Critically Endangered,Critically Endangered
Boronia granitica,Granite Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Chiloglottis platyptera,Barrington Tops Ant Orchid,Orchidaceae,Chiloglottis,Vulnerable,Vulnerable
Euphrasia scabra,Rough Eyebright,Orobanchaceae,Euphrasia,Endangered,Endangered
Diuris praecox,Rough Doubletail,Orchidaceae,Diuris,Vulnerable,Vulnerable
Dodonaea procumbens,Creeping Hop-bush,Sapindaceae,Dodonaea,Vulnerable,Vulnerable
Epacris purpurascens var. purpurascens,,Ericaceae,Epacris,Vulnerable,Vulnerable
Dodonaea sinuolata subsp. acrodentata,A Hopbush,Sapindaceae,Dodonaea,Endangered,Endangered
Desmodium campylocaulon,Creeping Tick-trefoil,Fabaceae (Faboideae),Desmodium,Endangered,Endangered
Allocasuarina portuensis,Nielsen Park She-oak,Casuarinaceae,Allocasuarina,Endangered,Endangered
Elaeocarpus williamsianus,Hairy Quandong,Elaeocarpaceae,Elaeocarpus,Endangered,Endangered
Eucalyptus imlayensis,Imlay Mallee,Myrtaceae,Eucalyptus,Critically Endangered,Critically Endangered
Persoonia glaucescens,Mittagong Geebung,Proteaceae,Persoonia,Endangered,Endangered
Eriocaulon australasicum,Austral Pipewort,Eriocaulaceae,Eriocaulon,Endangered,Endangered
Uromyrtus australis,Peach Myrtle,Myrtaceae,Uromyrtus,Endangered,Endangered
Diospyros mabacea,Red-fruited Ebony,Ebenaceae,Diospyros,Endangered,Endangered
Eriocaulon carsonii,Salt Pipewort,Eriocaulaceae,Eriocaulon,Endangered,Endangered
Dichanthium setosum,Bluegrass,Poaceae,Dichanthium,Vulnerable,Vulnerable
Tasmannia purpurascens,Broad-leaved Pepperbush,Winteraceae,Tasmannia,Vulnerable,Vulnerable
Marsdenia longiloba,Slender Marsdenia,Apocynaceae,Marsdenia,Endangered,Endangered
Indigofera efoliata,Leafless Indigo,Fabaceae (Faboideae),Indigofera,Endangered,Endangered
Rhodamnia maideniana,Smooth Scrub Turpentine,Myrtaceae,Rhodamnia,Critically Endangered,Critically Endangered
Endiandra hayesii,Rusty Rose Walnut,Lauraceae,Endiandra,Vulnerable,Vulnerable
Acacia courtii,North Brother Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Symplocos baeuerlenii,Small-leaved Hazelwood,Symplocaceae,Symplocos,Vulnerable,Vulnerable
Hakea pulvinifera,Lake Keepit Hakea,Proteaceae,Hakea,Endangered,Endangered
Corchorus cunninghamii,Native Jute,Tiliaceae,Corchorus,Endangered,Endangered
Epacris hamiltonii,,Ericaceae,Epacris,Endangered,Endangered
Digitaria porrecta,Finger Panic Grass,Poaceae,Digitaria,Endangered,Endangered
Grevillea kennedyana,Flame Spider Flower,Proteaceae,Grevillea,Vulnerable,Vulnerable
Grevillea scortechinii subsp. sarmentosa,Backwater Grevillea,Proteaceae,Grevillea,Vulnerable,Vulnerable
Rhizanthella slateri,Eastern Australian Underground Orchid,Orchidaceae,Rhizanthella,Vulnerable,Vulnerable
Acacia constablei,Narrabarba Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Eucalyptus cannonii,Capertee Stringybark,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Olearia flocktoniae,Dorrigo Daisy Bush,Asteraceae,Olearia,Endangered,Endangered
Swainsona murrayana,Slender Darling Pea,Fabaceae (Faboideae),Swainsona,Vulnerable,Vulnerable
Eucalyptus scoparia,Wallangarra White Gum,Myrtaceae,Eucalyptus,Endangered,Endangered
Corokia whiteana,Corokia,Argophyllaceae,Corokia,Vulnerable,Vulnerable
Eucalyptus kartzoffiana,Araluen Gum,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Phyllota humifusa,Dwarf Phyllota,Fabaceae (Faboideae),Phyllota,Vulnerable,Vulnerable
Eucalyptus mckieana,McKie's Stringybark,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Almaleea cambagei,Torrington Pea,Fabaceae (Faboideae),Almaleea,Endangered,Endangered
Owenia cepiodora,Onion Cedar,Meliaceae,Owenia,Vulnerable,Vulnerable
Acacia clunies-rossiae,Kanangra Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Lepidium monoplocoides,Winged Peppercress,Brassicaceae,Lepidium,Endangered,Endangered
Thesium australe,Austral Toadflax,Santalaceae,Thesium,Vulnerable,Vulnerable
Gentiana wissmannii,New England Gentian,Gentianaceae,Gentiana,Vulnerable,Vulnerable
Ranunculus anemoneus,Anemone Buttercup,Ranunculaceae,Ranunculus,Vulnerable,Vulnerable
Sclerolaena napiformis,Turnip Copperburr,Chenopodiaceae,Sclerolaena,Endangered,Endangered
Carex raleighii,Raleigh Sedge,Cyperaceae,Carex,Endangered,Endangered
Gentiana bredboensis,Bredbo Gentian,Gentianaceae,Gentiana,Critically Endangered,Critically Endangered
Acacia ausfeldii,Ausfeld's Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Cynanchum elegans,White-flowered Wax Plant,Apocynaceae,Cynanchum,Endangered,Endangered
Eucalyptus pulverulenta,Silver-leafed Gum,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Maireana cheelii,Chariot Wheels,Chenopodiaceae,Maireana,Vulnerable,Vulnerable
Sarcochilus dilatatus,Brown Butterfly Orchid,Orchidaceae,Sarcochilus,Endangered,Endangered
Diuris venosa,Veined Doubletail,Orchidaceae,Diuris,Vulnerable,Vulnerable
Swainsona recta,Small Purple-pea,Fabaceae (Faboideae),Swainsona,Endangered,Endangered
Floydia praealta,Ball Nut,Proteaceae,Floydia,Vulnerable,Vulnerable
Cadellia pentastylis,Ooline,Surianaceae,Cadellia,Vulnerable,Vulnerable
Bulbophyllum globuliforme,Hoop Pine Orchid,Orchidaceae,Bulbophyllum,Vulnerable,Vulnerable
Xerothamnella parvifolia,Small-leaved Little Dry Shrub,Acanthaceae,Xerothamnella,Endangered,Endangered
Kennedia retrorsa,,Fabaceae (Faboideae),Kennedia,Vulnerable,Vulnerable
Rutidosis leiolepis,Monaro Golden Daisy,Asteraceae,Rutidosis,Vulnerable,Vulnerable
Macadamia tetraphylla,Rough-shelled Bush Nut,Proteaceae,Macadamia,Vulnerable,Vulnerable
Acacia phasmoides,Phantom Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Ammobium craspedioides,Yass Daisy,Asteraceae,Ammobium,Vulnerable,Vulnerable
Callitris oblonga,Pygmy Cypress Pine,Cupressaceae,Callitris,Vulnerable,Vulnerable
Acanthocladium dockeri,Spiny Everlasting,Asteraceae,Acanthocladium,Extinct,Extinct
Acacia bynoeana,Bynoe's Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Rutidosis heterogama,Heath Wrinklewort,Asteraceae,Rutidosis,Vulnerable,Vulnerable
Eucalyptus nicholii,Narrow-leaved Black Peppermint,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Clematis fawcettii,Northern Clematis,Ranunculaceae,Clematis,Vulnerable,Vulnerable
Ancistrachne maidenii,,Poaceae,Ancistrachne,Vulnerable,Vulnerable
Eleocharis obicis,Spike-Rush,Cyperaceae,Eleocharis,Vulnerable,Vulnerable
Tephrosia filipes,,Fabaceae (Faboideae),Tephrosia,Vulnerable,Vulnerable
Senecio behrianus,,Asteraceae,Senecio,Extinct,Extinct
Eucalyptus recurva,Mongarlowe Mallee,Myrtaceae,Eucalyptus,Critically Endangered,Critically Endangered
Lepidium pseudopapillosum,Formbe Peppercress,Brassicaceae,Lepidium,Endangered,Endangered
Bossiaea oligosperma,Few-seeded Bossiaea,Fabaceae (Faboideae),Bossiaea,Vulnerable,Vulnerable
Discaria nitida,Leafy Anchor Plant,Rhamnaceae,Discaria,Vulnerable,Vulnerable
Gentiana wingecarribiensis,Wingecarribee Gentian,Gentianaceae,Gentiana,Critically Endangered,Critically Endangered
Glinus orygioides,,Molluginaceae,Glinus,Extinct,Extinct
Pterostylis cobarensis,Greenhood Orchid,Orchidaceae,Pterostylis,Vulnerable,Vulnerable
Deyeuxia appressa,,Poaceae,Deyeuxia,Endangered,Endangered
Eucalyptus pumila,Pokolbin Mallee,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Homoranthus darwinioides,Fairy Bells,Myrtaceae,Homoranthus,Vulnerable,Vulnerable
Cryptocarya foetida,Stinking Cryptocarya,Lauraceae,Cryptocarya,Vulnerable,Vulnerable
Melichrus hirsutus,Hairy Melichrus,Ericaceae,Melichrus,Endangered,Endangered
Grevillea renwickiana,Nerriga Grevillea,Proteaceae,Grevillea,Endangered,Endangered
Sarcochilus weinthalii,Blotched Sarcochilus,Orchidaceae,Sarcochilus,Vulnerable,Vulnerable
Zieria obcordata,Granite Zieria,Rutaceae,Zieria,Endangered,Endangered
Sarcochilus fitzgeraldii,Ravine Orchid,Orchidaceae,Sarcochilus,Vulnerable,Vulnerable
Solanum karsense,Menindee Nightshade,Solanaceae,Solanum,Vulnerable,Vulnerable
Lepidium peregrinum,Wandering Pepper Cress,Brassicaceae,Lepidium,Endangered,Endangered
Grevillea shiressii,,Proteaceae,Grevillea,Vulnerable,Vulnerable
Swainsona plagiotropis,Red Darling Pea,Fabaceae (Faboideae),Swainsona,Vulnerable,Vulnerable
Lepiderema pulchella,Fine-leaved Tuckeroo,Sapindaceae,Lepiderema,Vulnerable,Vulnerable
Phaius australis,Southern Swamp Orchid,Orchidaceae,Phaius,Endangered,Endangered
Euphorbia sarcostemmoides,Climbing Caustic,Euphorbiaceae,Euphorbia,Endangered,Endangered
Boronia repanda,Granite Rose,Rutaceae,Boronia,Endangered,Endangered
Acacia georgensis,Bega Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Cassia marksiana,,Fabaceae (Caesalpinioideae),Cassia,Endangered,Endangered
Syzygium hodgkinsoniae,Red Lilly Pilly,Myrtaceae,Syzygium,Vulnerable,Vulnerable
Olearia cordata,,Asteraceae,Olearia,Vulnerable,Vulnerable
Persoonia mollis subsp. revoluta,,Proteaceae,Persoonia,Vulnerable,Vulnerable
Aldrovanda vesiculosa,Waterwheel Plant,Droseraceae,Aldrovanda,Endangered,Endangered
Leptospermum thompsonii,Monga Tea Tree,Myrtaceae,Leptospermum,Vulnerable,Vulnerable
Lepidium hyssopifolium,Aromatic Peppercress,Brassicaceae,Lepidium,Endangered,Endangered
Melaleuca groveana,Grove's Paperbark,Myrtaceae,Melaleuca,Vulnerable,Vulnerable
Diploglottis campbellii,Small-leaved Tamarind,Sapindaceae,Diploglottis,Endangered,Endangered
Leptospermum deanei,,Myrtaceae,Leptospermum,Vulnerable,Vulnerable
Grevillea rivularis,Carrington Falls Grevillea,Proteaceae,Grevillea,Critically Endangered,Critically Endangered
Atriplex infrequens,A saltbush,Chenopodiaceae,Atriplex,Vulnerable,Vulnerable
Sarcochilus hartmannii,Hartman's Sarcochilus,Orchidaceae,Sarcochilus,Vulnerable,Vulnerable
Eucalyptus tetrapleura,Square-fruited Ironbark,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Ochrosia moorei,Southern Ochrosia,Apocynaceae,Ochrosia,Endangered,Endangered
Bosistoa transversa,Yellow Satinheart,Rutaceae,Bosistoa,Vulnerable,Vulnerable
Codonocarpus pyramidalis,,Gyrostemonaceae,Codonocarpus,Extinct,Extinct
Acacia curranii,Curly-bark Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Prostanthera stricta,Mount Vincent Mint-bush,Lamiaceae,Prostanthera,Vulnerable,Vulnerable
Bertya ingramii,Narrow-leaved Bertya,Euphorbiaceae,Bertya,Endangered,Endangered
Pomaderris queenslandica,Scant Pomaderris,Rhamnaceae,Pomaderris,Endangered,Endangered
Senna acclinis,Rainforest Cassia,Fabaceae (Caesalpinioideae),Senna,Endangered,Endangered
Pimelea elongata,Rice Flower,Thymelaeaceae,Pimelea,Endangered,Endangered
Boronia deanei,Deane's Boronia,Rutaceae,Boronia,Vulnerable,Vulnerable
Phebalium glandulosum subsp. eglandulosum,Rusty Desert Phebalium,Rutaceae,Phebalium,Endangered,Endangered
Ozothamnus vagans,Wollumbin Dogwood,Asteraceae,Ozothamnus,Endangered,Endangered
Acacia meiantha,,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Eucalyptus camphora subsp. relicta,Warra Broad-leaved Sally,Myrtaceae,Eucalyptus,Endangered,Endangered
Pomaderris cotoneaster,Cotoneaster Pomaderris,Rhamnaceae,Pomaderris,Endangered,Endangered
Eucalyptus glaucina,Slaty Red Gum,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Chiloglottis anaticeps,Bird Orchid,Orchidaceae,Chiloglottis,Endangered,Endangered
Diuris pedunculata,Small Snake Orchid,Orchidaceae,Diuris,Endangered,Endangered
Doryanthes palmeri,Giant Spear Lily,Doryanthaceae,Doryanthes,Vulnerable,Vulnerable
Dampiera fusca,Kydra Dampiera,Goodeniaceae,Dampiera,Endangered,Endangered
Swainsona sericea,Silky Swainson-pea,Fabaceae (Faboideae),Swainsona,Vulnerable,Vulnerable
Pimelea curviflora var. curviflora,,Thymelaeaceae,Pimelea,Vulnerable,Vulnerable
Rhaphidospora bonneyana,,Acanthaceae,Rhaphidospora,Extinct,Extinct
Grevillea mollis,Soft Grevillea,Proteaceae,Grevillea,Endangered,Endangered
Leucopogon exolasius,Woronora Beard-heath,Ericaceae,Leucopogon,Vulnerable,Vulnerable
Endiandra muelleri subsp. bracteata,Green-leaved Rose Walnut,Lauraceae,Endiandra,Endangered,Endangered
Atriplex acutiloba,,Chenopodiaceae,Atriplex,Extinct,Extinct
Grevillea iaspicula,Wee Jasper Grevillea,Proteaceae,Grevillea,Critically Endangered,Critically Endangered
Blumea lacera,,Asteraceae,Blumea,Extinct,Extinct
Lastreopsis hispida,Bristly Shield Fern,Dryopteridaceae,Lastreopsis,Endangered,Endangered
Galium australe,Tangled Bedstraw,Rubiaceae,Galium,Endangered,Endangered
Astrotricha crassifolia,Thick-leaf Star-hair,Araliaceae,Astrotricha,Vulnerable,Vulnerable
Hibbertia procumbens,Spreading Guinea Flower,Dilleniaceae,Hibbertia,Endangered,Endangered
Plectranthus nitidus,Nightcap Plectranthus,Lamiaceae,Plectranthus,Endangered,Endangered
Belvisia mucronata,Needle-leaf Fern,Polypodiaceae,Belvisia,Endangered,Endangered
Carmichaelia exsul,Lord Howe Island Broom,Fabaceae (Faboideae),Carmichaelia,Endangered,Endangered
Swainsona colutoides,Bladder Senna,Fabaceae (Faboideae),Swainsona,Endangered,Endangered
Persoonia oxycoccoides,,Proteaceae,Persoonia,Endangered,Endangered
Prasophyllum fuscum,Slaty Leek Orchid,Orchidaceae,Prasophyllum,Critically Endangered,Critically Endangered
Lepidorrhachis mooreana,Little Mountain Palm,Arecaceae,Lepidorrhachis,Critically Endangered,Critically Endangered
Angiopteris evecta,Giant Fern,Marattiaceae,Angiopteris,Endangered,Endangered
Pterostylis alpina,Alpine Greenhood,Orchidaceae,Pterostylis,Vulnerable,Vulnerable
Eleocharis tetraquetra,Square-stemmed Spike-rush,Cyperaceae,Eleocharis,Endangered,Endangered
Maireana lanosa,,Chenopodiaceae,Maireana,Extinct,Extinct
Ipomoea diamantinensis,Desert Cow-Vine,Convolvulaceae,Ipomoea,Endangered,Endangered
Senecio garlandii,Woolly Ragwort,Asteraceae,Senecio,Vulnerable,Vulnerable
Euphrasia bowdeniae,Blue Mountains Cliff Eyebright,Orobanchaceae,Euphrasia,Vulnerable,Vulnerable
Isopogon fletcheri,Fletcher's Drumsticks,Proteaceae,Isopogon,Vulnerable,Vulnerable
Santalum murrayanum,Bitter Quandong,Santalaceae,Santalum,Endangered,Endangered
Hibbertia marginata,Bordered Guinea Flower,Dilleniaceae,Hibbertia,Vulnerable,Vulnerable
Ptilotus extenuatus,,Amaranthaceae,Ptilotus,Extinct,Extinct
Dodonaea stenophylla,,Sapindaceae,Dodonaea,Vulnerable,Vulnerable
Euphrasia ciliolata,Polblue Eyebright,Orobanchaceae,Euphrasia,Vulnerable,Vulnerable
Acacia pubifolia,Velvet Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Prasophyllum affine,Jervis Bay Leek Orchid,Orchidaceae,Prasophyllum,Endangered,Endangered
Cyperus aquatilis,Water Nutgrass,Cyperaceae,Cyperus,Endangered,Endangered
Dipteracanthus australasicus subsp. corynothecus,,Acanthaceae,Dipteracanthus,Endangered,Endangered
Casuarina obesa,Swamp She-oak,Casuarinaceae,Casuarina,Endangered,Endangered
Tinospora smilacina,Tinospora Vine,Menispermaceae,Tinospora,Endangered,Endangered
Pterostylis pulchella,Waterfall Greenhood,Orchidaceae,Pterostylis,Vulnerable,Vulnerable
Angophora robur,Sandstone Rough-barked Apple,Myrtaceae,Angophora,Vulnerable,Vulnerable
Irenepharsus trypherus,Illawarra Irene,Brassicaceae,Irenepharsus,Endangered,Endangered
Tinospora tinosporoides,Arrow-head Vine,Menispermaceae,Tinospora,Vulnerable,Vulnerable
Asperula asthenes,Trailing Woodruff,Rubiaceae,Asperula,Vulnerable,Vulnerable
Micromelum minutum,,Rutaceae,Micromelum,Extinct,Extinct
Elionurus citreus,Lemon-scented Grass,Poaceae,Elionurus,Endangered,Endangered
Cratystylis conocephala,Bluebush Daisy,Asteraceae,Cratystylis,Endangered,Endangered
Indigofera leucotricha,Silver Indigo,Fabaceae (Faboideae),Indigofera,Endangered,Endangered
Hypolepis elegans,,Dennstaedtiaceae,Hypolepis,Extinct,Extinct
Eucalyptus sturgissiana,Ettrema Mallee,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Platyzoma microphyllum,Braid Fern,Pteridaceae,Platyzoma,Endangered,Endangered
Acacia baueri subsp. aspera,,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Pomaderris pallida,Pale Pomaderris,Rhamnaceae,Pomaderris,Vulnerable,Vulnerable
Swainsona viridis,Creeping Darling Pea,Fabaceae (Faboideae),Swainsona,Endangered,Endangered
Genoplesium rhyoliticum,Rhyolite Midge Orchid,Orchidaceae,Genoplesium,Endangered,Endangered
Pilularia novae-hollandiae,Austral Pillwort,Marsileaceae,Pilularia,Endangered,Endangered
Darwinia peduncularis,,Myrtaceae,Darwinia,Vulnerable,Vulnerable
Acacia gordonii,,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Pomaderris sericea,Silky Pomaderris,Rhamnaceae,Pomaderris,Endangered,Endangered
Geodorum densiflorum,Pink Nodding Orchid,Orchidaceae,Geodorum,Endangered,Endangered
Allocasuarina glareicola,,Casuarinaceae,Allocasuarina,Endangered,Endangered
Lindsaea brachypoda,Short-footed Screw Fern,Lindsaeaceae,Lindsaea,Endangered,Endangered
Zieria adenophora,Araluen Zieria,Rutaceae,Zieria,Critically Endangered,Critically Endangered
Calotis glandulosa,Mauve Burr-daisy,Asteraceae,Calotis,Vulnerable,Vulnerable
Homoranthus lunatus,Crescent-leaved Homoranthus,Myrtaceae,Homoranthus,Vulnerable,Vulnerable
Brachyscome papillosa,Mossgiel Daisy,Asteraceae,Brachyscome,Vulnerable,Vulnerable
Micromyrtus blakelyi,,Myrtaceae,Micromyrtus,Vulnerable,Vulnerable
Eucalyptus copulans,,Myrtaceae,Eucalyptus,Endangered,Endangered
Eucalyptus aquatica,Broad-leaved Sally,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Velleia perfoliata,,Goodeniaceae,Velleia,Vulnerable,Vulnerable
Plinthanthesis rodwayi,Budawangs Wallaby Grass,Poaceae,Plinthanthesis,Critically Endangered,Critically Endangered
Eucalyptus magnificata,Northern Blue Box,Myrtaceae,Eucalyptus,Endangered,Endangered
Acacia chrysotricha,Newry Golden Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Melaleuca irbyana,Weeping Paperbark,Myrtaceae,Melaleuca,Endangered,Endangered
Eucalyptus largeana,Craven Grey Box,Myrtaceae,Eucalyptus,Endangered,Endangered
Cupaniopsis serrata,Smooth Tuckeroo,Sapindaceae,Cupaniopsis,Endangered,Endangered
Grevillea banyabba,Banyabba Grevillea,Proteaceae,Grevillea,Vulnerable,Vulnerable
Euphrasia orthocheila subsp. peraspera,Tenterfield Eyebright,Orobanchaceae,Euphrasia,Endangered,Endangered
Pterostylis nigricans,Dark Greenhood,Orchidaceae,Pterostylis,Vulnerable,Vulnerable
Astrotricha cordata,Heart-leaved Star Hair,Araliaceae,Astrotricha,Endangered,Endangered
Acacia pycnostachya,Bolivia Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Callitris baileyi,Bailey's Cypress Pine,Cupressaceae,Callitris,Endangered,Endangered
Trachymene scapigera,Mountain Trachymene,Araliaceae,Trachymene,Endangered,Endangered
Diuris disposita,Willawarrin Doubletail,Orchidaceae,Diuris,Endangered,Endangered
Euphrasia collina subsp. muelleri,Mueller's Eyebright,Orobanchaceae,Euphrasia,Endangered,Endangered
Acacia acanthoclada,Harrow Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Acacia jucunda,Yetman Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Eucalyptus microcodon,Border Mallee,Myrtaceae,Eucalyptus,Endangered,Endangered
Olearia oliganthema,,Asteraceae,Olearia,Extinct,Extinct
Dysphania platycarpa,,Chenopodiaceae,Dysphania,Endangered,Endangered
Cyperus conicus,,Cyperaceae,Cyperus,Endangered,Endangered
Sida rohlenae,Shrub Sida,Malvaceae,Sida,Endangered,Endangered
Psilotum complanatum,Flat Fork Fern,Psilotaceae,Psilotum,Endangered,Endangered
Arthraxon hispidus,Hairy Jointgrass,Poaceae,Arthraxon,Vulnerable,Vulnerable
Indigofera helmsii,Indigo,Fabaceae (Faboideae),Indigofera,Endangered,Endangered
Myriophyllum implicatum,,Haloragaceae,Myriophyllum,Critically Endangered,Critically Endangered
Grevillea obtusiflora,,Proteaceae,Grevillea,Endangered,Endangered
Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,Haloragaceae,Haloragis,Vulnerable,Vulnerable
Hibbertia hexandra,Tree Guinea Flower,Dilleniaceae,Hibbertia,Endangered,Endangered
Alexfloydia repens,Floyd's Grass,Poaceae,Alexfloydia,Endangered,Endangered
Allocasuarina defungens,Dwarf Heath Casuarina,Casuarinaceae,Allocasuarina,Endangered,Endangered
Caladenia arenaria,Sand-hill Spider Orchid,Orchidaceae,Caladenia,Endangered,Endangered
Polystichum moorei,Rock Shield Fern,Dryopteridaceae,Polystichum,Endangered,Endangered
Epacris sparsa,Sparse Heath,Ericaceae,Epacris,Vulnerable,Vulnerable
Muellerina myrtifolia,Myrtle-leaf Mistletoe,Loranthaceae,Muellerina,Endangered,Endangered
Senecio georgianus,,Asteraceae,Senecio,Extinct,Extinct
Lysimachia vulgaris var. davurica,Yellow Loosestrife,Primulaceae,Lysimachia,Endangered,Endangered
Zannichellia palustris,,Potamogetonaceae,Zannichellia,Endangered,Endangered
Diuris bracteata,,Orchidaceae,Diuris,Endangered,Endangered
Ipomoea polymorpha,Silky Cow-Vine,Convolvulaceae,Ipomoea,Endangered,Endangered
Solanum bauerianum,,Solanaceae,Solanum,Extinct,Extinct
Capparis canescens,Wild Orange,Capparaceae,Capparis,Endangered,Endangered
Polycarpaea spirostylis subsp. glabra,,Caryophyllaceae,Polycarpaea,Endangered,Endangered
Grevillea nematophylla,Silver-leaved Water Tree,Proteaceae,Grevillea,Extinct,Extinct
Melicope vitiflora,Coast Euodia,Rutaceae,Melicope,Endangered,Endangered
Prostanthera densa,Villous Mint-bush,Lamiaceae,Prostanthera,Vulnerable,Vulnerable
Grevillea evansiana,Evans Grevillea,Proteaceae,Grevillea,Vulnerable,Vulnerable
Senecio squarrosus,Swamp Groundsel,Asteraceae,Senecio,Endangered,Endangered
Persoonia mollis subsp. maxima,,Proteaceae,Persoonia,Endangered,Endangered
Diuris aequalis,Buttercup Doubletail,Orchidaceae,Diuris,Endangered,Endangered
Caesalpinia bonduc,Knicker Nut,Fabaceae (Caesalpinioideae),Caesalpinia,Endangered,Endangered
Threlkeldia inchoata,Tall Bonefruit,Chenopodiaceae,Threlkeldia,Endangered,Endangered
Monotoca rotundifolia,Trailing Monotoca,Ericaceae,Monotoca,Endangered,Endangered
Osteocarpum scleropterum,Squash Bush,Chenopodiaceae,Osteocarpum,Endangered,Endangered
Zieria murphyi,Velvet Zieria,Rutaceae,Zieria,Vulnerable,Vulnerable
Gyrostemon thesioides,,Gyrostemonaceae,Gyrostemon,Endangered,Endangered
Fontainea australis,Southern Fontainea,Euphorbiaceae,Fontainea,Vulnerable,Vulnerable
Acacia petraea,Lancewood,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Comesperma scoparium,,Polygalaceae,Comesperma,Extinct,Extinct
Trianthema cypseleoides,,Aizoaceae,Trianthema,Extinct,Extinct
Hakea fraseri,Gorge Hakea,Proteaceae,Hakea,Vulnerable,Vulnerable
Euphrasia bella,Pretty Eyebright,Orobanchaceae,Euphrasia,Vulnerable,Vulnerable
Oberonia complanata,Yellow-flowered King of the Fairies,Orchidaceae,Oberonia,Endangered,Endangered
Swainsona flavicarinata,Yellow-Keeled Swainsona,Fabaceae (Faboideae),Swainsona,Endangered,Endangered
Irenepharsus magicus,Elusive Cress,Brassicaceae,Irenepharsus,Endangered,Endangered
Acacia notabilis,Mallee Golden Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Niemeyera chartacea,Smooth-leaved Plum,Sapotaceae,Niemeyera,Endangered,Endangered
Leucopogon confertus,Torrington Beard-heath,Ericaceae,Leucopogon,Endangered,Endangered
Monotaxis macrophylla,Large-leafed Monotaxis,Euphorbiaceae,Monotaxis,Endangered,Endangered
Centranthera cochinchinensis,Swamp Foxglove,Orobanchaceae,Centranthera,Endangered,Endangered
Grevillea divaricata,,Proteaceae,Grevillea,Endangered,Endangered
Wilsonia backhousei,Narrow-leafed Wilsonia,Convolvulaceae,Wilsonia,Vulnerable,Vulnerable
Pimelea serpyllifolia subsp. serpyllifolia,Thyme Rice-Flower,Thymelaeaceae,Pimelea,Endangered,Endangered
Grevillea beadleana,Beadle's Grevillea,Proteaceae,Grevillea,Endangered,Endangered
Pomaderris notata,McPherson Range Pomaderris,Rhamnaceae,Pomaderris,Vulnerable,Vulnerable
Stackhousia clementii,,Stackhousiaceae,Stackhousia,Endangered,Endangered
Dysphania plantaginella,,Chenopodiaceae,Dysphania,Endangered,Endangered
Indigofera baileyi,Bailey's Indigo,Fabaceae (Faboideae),Indigofera,Endangered,Endangered
Diuris flavescens,Pale Yellow Doubletail,Orchidaceae,Diuris,Critically Endangered,Critically Endangered
Prostanthera staurophylla,Tenterfield Mint-bush,Lamiaceae,Prostanthera,Endangered,Endangered
Hicksbeachia pinnatifolia,Red Boppel Nut,Proteaceae,Hicksbeachia,Vulnerable,Vulnerable
Dendrocnide moroides,Gympie Stinger,Urticaceae,Dendrocnide,Endangered,Endangered
