scientificName,vernacularName,family,genus,sourceStatus,status
Pomatostomus halli,Hall's Babbler,Pomatostomidae,Pomatostomus,Vulnerable,Vulnerable
Lophoictinia isura,Square-tailed Kite,Accipitridae,Lophoictinia,Vulnerable,Vulnerable
Grus rubicunda,Brolga,Gruidae,Grus,Vulnerable,Vulnerable
Erythrotriorchis radiatus,Red Goshawk,Accipitridae,Erythrotriorchis,Critically Endangered,Critically Endangered
Ardenna carneipes,Flesh-footed Shearwater,Procellariidae,Ardenna,Vulnerable,Vulnerable
Lophochroa leadbeateri,Major Mitchell's Cockatoo,Cacatuidae,Lophochroa,Vulnerable,Vulnerable
Falco subniger,Black Falcon,Falconidae,Falco,Vulnerable,Vulnerable
Bettongia gaimardi,Tasmanian Bettong,Potoroidae,Bettongia,Extinct,Extinct
Circus assimilis,Spotted Harrier,Accipitridae,Circus,Vulnerable,Vulnerable
Puffinus assimilis,Little Shearwater,Procellariidae,Puffinus,Vulnerable,Vulnerable
Manorina melanotis,Black-eared Miner,Meliphagidae,Manorina,Critically Endangered,Critically Endangered
Hoplocephalus bitorquatus,Pale-headed Snake,Elapidae,Hoplocephalus,Vulnerable,Vulnerable
Menura alberti,Albert's Lyrebird,Menuridae,Menura,Vulnerable,Vulnerable
Sminthopsis leucopus,White-footed Dunnart,Dasyuridae,Sminthopsis,Vulnerable,Vulnerable
Stictonetta naevosa,Freckled Duck,Anatidae,Stictonetta,Vulnerable,Vulnerable
Atrichornis rufescens,Rufous Scrub-bird,Atrichornithidae,Atrichornis,Vulnerable,Vulnerable
Oxyura australis,Blue-billed Duck,Anatidae,Oxyura,Vulnerable,Vulnerable
Calyptorhynchus lathami,Glossy Black-Cockatoo,Cacatuidae,Calyptorhynchus,Vulnerable,Vulnerable
Onychoprion fuscata,Sooty Tern,Laridae,Onychoprion,Vulnerable,Vulnerable
Calidris alba,Sanderling,Scolopacidae,Calidris,Vulnerable,Vulnerable
Petrogale xanthopus,Yellow-footed Rock-wallaby,Macropodidae,Petrogale,Endangered,Endangered
Xenus cinereus,Terek Sandpiper,Scolopacidae,Xenus,Vulnerable,Vulnerable
