NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
Z00827,1640,0,Angiospermae,Orchidaceae,91.514,,Prasophyllum,pallidum,Nicholls,,,,Vulnerable,Rare,,,,Pale Leek-orchid,,,,,,,,,,,,,,FR,,,,,,,,,NL,,,,,,,,,SL,,,,,,,,,
K05185,11223,0,Angiospermae,Orchidaceae,91.514,,Prasophyllum,spicatum,R.J.Bates & D.L.Jones,,,,Vulnerable,Endangered,,,,Dense Leek-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
W04399,8283,0,Angiospermae,Orchidaceae,91.514,,Prasophyllum,validum,R.S.Rogers,,,,Vulnerable,Vulnerable,,,,Mount Remarkable Leek-orchid,Robust Leek-orchid,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,SL,?,?id,,,,,,,
Y04404,8289,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,arenicola,M.A.Clem. & J.L.Stewart,,,,Vulnerable,Vulnerable,,,,Sandhill Greenhood,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,SL,,,,,,SE,,,
C05749,12876,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,chlorogramma,D.L.Jones & M.A.Clem.,,,,Vulnerable,Endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
E30118,23960,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,cucullata,R.Br.,ssp.,cucullata,,Vulnerable,Endangered,,,,Leafy Greenhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,SE,,,
G30119,23961,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,cucullata,R.Br.,ssp.,sylvicola,D.L.Jones,Vulnerable,Endangered,,,,Leafy Greenhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
K04405,27109,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,mirabilis,(D.L.Jones) R.J.Bates,,,,Vulnerable,Vulnerable*,,,,Mount Olinthus Greenhood,Mount Olinthus Rufous-hood,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
M00850,1669,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,tenuissima,Nicholls,,,,Vulnerable,Vulnerable,,,,Swamp Greenhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
K04413,8304,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,xerophila,M.A.Clem.,,,,Vulnerable,Vulnerable,,,,Desert Greenhood,,,,,,,,,,,GT,,,,,,,,,EP,,,,,,MU,,,,,,,,,,,,,,,
