name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Sternula albifrons,,,,removed,Little Tern,Sternula albifrons,Special least concern
Thalasseus bergii,,,,removed,Crested Tern,Thalasseus bergii,Special least concern
Cuculus optatus,,,,removed,Oriental Cuckoo,Cuculus optatus,Special least concern
Rhipidura dryas,,,,removed,Arafura Fantail,Rhipidura (Howeavis) dryas,Special least concern
Rhipidura rufifrons,,,,removed,Rufous Fantail,Rhipidura (Howeavis) rufifrons,Special least concern
Monarcha frater,,,,removed,Black-winged Monarch,Monarcha (Monarcha) frater,Special least concern
Monarcha melanopsis,,,,removed,Black-faced Monarch,Monarcha (Monarcha) melanopsis,Special least concern
Myiagra cyanoleuca,,,,removed,Satin Flycatcher,Myiagra (Myiagra) cyanoleuca,Special least concern
Symposiachrus trivirgatus,,,,removed,Spectacled Monarch,Symposiachrus trivirgatus,Special least concern
Acrocephalus orientalis,,,,removed,Oriental Reed-warbler,Acrocephalus (Acrocephalus) orientalis,Special least concern
Cecropis daurica,,,,removed,Red-rumped Swallow,Cecropis daurica,Special least concern
Hirundo rustica,,,,removed,Barn Swallow,Hirundo (Hirundo) rustica,Special least concern
Motacilla cinerea,,,,removed,Grey Wagtail,Motacilla (Calobates) cinerea,Special least concern
Motacilla tschutschensis,,,,removed,Eastern Yellow Wagtail,Motacilla (Budytes) tschutschensis,Special least concern
Motacilla tschutschensis taivana,,,,removed,Green-headed Yellow Wagtail,Motacilla (Budytes) tschutschensis taivana,Special least concern
Ornithorhynchus anatinus,,,,removed,Platypus,Ornithorhynchus anatinus,Special least concern
Tachyglossus aculeatus,,,,removed,Short-beaked Echidna,Tachyglossus aculeatus,Special least concern
Sminthopsis leucopus,,,,removed,White-footed Dunnart,Sminthopsis leucopus,Vulnerable
Melanotaenia sp. nov. 'Malanda',,,,removed,,Melanotaenia,Critically Endangered
Melanotaenia sp. nov. 'Running River',,,,removed,,Melanotaenia,Critically Endangered
Caldesia acanthocarpa,,,,removed,,Caldesia acanthocarpa,Special least concern
Caldesia oligococca,,,,removed,,Caldesia oligococca,Special least concern
Caldesia reniformis,,,,removed,,Caldesia parnassifolia,Special least concern
Damasonium minus,,,,removed,Starfruit,Damasonium minus,Special least concern
Calostemma luteum,,,,removed,Native Daffodil,Calostemma luteum,Special least concern
Calostemma scottsellickiana,,,,removed,,Calostemma scottsellickiana,Special least concern
Crinum arenarium,,,,removed,Dirringgirl-dirringgirl,Crinum arenarium,Special least concern
Crinum flaccidum,,,,removed,Murray Lily,Crinum flaccidum,Special least concern
Crinum lakefieldense,,,,removed,,Crinum lakefieldense,Special least concern
Crinum pedunculatum,,,,removed,River Lily,Crinum pedunculatum,Special least concern
Crinum pestilentis,,,,removed,Murray Lily,Crinum flaccidum,Special least concern
Crinum uniflorum,,,,removed,Dirringgirl-dirringgirl,Crinum uniflorum,Special least concern
Crinum venosum,,,,removed,,Crinum venosum,Special least concern
Crinum yorkense,,,,removed,,Crinum yorkense,Special least concern
Proiphys alba,,,,removed,,Proiphys alba,Special least concern
Proiphys amboinensis,,,,removed,Cardwell Lily,Proiphys amboinensis,Special least concern
Proiphys cunninghamii,,,,removed,Moreton Bay Lily,Proiphys cunninghamii,Special least concern
Proiphys infundibularis,,,,removed,,Proiphys infundibularis,Special least concern
Aponogeton cuneatus,,,,removed,,Aponogeton cuneatus,Special least concern
Aponogeton elongatus,,,,removed,Gabirr,Aponogeton elongatus,Near Threatened
Aponogeton queenslandicus,,,,removed,,Aponogeton queenslandicus,Special least concern
Aponogeton vanbruggenii,,,,removed,,Aponogeton vanbruggenii,Special least concern
Livistona australis,,,,removed,Cabbage Tree Palm,Livistona australis,Special least concern
Livistona benthamii,,,,removed,Cabbage Palm,Livistona benthamii,Special least concern
Livistona decora,,,,removed,Weeping Cabbage Palm,Livistona decora,Special least concern
Livistona inermis,,,,removed,Dwarf Palm,Livistona inermis,Special least concern
Livistona muelleri,,,,removed,Cairns Fan Palm,Livistona muelleri,Special least concern
Livistona rigida,,,,removed,,Livistona mariae subsp. rigida,Special least concern
Blandfordia flammea var. aurea,,,,removed,Christmas Bells,Blandfordia grandiflora,Special least concern
Blechnum ambiguum,,,,removed,,Blechnum ambiguum,Special least concern
Blechnum articulatum,,,,removed,,Blechnum articulatum,Special least concern
Blechnum camfieldii,,,,removed,,Blechnum camfieldii,Special least concern
Blechnum dissectum,,,,removed,,Blechnum dissectum,Special least concern
Blechnum doodianum,,,,removed,,Blechnum doodianum,Special least concern
Blechnum hindii,,,,removed,,Blechnum hindii,Special least concern
Blechnum lineare,,,,removed,,Blechnum lineare,Special least concern
Blechnum maximum,,,,removed,,Blechnum maximum,Special least concern
Blechnum medium,,,,removed,,Blechnum medium,Special least concern
Blechnum minus,,,,removed,Soft Water Fern,Blechnum minus,Special least concern
Blechnum neglectum,,,,removed,,Blechnum neglectum,Special least concern
Blechnum nudum,,,,removed,Fishbone Water Fern,Blechnum nudum,Special least concern
Blechnum orientale,,,,removed,,Blechnum orientale,Special least concern
Blechnum parrisiae,,,,removed,,Blechnum parrisiae,Special least concern
Blechnum patersonii,,,,removed,Strap Water Fern,Blechnum patersonii,Special least concern
Blechnum patersonii subsp. patersonii,,,,removed,,Blechnum patersonii subsp. patersonii,Special least concern
Blechnum patersonii subsp. queenslandicum,,,,removed,,Blechnum patersonii subsp. queenslandicum,Special least concern
Blechnum spinulosum,,,,removed,Small Rasp-fern,Blechnum rupestre,Special least concern
Blechnum wattsii,,,,removed,Hard Water-fern,Blechnum wattsii,Special least concern
Blechnum whelanii,,,,removed,,Blechnum whelanii,Special least concern
Blechnum wurunuran,,,,removed,,Blechnum wurunuran,Special least concern
Stenochlaena palustris,,,,removed,Climbing Swamp Fern,Stenochlaena palustris,Special least concern
Telmatoblechnum indicum,,,,removed,,Telmatoblechnum indicum,Special least concern
Burmannia coelestis,,,,removed,,Burmannia coelestis,Special least concern
Burmannia disticha,,,,removed,Purple Top,Burmannia disticha,Special least concern
Burmannia juncea,,,,removed,,Burmannia juncea,Special least concern
Burmannia sp. (Melville Island R.J.Fensham 2909),,,,removed,,Burmannia sp. (Melville Island R.J.Fensham 2909),Special least concern
Gymnosiphon queenslandicus,,,,removed,,Gymnosiphon queenslandicus,Special least concern
Byblis aquatica,,,,removed,,Byblis aquatica,Special least concern
Byblis liniflora,,,,removed,,Byblis liniflora,Special least concern
Isotoma axillaris,,,,removed,Rock Isotome,Isotoma axillaris,Special least concern
Isotoma fluviatilis,,,,removed,Swamp Isotome,Isotoma fluviatilis,Special least concern
Isotoma fluviatilis subsp. borealis,,,,removed,Swamp Isotome,Isotoma fluviatilis subsp. borealis,Special least concern
Isotoma gulliveri,,,,removed,,Isotoma gulliveri,Special least concern
Isotoma luticola,,,,removed,,Isotoma luticola,Special least concern
Isotoma petraea,,,,removed,Rock Isotome,Isotoma petraea,Special least concern
Lobelia anceps,,,,removed,Lobelia,Lobelia anceps,Special least concern
Lobelia andrewsii,,,,removed,,Lobelia andrewsii,Special least concern
Lobelia arnhemiaca,,,,removed,,Lobelia arnhemiaca,Special least concern
Lobelia browniana,,,,removed,,Lobelia browniana,Special least concern
Lobelia concolor,,,,removed,Poison Pratia,Lobelia concolor,Special least concern
Lobelia darlingensis,,,,removed,,Lobelia darlingensis,Special least concern
Lobelia dentata,,,,removed,Toothed Lobelia,Lobelia dentata,Special least concern
Lobelia dioica,,,,removed,,Lobelia dioica,Special least concern
Lobelia douglasiana,,,,removed,,Lobelia douglasiana,Special least concern
Lobelia gibbosa,,,,removed,Native Lobelia,Lobelia gibbosa,Special least concern
Lobelia leucotos,,,,removed,,Lobelia leucotos,Special least concern
Lobelia purpurascens,,,,removed,White Root,Lobelia purpurascens,Special least concern
Lobelia quadrangularis,,,,removed,,Lobelia quadrangularis,Special least concern
Lobelia stenophylla,,,,removed,,Lobelia stenophylla,Special least concern
Lobelia trigonocaulis,,,,removed,Forest Lobelia,Lobelia trigonocaulis,Special least concern
Wahlenbergia capillaris,,,,removed,,Wahlenbergia capillaris,Special least concern
Wahlenbergia caryophylloides,,,,removed,,Wahlenbergia caryophylloides,Special least concern
Wahlenbergia celata,,,,removed,,Wahlenbergia celata,Special least concern
Wahlenbergia ceracea,,,,removed,Waxy Bluebell,Wahlenbergia ceracea,Special least concern
Wahlenbergia fluminalis,,,,removed,River Bluebell,Wahlenbergia fluminalis,Special least concern
Wahlenbergia glabra,,,,removed,Native Bluebell,Wahlenbergia glabra,Special least concern
Wahlenbergia gracilis,,,,removed,Sprawling Bluebell,Wahlenbergia gracilis,Special least concern
Wahlenbergia graniticola,,,,removed,Granite Bluebell,Wahlenbergia graniticola,Special least concern
Wahlenbergia islensis,,,,removed,,Wahlenbergia islensis,Special least concern
Wahlenbergia littoricola,,,,removed,,Wahlenbergia littoricola,Special least concern
Wahlenbergia planiflora subsp. longipila,,,,removed,,Wahlenbergia planiflora subsp. longipila,Special least concern
Wahlenbergia queenslandica,,,,removed,,Wahlenbergia queenslandica,Special least concern
Wahlenbergia stricta,,,,removed,Tall Bluebell,Wahlenbergia stricta,Special least concern
Wahlenbergia stricta subsp. alterna,,,,removed,,Wahlenbergia stricta subsp. alterna,Special least concern
Wahlenbergia stricta subsp. stricta,,,,removed,,Wahlenbergia stricta subsp. stricta,Special least concern
Wahlenbergia tumidifructa,,,,removed,Mallee Annual-bluebell,Wahlenbergia tumidifructa,Special least concern
Cardiopteris moluccana,,,,removed,Blood Vine,Cardiopteris moluccana,Special least concern
Corynocarpus rupestris,,,,removed,Glenugie Karaka,Corynocarpus rupestris,Vulnerable
Cycas angulata,,,,removed,Zamia Palm,Cycas angulata,Special least concern
Cycas badensis,,,,removed,,Cycas badensis,Special least concern
Cycas candida,,,,removed,,Cycas candida,Special least concern
Cycas media,,,,removed,Zamia Palm,Cycas media,Special least concern
Cycas media subsp. banksii,,,,removed,,Cycas media subsp. banksii,Special least concern
Cycas media subsp. ensata,,,,removed,,Cycas media subsp. ensata,Special least concern
Cycas media subsp. media,,,,removed,,Cycas media subsp. media,Special least concern
Cycas papuana,,,,removed,,Cycas papuana,Special least concern
Cycas scratchleyana,,,,removed,,Cycas scratchleyana,Special least concern
Cycas xipholepis,,,,removed,,Cycas xipholepis,Special least concern
Cycas yorkiana,,,,removed,,Cycas yorkiana,Special least concern
Cymodocea rotundata,,,,removed,Seagrass,Cymodocea rotundata,Special least concern
Cymodocea serrulata,,,,removed,A Sea Grass,Cymodocea serrulata,Special least concern
Halodule pinifolia,,,,removed,Seagrass,Halodule pinifolia,Special least concern
Halodule uninervis,,,,removed,Seagrass,Halodule uninervis,Special least concern
Syringodium isoetifolium,,,,removed,A Sea Grass,Syringodium isoetifolium,Special least concern
Thalassodendron ciliatum,,,,removed,Seagrass,Thalassodendron ciliatum,Special least concern
Dicksonia antarctica,,,,removed,Tree Fern,Dicksonia antarctica,Special least concern
Dicksonia herbertii,,,,removed,Bristly Tree Fern,Dicksonia herbertii,Special least concern
Dicksonia youngiae,,,,removed,Bristly Tree Fern,Dicksonia youngiae,Special least concern
Hibbertia advena,,,,removed,Guinea Flowers,Hibbertia,Endangered
Doryanthes palmeri,,,,removed,Spear Lily,Doryanthes palmeri,Special least concern
Aldrovanda vesiculosa,,,,removed,Waterwheel Plant,Aldrovanda vesiculosa,Special least concern
Drosera aquatica,,,,removed,,Drosera aquatica,Special least concern
Drosera auriculata,,,,removed,Sundew,Drosera auriculata,Special least concern
Drosera banksii,,,,removed,,Drosera banksii,Special least concern
Drosera binata,,,,removed,Forked Sundew,Drosera binata,Special least concern
Drosera burmanni,,,,removed,Condominium Plant,Drosera burmanni,Special least concern
Drosera finlaysoniana,,,,removed,Flycatcher,Drosera finlaysoniana,Special least concern
Drosera glanduligera,,,,removed,Pimpernel Sundew,Drosera glanduligera,Special least concern
Drosera hookeri,,,,removed,,Drosera hookeri,Special least concern
Drosera lanata,,,,removed,,Drosera lanata,Special least concern
Drosera lunata,,,,removed,Pale Sundew,Drosera peltata,Special least concern
Drosera petiolaris,,,,removed,Woolly Sundew,Drosera petiolaris,Special least concern
Drosera pygmaea,,,,removed,Tiny Sundew,Drosera pygmaea,Special least concern
Drosera serpens,,,,removed,,Drosera serpens,Special least concern
Drosera spatulata,,,,removed,Rosy Sundew,Drosera spatulata,Special least concern
Drosera spatulata var. gympiensis,,,,removed,,Drosera spatulata var. gympiensis,Special least concern
Drosera spatulata var. spatulata,,,,removed,,Drosera spatulata var. spatulata,Special least concern
Drosera stipularis,,,,removed,,Drosera stipularis,Special least concern
Arachniodes aristata,,,,removed,Prickly Shield Fern,Arachniodes aristata,Special least concern
Bolbitis quoyana,,,,removed,,Bolbitis quoyana,Special least concern
Bolbitis taylorii,,,,removed,,Bolbitis taylorii,Special least concern
Elaphoglossum queenslandicum,,,,removed,Tongue Fern,Elaphoglossum queenslandicum,Special least concern
Lastreopsis decomposita,,,,removed,Trim Shield Fern,Lastreopsis decomposita,Special least concern
Lastreopsis marginans,,,,removed,Glossy Shield Fern,Lastreopsis marginans,Special least concern
Lastreopsis poecilophlebia,,,,removed,,Lastreopsis poecilophlebia,Special least concern
Lastreopsis tenera,,,,removed,Broad Shield Fern,Lastreopsis tenera,Special least concern
Lastreopsis tripinnata,,,,removed,,Lastreopsis tripinnata,Special least concern
Lastreopsis wurunuran,,,,removed,,Lastreopsis wurunuran,Special least concern
Parapolystichum acuminatum,,,,removed,Shiny Shield-fern,Lastreopsis acuminata,Special least concern
Parapolystichum microsorum,,,,removed,Creeping Shield Fern,Lastreopsis microsora,Special least concern
Parapolystichum munitum,,,,removed,Naked Shield Fern,Lastreopsis munita,Special least concern
Parapolystichum rufescens,,,,removed,,Lastreopsis rufescens,Special least concern
Parapolystichum smithianum,,,,removed,Smooth Shield Fern,Lastreopsis smithiana,Special least concern
Parapolystichum windsorense,,,,removed,,Parapolystichum windsorense,Special least concern
Polystichum fallax,,,,removed,,Polystichum fallax,Special least concern
Polystichum formosum,,,,removed,Broad Shield Fern,Polystichum formosum,Special least concern
Polystichum proliferum,,,,removed,Mother Shield Fern,Polystichum proliferum,Special least concern
Teratophyllum brightiae,,,,removed,,Teratophyllum brightiae,Special least concern
Boea hygroscopica,,,,removed,The Queensland Rose Of Jericho,Boea hygroscopica,Special least concern
Boea resupinata,,,,removed,,Boea resupinata,Special least concern
Cyrtandra baileyi,,,,removed,Bailey's Cyrtandra,Cyrtandra baileyi,Special least concern
Fieldia australis,,,,removed,Fieldia,Fieldia australis,Special least concern
Lenbrassia australiana var. australiana,,,,removed,Lenbrassia,Lenbrassia australiana var. australiana,Special least concern
Lenbrassia australiana var. glabrescens,,,,removed,,Lenbrassia australiana var. glabrescens,Special least concern
Brunonia australis,,,,removed,Pincushion,Brunonia australis,Special least concern
Blyxa aubertii,,,,removed,,Blyxa aubertii,Special least concern
Blyxa echinosperma,,,,removed,,Blyxa aubertii var. echinosperma,Special least concern
Blyxa octandra,,,,removed,,Blyxa octandra,Special least concern
Enhalus acoroides,,,,removed,Seagrass,Enhalus acoroides,Special least concern
Halophila capricorni,,,,removed,,Halophila capricorni,Special least concern
Halophila decipiens,,,,removed,Seagrass,Halophila decipiens,Special least concern
Halophila minor,,,,removed,Seagrass,Halophila minor,Special least concern
Halophila ovalis,,,,removed,Sea Wrack,Halophila ovalis,Special least concern
Halophila spinulosa,,,,removed,A Sea Grass,Halophila spinulosa,Special least concern
Halophila tricostata,,,,removed,Seagrass,Halophila tricostata,Special least concern
Hydrilla verticillata,,,,removed,Hydrilla,Hydrilla verticillata,Special least concern
Ottelia alismoides,,,,removed,,Ottelia alismoides,Special least concern
Ottelia ovalifolia,,,,removed,Swamp Lily,Ottelia ovalifolia,Special least concern
Ottelia ovalifolia subsp. chrysobasis,,,,removed,,Ottelia ovalifolia subsp. chrysobasis,Special least concern
Ottelia ovalifolia subsp. ovalifolia,,,,removed,Swamp Lily,Ottelia ovalifolia subsp. ovalifolia,Special least concern
Thalassia hemprichii,,,,removed,Turtle Grass,Thalassia hemprichii,Special least concern
Vallisneria annua,,,,removed,,Vallisneria annua,Special least concern
Vallisneria australis,,,,removed,River Ribbons,Vallisneria australis,Special least concern
Vallisneria caulescens,,,,removed,,Vallisneria caulescens,Special least concern
Vallisneria erecta,,,,removed,,Vallisneria erecta,Special least concern
Vallisneria gracilis,,,,removed,,Vallisneria gracilis,Special least concern
Vallisneria nana,,,,removed,,Vallisneria nana,Special least concern
Vallisneria rubra,,,,removed,,Vallisneria rubra,Special least concern
Abrodictyum brassii,,,,removed,,Abrodictyum brassii,Special least concern
Abrodictyum caudatum,,,,removed,Jungle Bristle-fern,Abrodictyum caudatum,Special least concern
Abrodictyum obscurum,,,,removed,,Abrodictyum obscurum,Special least concern
Cephalomanes atrovirens,,,,removed,,Cephalomanes atrovirens,Special least concern
Crepidomanes barnardianum,,,,removed,,Crepidomanes barnardianum,Special least concern
Crepidomanes bipunctatum,,,,removed,,Crepidomanes bipunctatum,Special least concern
Crepidomanes humile,,,,removed,,Crepidomanes humile,Special least concern
Crepidomanes kurzii,,,,removed,,Crepidomanes kurzii,Special least concern
Crepidomanes proliferum,,,,removed,,Crepidomanes proliferum,Special least concern
Crepidomanes saxifragoides,,,,removed,Small Filmy Fern,Crepidomanes saxifragoides,Special least concern
Crepidomanes vitiense,,,,removed,,Crepidomanes vitiense,Special least concern
Crepidomanes walleri,,,,removed,,Crepidomanes walleri,Special least concern
Didymoglossum bimarginatum,,,,removed,,Didymoglossum bimarginatum,Special least concern
Didymoglossum motleyi,,,,removed,,Didymoglossum motleyi,Special least concern
Didymoglossum tahitense,,,,removed,,Didymoglossum tahitense,Special least concern
Hymenophyllum australe,,,,removed,Austral Filmy-fern,Hymenophyllum australe,Special least concern
Hymenophyllum baileyanum,,,,removed,,Hymenophyllum baileyanum,Special least concern
Hymenophyllum bivalve,,,,removed,Filmy Fern,Hymenophyllum bivalve,Special least concern
Hymenophyllum cupressiforme,,,,removed,Common Filmy Fern,Hymenophyllum cupressiforme,Special least concern
Hymenophyllum flabellatum,,,,removed,Shiny Filmy Fern,Hymenophyllum flabellatum,Special least concern
Hymenophyllum javanicum,,,,removed,,Hymenophyllum javanicum,Special least concern
Hymenophyllum marginatum,,,,removed,Bordered Filmy Fern,Hymenophyllum marginatum,Special least concern
Hymenophyllum peltatum,,,,removed,Alpine Filmy Fern,Hymenophyllum peltatum,Special least concern
Hymenophyllum polyanthos var. contiguum,,,,removed,,Hymenophyllum polyanthos,Special least concern
Hymenophyllum samoense,,,,removed,,Hymenophyllum samoense,Special least concern
Hymenophyllum subdimidiatum,,,,removed,,Hymenophyllum subdimidiatum,Special least concern
Hymenophyllum walleri,,,,removed,,Hymenophyllum walleri,Special least concern
Polyphlebium venosum,,,,removed,Veined Bristle-fern,Polyphlebium venosum,Special least concern
Vandenboschia johnstonensis,,,,removed,,Vandenboschia johnstonensis,Special least concern
Cycnogeton dubius,,,,removed,Slender Water-ribbons,Cycnogeton dubium,Special least concern
Cycnogeton microtuberosus,,,,removed,Eastern Water-ribbons,Cycnogeton microtuberosum,Special least concern
Cycnogeton multifructus,,,,removed,,Cycnogeton multifructum,Special least concern
Cycnogeton procerus,,,,removed,Gabirr,Cycnogeton procerum,Special least concern
Cycnogeton rheophilus,,,,removed,,Cycnogeton rheophilum,Special least concern
Triglochin hexagona,,,,removed,Six-point Arrowgrass,Triglochin hexagona,Special least concern
Triglochin isingiana,,,,removed,Spurred Arrowgrass,Triglochin isingiana,Special least concern
Triglochin nana,,,,removed,,Triglochin nana,Special least concern
Triglochin striata,,,,removed,Streaked Arrowgrass,Triglochin striata,Special least concern
Cordyline cannifolia,,,,removed,Palm-lily,Cordyline cannifolia,Special least concern
Cordyline congesta,,,,removed,Boonah Palm Lily,Cordyline congesta,Special least concern
Cordyline fruticosa,,,,removed,Broad-leaved Palm Lily,Cordyline fruticosa,Special least concern
Cordyline manners-suttoniae,,,,removed,Giant Palm Lily,Cordyline manners-suttoniae,Special least concern
Cordyline murchisoniae,,,,removed,Murchison's Palm Lily,Cordyline murchisoniae,Special least concern
Cordyline stricta,,,,removed,Narrow-leaved Palm Lily,Cordyline stricta,Special least concern
Heliodendron xanthoxylon,,,,removed,,Fabaceae,Near Threatened
Utricularia albiflora,,,,removed,,Utricularia albiflora,Special least concern
Utricularia ameliae,,,,removed,,Utricularia ameliae,Special least concern
Utricularia aurea,,,,removed,Golden Bladderwort,Utricularia aurea,Special least concern
Utricularia australis,,,,removed,Yellow Bladderwort,Utricularia australis,Special least concern
Utricularia bifida,,,,removed,,Utricularia bifida,Special least concern
Utricularia biloba,,,,removed,Moth Bladderwort,Utricularia biloba,Special least concern
Utricularia blackmanii,,,,removed,,Utricularia blackmanii,Special least concern
Utricularia caerulea,,,,removed,Blue Bladderwort,Utricularia caerulea,Special least concern
Utricularia chrysantha,,,,removed,,Utricularia chrysantha,Special least concern
Utricularia circumvoluta,,,,removed,,Utricularia circumvoluta,Special least concern
Utricularia corneliana,,,,removed,,Utricularia corneliana,Special least concern
Utricularia dichotoma,,,,removed,Fairy Aprons,Utricularia dichotoma,Special least concern
Utricularia fenshamii,,,,removed,,Utricularia fenshamii,Special least concern
Utricularia foveolata,,,,removed,,Utricularia foveolata,Special least concern
Utricularia gibba,,,,removed,Bladderwort,Utricularia gibba,Special least concern
Utricularia jobsonii,,,,removed,,Utricularia jobsonii,Special least concern
Utricularia lasiocaulis,,,,removed,,Utricularia lasiocaulis,Special least concern
Utricularia lateriflora,,,,removed,Small Bladderwort,Utricularia lateriflora,Special least concern
Utricularia limosa,,,,removed,,Utricularia limosa,Special least concern
Utricularia lowriei,,,,removed,,Utricularia lowriei,Special least concern
