id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4429210,Verticordia lindleyi subsp. lindleyi,,Verticordia lindleyi subsp. lindleyi,https://id.biodiversity.org.au/node/apni/2916665,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4429494,Verticordia longistylis,Blue Spruce Verticordia,Verticordia longistylis,https://id.biodiversity.org.au/node/apni/2903142,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4428579,Verticordia luteola var. luteola,,Verticordia luteola var. luteola,https://id.biodiversity.org.au/node/apni/2903566,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4429019,Verticordia luteola var. rosea,,Verticordia luteola var. rosea,https://id.biodiversity.org.au/node/apni/2904776,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4432133,Verticordia mirabilis,,Verticordia mirabilis,https://id.biodiversity.org.au/node/apni/2908989,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4432560,Verticordia mitchelliana subsp. mitchelliana,,Verticordia mitchelliana subsp. mitchelliana,https://id.biodiversity.org.au/node/apni/2914610,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4430536,Verticordia mitodes,,Verticordia mitodes,https://id.biodiversity.org.au/node/apni/2916768,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4429132,Verticordia muelleriana subsp. minor,,Verticordia muelleriana subsp. minor,https://id.biodiversity.org.au/node/apni/2906563,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4430800,Verticordia muelleriana subsp. muelleriana,,Verticordia muelleriana subsp. muelleriana,https://id.biodiversity.org.au/node/apni/2920012,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4432578,Verticordia multiflora subsp. solox,,Verticordia multiflora subsp. solox,https://id.biodiversity.org.au/node/apni/2913557,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4431228,Verticordia paludosa,,Verticordia paludosa,https://id.biodiversity.org.au/node/apni/2907938,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4431127,Verticordia penicillaris,,Verticordia penicillaris,https://id.biodiversity.org.au/node/apni/2896954,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
