id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation
4349213,Equus caballus,Horse,Equus (Equus) caballus,https://biodiversity.org.au/afd/taxa/86b4395d-97a7-470d-b35b-306e01dfbab6,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349268,Isoodon obesulus obesulus,Southern Brown Bandicoot (sa Mainland And Ki),Isoodon obesulus obesulus,https://biodiversity.org.au/afd/taxa/1aa0b9a0-5c6d-4713-aea9-dd33856182f4,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349388,Mastacomys fuscus mordicus,Broad-toothed Rat (mainland),Mastacomys fuscus mordicus,https://biodiversity.org.au/afd/taxa/70e10fcf-b3e9-47d3-b5be-70c323570043,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349247,Petaurus australis,Yellow-bellied Glider,Petaurus australis,https://biodiversity.org.au/afd/taxa/b3a61169-1e3c-4d6e-904f-f4d643df13a6,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349204,Petrogale penicillata,Brush-tailed Rock-wallaby,Petrogale penicillata,https://biodiversity.org.au/afd/taxa/7a7a2817-26e7-44bd-bb34-1dc9c1ed4d38,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349307,Phascolarctos cinereus,Koala,Phascolarctos cinereus,https://biodiversity.org.au/afd/taxa/e9d6fbbd-1505-4073-990a-dc66c930dad6,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349227,Sus scrofa,Pig,Sus scrofa,https://biodiversity.org.au/afd/taxa/948d8ca1-62fc-4d03-a79d-4be2de837264,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349376,Craspedia aurantia var. aurantia,Orange Billy-buttons,Craspedia aurantia var. aurantia,https://id.biodiversity.org.au/node/apni/6973366,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349359,Craspedia aurantia var. jamesii,Green Billy-buttons,Craspedia aurantia var. jamesii,https://id.biodiversity.org.au/node/apni/50009274,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349326,Craspedia canens,Grey Billy-buttons,Craspedia canens,https://id.biodiversity.org.au/node/apni/6974073,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349275,Craspedia lamicola,Bog Billy-buttons,Craspedia lamicola,https://id.biodiversity.org.au/node/apni/6977606,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349338,Myriocephalus rhizocephalus,Woolly Heads,Myriocephalus rhizocephalus,https://id.biodiversity.org.au/node/apni/2900568,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349217,Asplenium bulbiferum,Hen And Chickens,Asplenium bulbiferum,https://id.biodiversity.org.au/node/apni/2887052,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349393,Asplenium gracillimum,Mother Spleenwort,Asplenium bulbiferum subsp. gracillimum,https://id.biodiversity.org.au/node/apni/2910577,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349294,Asplenium trichomanes,Common Spleenwort,Asplenium trichomanes,https://id.biodiversity.org.au/node/apni/2896373,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349258,Blechnum cartilagineum,Gristle Fern,Blechnum cartilagineum,https://id.biodiversity.org.au/taxon/apni/51294892,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349347,Blechnum fluviatile,Ray Water Fern,Blechnum fluviatile,https://id.biodiversity.org.au/taxon/apni/51269302,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349225,Botrychium australe,Pātōtara,Botrychium australe,https://id.biodiversity.org.au/node/apni/2903568,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349325,Botrychium lunaria,Moonwort,Botrychium lunaria,https://id.biodiversity.org.au/node/apni/2907253,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349360,Dicksonia antarctica,Tree Fern,Dicksonia antarctica,https://id.biodiversity.org.au/node/apni/2914933,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349336,Diplazium australe,Austral Lady Fern,Diplazium australe,https://id.biodiversity.org.au/node/apni/2897773,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349238,Gleichenia dicarpa,Waewae Kōtuku,Gleichenia dicarpa,https://id.biodiversity.org.au/node/apni/2889555,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349392,Gleichenia microphylla,Coral Fern,Gleichenia microphylla,https://id.biodiversity.org.au/node/apni/2912905,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349244,Histiopteris incisa,Bat's-wing Fern,Histiopteris incisa,https://id.biodiversity.org.au/node/apni/2903289,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349342,Hymenophyllum cupressiforme,Common Filmy Fern,Hymenophyllum cupressiforme,https://id.biodiversity.org.au/node/apni/2887959,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349252,Lycopodium deuterodensum,Bushy Clubmoss,Lycopodium deuterodensum,https://id.biodiversity.org.au/node/apni/2894158,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349231,Marsilea costulifera,Narrow-leaf Nardoo,Marsilea costulifera,https://id.biodiversity.org.au/node/apni/2910547,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349357,Marsilea mutica,Nardoo,Marsilea mutica,https://id.biodiversity.org.au/node/apni/2919300,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349241,Notogrammitis billardierei,,Notogrammitis billardierei,https://id.biodiversity.org.au/node/apni/7803118,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349277,Pilularia novae-hollandiae,Austral Pillwort,Pilularia novae-hollandiae,https://id.biodiversity.org.au/node/apni/2905369,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349353,Pleurosorus subglandulosus,Blanket Fern,Pleurosorus subglandulosus,https://id.biodiversity.org.au/node/apni/2916545,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349351,Sticherus lobatus,Spreading Fan Fern,Sticherus lobatus,https://id.biodiversity.org.au/taxon/apni/51287218,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349343,Todea barbara,King Fern,Todea barbara,https://id.biodiversity.org.au/node/apni/2916843,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349290,Acianthus collinus,Inland Mosquito Orchid,Acianthus collinus,https://id.biodiversity.org.au/taxon/apni/51395393,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349291,Acianthus exsertus,Gnat Orchid,Acianthus exsertus,https://id.biodiversity.org.au/taxon/apni/51395397,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349235,Bunochilus montanus,,Pterostylis jonesii,https://id.biodiversity.org.au/taxon/apni/51412176,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349237,Bunochilus umbrinus,,Pterostylis umbrina,https://id.biodiversity.org.au/taxon/apni/51412428,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349335,Caladenia actensis,Canberra Spider Orchid,Caladenia actensis,https://id.biodiversity.org.au/taxon/apni/51398755,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349278,Caladenia aestiva,Summer Spider-orchid,Caladenia aestiva,https://id.biodiversity.org.au/taxon/apni/51398759,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349367,Caladenia armata,,Caladenia armata,https://id.biodiversity.org.au/taxon/apni/51398791,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349352,Caladenia atrovespa,,Caladenia atrovespa,https://id.biodiversity.org.au/taxon/apni/51398801,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349253,Caladenia congesta,Black-tongue Caladenia,Caladenia congesta,https://id.biodiversity.org.au/taxon/apni/51398915,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349304,Caladenia dimorpha,,Caladenia dimorpha,https://id.biodiversity.org.au/taxon/apni/51398950,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349337,Caladenia filamentosa,Daddy Long-legs,Caladenia filamentosa,https://id.biodiversity.org.au/taxon/apni/51399004,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349208,Caladenia hildae,Honey Caladenia,Caladenia hildae,https://id.biodiversity.org.au/taxon/apni/51399074,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349264,Caladenia mentiens,Lesser Caladenia,Caladenia mentiens,https://id.biodiversity.org.au/taxon/apni/51399197,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349214,Caladenia montana,,Caladenia montana,https://id.biodiversity.org.au/taxon/apni/51399205,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349308,Caladenia parva,Small Greencomb Spider Orchid,Caladenia parva,https://id.biodiversity.org.au/taxon/apni/51399247,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349221,Caladenia testacea,Honey Caladenia,Caladenia testacea,https://id.biodiversity.org.au/taxon/apni/51399406,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349234,Caleana minor,Small Duck Orchid,Caleana minor,https://id.biodiversity.org.au/taxon/apni/51399672,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349209,Calochilus campestris,Copper Beard-orchid,Calochilus campestris,https://id.biodiversity.org.au/taxon/apni/51400206,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349319,Calochilus gracillimus,Slender Beard Orchid,Calochilus gracillimus,https://id.biodiversity.org.au/taxon/apni/51400213,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349361,Calochilus montanus,Copper Beard-orchid,Calochilus campestris,https://id.biodiversity.org.au/taxon/apni/51400206,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349356,Calochilus paludosus,Red Beard Orchid,Calochilus paludosus,https://id.biodiversity.org.au/taxon/apni/51400229,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349219,Calochilus platychilus,Purple Beard Orchid,Calochilus platychilus,https://id.biodiversity.org.au/taxon/apni/51400231,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349206,Calochilus therophilus,Late Beard Orchid,Calochilus therophilus,https://id.biodiversity.org.au/taxon/apni/51400253,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349276,Chiloglottis reflexa,Autumn Bird Orchid,Chiloglottis reflexa,https://id.biodiversity.org.au/taxon/apni/51400616,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349299,Chiloglottis seminuda,Bare-tip Wasp-orchid,Chiloglottis seminuda,https://id.biodiversity.org.au/taxon/apni/51400618,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349293,Chiloglottis trapeziformis,Dainty Bird-orchid,Chiloglottis trapeziformis,https://id.biodiversity.org.au/taxon/apni/51400630,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349377,Chiloglottis turfosa,,Chiloglottis turfosa,https://id.biodiversity.org.au/taxon/apni/51400640,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349331,Chiloglottis valida,Large Bird-orchid,Chiloglottis valida,https://id.biodiversity.org.au/taxon/apni/51400642,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349239,Chiloglottis x pescottiana,Bronze Bird-orchid,Chiloglottis x pescottiana,https://id.biodiversity.org.au/taxon/apni/51400610,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349306,Corunastylis arrecta,,Genoplesium arrectum,https://id.biodiversity.org.au/taxon/apni/51405987,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349396,Corunastylis clivicola,,Genoplesium clivicola,https://id.biodiversity.org.au/taxon/apni/51406001,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349365,Corunastylis cornuta,,Genoplesium cornutum,https://id.biodiversity.org.au/taxon/apni/51406005,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349280,Corunastylis ectopa,,Genoplesium ectopum,https://id.biodiversity.org.au/taxon/apni/51406011,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349211,Corunastylis nuda,Tiny Midge Orchid,Genoplesium nudum,https://id.biodiversity.org.au/taxon/apni/51406035,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349263,Corybas grumulus,Mountain Helmet-orchid,Corybas grumulus,https://id.biodiversity.org.au/taxon/apni/51401049,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349383,Corybas hispidus,Bristly Helmet Orchid,Corybas hispidus,https://id.biodiversity.org.au/taxon/apni/51401051,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349332,Corybas incurvus,Helmet Orchid,Corybas incurvus,https://id.biodiversity.org.au/taxon/apni/51401053,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349243,Cyrtostylis reniformis,Gnat Orchid,Cyrtostylis reniformis,https://id.biodiversity.org.au/taxon/apni/51401350,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349270,Dipodium hamiltonianum,Yellow Hyacinth Orchid,Dipodium hamiltonianum,https://id.biodiversity.org.au/taxon/apni/51403391,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349232,Dipodium punctatum,Hyacinth Orchid,Dipodium punctatum,https://id.biodiversity.org.au/taxon/apni/51403397,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349224,Dipodium roseum,Hyacinth Orchid,Dipodium roseum,https://id.biodiversity.org.au/taxon/apni/51403399,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349316,Diuris amabilis,,Diuris amabilis,https://id.biodiversity.org.au/name/apni/51346917,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349315,Diuris chryseopsis,Snake Orchid,Diuris chryseopsis,https://id.biodiversity.org.au/taxon/apni/51404193,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349349,Diuris dendrobioides,Late Mauve Doubletail,Diuris dendrobioides,https://id.biodiversity.org.au/taxon/apni/51404209,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349328,Diuris monticola,Highland Golden Moths,Diuris monticola,https://id.biodiversity.org.au/taxon/apni/51404267,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349370,Diuris nigromontana,Black Mountain Leopard Orchid,Diuris nigromontana,https://id.biodiversity.org.au/taxon/apni/51404271,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349296,Diuris pardina,Leopard Orchid,Diuris pardina,https://id.biodiversity.org.au/taxon/apni/51404289,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349366,Diuris punctata,Purple Donkey Orchid,Diuris punctata,https://id.biodiversity.org.au/taxon/apni/51404315,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349254,Diuris semilunulata,Late Leopard Orchid,Diuris semilunulata,https://id.biodiversity.org.au/taxon/apni/51404331,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349266,Diuris subalpina,Small Snake-orchid,Diuris subalpina,https://id.biodiversity.org.au/taxon/apni/51404349,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349344,Diuris sulphurea,Tiger Orchid,Diuris sulphurea,https://id.biodiversity.org.au/taxon/apni/51404353,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349273,Eriochilus cucullatus,Parson's Bands,Eriochilus cucullatus,https://id.biodiversity.org.au/taxon/apni/51405070,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349272,Eriochilus magenteus,Magenta Autumn Orchid,Eriochilus magenteus,https://id.biodiversity.org.au/taxon/apni/51405088,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349313,Gastrodia procera,Tall Potato Orchid,Gastrodia procera,https://id.biodiversity.org.au/taxon/apni/51405965,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349385,Gastrodia sesamoides,Bell Orchid,Gastrodia sesamoides,https://id.biodiversity.org.au/taxon/apni/51405967,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349395,Gastrodia surcula,Snowgum Potato Orchid,Gastrodia surcula,https://id.biodiversity.org.au/taxon/apni/51405969,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349309,Lyperanthus suaveolens,Brown Beaks,Lyperanthus suaveolens,https://id.biodiversity.org.au/taxon/apni/51406503,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
