id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4401395,Bulbophyllum argyropus,One-leaf Orchid,Bulbophyllum argyropus,https://id.biodiversity.org.au/taxon/apni/51396317,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401815,Bulbophyllum aurantiacum var. wattsii,Red Rope Orchid,Bulbophyllum schillerianum,https://id.biodiversity.org.au/taxon/apni/51396367,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4402056,Bulbophyllum baileyi,,Bulbophyllum baileyi,https://id.biodiversity.org.au/taxon/apni/51396319,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401397,Bulbophyllum boonjee,,Bulbophyllum boonjee,https://id.biodiversity.org.au/taxon/apni/51396321,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401911,Bulbophyllum bowkettiae,,Bulbophyllum bowkettiae,https://id.biodiversity.org.au/taxon/apni/51396323,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401532,Bulbophyllum bracteatum,,Bulbophyllum bracteatum,https://id.biodiversity.org.au/taxon/apni/51396325,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401793,Bulbophyllum elisae,Pineapple Orchid,Bulbophyllum elisae,https://id.biodiversity.org.au/taxon/apni/51396327,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401790,Bulbophyllum evasum,,Bulbophyllum evasum,https://id.biodiversity.org.au/taxon/apni/51396329,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401693,Bulbophyllum exiguum,,Bulbophyllum exiguum,https://id.biodiversity.org.au/taxon/apni/51396331,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401906,Bulbophyllum gadgarrense,,Bulbophyllum gadgarrense,https://id.biodiversity.org.au/taxon/apni/51396333,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401898,Bulbophyllum globuliforme,Miniature Moss-orchid,Bulbophyllum globuliforme,https://id.biodiversity.org.au/taxon/apni/51396335,dr493,"[{'key': 'category', 'value': 'NT'}, {'key': 'generalisation', 'value': '2 km'}]",NT,2 km
4401658,Bulbophyllum gracillimum,Wispy Umbrella Orchid,Bulbophyllum gracillimum,https://id.biodiversity.org.au/taxon/apni/51396337,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401344,Bulbophyllum grandimesense,,Bulbophyllum grandimesense,https://id.biodiversity.org.au/taxon/apni/51396339,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401968,Bulbophyllum johnsonii,,Bulbophyllum johnsonii,https://id.biodiversity.org.au/taxon/apni/51396341,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4402032,Bulbophyllum lageniforme,,Bulbophyllum lageniforme,https://id.biodiversity.org.au/taxon/apni/51396345,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401725,Bulbophyllum lamingtonense,,Bulbophyllum lamingtonense,https://id.biodiversity.org.au/taxon/apni/51396347,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4402130,Bulbophyllum lewisense,,Bulbophyllum lewisense,https://id.biodiversity.org.au/taxon/apni/51396349,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401421,Bulbophyllum lilianae,,Bulbophyllum lilianiae,https://id.biodiversity.org.au/taxon/apni/51396351,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4402088,Bulbophyllum longiflorum,Pale Umbrella Orchid,Bulbophyllum longiflorum,https://id.biodiversity.org.au/taxon/apni/51396353,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401465,Bulbophyllum macphersonii,,Bulbophyllum macphersonii,https://id.biodiversity.org.au/taxon/apni/51396355,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401869,Bulbophyllum maxillare,,Bulbophyllum maxillare,https://id.biodiversity.org.au/taxon/apni/51396357,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401564,Bulbophyllum minutissimum,Grain-of-wheat Orchid,Bulbophyllum minutissimum,https://id.biodiversity.org.au/taxon/apni/51396359,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4402083,Bulbophyllum nematopodum,,Bulbophyllum nematopodum,https://id.biodiversity.org.au/taxon/apni/51396361,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401662,Bulbophyllum newportii,,Bulbophyllum newportii,https://id.biodiversity.org.au/taxon/apni/51396363,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401447,Bulbophyllum purpurascens,,Bulbophyllum macphersonii,https://id.biodiversity.org.au/taxon/apni/51396355,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4401431,Bulbophyllum radicans,,Bulbophyllum radicans,https://id.biodiversity.org.au/taxon/apni/51396365,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401331,Bulbophyllum schillerianum,Red Rope Orchid,Bulbophyllum schillerianum,https://id.biodiversity.org.au/taxon/apni/51396367,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401786,Bulbophyllum shepherdii,Wheat-leaved Orchid,Bulbophyllum shepherdii,https://id.biodiversity.org.au/taxon/apni/51396369,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401354,Bulbophyllum sladeanum,,Bulbophyllum sladeanum,https://id.biodiversity.org.au/taxon/apni/51396371,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4401722,Bulbophyllum toressae,,Dockrillia toressae,https://id.biodiversity.org.au/taxon/apni/51404600,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4401557,Bulbophyllum wadsworthii,,Bulbophyllum wadsworthii,https://id.biodiversity.org.au/taxon/apni/51396373,dr493,"[{'key': 'category', 'value': 'SL'}, {'key': 'generalisation', 'value': '2 km'}]",SL,2 km
4402029,Bulbophyllum wanjurum,,Bulbophyllum newportii,https://id.biodiversity.org.au/taxon/apni/51396363,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4402140,Bulbophyllum weinthalii,Blotched Bulbophyllum,Bulbophyllum weinthalii,https://id.biodiversity.org.au/taxon/apni/51396375,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
