"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Orthoceras strictum","https://id.biodiversity.org.au/name/apni/56871","Orthoceras strictum","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12790","horned orchid",,
"Plectorrhiza","https://id.biodiversity.org.au/node/apni/2910422","Plectorrhiza","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","6663",,,
"Hetaeria","https://id.biodiversity.org.au/node/apni/2907004","Hetaeria","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","20840",,,
"Corunastylis rufa","https://id.biodiversity.org.au/name/apni/170786","Corunastylis rufa","Orchidaceae",,"(R.Br.) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","27543",,,
"Dendrobium x superbiens","https://id.biodiversity.org.au/node/apni/2889407","x Vappaculum x superbiens","Orchidaceae",,"Rchb.f.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","9134",,,
"Macrozamia lucida","https://id.biodiversity.org.au/node/apni/2899258","Macrozamia lucida","Zamiaceae",,"L.A.S.Johnson","Plantae","Equisetopsida","Zamiaceae","C","Least concern wildlife","N","Australian endemic","14429","pineapple zamia",,
"Mixophyes fleayi","urn:lsid:biodiversity.org.au:afd.taxon:289e1b7c-1323-473a-8c2b-a674324c102e","Mixophyes fleayi","Myobatrachidae",,"Corben & Ingram, 1987","Animalia","Amphibia","Myobatrachidae","E","Endangered wildlife","Y","Australian endemic","675","Fleay's barred frog","E","Endangered"
"Dendrobium kingianum subsp. kingianum","https://id.biodiversity.org.au/taxon/apni/51305059","Dendrobium kingianum subsp. kingianum","Orchidaceae",,"Bidwill ex Lindl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","14633",,,
"Erythrorchis","https://id.biodiversity.org.au/node/apni/2913687","Erythrorchis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20698",,,
"Prasophyllum","https://id.biodiversity.org.au/taxon/apni/51290624","Prasophyllum","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","12688",,,
