"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Dockrillia schoenina","https://id.biodiversity.org.au/name/apni/147294","Dockrillia schoenina","Orchidaceae",,"(Lindl.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","5803","pencil orchid",,
"Nepenthes parvula","https://id.biodiversity.org.au/taxon/apni/51290437","Nepenthes parvula","Nepenthaceae",,"G.W.Wilson & S.Venter","Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Queensland endemic","36037",,,
"Diuris minor","https://id.biodiversity.org.au/name/apni/177541","Diuris minor","Orchidaceae",,"(Benth.) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","41460",,,
"Pterostylis aquilonia","https://id.biodiversity.org.au/name/apni/178870","Pterostylis aquilonia","Orchidaceae",,"D.L.Jones & B.Gray","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","18887",,,
"Corunastylis valida","https://id.biodiversity.org.au/name/apni/178842","Corunastylis valida","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","27547",,,
"Sarcochilus spathulatus","https://id.biodiversity.org.au/name/apni/63526","Sarcochilus spathulatus","Orchidaceae",,"R.S.Rogers","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","8223",,,
"Chiloglottis trullata","https://id.biodiversity.org.au/name/apni/117397","Chiloglottis trullata","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","8200",,,
"Euastacus jagara","urn:lsid:biodiversity.org.au:afd.taxon:8c494db9-e87e-4c49-bb26-5f61d072c018","Euastacus jagara","Parastacidae",,"Morgan, 1988","Animalia",,"Parastacidae","CR","Critically endangered wildlife","Y","Queensland endemic","33594","Jagara hairy crayfish",,
"Diplazium pallidum","https://id.biodiversity.org.au/node/apni/2887112","Diplazium pallidum","Woodsiaceae",,"(Blume) T.Moore","Plantae","Equisetopsida","Athyriaceae","E","Endangered wildlife","Y","Naturally occurs in Queensland and overseas","12083",,"E","Endangered"
"Diplocaulobium","https://id.biodiversity.org.au/node/apni/2889533","Diplocaulobium","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","20615",,,
"Cycas papuana","https://id.biodiversity.org.au/name/apni/158625","Cycas papuana","Cycadaceae",,"F.Muell.","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","34680",,,
"Chiloglottis formicifera","https://id.biodiversity.org.au/name/apni/64788","Chiloglottis formicifera","Orchidaceae",,"Fitzg.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","13324","ant orchid",,
"Thelymitra x truncata","https://id.biodiversity.org.au/name/apni/160645","Thelymitra x truncata","Orchidaceae",,"R.S.Rogers","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","28167",,,
"Chiloglottis truncata","https://id.biodiversity.org.au/name/apni/64849","Chiloglottis truncata","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","9261",,,
"Cymbidium suave","https://id.biodiversity.org.au/name/apni/93482","Cymbidium suave","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","17506",,,
"Myrmecodia","https://id.biodiversity.org.au/node/apni/2895090","Myrmecodia","Rubiaceae",,,"Plantae","Equisetopsida","Rubiaceae",,,"N","XU","21120",,,
"Amblovenatum immersum",,,,,"(Blume) Parris","Plantae","Equisetopsida","Thelypteridaceae","CR","Critically endangered wildlife","Y","Naturally occurs in Queensland and overseas","41350",,,
"Vrydagzynea grayi","https://id.biodiversity.org.au/node/apni/2914097","Vrydagzynea grayi","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","30794",,"E","Endangered"
"Diuris oporina","https://id.biodiversity.org.au/name/apni/117448","Diuris oporina","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","7946","northern white donkeys tails",,
"Dipodium hamiltonianum","https://id.biodiversity.org.au/name/apni/79467","Dipodium hamiltonianum","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","14607","yellow hyacinth orchid",,
"Dryopteris sparsa","https://id.biodiversity.org.au/node/apni/2891150","Dryopteris sparsa","Dryopteridaceae",,"(Buch.-Ham. ex D.Don) Kuntze","Plantae","Equisetopsida","Dryopteridaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12039",,,
"Dendrobium eriaeoides","https://id.biodiversity.org.au/name/apni/85468","Dendrobium eriaeoides","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39947",,,
"Argynnis hyperbius inconstans","urn:lsid:biodiversity.org.au:afd.taxon:b951b043-37e0-4604-b84f-ee7ec4ae9efb","Argynnis hyperbius inconstans","Nymphalidae",,"Butler, 1873","Animalia","Insecta","Nymphalidae","E","Endangered wildlife","Y","Australian endemic","2008","Australian fritillary","CE","Critically endangered"
"Pterostylis anatona","https://id.biodiversity.org.au/name/apni/178869","Pterostylis anatona","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","18886",,,
"Acianthus ledwardii","https://id.biodiversity.org.au/node/apni/2889011","Acianthus fornicatus","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","8545",,,
"Livistona lanuginosa","https://id.biodiversity.org.au/node/apni/2889724","Livistona lanuginosa","Arecaceae",,"Rodd","Plantae","Equisetopsida","Arecaceae","V","Vulnerable wildlife","Y","Queensland endemic","2224",,"V","Vulnerable"
"Bulbophyllum longiflorum","https://id.biodiversity.org.au/node/apni/2895841","Bulbophyllum longiflorum","Orchidaceae",,"Thouars","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12872",,"V","Vulnerable"
"Peristeranthus hillii","https://id.biodiversity.org.au/name/apni/92597","Peristeranthus hillii","Orchidaceae",,"(F.Muell.) T.E.Hunt","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12719",,,
"Orraya occultus","urn:lsid:biodiversity.org.au:afd.taxon:4dffd7cd-f901-4f31-b296-675fd1e91aec","Orraya occultus","Carphodactylidae",,"(Couper, Covacevich & Moritz, 1993)","Animalia","Reptilia","Carphodactylidae","V","Vulnerable wildlife","Y","Queensland endemic","389","McIlwraith leaf-tailed gecko",,
"Diuris luteola","https://id.biodiversity.org.au/name/apni/117440","Diuris luteola","Orchidaceae",,"D.L.Jones & B.Gray","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7945","northern yellow donkeys tails",,
"Chiloschista phyllorhiza","https://id.biodiversity.org.au/name/apni/64872","Chiloschista phyllorhiza","Orchidaceae",,"(F.Muell.) Schltr.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13325",,,
"Habenaria exilis","https://id.biodiversity.org.au/name/apni/178887","Habenaria exilis","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","21845",,,
"Calochilus caeruleus","https://id.biodiversity.org.au/name/apni/98955","Calochilus caeruleus","Orchidaceae",,"L.O.Williams","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","8204","blue beards",,
"Cycas candida","https://id.biodiversity.org.au/node/apni/2893335","Cycas candida","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","27956",,,
"Arenga australasica","https://id.biodiversity.org.au/node/apni/2893257","Arenga australasica","Arecaceae",,"(H.Wendl. & Drude) S.T.Blake ex H.E. Moore","Plantae","Equisetopsida","Arecaceae","V","Vulnerable wildlife","Y","Australian endemic","12864",,,
"Pterostylis scoliosa","https://id.biodiversity.org.au/name/apni/178871","Pterostylis scoliosa","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","18888",,,
"Litoria longirostris","urn:lsid:biodiversity.org.au:afd.taxon:d3878bb6-9819-4c24-89e0-1ea52c630ce6","Litoria longirostris","Hylidae",,"Tyler & Davies, 1977","Animalia","Amphibia","Hylidae","NT","Near threatened wildlife","Y","Queensland endemic","616","long snouted treefrog",,
"Nervilia crociformis","https://id.biodiversity.org.au/name/apni/83090","Nervilia crociformis","Orchidaceae",,"(Zoll. & Moritzi) Seidenf.","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","8552",,,
"Cleisostoma racemiferum","ALA_Cleisostoma_racemiferum","Cleisostoma racemiferum",,,"(Lindl.) Garay","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39094",,,
"Corunastylis archeri","https://id.biodiversity.org.au/name/apni/169063","Corunastylis archeri","Orchidaceae",,"(Hook.f.) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","27533",,,
"Pterostylis sp. (Gundiah W.W.Abell AQ72188)","https://id.biodiversity.org.au/name/apni/232216","Pterostylis sp. Gundiah (W.W.Abell AQ72188)","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","6689",,,
"Acianthus sublestus","https://id.biodiversity.org.au/name/apni/73228","Acianthus sublestus","Orchidaceae",,"Dockrill","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","8546",,,
"Diplazium cordifolium","https://id.biodiversity.org.au/node/apni/2918049","Diplazium cordifolium","Woodsiaceae",,"Blume","Plantae","Equisetopsida","Athyriaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12084",,"V","Vulnerable"
"Habenaria propinquior","https://id.biodiversity.org.au/name/apni/106625","Habenaria propinquior","Orchidaceae",,"Rchb.f.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","9015",,,
"Taeniophyllum explanatum","https://id.biodiversity.org.au/taxon/apni/51291023","Taeniophyllum explanatum","Orchidaceae",,"B.Gray","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","35944",,,
"Gastrodia sesamoides","https://id.biodiversity.org.au/name/apni/88635","Gastrodia sesamoides","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12806","cinnamon bells",,
"Habenaria banfieldii","https://id.biodiversity.org.au/name/apni/106037","Habenaria banfieldii","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39920",,,
"Rhinerrhiza divitiflora","https://id.biodiversity.org.au/name/apni/68033","Rhinerrhiza divitiflora","Orchidaceae",,"(F.Muell. ex Benth.) Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12705",,,
"Dendrobium bigibbum var. albomarginatum","https://id.biodiversity.org.au/node/apni/2889407","x Vappaculum x superbiens","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","40376",,,
"Pterostylis longipetala","https://id.biodiversity.org.au/name/apni/74926","Pterostylis longipetala","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","31118",,,
"Drymoanthus minutus","https://id.biodiversity.org.au/name/apni/100787","Drymoanthus minutus","Orchidaceae",,"Nicholls","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7947",,,
"Anoectochilus","https://id.biodiversity.org.au/node/apni/2918392","Anoectochilus","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","20170",,,
"Pseudovanilla foliata","https://id.biodiversity.org.au/name/apni/87759","Pseudovanilla foliata","Orchidaceae",,"(F.Muell.) Garay","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12689","giant climbing orchid",,
"Macrozamia","https://id.biodiversity.org.au/taxon/apni/51294694","Macrozamia","Zamiaceae",,,"Plantae","Equisetopsida","Zamiaceae",,,"N","Native to Queensland - endemicity not defined","12011",,,
"Arthrochilus corinnae","https://id.biodiversity.org.au/name/apni/189014","Arthrochilus corinnae","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","30807",,,
"Dipodium elegantulum","https://id.biodiversity.org.au/name/apni/117420","Dipodium elegantulum","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","8446",,,
"Oberonia attenuata","https://id.biodiversity.org.au/name/apni/82889","Oberonia attenuata","Orchidaceae",,"Dockrill","Plantae","Equisetopsida","Orchidaceae","CR","Critically endangered wildlife","Y","Queensland endemic","10517","Mossman fairy orchid","CE","Critically endangered"
"Grastidium baileyi","https://id.biodiversity.org.au/name/apni/60234","Grastidium baileyi","Orchidaceae",,"(F.Muell.) Rauschert","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","19448",,,
"Cycas yorkiana","https://id.biodiversity.org.au/node/apni/2896971","Cycas yorkiana","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","5938",,,
"Macrozamia crassifolia","https://id.biodiversity.org.au/node/apni/2886099","Macrozamia crassifolia","Zamiaceae",,"P.I.Forst. & D.L.Jones","Plantae","Equisetopsida","Zamiaceae","V","Vulnerable wildlife","Y","Queensland endemic","6479",,,
"Bulbophyllum johnsonii","https://id.biodiversity.org.au/name/apni/69554","Bulbophyllum johnsonii","Orchidaceae",,"T.E.Hunt","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13481",,,
"Didymoplexis pallens","https://id.biodiversity.org.au/name/apni/104090","Didymoplexis pallens","Orchidaceae",,"Griff.","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Naturally occurs in Queensland and overseas","12844","crystal bells",,
"Oberonia crateriformis","https://id.biodiversity.org.au/name/apni/206423","Oberonia crateriformis","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36250",,,
"Grastidium luteocilium","https://id.biodiversity.org.au/name/apni/60241","Grastidium luteocilium","Orchidaceae",,"(Rupp) Rauschert","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","19450",,,
"Bulbophyllum sladeanum","https://id.biodiversity.org.au/name/apni/69747","Bulbophyllum sladeanum","Orchidaceae",,"A.D.Hawkes","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","8196",,,
"Phlegmariurus pinifolius",,,,,"(Trevis.) Kiew","Plantae","Equisetopsida","Lycopodiaceae","C","Least concern wildlife","N","Queensland endemic","41046",,,
"Cycas terryana","https://id.biodiversity.org.au/node/apni/2909218","Cycas terryana","Cycadaceae",,"P.I.Forst.","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","34314",,,
"Macrozamia conferta","https://id.biodiversity.org.au/node/apni/2891883","Macrozamia conferta","Zamiaceae",,"D.L.Jones & P.I.Forst.","Plantae","Equisetopsida","Zamiaceae","V","Vulnerable wildlife","Y","Queensland endemic","6525",,"V","Vulnerable"
"Ornithochilus moretoni","ALA_Ornithochilus_moretoni","Ornithochilus moretoni",,,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","37704",,,
"Diteilis petricola","https://id.biodiversity.org.au/name/apni/200947","Diteilis petricola","Orchidaceae",,"D.L.Jones & B.Gray","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","31912",,,
"Dipodium stenocheilum","https://id.biodiversity.org.au/name/apni/79602","Dipodium stenocheilum","Orchidaceae",,"O.Schwarz","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12791",,,
"Cycas media subsp. ensata","https://id.biodiversity.org.au/node/apni/2904417","Cycas media subsp. ensata","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","5935",,,
"Cycas media subsp. banksii","https://id.biodiversity.org.au/node/apni/2898155","Cycas media subsp. banksii","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","5939",,,
"Caladenia","https://id.biodiversity.org.au/taxon/apni/51316855","Caladenia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","13322",,,
"Amytornis barbatus","urn:lsid:biodiversity.org.au:afd.taxon:08139e95-70c7-499e-9a1b-2e7ad2c37ff1","Amytornis (Maluropsis) barbatus","Maluridae",,"Favaloro & McEvey, 1968","Animalia","Aves","Maluridae","NT","Near threatened wildlife","Y","Australian endemic","1563","grey grasswren",,
"Diuris chrysantha","https://id.biodiversity.org.au/name/apni/78879","Diuris chrysantha","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9276","double yellow tails",,
"Pterostylis longicurva","https://id.biodiversity.org.au/name/apni/74896","Pterostylis longicurva","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","8555",,,
"Sarcochilus tricalliatus","https://id.biodiversity.org.au/name/apni/63547","Sarcochilus tricalliatus","Orchidaceae",,"(Rupp) Rupp","Plantae","Equisetopsida","Orchidaceae",,,"N","Queensland endemic","4361",,,
"Dendrobium grantii","ALA_Dendrobium_grantii","Dendrobium grantii",,,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39949",,,
"Epthianura crocea macgregori","urn:lsid:biodiversity.org.au:afd.taxon:6bc10bdd-f140-467c-ad1d-e1359f6c613c","Epthianura (Aurepthianura) crocea macgregori","Meliphagidae",,"Keast, 1958","Animalia","Aves","Meliphagidae","E","Endangered wildlife","Y","Queensland endemic","22459","yellow chat (Dawson)","CE","Critically endangered"
"Didymoplexis","https://id.biodiversity.org.au/node/apni/2907322","Didymoplexis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20600",,,
"Thelymitra pauciflora","NZOR-6-89979","Thelymitra pauciflora sensu","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12675","slender sun orchid",,
"Empusa habenarina","https://id.biodiversity.org.au/name/apni/189048","Empusa habenarina","Orchidaceae",,"(F.Muell.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","30801",,,
"Acianthus pusillus","https://id.biodiversity.org.au/name/apni/117332","Acianthus pusillus","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7931",,,
"Phlegmariurus varius","https://id.biodiversity.org.au/node/apni/2917281","Phlegmariurus varius","Lycopodiaceae",,"(R.Br.) A.R.Field & Bostock","Plantae","Equisetopsida","Lycopodiaceae","V","Vulnerable wildlife","Y","Naturally occurs in Australia and overseas","34771",,,
"Demorchis queenslandica","https://id.biodiversity.org.au/name/apni/189040","Demorchis queenslandica","Orchidaceae",,"(Dockrill) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","30797",,,
"Zeuxine oblonga","https://id.biodiversity.org.au/name/apni/98491","Zeuxine oblonga","Orchidaceae",,"R.S.Rogers & C.T.White","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Australia and overseas","15903","hairy jewel orchid",,
"Peristylus papuanus","https://id.biodiversity.org.au/name/apni/92681","Peristylus papuanus","Orchidaceae",,"(Kraenzl.) J.J.Sm.","Plantae","Equisetopsida","Orchidaceae",,,,"XU","16493",,,
"Livistona nitida","https://id.biodiversity.org.au/taxon/apni/51266901","Livistona nitida","Arecaceae",,"Rodd","Plantae","Equisetopsida","Arecaceae","NT","Near threatened wildlife","Y","Queensland endemic","3322",,,
"Eriochilus petricola","https://id.biodiversity.org.au/name/apni/189020","Eriochilus petricola","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","30804",,,
"Dendrobium keffordii","https://id.biodiversity.org.au/name/apni/85785","Dendrobium keffordii","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39950",,,
"Bulbophyllum macphersonii","https://id.biodiversity.org.au/name/apni/69611","Bulbophyllum macphersonii","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13488",,,
"Diuris curta","https://id.biodiversity.org.au/name/apni/206476","Diuris curta","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","34632",,,
"Macrozamia viridis","https://id.biodiversity.org.au/node/apni/2917053","Macrozamia viridis","Zamiaceae",,"D.L.Jones & P.I.Forst.","Plantae","Equisetopsida","Zamiaceae","E","Endangered wildlife","Y","Australian endemic","6482",,,
"Calochilus metallicus","https://id.biodiversity.org.au/name/apni/189018","Calochilus metallicus","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","30803",,,
"Pterostylis depauperata","https://id.biodiversity.org.au/name/apni/74526","Pterostylis depauperata","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12692",,,
"Pterostylis woollsii","https://id.biodiversity.org.au/name/apni/76094","Pterostylis woollsii","Orchidaceae",,"Fitzg.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","8557","long-tailed greenhood",,
"Cleisostoma orbiculare","https://id.biodiversity.org.au/name/apni/71275","Cleisostoma orbiculare","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39931",,,
"Scaturiginichthys vermeilipinnis","urn:lsid:biodiversity.org.au:afd.taxon:df4e5f69-d850-4d5b-8182-b525024c2902","Scaturiginichthys vermeilipinnis","Pseudomugilidae",,"Ivantsoff, Unmack, Saeed & Crowley, 1991","Animalia","Actinopterygii","Pseudomugilidae","E","Endangered wildlife","Y","Queensland endemic","18165","redfin blue eye","E","Endangered"
"Drosera adelae","https://id.biodiversity.org.au/node/apni/2909650","Drosera adelae","Droseraceae",,"F.Muell.","Plantae","Equisetopsida","Droseraceae","NT","Near threatened wildlife","Y","Queensland endemic","11623",,,
"Livistona fulva","https://id.biodiversity.org.au/taxon/apni/51266892","Livistona fulva","Arecaceae",,"Rodd","Plantae","Equisetopsida","Arecaceae","V","Vulnerable wildlife","Y","Queensland endemic","3321",,,
"Trichoglottis","https://id.biodiversity.org.au/node/apni/2886538","Trichoglottis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","21658",,,
"Diplocaulobium glabrum","https://id.biodiversity.org.au/name/apni/77815","Diplocaulobium glabrum","Orchidaceae",,"(J.J.Sm.) Kraenzl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","12845",,,
"Dendrobium lineale","ALA_Dendrobium_lineale","Dendrobium lineale",,,"Rolfe","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","37194",,,
"Microsorum membranifolium","https://id.biodiversity.org.au/node/apni/2907462","Microsorum membranifolium","Polypodiaceae",,"(R.Br.) Ching","Plantae","Equisetopsida","Polypodiaceae","NT","Near threatened wildlife","Y","Naturally occurs in Queensland and overseas","16625","pimple fern",,
"Diteilis collinsii","https://id.biodiversity.org.au/name/apni/189044","Diteilis collinsii","Orchidaceae",,"(B.Gray) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36436",,,
"Cophixalus pakayakulangun","urn:lsid:biodiversity.org.au:afd.taxon:77e20a7e-04f5-47bd-a45d-66dc9a643267","Cophixalus pakayakulangun","Microhylidae",,"Hoskin & Aland, 2011","Animalia","Amphibia","Microhylidae","C","Least concern wildlife","N","Queensland endemic","34089","golden-capped boulder-frog",,
"Stiphodon pelewensis","urn:lsid:biodiversity.org.au:afd.taxon:2144eb13-3ba3-490d-bc97-bbc0f052fde2","Stiphodon pelewensis","Gobiidae",,"Herre, 1936","Animalia","Actinopterygii","Gobiidae","V","Vulnerable wildlife","Y","Naturally occurs in Australia and overseas","32228","Daintree cling goby",,
"Aponogeton elongatus subsp. fluitans","https://id.biodiversity.org.au/node/apni/2907097","Aponogeton elongatus subsp. fluitans","Aponogetonaceae",,"Hellq. & S.W.L.Jacobs","Plantae","Equisetopsida","Aponogetonaceae","V","Vulnerable wildlife","Y","Queensland endemic","21903",,,
"Epthianura crocea","urn:lsid:biodiversity.org.au:afd.taxon:35517eb0-6c96-48f4-8661-636dcf20224a","Epthianura (Aurepthianura) crocea","Meliphagidae",,"Castelnau & Ramsay, 1877","Animalia","Aves","Meliphagidae","V","Vulnerable wildlife","Y","Australian endemic","1528","yellow chat",,
"Dendrobium nindii","https://id.biodiversity.org.au/node/apni/2913587","Durabaculum nindii","Orchidaceae",,"W.Hill","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Naturally occurs in Queensland and overseas","12837","blue orchid","E","Endangered"
"Glaphyromorphus clandestinus","urn:lsid:biodiversity.org.au:afd.taxon:8119d6dd-c16a-418b-971b-f41de855ba36","Glaphyromorphus clandestinus","Scincidae",,"Hoskin & Couper, 2004","Animalia","Reptilia","Scincidae","C","Least concern wildlife","N","Queensland endemic","29318","Mt Elliot skink",,
"Glaphyromorphus othelarrni","urn:lsid:biodiversity.org.au:afd.taxon:8e6ae7c5-8f54-433c-a4ae-6091bb53fc36","Glaphyromorphus othelarrni","Scincidae",,"Hoskin & Couper, 2014","Animalia","Reptilia","Scincidae","C","Least concern wildlife","N","Queensland endemic","35478","Cape Melville bar-lipped skink",,
"Dendrobium bigibbum var. macranthum","https://id.biodiversity.org.au/node/apni/2905089","Vappodes phalaenopsis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","40377",,,
"Dryopteris hasseltii","https://id.biodiversity.org.au/node/apni/2886333","Dryopteris hasseltii","Dryopteridaceae",,"(Blume) C.Chr.","Plantae","Equisetopsida","Dryopteridaceae","NT","Near threatened wildlife","Y","Queensland endemic","10282",,,
"Dendrobium aemulum","https://id.biodiversity.org.au/taxon/apni/51305018","Dendrobium aemulum","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13280","ironbark orchid",,
