name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Drummondita rubriviridis,,,Priority 1: Poorly-known species,added,,,
Einadia nutans subsp. nutans,Nodding Saltbush,Einadia nutans subsp. nutans,Priority 3: Poorly-known species,added,,,
Elionurus tylophorus,Toothed Wire Grass,Elionurus tylophorus,Priority 2: Poorly-known species,added,,,
Empusa habenarina,Common Sphinx Orchid,Liparis habenarina,Priority 2: Poorly-known species,added,,,
Eragrostis lasioclada,,Ectrosia lasioclada,Priority 1: Poorly-known species,added,,,
Eragrostis lilliputiana,,Eragrostis lilliputiana,Priority 3: Poorly-known species,added,,,
Eragrostis sp. Lake Carey (J. Paterson & J. Warden WB 40825) PN,,,Priority 1: Poorly-known species,added,,,
Eremophila acutifolia,,Eremophila acutifolia,Priority 3: Poorly-known species,added,,,
Eremophila annosicaulis,,,Priority 3: Poorly-known species,added,,,
Eremophila glabra subsp. Lake Austin (P.J. Curry & P. Hennig 367),,Eremophila glabra subsp. Lake Austin (P.J.Curry & P.Hennig 367),Priority 1: Poorly-known species,added,,,
Eremophila glabra subsp. Rason Lake (R.D. Royce 5582),,Eremophila glabra subsp. Rason Lake (R.D.Royce 5582),Priority 1: Poorly-known species,added,,,
Eremophila inflata,,Calamphoreus inflatus,"Priority 4: Rare, Near Threatened",added,,,
Eremophila microphylla,,Eremophila microphylla,Priority 3: Poorly-known species,added,,,
Eremophila naaykensii,,,Priority 3: Poorly-known species,added,,,
Eremophila oldfieldii subsp. papula,,Eremophila oldfieldii subsp. papula,Priority 1: Poorly-known species,added,,,
Eremophila rarissima,,Eremophila rarissima,Priority 1: Poorly-known species,added,,,
Eremophila sericea,,Eremophila sericea,Priority 1: Poorly-known species,added,,,
Eremophila sp. Lake Carey (E. Mattiske LM 197) PN,,Eremophila sp. Lake Carey (E.Mattiske LM 197),Priority 1: Poorly-known species,added,,,
Eremophila sp. Landor (J. Start D7 33) PN,,Eremophila sp. Landor (J.Start D7 33),Priority 1: Poorly-known species,added,,,
Eremophila sp. Pingandy dentate (B. Buirchell BB 331),,Eremophila sp. Pingandy dentate (B.Buirchell BB 331),Priority 1: Poorly-known species,added,,,
Eremophila waitii,,Eremophila waitii,Priority 1: Poorly-known species,added,,,
Eremophila xantholaemus,,,Priority 1: Poorly-known species,added,,,
Eriochilus glareosus,,,Priority 1: Poorly-known species,added,,,
Eucalyptus calycogona subsp. miraculum,,Eucalyptus calycogona subsp. miraculum,Priority 1: Poorly-known species,added,,,
Eucalyptus dissimulata subsp. dissimulata,,,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus dissimulata subsp. plauta,,Eucalyptus sp. Truslove (M.I.H.Brooker 7499),Priority 1: Poorly-known species,added,,,
Eucalyptus efflorescens,,,Priority 1: Poorly-known species,added,,,
Eucalyptus eremophila subsp. pterocarpa,,Eucalyptus eremophila subsp. pterocarpa,Priority 1: Poorly-known species,added,,,
Eucalyptus foecunda subsp. aeolica,Narrow-leaved Red Mallee,Eucalyptus foecunda,Priority 2: Poorly-known species,added,,,
Eucalyptus foecunda subsp. foecunda,,Eucalyptus foecunda subsp. foecunda,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus formanii subsp. circulata,,,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus formanii subsp. formanii,,,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus goniantha subsp. kynouron,,,Priority 2: Poorly-known species,added,,,
Eucalyptus merleae,,,Priority 2: Poorly-known species,added,,,
Eucalyptus polita,,Eucalyptus polita,Priority 3: Poorly-known species,added,,,
Eucalyptus ravensthorpensis,,Eucalyptus ravensthorpensis,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus sp. Dunbar Road (D. Nicolle & M. French DN 5466) PN,,Eucalyptus sp. Dunbar Road (D.Nicolle & M.French DN 5466),Priority 1: Poorly-known species,added,,,
Eucalyptus uncinata subsp. crassifolia,,,Priority 2: Poorly-known species,added,,,
Eucalyptus x erectifolia,Stirling Range Mallee,Eucalyptus erectifolia,"Priority 4: Rare, Near Threatened",added,,,
Euploca aenigmata,,Euploca aenigmata,Priority 1: Poorly-known species,added,,,
Euploca alcyonium,,,Priority 1: Poorly-known species,added,,,
Euploca apertum,,Euploca apertum,Priority 1: Poorly-known species,added,,,
Euploca argyrea,,Euploca argyrea,Priority 1: Poorly-known species,added,,,
Euploca calvariavis,,Euploca calvariavis,Priority 1: Poorly-known species,added,,,
Euploca cupressina,,Heliotropium cupressinum,Priority 1: Poorly-known species,added,,,
Euploca discordis,,Euploca discordis,Priority 1: Poorly-known species,added,,,
Euploca foveolata,,Euploca foveolata,Priority 1: Poorly-known species,added,,,
Euploca galioides,,Euploca galioides,Priority 1: Poorly-known species,added,,,
Euploca geocharis,,Euploca geocharis,Priority 1: Poorly-known species,added,,,
Euploca mitchellii,,Euploca mitchellii,Priority 1: Poorly-known species,added,,,
Euploca mutica,,Euploca mutica,Priority 3: Poorly-known species,added,,,
Euploca nesopelyda,,Euploca nesopelyda,Priority 1: Poorly-known species,added,,,
Euploca parviantrum,,Euploca parviantrum,Priority 1: Poorly-known species,added,,,
Euploca synaimon,,Euploca synaimon,Priority 1: Poorly-known species,added,,,
Euploca tachyglossoides,,Euploca tachyglossoides,Priority 1: Poorly-known species,added,,,
Euploca uniflora,,Euploca uniflora,Priority 1: Poorly-known species,added,,,
Eutaxia sp. Jasper Hill (R.J. Cranfield 8607),,Eutaxia sp. Jasper Hill (R.J.Cranfield 8607),Priority 1: Poorly-known species,added,,,
Fitzwillia sp. Newdegate (A. Coates 8766) PN,,,Priority 1: Poorly-known species,added,,,
Gastrolobium sp. Asperum (F. Hort 2864) PN,,,Priority 3: Poorly-known species,added,,,
