Common name,Scientific name,Status,Animal Group
Crescent nailtail wallaby,Onychogalea lunata,Extinct,Mammal
Crest-tailed mulgara,Dasycercus cristicauda,Vulnerable,Mammal
Crested shrike-tit,Falcunculus frontatus whitei,Listed nationally but not under NT legislation Bird,Bird
Curlew sandpiper,Calidris ferruginea,Critically endangered,Bird
Desert bandicoot,Perameles eremiana,Extinct,Mammal
Desert bettong,Bettongia anhydra,Extinct,Mammal
Dodd’s azure,Ogyris iphis doddi,Endangered,Invertebrate
Dusky hopping-mouse,Notomys fuscus,Endangered,Mammal
Dwarf sawfish,Pristis clavata,Vulnerable,Fish
Ellery Creek squat snail,Semotrachia elleryi,Vulnerable,Invertebrate
Emily Gap squat snail ,Semotrachia emilia,Vulnerable,Invertebrate
Far eastern curlew ,Numenius madagascariensis,Critically endangered,Bird
Fawn Antechinus ,Antechinus bellus,Endangered,Mammal
Fawn hopping-mouse ,Notomys cervinus,Least concern (extinct in NT),Mammal
Fenn Gap squat snail ,Semotrachia filixiana,Vulnerable,Invertebrate
Finke goby,Chlamydogobius japalpa,Vulnerable,Fish
Finke Gorge rocksnail ,Granulomelon arcigerens,Vulnerable,Invertebrate
Fitzroy Station rocksnail ,Mesodontrachia fitzroyana,Critically endangered,Invertebrate
Flatback turtle ,Natator depressus,Listed nationally but not under NT legislation,Reptile
Ghost bat ,Macroderma gigas,Listed nationally but not under NT legislation,Mammal
Gillen Creek rocksnail ,Granulomelon gilleni,Vulnerable,Invertebrate
Golden bandicoot ,Isoodon auratus,Endangered,Mammal
Golden-backed tree-rat ,Mesembriomys macrurus,Critically endangered,Mammal
Gouldian finch ,Erythrura gouldiae,Vulnerable,Bird
Great desert skink ,Liopholis kintorei,Vulnerable,Reptile
Great knot ,Calidris tenuirostris,Critically endangered,Bird
Greater bilby ,Macrotis lagotis,Vulnerable,Mammal
Greater sand plover ,Charadrius leschenaultii,Vulnerable,Bird
Green sawfish,Pristis zijsron,Vulnerable,Fish
Green turtle ,Chelonia mydas,Listed nationally but not under NT legislation,Reptile
Grey falcon ,Falco hypoleucos,Vulnerable,Bird
Grey nurse shark,Carcharias taurus,Listed nationally but not under NT legislation,Fish
Gulf snapping turtle ,Elseya lavarackorum,Listed nationally but not under NT legislation,Reptile
Harts Range knob-lip snail ,Dirutrachia sublevata,Vulnerable,Invertebrate
Harts Range rocksnail ,Granulomelon grandituberculatum,Vulnerable,Invertebrate
Hawksbill turtle ,Eretmochelys imbricata,Vulnerable,Reptile
Hillier's keeled snail ,Divellomelon hillieri,Vulnerable,Invertebrate
Hooded robin (Tiwi) ,Melanodryas cucullata melvillensis,Critically endangered,Bird
Horsfield’s bushlark (Tiwi) ,Mirafra javanica melvillensis,Vulnerable,Bird
Howard River toadlet ,Uperoleia daviesae,Vulnerable,Amphibian
Huckitta Ruins squat snail ,Semotrachia huckittana,Vulnerable,Invertebrate
Humpback whale ,Megaptera novaeangliae,Listed nationally but not under NT legislation,Mammal
Illara Waterhole squat snail ,Semotrachia illarana,Vulnerable,Invertebrate
Jessie Gap squat snail ,Semotrachia jessieana,Vulnerable,Invertebrate
Jinka Spring squat snail ,Semotrachia jinkana,Vulnerable,Invertebrate
Kowari ,Dasyuroides byrnei,Vulnerable (extinct in NT),Mammal
Krichauff Ranges snail ,Semotrachia esau,Vulnerable,Invertebrate
Largetooth sawfish,Pristis pristis,Vulnerable,Fish
Leatherback turtle ,Dermochelys coriacea,Critically endangered,Reptile
Lesser bilby ,Macrotis leucura,Extinct,Mammal
Lesser sand plover ,Charadrius mongolus,Endangered,Bird
Lesser stick-nest rat ,Leporillus apicalis,Extinct,Mammal
Loggerhead turtle ,Caretta caretta,Vulnerable,Reptile
Long-tailed hopping-mouse ,Notomys longicaudatus,Extinct,Mammal
Lorentz grunter,Pingalla lorentzi,Vulnerable,Fish
Mala ,Lagorchestes hirsutus Central Australian subspecies,Endangered (extinct in wild in NT),Mammal
Malleefowl ,Leipoa ocellata,Critically endangered,Bird
Masked owl (northern mainland) ,Tyto novaehollandiae kimberli,Vulnerable,Bird
Masked owl (Tiwi) ,Tyto novaehollandiae melvillensis,Endangered,Bird
Melville squat-keeled snail ,Trochomorpha melvillensis,Vulnerable,Invertebrate
Merten’s water monitor ,Varanus mertensi,Vulnerable,Reptile
Mitchell’s water monitor ,Varanus mitchelli,Vulnerable,Reptile
Nabarlek (Top End) ,Petrogale concinna canescens,Endangered,Mammal
Nabarlek (Victoria River district) ,Petrogale concinna concinna,Critically endangered (possibly extinct),Mammal
Night parrot ,Pezoporus occidentalis,Endangered,Bird
Northern brush-tailed phascogale ,Phascogale pirata,Endangered,Mammal
Northern hopping-mouse ,Notomys aquilo,Vulnerable,Mammal
Northern quoll ,Dasyurus hallucatus,Critically endangered,Mammal
Northern river shark,Glyphis garricki,Endangered,Fish  
Numbat ,Myrmecobius fasciatus,Endangered (extinct in NT),Mammal
Oenpelli python ,Simalia oenpelliensis,Vulnerable,Reptile
Olive ridley ,Lepidochelys olivacea,Vulnerable,Reptile
Painted honeyeater ,Grantiella picta,Vulnerable,Bird
Pale field-rat ,Rattus tunneyi,Vulnerable,Mammal
Palm Valley rocksnail ,Granulomelon squamulosum,Vulnerable,Invertebrate
Partridge pidgeon (eastern) ,Geophaps smithii smithii,Vulnerable,Bird
Pig-footed bandicoot ,Chaeropus ecaudatus,Extinct,Mammal
Plains death adder ,Acanthophsis hawkei,Vulnerable,Reptile
Plains mouse ,Pseudomys australis,Endangered,Mammal
Plains-wanderer ,Pedionomus torquatus,Critically endangered,Bird
Princess parrot ,Polytelis alexandrae,Vulnerable,Bird
Purple-crowned fairy-wren (western) ,Malurus coronatus coronatus,Vulnerable,Bird
Red Centre pinwheel snail ,Tateropa aemula,Vulnerable,Invertebrate
Red goshawk ,Erythrotriorchis radiatus,Vulnerable,Bird
Red knot ,Calidris canutus,Endangered,Bird
Red-tailed phascogale ,Phascogale calura,Vulnerable (extinct in NT),Mammal
Rosewood keeled snail ,Ordtrachia septentrionalis,Endangered,Invertebrate
Ross River squat snail ,Semotrachia rossana,Vulnerable,Invertebrate
Runutjirbana Ridge squat snail ,Semotrachia runutjirbana,Vulnerable,Invertebrate
Saddle Creek rocksnail ,Vincentrachia desmonda,Critically endangered,Invertebrate
Sandhill dunnart ,Sminthopsis psammophila,Endangered,Mammal
Scalloped hammerhead,Sphyrna lewini,Listed nationally but not under NT legislation,Fish
Shark Bay mouse ,Pseudomys fieldi,Vulnerable (extinct in NT),Mammal
Short-tailed hopping-mouse ,Notomys amplus,Extinct,Mammal
Slater’s skink ,Liopholis slateri,Vulnerable,Reptile
Speartooth shark,Glyphis glyphis,Vulnerable,Fish
Spencer Gorge squat snail ,Semotrachia winneckeana,Vulnerable,Invertebrate
Spencer’s tapered snail ,Bothriembryon spenceri,Vulnerable,Invertebrate
Temple Bar squat snail ,Semotrachia caupona,Vulnerable,Invertebrate
Thick-billed grasswren (MacDonnell Ranges) ,Amytornis modestus modestus,Extinct,Bird
Thick-billed grasswren (western) ,Amytornis modestus indulkanna,Critically endangered,Bird
Tiwi Islands treesnail ,Amphidromus cognatus,Vulnerable,Invertebrate
Victoria River squat snail ,Trachiopsis victoriana,Vulnerable,Invertebrate
Water mouse ,Xeromys myoides,Listed nationally but not under NT legislation,Mammal
Watt’s multicoiled snail ,Vidumelon wattii,Vulnerable,Invertebrate
Western quoll ,Dasyurus geoffroii,Vulnerable (extinct in NT),Mammal
Whale shark,Rhincodon typus,Listed nationally but not under NT legislation,Fish
White-throated grasswren ,Amytornis woodwardi,Vulnerable,Bird
Yellow chat (Alligator Rivers) ,Epthianura crocea tunneyi,Endangered,Bird
Yellow-snouted ground gecko ,Lucasium occultum,Vulnerable,Reptile
Yellow-spotted monitor ,Varanus panoptes,Vulnerable,Reptile
