"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","S P R A T_listed_ I D","Infraspecies_ Author","family","genus","specificEpithet","Infraspecific Epithet","Profile","N S L_ Name","vernacular name","N T","A C T","infraspecificRank","_class","N F I","kingdom","C S I","H M I","A A T","Current_ S P R A T_ I D","Current_ Scientific_ Name_in_ S P R A T","status","V I C","N S W","Q L D","W A","C M A","T A S","S A","A C I","C K I","C I","J B T","Date_extracted"
"Stylidium ensatum","https://id.biodiversity.org.au/node/apni/2916606","Stylidium ensatum","Stylidiaceae",,"A.R.Bean","86366","-","Stylidiaceae","Stylidium","ensatum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86366"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86366</a>","<a href=""https://id.biodiversity.org.au/name/apni/178509"">https://id.biodiversity.org.au/name/apni/178509</a>","a triggerplant","Yes","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Acacia lobulata","https://id.biodiversity.org.au/node/apni/2888889","Acacia lobulata","Fabaceae",,"R.S.Cowan  Maslin","55567","-","Fabaceae","Acacia","lobulata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567</a>","<a href=""https://id.biodiversity.org.au/name/apni/117978"">https://id.biodiversity.org.au/name/apni/117978</a>","Chiddarcooping Wattle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Velleia perfoliata","https://id.biodiversity.org.au/node/apni/2920937","Velleia perfoliata","Goodeniaceae",,"R.Br.","17190","-","Goodeniaceae","Velleia","perfoliata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17190"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17190</a>","<a href=""https://id.biodiversity.org.au/name/apni/70319"">https://id.biodiversity.org.au/name/apni/70319</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Achyranthes arborescens","https://id.biodiversity.org.au/node/apni/2889394","Achyranthes arborescens","Amaranthaceae",,"R.Br.","65879","-","Amaranthaceae","Achyranthes","arborescens","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65879"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65879</a>","<a href=""https://id.biodiversity.org.au/name/apni/125816"">https://id.biodiversity.org.au/name/apni/125816</a>","Chaff Tree, Soft-wood","-","-","-","Magnoliopsida","Yes","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Eucalyptus tetrapleura","https://id.biodiversity.org.au/node/apni/2918580","Eucalyptus tetrapleura","Myrtaceae",,"L.Johnson","7490","-","Myrtaceae","Eucalyptus","tetrapleura","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7490"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7490</a>","<a href=""https://id.biodiversity.org.au/name/apni/55540"">https://id.biodiversity.org.au/name/apni/55540</a>","Square-fruited Ironbark","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Euphorbia carissoides","https://id.biodiversity.org.au/node/apni/2896327","Euphorbia carissoides","Euphorbiaceae",,"F.M.Bailey","12431","-","Euphorbiaceae","Euphorbia","carissoides","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12431"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12431</a>","<a href=""https://id.biodiversity.org.au/name/apni/91574"">https://id.biodiversity.org.au/name/apni/91574</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Melaleuca kunzeoides","https://id.biodiversity.org.au/node/apni/2892764","Melaleuca kunzeoides","Myrtaceae",,"Byrnes","13192","-","Myrtaceae","Melaleuca","kunzeoides","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13192"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13192</a>","<a href=""https://id.biodiversity.org.au/name/apni/91029"">https://id.biodiversity.org.au/name/apni/91029</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Cordyline obtecta","https://id.biodiversity.org.au/node/apni/2904073","Cordyline obtecta","Asparagaceae",,"(Graham) Baker","65878","-","Agavaceae","Cordyline","obtecta","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65878"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65878</a>","<a href=""https://id.biodiversity.org.au/name/apni/143071"">https://id.biodiversity.org.au/name/apni/143071</a>","Ti","-","-","-","Liliopsida","Yes","Plantae","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Pterostylis arenicola","https://id.biodiversity.org.au/node/apni/2910874","Pterostylis arenicola","Orchidaceae",,"M.Clements  J.Stewart","17919","-","Orchidaceae","Pterostylis","arenicola","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17919"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17919</a>","<a href=""https://id.biodiversity.org.au/name/apni/74152"">https://id.biodiversity.org.au/name/apni/74152</a>","Sandhill Greenhood Orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Heleioporus australiacus","urn:lsid:biodiversity.org.au:afd.taxon:20119b25-a27c-4174-b3e0-8639e8a21131","Heleioporus australiacus","Limnodynastidae",,"(Shaw and Nodder, 1795)","1973","-","Myobatrachidae","Heleioporus","australiacus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1973"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1973</a>","-","Giant Burrowing Frog","-","-","-","Amphibia","-","Animalia","-","-","-","-","-","Vulnerable","Yes","Yes","-","-","-","-","-","-","-","-","Yes","2019-Jul-04"
"Calyptorhynchus banksii naso","urn:lsid:biodiversity.org.au:afd.taxon:c33df81a-38c9-421d-b273-b9dfbada7321","Calyptorhynchus (Calyptorhynchus) banksii naso","Cacatuidae",,"-","67034","Gould, 1837","Cacatuidae","Calyptorhynchus","banksii","naso","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67034"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67034</a>","-","Forest Red-tailed Black-Cockatoo, Karrak","-","-","-","Aves","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Galaxias auratus","urn:lsid:biodiversity.org.au:afd.taxon:6dc47706-d939-403a-97ec-ad4af84bc462","Galaxias auratus","Galaxiidae",,"Johnston, 1883","77038","-","Galaxiidae","Galaxias","auratus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77038"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77038</a>","-","Golden Galaxias","-","-","-","Actinopterygii","-","Animalia","-","-","-","-","-","Endangered","-","-","-","-","-","Yes","-","-","-","-","-","2019-Jul-04"
"Pteropus conspicillatus","urn:lsid:biodiversity.org.au:afd.taxon:27d443cb-290b-4d53-8010-5e230f840d67","Pteropus conspicillatus","Pteropodidae",,"Gould, 1850","185","-","Pteropodidae","Pteropus","conspicillatus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=185"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=185</a>","-","Spectacled Flying-fox","-","-","-","Mammalia","-","Animalia","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Phascogale pirata","urn:lsid:biodiversity.org.au:afd.taxon:3a56cfa7-f2f1-4eb2-9f4b-33c0b57b5a4c","Phascogale pirata","Dasyuridae",,"Thomas, 1904","82954","-","Dasyuridae","Phascogale","pirata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82954"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82954</a>","-","Northern Brush-tailed Phascogale","Yes","-","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Caladenia luteola","https://id.biodiversity.org.au/name/apni/173297","Caladenia luteola","Orchidaceae",,"Hopper  A.P.Brown","68713","-","Orchidaceae","Caladenia","luteola","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68713"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68713</a>","<a href=""https://id.biodiversity.org.au/name/apni/173297"">https://id.biodiversity.org.au/name/apni/173297</a>","Lemon Spider Orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Notomys aquilo","urn:lsid:biodiversity.org.au:afd.taxon:6ac36ddd-54f5-4ab4-9ad4-1a5405307c26","Notomys aquilo","Muridae",,"Thomas,1921","123","-","Muridae","Notomys","aquilo","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=123"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=123</a>","-","Northern Hopping-mouse, Woorrentinta","Yes","-","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Euphrasia crassiuscula subsp. glandulifera","https://id.biodiversity.org.au/node/apni/2903437","Euphrasia crassiuscula subsp. glandulifera","Scrophulariaceae",,"-","21556","W.R.Barker","Scrophulariaceae","Euphrasia","crassiuscula","glandulifera","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21556"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21556</a>","<a href=""https://id.biodiversity.org.au/name/apni/112033"">https://id.biodiversity.org.au/name/apni/112033</a>","Thick Eyebright","-","-","subsp.","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Macrozamia lomandroides","https://id.biodiversity.org.au/node/apni/2889844","Macrozamia lomandroides","Zamiaceae",,"D.L.Jones","55406","-","Zamiaceae","Macrozamia","lomandroides","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55406"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55406</a>","<a href=""https://id.biodiversity.org.au/name/apni/117819"">https://id.biodiversity.org.au/name/apni/117819</a>","cycad","-","-","-","Cycadatae","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Cyanoramphus novaezelandiae erythrotis","urn:lsid:biodiversity.org.au:afd.taxon:fea88eac-b0bd-4ed9-acaf-72ff3260d7ab","Cyanoramphus novaezelandiae erythrotis","Psittacidae",,"-","26035","(Wagler, 1832)","Psittacidae","Cyanoramphus","novaezelandiae","erythrotis","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26035"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26035</a>","-","Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)","-","-","-","Aves","-","Animalia","-","-","-","-","-","Extinct","-","-","-","-","-","Yes","-","-","-","-","-","2019-Jul-04"
"Triplarina imbricata","https://id.biodiversity.org.au/node/apni/2916917","Triplarina imbricata","Myrtaceae",,"(Smith) A.R.Bean","64543","-","Myrtaceae","Triplarina","imbricata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64543"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64543</a>","<a href=""https://id.biodiversity.org.au/name/apni/154626"">https://id.biodiversity.org.au/name/apni/154626</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Pseudomys shortridgei","urn:lsid:biodiversity.org.au:afd.taxon:d89bc96a-f1d4-4e86-8e6a-85a1648771ec","Pseudomys shortridgei","Muridae",,"(Thomas, 1907)","77","-","Muridae","Pseudomys","shortridgei","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77</a>","-","Heath Mouse, Dayang, Heath Rat","-","-","-","Mammalia","-","Animalia","-","-","-","-","-","Endangered","Yes","-","-","Yes","-","-","Yes","-","-","-","-","2019-Jul-04"
"Prasophyllum pruinosum","https://id.biodiversity.org.au/name/apni/106077","Prasophyllum pruinosum","Orchidaceae",,"R.Rogers","11821","-","Orchidaceae","Prasophyllum","pruinosum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11821"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11821</a>","<a href=""https://id.biodiversity.org.au/name/apni/106077"">https://id.biodiversity.org.au/name/apni/106077</a>","Plum Leek-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Trioza barrettae","urn:lsid:biodiversity.org.au:afd.taxon:533104b9-e51c-45e9-9609-d31e0ef17882","Trioza barrettae","Triozidae",,"Taylor  Moir, 2014","87805","-","Triozidae","Trioza","barrettae","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87805"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87805</a>","-","Banksia brownii plant louse","-","-","-","Insecta","-","Animalia","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Diospyros mabacea","https://id.biodiversity.org.au/node/apni/7174977","Diospyros mabacea","Ebenaceae",,"(F.Muell.) F.Muell.","18548","-","Ebenaceae","Diospyros","mabacea","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18548"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18548</a>","<a href=""https://id.biodiversity.org.au/name/apni/67023"">https://id.biodiversity.org.au/name/apni/67023</a>","Red-fruited Ebony, Silky Persimmon, Ebony","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Zyzomys maini","urn:lsid:biodiversity.org.au:afd.taxon:3f638397-38b9-4bca-85f1-0c98430fdef4","Zyzomys maini","Muridae",,"Kitchener,1989","25906","-","Muridae","Zyzomys","maini","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25906"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25906</a>","-","Arnhem Rock-rat, Arnhem Land Rock-rat, Kodjperr","Yes","-","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Malurus leucopterus edouardi","urn:lsid:biodiversity.org.au:afd.taxon:4b306de8-fe9d-4b3e-87c2-b1516aa1e118","Malurus (Musciparus) leucopterus edouardi","Maluridae",,"-","26194","Campbell,1901","Maluridae","Malurus","leucopterus","edouardi","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26194"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26194</a>","-","White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren","-","-","-","Aves","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Euastacus bispinosus","urn:lsid:biodiversity.org.au:afd.taxon:02f97296-26f8-4710-abdd-f9d859659c2d","Euastacus bispinosus","Parastacidae",,"Clark, 1941","81552","-","Parastacidae","Euastacus","bispinosus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81552"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81552</a>","-","Glenelg Spiny Freshwater Crayfish, Pricklyback","-","-","-","Malacostraca","-","Animalia","-","-","-","-","-","Endangered","Yes","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Dodonaea procumbens","https://id.biodiversity.org.au/node/apni/2903899","Dodonaea procumbens","Sapindaceae",,"F.Muell.","12149","-","Sapindaceae","Dodonaea","procumbens","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12149"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12149</a>","<a href=""https://id.biodiversity.org.au/name/apni/72333"">https://id.biodiversity.org.au/name/apni/72333</a>","Trailing Hop-bush","-","Yes","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","Yes","Yes","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Callistemon forresterae","https://id.biodiversity.org.au/node/apni/2899993","Callistemon forresterae","Myrtaceae",,"W.Molyneux","56501","-","Myrtaceae","Callistemon","forresterae","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56501"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56501</a>","<a href=""https://id.biodiversity.org.au/name/apni/119034"">https://id.biodiversity.org.au/name/apni/119034</a>","Forrester's Bottlebrush","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","Yes","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Melicope littoralis","https://id.biodiversity.org.au/node/apni/2909231","Melicope littoralis","Rutaceae",,"(Endl.) T.G.Hartley","22042","-","Rutaceae","Melicope","littoralis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22042"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22042</a>","<a href=""https://id.biodiversity.org.au/name/apni/117564"">https://id.biodiversity.org.au/name/apni/117564</a>","Shade Tree","-","-","-","Magnoliopsida","Yes","Plantae","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Macronectes halli","urn:lsid:biodiversity.org.au:afd.taxon:12d014fa-76a9-478d-8ad0-1b946baf0c38","Macronectes halli","Procellariidae",,"Mathews, 1912","1061","-","Procellariidae","Macronectes","halli","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061</a>","-","Northern Giant Petrel","-","-","-","Aves","Yes","Animalia","Yes","Yes","Yes","-","-","Vulnerable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","-","-","-","Yes","2019-Jul-04"
"Corunastylis ectopa","https://id.biodiversity.org.au/node/apni/3853155","Corunastylis ectopa","Orchidaceae",,"(D.L.Jones) D.L.Jones  M.A.Clem.","78973","-","Orchidaceae","Corunastylis","ectopa","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78973"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78973</a>","<a href=""https://id.biodiversity.org.au/name/apni/169933"">https://id.biodiversity.org.au/name/apni/169933</a>","Brindabella Midge-orchid, Ectopic Midge-orchid","-","Yes","-","Liliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
