id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4393074,Schoenus sp. Stirling (G.J. Keighery 3427),,Schoenus sp. Stirling (G.J.Keighery 3427),https://id.biodiversity.org.au/node/apni/2915483,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4392076,Schoenus sp. Toodyay (G.J. Keighery & N. Gibson 2918),,Schoenus sp. Toodyay (G.J.Keighery & N.Gibson 2918),https://id.biodiversity.org.au/node/apni/2915325,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394785,Schoenus sp. Waroona (G.J. Keighery 12235),,Schoenus sp. Waroona (G.J.Keighery 12235),https://id.biodiversity.org.au/node/apni/2909180,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4391523,Schoenus thedae,Kimberley Pavement Sedge,Schoenus thedae,https://id.biodiversity.org.au/name/apni/4909317,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393047,Scholtzia bellairsiorum,,Scholtzia bellairsiorum,https://id.biodiversity.org.au/name/apni/51303745,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4392495,Scholtzia brevistylis subsp. brevistylis,,Scholtzia brevistylis subsp. brevistylis,https://id.biodiversity.org.au/name/apni/51303783,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393295,Scholtzia brevistylis subsp. prowaka,,Scholtzia brevistylis subsp. prowaka,https://id.biodiversity.org.au/name/apni/51304304,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4393260,Scholtzia calcicola,Tiny-flowered Scholtzia,Scholtzia calcicola,https://id.biodiversity.org.au/name/apni/51303787,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394861,Scholtzia cordata,,Scholtzia sp. Yuna (C.A.Gardner 14286),https://id.biodiversity.org.au/node/apni/2892651,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4391406,Scholtzia corrugata,,Scholtzia corrugata,https://id.biodiversity.org.au/name/apni/51303848,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
