"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Melaleuca pritzelii","https://id.biodiversity.org.au/node/apni/2895675","Melaleuca pritzelii","Myrtaceae",,,"Priority Three","Near Threatened"
"Acacia retrorsa","https://id.biodiversity.org.au/node/apni/2905329","Acacia retrorsa","Fabaceae",,,"Priority Two","Near Threatened"
"Darwinia carnea","https://id.biodiversity.org.au/node/apni/2902891","Darwinia carnea","Myrtaceae",,"Mogumber Bell","Critically Endangered","Endangered"
"Persoonia chapmaniana","https://id.biodiversity.org.au/node/apni/7826671","Persoonia chapmaniana","Proteaceae",,,"Priority Three","Near Threatened"
"Colocasia esculenta var. aquatilis","https://id.biodiversity.org.au/node/apni/2917691","Colocasia esculenta var. aquatilis","Araceae",,,"Priority Three","Near Threatened"
"Lerista haroldi","urn:lsid:biodiversity.org.au:afd.taxon:c90374f9-e571-4b7b-acb8-c4a6d02aa07d","Lerista haroldi","Scincidae",,"Gnaraloo Mulch-slider","Priority One","Near Threatened"
"Triumfetta rubiginosa","https://id.biodiversity.org.au/node/apni/2920194","Triumfetta rubiginosa","Malvaceae",,,"Priority Two","Near Threatened"
"Lecania turicensis var. turicensis","NZOR-6-96322","Lecania turicensis var. turicensis",,,,"Priority Two","Near Threatened"
"Ficus lilliputiana","https://id.biodiversity.org.au/node/apni/2896846","Ficus lilliputiana","Moraceae",,,"Priority Four","Near Threatened"
"Dampiera metallorum","https://id.biodiversity.org.au/node/apni/2918861","Dampiera metallorum","Goodeniaceae",,,"Priority Three","Near Threatened"
"Eremophila virens","https://id.biodiversity.org.au/node/apni/2913110","Eremophila virens","Scrophulariaceae",,"Campion Eremophila","Endangered","Endangered"
"Synaphea sp. Argyle (R. Butcher RB 1323)","ALA_Synaphea_sp_Argyle_R_Butcher_RB_1323","Synaphea sp. Argyle (R. Butcher RB 1323)",,,,"Priority One","Near Threatened"
"Verticordia crebra","https://id.biodiversity.org.au/node/apni/2909340","Verticordia crebra","Myrtaceae",,"Barrens Featherflower","Vulnerable","Endangered"
"Hibbertia propinqua","https://id.biodiversity.org.au/node/apni/2915637","Hibbertia propinqua","Dilleniaceae",,,"Priority Four","Near Threatened"
"Loxocarya gigas","https://id.biodiversity.org.au/node/apni/2920089","Loxocarya gigas","Restionaceae",,,"Priority Two","Near Threatened"
"Millotia pilosa","https://id.biodiversity.org.au/node/apni/2896553","Millotia pilosa","Asteraceae",,,"Priority Two","Near Threatened"
"Thomasia sp. New Norcia (Cayser s.n. Nov. 1918)","https://id.biodiversity.org.au/taxon/apni/51288520","Lasiopetalum cenobium","Malvaceae",,,"Priority One","Near Threatened"
"Boronia anceps","https://id.biodiversity.org.au/node/apni/2904998","Boronia anceps","Rutaceae",,,"Priority Three","Near Threatened"
"Caladenia bryceana subsp. cracens","https://id.biodiversity.org.au/node/apni/2908918","Caladenia bryceana subsp. cracens","Orchidaceae",,"Northern Dwarf Spider Orchid","Endangered","Endangered"
"Banksia subpinnatifida var. subpinnatifida","https://id.biodiversity.org.au/node/apni/2895130","Banksia subpinnatifida var. subpinnatifida","Proteaceae",,,"Priority Two","Near Threatened"
"Paragoodia crenulata","https://id.biodiversity.org.au/node/apni/2917804","Paragoodia crenulata","Fabaceae",,,"Vulnerable","Endangered"
"Eucalyptus phenax subsp. compressa","https://id.biodiversity.org.au/node/apni/2910635","Eucalyptus phenax subsp. compressa","Myrtaceae",,"Kangaroo Island mallee","Priority One","Near Threatened"
"Gastrolobium elegans","https://id.biodiversity.org.au/node/apni/2907735","Gastrolobium elegans","Fabaceae",,,"Priority Two","Near Threatened"
"Cymbonotus preissianus","https://id.biodiversity.org.au/node/apni/2901121","Cymbonotus preissianus","Asteraceae",,"Austral Bear's-ear","Priority Three","Near Threatened"
"Branchinella simplex","urn:lsid:biodiversity.org.au:afd.taxon:8d61c5e5-bb13-427a-a94a-e3a88051e5d5","Branchinella simplex","Thamnocephalidae",,"Brine Shrimp","Priority One","Near Threatened"
"Hypocalymma puniceum subsp. Cadoux (H.Demarz 10533)","https://id.biodiversity.org.au/node/apni/2893601","Hypocalymma puniceum subsp. Cadoux (H.Demarz 10533)","Myrtaceae",,,"Priority One","Near Threatened"
"Acacia lanei","https://id.biodiversity.org.au/node/apni/2920033","Acacia lanei","Fabaceae",,"Hyden Wattle","Priority One","Near Threatened"
"Polianthion collinum","https://id.biodiversity.org.au/node/apni/2909323","Polianthion collinum","Rhamnaceae",,,"Priority Three","Near Threatened"
"Ipomoea sp. A Kimberley Flora (L.J.Penn 84)","ALA_Ipomoea_sp_A_Kimberley_Flora_L_J_Penn_84","Ipomoea sp. A Kimberley Flora (L.J.Penn 84)",,,,"Priority One","Near Threatened"
"Spermacoce sp. Berthier Dunes (R.L. Barrett RLB 5753)","https://id.biodiversity.org.au/node/apni/2889513","Spermacoce sp. Berthier Dunes (R.L.Barrett RLB 5753)","Rubiaceae",,,"Priority Three","Near Threatened"
"Acacia campylophylla","https://id.biodiversity.org.au/node/apni/2888685","Acacia campylophylla","Fabaceae",,,"Priority Three","Near Threatened"
"Eragrostis lanicaulis","https://id.biodiversity.org.au/node/apni/2897760","Eragrostis lanicaulis","Poaceae",,,"Priority Three","Near Threatened"
"Calothamnus macrocarpus","https://id.biodiversity.org.au/taxon/apni/51289110","Calothamnus macrocarpus","Myrtaceae",,,"Priority Two","Near Threatened"
"Gastrolobium acrocaroli","https://id.biodiversity.org.au/node/apni/2904496","Gastrolobium acrocaroli","Fabaceae",,,"Priority Two","Near Threatened"
"Eucalyptus platydisca","https://id.biodiversity.org.au/node/apni/2887846","Eucalyptus platydisca","Myrtaceae",,"Jimberlana Mallee","Vulnerable","Endangered"
"Gastrolobium formosum","https://id.biodiversity.org.au/node/apni/2919429","Gastrolobium formosum","Fabaceae",,,"Priority Three","Near Threatened"
"Darwinia oxylepis","https://id.biodiversity.org.au/taxon/apni/51289614","Darwinia oxylepis","Myrtaceae",,"Gillhams' Bell","Endangered","Endangered"
"Melaleuca huegelii subsp. pristicensis","https://id.biodiversity.org.au/node/apni/2913393","Melaleuca huegelii subsp. pristicensis","Myrtaceae",,,"Priority Two","Near Threatened"
"Marianthus dryandra","https://id.biodiversity.org.au/node/apni/2912038","Marianthus dryandra","Pittosporaceae",,,"Priority Two","Near Threatened"
"Fimbristylis sp. L Kimberley Flora (K.F.Kenneally 11167)","https://id.biodiversity.org.au/node/apni/2890877","Fimbristylis sp. L Kimberley Flora (K.F.Kenneally 11167)","Cyperaceae",,,"Priority Two","Near Threatened"
"Commersonia sp. Bindoon (C. Wilkins & F. & J. Hort CW 2155)","ALA_Commersonia_sp_Bindoon_C_Wilkins_F_J_Hort_CW_2155","Commersonia sp. Bindoon (C. Wilkins & F. & J. Hort CW 2155)",,,,"Priority One","Near Threatened"
"Anigozanthos bicolor subsp. exstans","https://id.biodiversity.org.au/node/apni/2886362","Anigozanthos bicolor subsp. exstans","Haemodoraceae",,,"Priority Three","Near Threatened"
"Malurus (Musciparus) leucopterus leucopterus","urn:lsid:biodiversity.org.au:afd.taxon:f6b84a97-f9cd-43ec-a0d8-02dfb8517095","Malurus (Musciparus) leucopterus leucopterus","Maluridae",,"Dirk Hartog Black-and-white Fairy-wren","Vulnerable","Endangered"
"Drosera sewelliae","https://id.biodiversity.org.au/node/apni/2897533","Drosera sewelliae","Droseraceae",,"Red Woolly Sundew","Priority One","Near Threatened"
"Indohya damocles","urn:lsid:biodiversity.org.au:afd.taxon:163b772d-01d8-417b-9dae-17d59e2a28d2","Indohya damocles","Hyidae",,"Cameron's Cave Pseudoscorpion","Critically Endangered","Endangered"
"Eucalyptus georgei subsp. georgei","https://id.biodiversity.org.au/node/apni/2890557","Eucalyptus georgei subsp. georgei","Myrtaceae",,,"Priority Four","Near Threatened"
"Halgania sp. Peak Eleanora (M.A.Burgman 3547 B)","https://id.biodiversity.org.au/node/apni/2917255","Halgania sp. Peak Eleanora (M.A.Burgman 3547 B)","Boraginaceae",,,"Priority Two","Near Threatened"
"Baeckea sp. Yuna (M.E.Trudgen 2224)","https://id.biodiversity.org.au/node/apni/2886668","Baeckea sp. Yuna (M.E.Trudgen 2224)","Myrtaceae",,,"Priority Two","Near Threatened"
"Acacia sp. Carson River  (M.McDonald MM1890)","https://id.biodiversity.org.au/node/apni/2912192","Acacia anastomosa","Fabaceae",,,"Priority Three","Near Threatened"
"Gahnia sclerioides","https://id.biodiversity.org.au/node/apni/2895661","Gahnia sclerioides","Cyperaceae",,,"Priority Three","Near Threatened"
"Spermacoce sp. Mt Hart (D. Dureau 159)","https://id.biodiversity.org.au/node/apni/2905705","Spermacoce sp. Mt Hart (D.Dureau 159)","Rubiaceae",,,"Priority One","Near Threatened"
"Triodia roscida","https://id.biodiversity.org.au/node/apni/2890958","Triodia roscida","Poaceae",,,"Priority One","Near Threatened"
"Leucopogon squarrosus subsp. trigynus","https://id.biodiversity.org.au/node/apni/2907270","Leucopogon squarrosus subsp. trigynus","Ericaceae",,,"Priority Two","Near Threatened"
"Carpobrotus sp. Thevenard Island (M.White 050)","https://id.biodiversity.org.au/node/apni/2917493","Carpobrotus sp. Thevenard Island (M.White 050)","Aizoaceae",,,"Priority Two","Near Threatened"
"Dicrastylis subterminalis","https://id.biodiversity.org.au/node/apni/2921025","Dicrastylis subterminalis","Lamiaceae",,,"Priority One","Near Threatened"
"Millotia steetziana","https://id.biodiversity.org.au/node/apni/2910563","Millotia steetziana","Asteraceae",,,"Priority Two","Near Threatened"
"Boronia virgata","https://id.biodiversity.org.au/node/apni/2904752","Boronia virgata","Rutaceae",,,"Priority Four","Near Threatened"
"Dodonaea oxyptera","https://id.biodiversity.org.au/node/apni/2905673","Dodonaea oxyptera","Sapindaceae",,,"Priority Two","Near Threatened"
"Tecticornia uniflora","https://id.biodiversity.org.au/node/apni/2898776","Tecticornia uniflora","Chenopodiaceae",,,"Priority Four","Near Threatened"
"Lindernia macrosiphonia","https://id.biodiversity.org.au/node/apni/7491920","Vandellia macrosiphonia","Linderniaceae",,,"Priority Two","Near Threatened"
"Stygiochiropus peculiaris","urn:lsid:biodiversity.org.au:afd.taxon:cebaf578-c717-4758-975e-33c475a51a6e","Stygiochiropus peculiaris","Paradoxosomatidae",,"Camerons Cave Millipede","Critically Endangered","Endangered"
"Lagorchestes conspicillatus leichardti","urn:lsid:biodiversity.org.au:afd.taxon:ec8af66f-25a4-4cc9-96ef-7bf90c48c83f","Lagorchestes conspicillatus leichardti","Macropodidae",,"Spectacled Hare-wallaby (mainland)","Priority Three","Near Threatened"
"Schoenia filifolia subsp. subulifolia","https://id.biodiversity.org.au/node/apni/2913280","Schoenia filifolia subsp. subulifolia","Asteraceae",,"Mingenew Everlasting","Endangered","Endangered"
"Viscum articulatum","https://id.biodiversity.org.au/node/apni/2917972","Viscum articulatum","Santalaceae",,"Jointed Mistletoe","Priority One","Near Threatened"
"Gonocarpus pycnostachyus","https://id.biodiversity.org.au/node/apni/2913887","Gonocarpus pycnostachyus","Haloragaceae",,,"Priority Three","Near Threatened"
"Prostanthera petrophila","https://id.biodiversity.org.au/node/apni/2891183","Prostanthera petrophila","Lamiaceae",,,"Priority Three","Near Threatened"
"Dampiera fitzgeraldensis","https://id.biodiversity.org.au/node/apni/2897197","Dampiera fitzgeraldensis","Goodeniaceae",,,"Priority Two","Near Threatened"
"Calothamnus accedens","https://id.biodiversity.org.au/taxon/apni/51288966","Calothamnus accedens","Myrtaceae",,,"Priority Four","Near Threatened"
"Sphenotoma sp. Stirling Range (P.G.Wilson 4235)","https://id.biodiversity.org.au/node/apni/2912687","Sphenotoma sp. Stirling Range (P.G.Wilson 4235)","Ericaceae",,,"Priority Three","Near Threatened"
"Lythrum paradoxum","https://id.biodiversity.org.au/node/apni/2892063","Lythrum paradoxum","Lythraceae",,,"Priority Three","Near Threatened"
"Grevillea delta","https://id.biodiversity.org.au/node/apni/2897736","Grevillea delta","Proteaceae",,,"Priority Two","Near Threatened"
"Caladenia ornata","https://id.biodiversity.org.au/node/apni/2902262","Caladenia ornata","Orchidaceae",,"Ornate Pink Fingers","Priority One","Near Threatened"
"Caustis sp. Boyanup (G.S. McCutcheon 1706)","https://id.biodiversity.org.au/node/apni/2896498","Caustis sp. Boyanup (G.S.McCutcheon 1706)","Cyperaceae",,,"Priority Three","Near Threatened"
"Chamelaucium sp. Cataby (G.J.Keighery 11009) WA Herbarium","https://id.biodiversity.org.au/node/apni/2911451","Chamelaucium sp. Cataby (G.J.Keighery 11009)","Myrtaceae",,"Griffin's Waxflower","Vulnerable","Endangered"
"Utricularia stellaris","https://id.biodiversity.org.au/node/apni/2916945","Utricularia stellaris","Lentibulariaceae",,,"Priority One","Near Threatened"
"Acacia glaucissima","https://id.biodiversity.org.au/node/apni/2894834","Acacia glaucissima","Fabaceae",,,"Priority Three","Near Threatened"
"Andersonia pinaster","https://id.biodiversity.org.au/node/apni/2913692","Andersonia pinaster","Ericaceae",,"Two Peoples Bay Andersonia","Vulnerable","Endangered"
"Phaps (Histriophaps) histrionica","urn:lsid:biodiversity.org.au:afd.taxon:6a686033-0629-4fa6-ac84-5e3f7cd2c2b9","Phaps (Histriophaps) histrionica","Columbidae",,"Flock Bronzewing","Priority Four","Near Threatened"
"Lechenaultia acutiloba","https://id.biodiversity.org.au/node/apni/2910844","Lechenaultia acutiloba","Goodeniaceae",,"Wingless Leschenaultia","Priority Three","Near Threatened"
"Calandrinia sp. Woodleigh (G.J.Keighery & N.Gibson 961)","https://id.biodiversity.org.au/node/apni/7807232","Calandrinia operta","Portulacaceae",,,"Priority One","Near Threatened"
"Hibbertia carinata","https://id.biodiversity.org.au/node/apni/2898670","Hibbertia carinata","Dilleniaceae",,,"Priority One","Near Threatened"
"Hibiscus minutibracteolus","https://id.biodiversity.org.au/node/apni/2904623","Hibiscus minutibracteolus","Malvaceae",,,"Priority One","Near Threatened"
"Philydrella pygmaea subsp. minima","https://id.biodiversity.org.au/node/apni/2899051","Philydrella pygmaea subsp. minima","Philydraceae",,,"Priority One","Near Threatened"
"Conostylis wonganensis","https://id.biodiversity.org.au/node/apni/2898066","Conostylis wonganensis","Haemodoraceae",,"Wongan Conostylis","Endangered","Endangered"
"Acacia sp. Prince Regent River (R.L. & M.D. Barrett 3939)","https://id.biodiversity.org.au/node/apni/2907009","Acacia diastemata","Fabaceae",,,"Priority Three","Near Threatened"
"Eucalyptus synandra","https://id.biodiversity.org.au/node/apni/2920831","Eucalyptus synandra","Myrtaceae",,"Jingymia Mallee","Vulnerable","Endangered"
"Eucalyptus x kalganensis","https://id.biodiversity.org.au/instance/apni/7716516","Eucalyptus x kalganensis","Myrtaceae",,,"Priority Four","Near Threatened"
"Xanthorrhoea brevistyla","https://id.biodiversity.org.au/node/apni/2912181","Xanthorrhoea brevistyla","Xanthorrhoeaceae",,"Xanthorrhoea Brevistyla","Priority Four","Near Threatened"
"Leioproctus (Andrenopsis) douglasiellus","urn:lsid:biodiversity.org.au:afd.taxon:270b10f8-a3c1-4b39-8f2f-6c8ee0f3a9d0","Leioproctus (Andrenopsis) douglasiellus","Colletidae",,"(bee)","Endangered","Endangered"
"Malleostemon sp. Nerren Nerren (A.Payne 360)","https://id.biodiversity.org.au/taxon/apni/51290206","Malleostemon nerrenensis","Myrtaceae",,,"Priority One","Near Threatened"
"Calytrix pimeleoides","https://id.biodiversity.org.au/node/apni/2918579","Calytrix pimeleoides","Myrtaceae",,,"Priority Three","Near Threatened"
"Xanthoparmelia louisii","https://id.biodiversity.org.au/name/apni/121817","Xanthoparmelia louisii","Parmeliaceae",,,"Priority Two","Near Threatened"
"Eucalyptus angularis","https://id.biodiversity.org.au/taxon/apni/51289826","Eucalyptus angularis","Myrtaceae",,"Lesueur Phantom mallee","Priority Two","Near Threatened"
"Acacia isoneura subsp. isoneura","https://id.biodiversity.org.au/node/apni/2908674","Acacia isoneura subsp. isoneura","Fabaceae",,,"Priority Three","Near Threatened"
"Westraltrachia turbinata","urn:lsid:biodiversity.org.au:afd.taxon:e5ba7691-fbb6-4323-9a06-e4922b67e92b","Westraltrachia turbinata","Camaenidae",,,"Vulnerable","Endangered"
"Triodia racemigera","https://id.biodiversity.org.au/node/apni/2918894","Triodia racemigera","Poaceae",,,"Priority One","Near Threatened"
"Thryptomene sp. Steep Point (M.E.Trudgen 7421)","https://id.biodiversity.org.au/taxon/apni/51290356","Thryptomene repens","Myrtaceae",,,"Priority One","Near Threatened"
"Hibiscus sp. Durba Hills (R.Davis 11193)","https://id.biodiversity.org.au/node/apni/2914182","Hibiscus sp. Durba Hills (R.Davis 11193)","Malvaceae",,,"Priority One","Near Threatened"
"Sondottia glabrata","https://id.biodiversity.org.au/node/apni/2917564","Sondottia glabrata","Asteraceae",,,"Priority Two","Near Threatened"
"Micromyrtus serrulata","https://id.biodiversity.org.au/node/apni/2892889","Micromyrtus serrulata","Myrtaceae",,,"Priority Three","Near Threatened"
"Typhonium sp. Theda (M.D. Barrett & R.L. Barrett MDB 1504)","ALA_Typhonium_sp_Theda_M_D_Barrett_R_L_Barrett_MDB_1504","Typhonium sp. Theda (M.D. Barrett & R.L. Barrett MDB 1504)",,,,"Priority One","Near Threatened"
"Drosera salina","https://id.biodiversity.org.au/node/apni/2911267","Drosera salina","Droseraceae",,,"Priority Two","Near Threatened"
"Trichosternus relictus","urn:lsid:biodiversity.org.au:afd.taxon:b83cf030-8f89-4069-82a7-f58893d63441","Trichosternus relictus","Carabidae",,"(beetle)","Priority One","Near Threatened"
"Grevillea aspera","https://id.biodiversity.org.au/node/apni/2916824","Grevillea aspera","Proteaceae",,,"Priority One","Near Threatened"
"Acacia asepala","https://id.biodiversity.org.au/node/apni/2919343","Acacia asepala","Fabaceae",,,"Priority Two","Near Threatened"
"Acacia horridula","https://id.biodiversity.org.au/node/apni/2907999","Acacia horridula","Fabaceae",,,"Priority Three","Near Threatened"
"Micromyrtus ninghanensis","https://id.biodiversity.org.au/node/apni/2900876","Micromyrtus ninghanensis","Myrtaceae",,,"Priority One","Near Threatened"
"Mesomelaena stygia subsp. deflexa","https://id.biodiversity.org.au/node/apni/2892367","Mesomelaena stygia subsp. deflexa","Cyperaceae",,,"Priority Three","Near Threatened"
"Doodia caudata","https://id.biodiversity.org.au/taxon/apni/51269361","Blechnum medium","Blechnaceae",,"Small Rasp Fern","Priority Two","Near Threatened"
"Xanthoparmelia xanthomelanoides","https://id.biodiversity.org.au/name/apni/121832","Xanthoparmelia xanthomelanoides","Parmeliaceae",,,"Priority Two","Near Threatened"
"Synaphea sp. Fairbridge Farm (D.Papenfus 696)","https://id.biodiversity.org.au/node/apni/2886148","Synaphea sp. Fairbridge Farm (D.Papenfus 696)","Proteaceae",,"Selena's Synaphea","Critically Endangered","Endangered"
"Solanum oligandrum","https://id.biodiversity.org.au/node/apni/2906049","Solanum oligandrum","Solanaceae",,,"Priority Three","Near Threatened"
"Actinostachys digitata","https://id.biodiversity.org.au/node/apni/2914605","Actinostachys digitata","Schizaeaceae",,,"Priority Two","Near Threatened"
"Baeckea sp. Bunjil (B.R.Maslin 5067)","https://id.biodiversity.org.au/taxon/apni/51288773","Babingtonia minutifolia","Myrtaceae",,,"Priority One","Near Threatened"
"Tartarus mullamullangensis","urn:lsid:biodiversity.org.au:afd.taxon:22f1a727-31b5-45bf-a61a-64bf4a8ab552","Tartarus mullamullangensis","Stiphidiidae",,"Lace-web Spider","Vulnerable","Endangered"
"Eucalyptus sweedmaniana","https://id.biodiversity.org.au/node/apni/2899724","Eucalyptus sweedmaniana","Myrtaceae",,,"Priority Two","Near Threatened"
"Baeckea staminosa","https://id.biodiversity.org.au/node/apni/2889900","Baeckea staminosa","Myrtaceae",,,"Priority One","Near Threatened"
"Acrostichum aureum","https://id.biodiversity.org.au/node/apni/2898344","Acrostichum aureum","Pteridaceae",,"Golden Mangrove Fern","Priority One","Near Threatened"
"Sauropus arenosus","https://id.biodiversity.org.au/node/apni/2892760","Sauropus arenosus","Phyllanthaceae",,,"Priority Three","Near Threatened"
"Leipoa ocellata","urn:lsid:biodiversity.org.au:afd.taxon:75e63252-bc20-4a58-9c5c-9399de34f846","Leipoa ocellata","Megapodiidae",,"Malleefowl","Vulnerable","Endangered"
"Chamelaucium sp. Dryandra (D.Rose 446)","https://id.biodiversity.org.au/node/apni/2894679","Chamelaucium sp. Dryandra (D.Rose 446)","Myrtaceae",,,"Priority Two","Near Threatened"
"Andersonia sp. Jamesii (J.Liddelow 84)","https://id.biodiversity.org.au/node/apni/2913466","Andersonia sp. Jamesii (J.Liddelow 84)","Ericaceae",,,"Priority Four","Near Threatened"
"Eremophila magnifica subsp. magnifica","https://id.biodiversity.org.au/node/apni/2898642","Eremophila magnifica subsp. magnifica","Scrophulariaceae",,,"Priority Four","Near Threatened"
"Thomasia pygmaea","https://id.biodiversity.org.au/node/apni/2893031","Thomasia pygmaea","Malvaceae",,"Tiny Thomasia","Priority Three","Near Threatened"
"Myriophyllum sp. Mt Arid (L.S.J. Sweedman 6767)","https://id.biodiversity.org.au/node/apni/2907492","Myriophyllum sp. Mt Arid (L.S.J.Sweedman 6767)","Haloragaceae",,,"Priority Two","Near Threatened"
"Jalmenus aridus","urn:lsid:biodiversity.org.au:afd.taxon:5551a54a-2ff6-49c7-9b26-62f2484449b5","Jalmenus aridus","Lycaenidae",,"Inland Hairstreak","Priority One","Near Threatened"
"Baeckea sp. Upper Swan (Miss M.Eaton s.n. 1888)","https://id.biodiversity.org.au/node/apni/2888943","Baeckea sp. Upper Swan (Miss M.Eaton s.n. 1888)","Myrtaceae",,,"Priority One","Near Threatened"
"Wurmbea tubulosa","https://id.biodiversity.org.au/node/apni/2896606","Wurmbea tubulosa","Colchicaceae",,"Long-flowered Nancy","Vulnerable","Endangered"
"Calothamnus pachystachyus","https://id.biodiversity.org.au/taxon/apni/51289132","Calothamnus pachystachyus","Myrtaceae",,,"Priority Four","Near Threatened"
"Goodenia perryi","https://id.biodiversity.org.au/node/apni/2914794","Goodenia perryi","Goodeniaceae",,,"Priority Three","Near Threatened"
"Verticordia dasystylis subsp. oestopoia","https://id.biodiversity.org.au/node/apni/2905051","Verticordia dasystylis subsp. oestopoia","Myrtaceae",,,"Priority One","Near Threatened"
"Thelymitra stellata","https://id.biodiversity.org.au/node/apni/2918992","Thelymitra stellata","Orchidaceae",,"Bronze Sun Orchid","Endangered","Endangered"
"Arthrostylis aphylla","https://id.biodiversity.org.au/node/apni/2917195","Arthrostylis aphylla","Cyperaceae",,,"Priority Two","Near Threatened"
"Austrarchaea mainae","urn:lsid:biodiversity.org.au:afd.taxon:12b97d5e-1e5b-4215-880f-0a291d029efd","Zephyrarchaea mainae","Archaeidae",,"Western Archaeid Spider","Vulnerable","Endangered"
"Urochloa polyphylla","https://id.biodiversity.org.au/node/apni/2914781","Urochloa polyphylla","Poaceae",,,"Priority One","Near Threatened"
"Stenanthemum yorkense","https://id.biodiversity.org.au/node/apni/2904106","Stenanthemum yorkense","Rhamnaceae",,,"Priority One","Near Threatened"
"Fimbristylis pachyptera","https://id.biodiversity.org.au/node/apni/2917428","Fimbristylis pachyptera","Cyperaceae",,,"Priority One","Near Threatened"
"Tinospora esiangkara","https://id.biodiversity.org.au/node/apni/2892474","Tinospora esiangkara","Menispermaceae",,,"Priority Two","Near Threatened"
"Vigna sp. rockpiles (R.Butcher et al. RB 1400)","https://id.biodiversity.org.au/taxon/apni/51285787","Vigna triodiophila","Fabaceae",,,"Priority Three","Near Threatened"
"Banksia concinna","https://id.biodiversity.org.au/node/apni/2916442","Banksia concinna","Proteaceae",,,"Priority Four","Near Threatened"
"Seorsus clavifolius","https://id.biodiversity.org.au/node/apni/2906512","Seorsus clavifolius","Myrtaceae",,,"Priority Two","Near Threatened"
"Lechenaultia aphylla","https://id.biodiversity.org.au/node/apni/2915476","Lechenaultia aphylla","Goodeniaceae",,"Leafless Lechenaultia","Priority One","Near Threatened"
"Tricoryne sp. Wongan Hills (B.H.Smith 794)","https://id.biodiversity.org.au/node/apni/2909914","Tricoryne sp. Wongan Hills (B.H.Smith 794)","Hemerocallidaceae",,,"Priority Two","Near Threatened"
"Chamelaucium sp. Yuna (A.C.Burns 53)","https://id.biodiversity.org.au/node/apni/2907184","Chamelaucium sp. Yuna (A.C.Burns 53)","Myrtaceae",,,"Priority Two","Near Threatened"
"Guichenotia quasicalva","https://id.biodiversity.org.au/node/apni/2886784","Guichenotia quasicalva","Malvaceae",,,"Priority Two","Near Threatened"
