id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,taxonomicstatus,sourcestatus,status,authority,ngunnawal,comments,synonym,taxonremarks
4241457,Phascolarctos cinereus,Koala,Phascolarctos cinereus,https://biodiversity.org.au/afd/taxa/e9d6fbbd-1505-4073-990a-dc66c930dad6,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Gula'}]",Mammal,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Gula,,,
4241451,Polytelis swainsonii,Superb Parrot,Polytelis swainsonii,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Bird,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241437,Pomaderris pallida,Pale Pomaderris,Pomaderris pallida,https://id.biodiversity.org.au/node/apni/2897349,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241469,Prasophyllum petilum,Tarengo Leek Orchid,Prasophyllum petilum,https://id.biodiversity.org.au/taxon/apni/51409851,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241434,Pseudomys fumeus,Smoky Mouse,Pseudomys fumeus,https://biodiversity.org.au/afd/taxa/c8ba3449-d6f3-405a-9c8a-7b4db471c52a,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Ganimang'}]",Mammal,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Ganimang,,,
4241470,Pseudomys novaehollandiae,New Holland Mouse,Pseudomys novaehollandiae,https://biodiversity.org.au/afd/taxa/47a50ee8-7678-4d8e-8f8a-e11d12a46ec5,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Mammal,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241471,Pseudophryne pengilleyi,Northern Corroboree Frog,Pseudophryne pengilleyi,https://biodiversity.org.au/afd/taxa/cc5315bf-6682-44d9-809c-139afaddf7c8,dr649,"[{'key': 'category', 'value': 'Frog'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Critically Endangered'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Galaangga'}]",Frog,accepted,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),Galaangga,,,
4241438,Pteropus poliocephalus,Grey-headed Flying-fox,Pteropus poliocephalus,https://biodiversity.org.au/afd/taxa/7065d246-3017-4768-9c8f-8c58c0e538c1,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Mammal,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241458,Pterostylis oreophila,Blue-tongued Orchid,Pterostylis oreophila,https://id.biodiversity.org.au/taxon/apni/51412246,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Critically Endangered'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
4241449,Rostratula australis,Australian Painted-snipe,Rostratula australis,https://biodiversity.org.au/afd/taxa/0e647393-fbcb-470a-994f-068aebecfceb,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'comments', 'value': 'included in ACT Migratory Species Action Plan'}]",Bird,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,included in ACT Migratory Species Action Plan,,
4241461,Rutidosis leptorhynchoides,Button Wrinklewort,Rutidosis leptorhynchoides,https://id.biodiversity.org.au/node/apni/7062437,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241439,Swainsona recta,Small Purple-pea,Swainsona recta,https://id.biodiversity.org.au/node/apni/2916272,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241429,Synemon plana,Golden Sun Moth,Synemon plana,https://biodiversity.org.au/afd/taxa/a51dca29-50e7-49b4-ae35-5c35a9c4f854,dr649,"[{'key': 'category', 'value': 'Invertebrate'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Invertebrate,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241421,Thesium australe,Southern Toadflax,Thesium australe,https://id.biodiversity.org.au/node/apni/2891975,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241467,Tympanocryptis lineata,Grassland Earless Dragon,Tympanocryptis lineata,https://biodiversity.org.au/afd/taxa/49122cf6-e123-47f9-8ee4-a649373a2a47,dr649,"[{'key': 'category', 'value': 'Reptile'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Bidjiwang'}, {'key': 'comments', 'value': 'Recent taxonomic changes to the species, from Tympanocryptis pinguicolla to Tympanocryptis lineata, are documented in Melville et al. 2019. but the species name has not yet updated in the NCA List'}, {'key': 'synonym', 'value': 'Tympanocryptis pinguicolla'}]",Reptile,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,"Recent taxonomic changes to the species, from Tympanocryptis pinguicolla to Tympanocryptis lineata, are documented in Melville et al. 2019. but the species name has not yet updated in the NCA List",Tympanocryptis pinguicolla,
4241423,Tympanocryptis pinguicolla,Grassland Earless Dragon,Tympanocryptis pinguicolla,https://biodiversity.org.au/afd/taxa/5bceebc1-06e2-43fe-bf6e-72c9b9b25c92,dr649,"[{'key': 'category', 'value': 'Reptile'}, {'key': 'taxonomicstatus', 'value': 'homotypic synonym'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Bidjiwang'}, {'key': 'comments', 'value': 'Homotypic synonym of Tympanocryptis lineata'}, {'key': 'synonym', 'value': 'Tympanocryptis lineata'}, {'key': 'taxonremarks', 'value': 'Homotypic synonym of Tympanocryptis lineata'}]",Reptile,homotypic synonym,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Bidjiwang,Homotypic synonym of Tympanocryptis lineata,Tympanocryptis lineata,Homotypic synonym of Tympanocryptis lineata
