"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Myiagra (Seisura) inquieta","urn:lsid:biodiversity.org.au:afd.taxon:7f3f49fb-b2f3-4696-8207-c4d2ee769424","Myiagra (Seisura) inquieta","Monarchidae",,"Restless Flycatcher","Rare","Near Threatened"
"Pultenaea kraehenbuehlii","https://id.biodiversity.org.au/node/apni/2900941","Pultenaea kraehenbuehlii","Fabaceae",,"Tothill Bush-pea","Rare","Near Threatened"
"Althaea australis","https://id.biodiversity.org.au/node/apni/2912429","Althaea australis","Malvaceae",,"Australian Mallow","Vulnerable","Endangered"
"Pachycephala (Timixos) inornata","urn:lsid:biodiversity.org.au:afd.taxon:bc413b0b-abd6-48c6-bc56-0606c18354db","Pachycephala (Timixos) inornata","Pachycephalidae",,"Gilbert's Whistler","Rare","Near Threatened"
"Eryngium vesiculosum","https://id.biodiversity.org.au/node/apni/4331884","Eryngium vesiculosum","Apiaceae",,"Prickfoot","Rare","Near Threatened"
"Petrogale xanthopus xanthopus","urn:lsid:biodiversity.org.au:afd.taxon:f47d4454-f95c-4086-908c-6cac6d330849","Petrogale xanthopus xanthopus","Macropodidae",,"Ring-tailed Rock Wallaby","Vulnerable","Endangered"
"Brachyscome eriogona","https://id.biodiversity.org.au/taxon/apni/51267780","Brachyscome eriogona","Asteraceae",,,"Rare","Near Threatened"
"Kogia sima","urn:lsid:biodiversity.org.au:afd.taxon:f130735b-8b94-473a-8e84-bb71cd6dcd3f","Kogia sima","Kogiidae",,"Dwarf Sperm Whale","Rare","Near Threatened"
"Stellaria multiflora","https://id.biodiversity.org.au/node/apni/2913720","Stellaria multiflora","Caryophyllaceae",,"Many Flowered Starwort","Rare","Near Threatened"
"Poa drummondiana","https://id.biodiversity.org.au/node/apni/2886180","Poa drummondiana","Poaceae",,"Knotted Poa","Rare","Near Threatened"
"Stipiturus mallee","urn:lsid:biodiversity.org.au:afd.taxon:dc513bc6-844d-44fb-b9fa-2d41ed56d2e3","Stipiturus mallee","Maluridae",,"Mallee Emu-wren","Extinct or Endangered","Endangered"
"Acacia jennerae","https://id.biodiversity.org.au/node/apni/2916449","Acacia jennerae","Fabaceae",,"Coonavittra Wattle","Rare","Near Threatened"
"Berardius arnuxii","urn:lsid:biodiversity.org.au:afd.taxon:1c040529-c8c3-4e09-aa33-d520ae8f22f2","Berardius arnuxii","Ziphiidae",,"Arnoux's Beaked Whale","Rare","Near Threatened"
"Senecio behrianus","https://id.biodiversity.org.au/node/apni/2898428","Senecio behrianus","Asteraceae",,"Behr's Groundsel","Extinct or Endangered","Endangered"
"Blechnum chambersii","https://id.biodiversity.org.au/taxon/apni/51269276","Blechnum chambersii","Blechnaceae",,"Lance Water-fern","Extinct or Endangered","Endangered"
"Calidris (Erolia) melanotos","urn:lsid:biodiversity.org.au:afd.taxon:186ec2cd-8267-4162-8c0a-7c6bc51262c2","Calidris (Erolia) melanotos","Scolopacidae",,"Pectoral Sandpiper","Rare","Near Threatened"
"Cyperus sphaeroideus","https://id.biodiversity.org.au/node/apni/2915080","Cyperus sphaeroideus","Cyperaceae",,"Globe Kyllinga","Rare","Near Threatened"
"Microtis eremaea","https://id.biodiversity.org.au/name/apni/163369","Microtis eremaea","Orchidaceae",,"Slender Mignonette Orchid","Extinct or Endangered","Endangered"
"Excalfactoria chinensis","urn:lsid:biodiversity.org.au:afd.taxon:2481f9e1-587b-46da-883e-ce4e38fac9e3","Excalfactoria chinensis","Phasianidae",,"King Quail","Extinct or Endangered","Endangered"
"Crassula peduncularis","https://id.biodiversity.org.au/node/apni/2895654","Crassula peduncularis","Crassulaceae",,"Purple Crassula","Rare","Near Threatened"
"Calectasia intermedia","https://id.biodiversity.org.au/node/apni/2909495","Calectasia intermedia","Dasypogonaceae",,"Blue Tinsel Lily","Vulnerable","Endangered"
"Rorippa laciniata","https://id.biodiversity.org.au/node/apni/2899980","Rorippa laciniata","Brassicaceae",,"Jagged Bitter-cress","Rare","Near Threatened"
"Utricularia violacea","https://id.biodiversity.org.au/node/apni/2905984","Utricularia violacea","Lentibulariaceae",,"Violet Bladderwort","Rare","Near Threatened"
"Ranunculus sessiliflorus var. pilulifer","https://id.biodiversity.org.au/node/apni/2898206","Ranunculus sessiliflorus var. pilulifer","Ranunculaceae",,"Annual Buttercup","Vulnerable","Endangered"
"Pterostylis lingua","https://id.biodiversity.org.au/name/apni/74889","Pterostylis lingua","Orchidaceae",,"Large-tongue Rustyhood","Extinct or Endangered","Endangered"
"Melaleuca oxyphylla","https://id.biodiversity.org.au/node/apni/2919020","Melaleuca oxyphylla","Myrtaceae",,"Pointed-leaf Honey-myrtle","Rare","Near Threatened"
"Cyperus lucidus","https://id.biodiversity.org.au/node/apni/2911703","Cyperus lucidus","Cyperaceae",,"Common Leaf-rush","Extinct or Endangered","Endangered"
"Numenius (Phaeopus) phaeopus","urn:lsid:biodiversity.org.au:afd.taxon:1ef65ebd-d888-45e1-88f8-75ce5a3fd0ed","Numenius (Phaeopus) phaeopus","Scolopacidae",,"Whimbrel","Rare","Near Threatened"
"Burhinus (Burhinus) grallarius","urn:lsid:biodiversity.org.au:afd.taxon:9e797cd8-e8a0-40ed-a2a6-6abecff8e21f","Burhinus (Burhinus) grallarius","Burhinidae",,"Bush Stone-curlew","Rare","Near Threatened"
