id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,E P B C  Status
4195186,Dendromyza reinwardtiana,Climbing Mistletoe,Dendromyza reinwardtiana,https://id.biodiversity.org.au/node/apni/2894610,dr652,"[{'key': 'taxonID', 'value': '13930'}, {'key': 'scientificNameAuthorship', 'value': '(Blume ex Korth.) Danser'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Not Endemic to Australia'}]",13930,(Blume ex Korth.) Danser,V,Y,N,Vulnerable,Not Endemic to Australia,
4195106,Santalum lanceolatum,Northern Sandalwood,Santalum lanceolatum,https://id.biodiversity.org.au/node/apni/2908232,dr652,"[{'key': 'taxonID', 'value': '16237'}, {'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'SL'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Special least concern'}, {'key': 'Endemicity', 'value': 'Intranational'}]",16237,R.Br.,SL,Y,N,Special least concern,Intranational,
4195104,Thesium australe,Southern Toadflax,Thesium australe,https://id.biodiversity.org.au/node/apni/2891975,dr652,"[{'key': 'taxonID', 'value': '13501'}, {'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",13501,R.Br.,V,Y,N,Vulnerable,Intranational,Vulnerable
4193968,Alectryon ramiflorus,Isis Tamarind,Alectryon ramiflorus,https://id.biodiversity.org.au/taxon/apni/51294089,dr652,"[{'key': 'taxonID', 'value': '9658'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",9658,S.T.Reynolds,E,Y,N,Endangered,Queensland Endemic,Endangered
4195142,Alectryon repandodentatus,,Alectryon repandodentatus,https://id.biodiversity.org.au/taxon/apni/51294085,dr652,"[{'key': 'taxonID', 'value': '18006'}, {'key': 'scientificNameAuthorship', 'value': 'Radlk.'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Regional Endemic'}]",18006,Radlk.,E,Y,N,Endangered,Regional Endemic,
4193751,Arytera dictyoneura,,Arytera dictyoneura,https://id.biodiversity.org.au/node/apni/2905495,dr652,"[{'key': 'taxonID', 'value': '12867'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",12867,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4194780,Atalaya collina,Yarwun Whitewood,Atalaya collina,https://id.biodiversity.org.au/node/apni/2898560,dr652,"[{'key': 'taxonID', 'value': '9091'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",9091,S.T.Reynolds,E,Y,N,Endangered,Queensland Endemic,Endangered
4194595,Cossinia australiana,Cossinia,Cossinia australiana,https://id.biodiversity.org.au/node/apni/2907100,dr652,"[{'key': 'taxonID', 'value': '13684'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",13684,S.T.Reynolds,E,Y,N,Endangered,Queensland Endemic,Endangered
4194960,Cupaniopsis cooperorum,Cooper's Puzzle,Cupaniopsis cooperorum,https://id.biodiversity.org.au/node/apni/2886368,dr652,"[{'key': 'taxonID', 'value': '27699'}, {'key': 'scientificNameAuthorship', 'value': 'P.I.Forst.'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",27699,P.I.Forst.,V,Y,N,Vulnerable,Queensland Endemic,
4194825,Cupaniopsis newmanii,Long-leaved Tuckeroo,Cupaniopsis newmanii,https://id.biodiversity.org.au/node/apni/2902445,dr652,"[{'key': 'taxonID', 'value': '13637'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Intranational'}]",13637,S.T.Reynolds,NT,Y,N,Near Threatened,Intranational,
