id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,class,order,family,vernacular name,taxonID,genus,species,sourceStatus,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,status,npwActStatusComments,epbcStatus,epbcActStatusComments,subspeciesAuthor,majorGroup,subSpecies
4032018,Leionema microphyllum,Limestone Phebalium,Leionema microphyllum,https://id.biodiversity.org.au/node/apni/8492341,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Limestone Phebalium'}, {'key': 'taxonID', 'value': 'C01981'}, {'key': 'genus', 'value': 'Leionema'}, {'key': 'species', 'value': 'microphyllum'}, {'key': 'sourceStatus', 'value': 'R'}, {'key': 'npwActStatusComments', 'value': 'not evaluated'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2005-01-31 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Leionema microphyllum (F.Muell.)Paul G.Wilson'}, {'key': 'status', 'value': 'Rare'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,RUTACEAE,Limestone Phebalium,C01981,Leionema,microphyllum,R,,1990-10-02 00:00:00,2005-01-31 00:00:00,Leionema microphyllum (F.Muell.)Paul G.Wilson,Rare,not evaluated,,,,Angiospermae,
4032136,Phebalium calcicola,Limestone Phebalium,Phebalium calcicola,ALA_DR653_585,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Limestone Phebalium'}, {'key': 'taxonID', 'value': 'E04842'}, {'key': 'genus', 'value': 'Phebalium'}, {'key': 'species', 'value': 'calcicola'}, {'key': 'sourceStatus', 'value': 'E*'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2021-08-16 15:36:32'}, {'key': 'scientificNameAuthorship', 'value': 'Phebalium calcicola S.Dema & I.Telford'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,RUTACEAE,Limestone Phebalium,E04842,Phebalium,calcicola,E*,,1990-10-02 00:00:00,2021-08-16 15:36:32,Phebalium calcicola S.Dema & I.Telford,Endangered,,,,,Angiospermae,
4032149,Phebalium glandulosum ssp. macrocalyx,Glandular Phebalium,Phebalium glandulosum ssp. macrocalyx,ALA_DR653_586,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Glandular Phebalium'}, {'key': 'taxonID', 'value': 'Y04780'}, {'key': 'genus', 'value': 'Phebalium'}, {'key': 'species', 'value': 'glandulosum'}, {'key': 'sourceStatus', 'value': 'E*'}, {'key': 'npwActStatusComments', 'value': 'Endangered status was applied to ssp. glandulosum in SA which corresponds to what is now known as ssp. macrocalyx - PJL 31 Jul 2013.'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2013-07-31 14:38:22'}, {'key': 'scientificNameAuthorship', 'value': 'Phebalium glandulosum Hook. ssp. macrocalyx R.L.Giles'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'majorGroup', 'value': 'Angiospermae'}, {'key': 'subSpecies', 'value': 'ssp. macrocalyx'}]",,,RUTACEAE,Glandular Phebalium,Y04780,Phebalium,glandulosum,E*,,1990-10-02 00:00:00,2013-07-31 14:38:22,Phebalium glandulosum Hook. ssp. macrocalyx R.L.Giles,Endangered,Endangered status was applied to ssp. glandulosum in SA which corresponds to what is now known as ssp. macrocalyx - PJL 31 Jul 2013.,,,,Angiospermae,ssp. macrocalyx
4031846,Phebalium lowanense,Lowan Phebalium,Phebalium lowanense,https://id.biodiversity.org.au/node/apni/2918593,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Lowan Phebalium'}, {'key': 'taxonID', 'value': 'K01985'}, {'key': 'genus', 'value': 'Phebalium'}, {'key': 'species', 'value': 'lowanense'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'epbcActStatusComments', 'value': '2000-07-16 00:00:00'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Phebalium lowanense J.H.Willis'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,RUTACEAE,Lowan Phebalium,K01985,Phebalium,lowanense,V,,1990-10-02 00:00:00,,Phebalium lowanense J.H.Willis,Vulnerable,,VU,2000-07-16 00:00:00,,Angiospermae,
4032433,Philotheca angustifolia ssp. angustifolia,Narrow-leaf Wax-flower,Philotheca angustifolia subsp. angustifolia,https://id.biodiversity.org.au/node/apni/2911150,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Narrow-leaf Wax-flower'}, {'key': 'taxonID', 'value': 'C04013'}, {'key': 'genus', 'value': 'Philotheca'}, {'key': 'species', 'value': 'angustifolia'}, {'key': 'sourceStatus', 'value': 'R'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2005-02-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Philotheca angustifolia (Paul G.Wilson)Paul G.Wilson ssp. angustifolia'}, {'key': 'status', 'value': 'Rare'}, {'key': 'majorGroup', 'value': 'Angiospermae'}, {'key': 'subSpecies', 'value': 'ssp. angustifolia'}]",,,RUTACEAE,Narrow-leaf Wax-flower,C04013,Philotheca,angustifolia,R,,1990-10-02 00:00:00,2005-02-01 00:00:00,Philotheca angustifolia (Paul G.Wilson)Paul G.Wilson ssp. angustifolia,Rare,,,,,Angiospermae,ssp. angustifolia
4031842,Philotheca difformis ssp. difformis,Small-leaf Wax-flower,Philotheca difformis subsp. difformis,https://id.biodiversity.org.au/node/apni/2916640,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Small-leaf Wax-flower'}, {'key': 'taxonID', 'value': 'S04725'}, {'key': 'genus', 'value': 'Philotheca'}, {'key': 'species', 'value': 'difformis'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2005-02-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Philotheca difformis (A.Cunn. ex Endl.)Paul G.Wilson ssp. difformis'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'majorGroup', 'value': 'Angiospermae'}, {'key': 'subSpecies', 'value': 'ssp. difformis'}]",,,RUTACEAE,Small-leaf Wax-flower,S04725,Philotheca,difformis,V,,1990-10-02 00:00:00,2005-02-01 00:00:00,Philotheca difformis (A.Cunn. ex Endl.)Paul G.Wilson ssp. difformis,Vulnerable,,,,,Angiospermae,ssp. difformis
4032164,Philotheca verrucosa,Bendigo Wax-flower,Philotheca verrucosa,https://id.biodiversity.org.au/node/apni/2912310,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Bendigo Wax-flower'}, {'key': 'taxonID', 'value': 'Y01976'}, {'key': 'genus', 'value': 'Philotheca'}, {'key': 'species', 'value': 'verrucosa'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2005-02-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Philotheca verrucosa (A.Rich.)Paul G.Wilson'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,RUTACEAE,Bendigo Wax-flower,Y01976,Philotheca,verrucosa,V,,1990-10-02 00:00:00,2005-02-01 00:00:00,Philotheca verrucosa (A.Rich.)Paul G.Wilson,Vulnerable,,,,,Angiospermae,
4031714,Zieria veronicea ssp. insularis,Pink Zieria,Zieria veronicea ssp. insularis,ALA_DR653_591,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Pink Zieria'}, {'key': 'taxonID', 'value': 'W05915'}, {'key': 'genus', 'value': 'Zieria'}, {'key': 'species', 'value': 'veronicea'}, {'key': 'sourceStatus', 'value': 'R'}, {'key': 'npwActStatusComments', 'value': 'not evaluated'}, {'key': 'bdbsaCreatedDate', 'value': '2005-03-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Zieria veronicea (F.Muell.)Benth. ssp. insularis J.A.Armstr.'}, {'key': 'status', 'value': 'Rare'}, {'key': 'majorGroup', 'value': 'Angiospermae'}, {'key': 'subSpecies', 'value': 'ssp. insularis'}]",,,RUTACEAE,Pink Zieria,W05915,Zieria,veronicea,R,,2005-03-02 00:00:00,,Zieria veronicea (F.Muell.)Benth. ssp. insularis J.A.Armstr.,Rare,not evaluated,,,,Angiospermae,ssp. insularis
4032382,Zieria veronicea ssp. veronicea,Pink Zieria,Zieria veronicea subsp. veronicea,https://id.biodiversity.org.au/node/apni/2911634,dr653,"[{'key': 'family', 'value': 'RUTACEAE'}, {'key': 'vernacular name', 'value': 'Pink Zieria'}, {'key': 'taxonID', 'value': 'U05914'}, {'key': 'genus', 'value': 'Zieria'}, {'key': 'species', 'value': 'veronicea'}, {'key': 'sourceStatus', 'value': 'R'}, {'key': 'npwActStatusComments', 'value': 'not evaluated'}, {'key': 'bdbsaCreatedDate', 'value': '2005-03-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Zieria veronicea (F.Muell.)Benth. ssp. veronicea'}, {'key': 'status', 'value': 'Rare'}, {'key': 'majorGroup', 'value': 'Angiospermae'}, {'key': 'subSpecies', 'value': 'ssp. veronicea'}]",,,RUTACEAE,Pink Zieria,U05914,Zieria,veronicea,R,,2005-03-02 00:00:00,,Zieria veronicea (F.Muell.)Benth. ssp. veronicea,Rare,not evaluated,,,,Angiospermae,ssp. veronicea
4031976,Dodonaea procumbens,Trailing Hop Bush,Dodonaea procumbens,https://id.biodiversity.org.au/node/apni/2903899,dr653,"[{'key': 'family', 'value': 'SAPINDACEAE'}, {'key': 'vernacular name', 'value': 'Trailing Hop-bush'}, {'key': 'taxonID', 'value': 'W02015'}, {'key': 'genus', 'value': 'Dodonaea'}, {'key': 'species', 'value': 'procumbens'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'epbcActStatusComments', 'value': '2000-07-16 00:00:00'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Dodonaea procumbens F.Muell.'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,SAPINDACEAE,Trailing Hop-bush,W02015,Dodonaea,procumbens,V,,1990-10-02 00:00:00,,Dodonaea procumbens F.Muell.,Vulnerable,,VU,2000-07-16 00:00:00,,Angiospermae,
4031964,Dodonaea subglandulifera,Peep Hill Hop-bush,Dodonaea subglandulifera,https://id.biodiversity.org.au/node/apni/2895785,dr653,"[{'key': 'family', 'value': 'SAPINDACEAE'}, {'key': 'taxonID', 'value': 'K04757'}, {'key': 'genus', 'value': 'Dodonaea'}, {'key': 'species', 'value': 'subglandulifera'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'npwActStatusComments', 'value': 'EN B2a'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'epbcActStatusComments', 'value': '2000-07-16 00:00:00'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Dodonaea subglandulifera J.G.West'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,SAPINDACEAE,,K04757,Dodonaea,subglandulifera,E,,1990-10-02 00:00:00,,Dodonaea subglandulifera J.G.West,Endangered,EN B2a,EN,2000-07-16 00:00:00,,Angiospermae,
4032137,Stackhousia annua,Annual Stackhousia,Stackhousia annua,https://id.biodiversity.org.au/node/apni/2893280,dr653,"[{'key': 'family', 'value': 'STACKHOUSIACEAE'}, {'key': 'vernacular name', 'value': 'Annual Candles'}, {'key': 'taxonID', 'value': 'E02026'}, {'key': 'genus', 'value': 'Stackhousia'}, {'key': 'species', 'value': 'annua'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'epbcActStatusComments', 'value': '2000-07-16 00:00:00'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Stackhousia annua W.R.Barker'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,STACKHOUSIACEAE,Annual Candles,E02026,Stackhousia,annua,V,,1990-10-02 00:00:00,,Stackhousia annua W.R.Barker,Vulnerable,,VU,2000-07-16 00:00:00,,Angiospermae,
4031853,Cryptandra campanulata,Long-flower Cryptandra,Cryptandra campanulata,https://id.biodiversity.org.au/node/apni/2906318,dr653,"[{'key': 'family', 'value': 'RHAMNACEAE'}, {'key': 'vernacular name', 'value': 'Long-flower Cryptandra'}, {'key': 'taxonID', 'value': 'E04006'}, {'key': 'genus', 'value': 'Cryptandra'}, {'key': 'species', 'value': 'campanulata'}, {'key': 'sourceStatus', 'value': 'R'}, {'key': 'npwActStatusComments', 'value': 'not evaluated, equivalent (name mismatch: NPW Act name missing collection citation)'}, {'key': 'bdbsaCreatedDate', 'value': '1990-10-02 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2011-05-09 16:23:58'}, {'key': 'scientificNameAuthorship', 'value': 'Cryptandra campanulata Schltdl.'}, {'key': 'status', 'value': 'Rare'}, {'key': 'majorGroup', 'value': 'Angiospermae'}]",,,RHAMNACEAE,Long-flower Cryptandra,E04006,Cryptandra,campanulata,R,,1990-10-02 00:00:00,2011-05-09 16:23:58,Cryptandra campanulata Schltdl.,Rare,"not evaluated, equivalent (name mismatch: NPW Act name missing collection citation)",,,,Angiospermae,
