id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4377255,Eretmochelys imbricata,Hawksbill Turtle,Eretmochelys imbricata,https://biodiversity.org.au/afd/taxa/96133221-771a-40d0-8368-ad428a55aaaa,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377054,Divellomelon hillieri,Hillier's Keeled Snail,Divellomelon hillieri,https://biodiversity.org.au/afd/taxa/0db769ef-c73e-4eb9-9cae-75a00eb1092a,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377070,Melanodryas cucullata melvillensis,Hooded Robin (tiwi),Melanodryas (Melanodryas) cucullata melvillensis,https://biodiversity.org.au/afd/taxa/2f2ceb96-42de-4259-8a84-a7733ffc14fb,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377084,Mirafra javanica melvillensis,Horsfield’s Bushlark (tiwi),Mirafra (Mirafra) javanica melvillensis,https://biodiversity.org.au/afd/taxa/9870b898-1858-464f-9a0f-39530a4a42ec,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377115,Uperoleia daviesae,Howard River Toadlet,Uperoleia daviesae,https://biodiversity.org.au/afd/taxa/6a2cbc44-60bb-4178-bd20-ee7c2f868a5c,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377223,Semotrachia huckittana,Huckitta Ruins Squat Snail,Semotrachia huckittana,https://biodiversity.org.au/afd/taxa/aeaa8da0-146c-4688-b57f-30a460652e6d,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377149,Semotrachia illarana,Illara Waterhole Squat Snail,Semotrachia illarana,https://biodiversity.org.au/afd/taxa/5588186f-227b-434e-a147-afa3e4d8452e,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377148,Semotrachia jessieana,Jessie Gap Squat Snail,Semotrachia jessieana,https://biodiversity.org.au/afd/taxa/5858ce9a-800e-4b8d-a2fb-fb65e8961b3e,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377147,Semotrachia jinkana,Jinka Spring Squat Snail,Semotrachia jinkana,https://biodiversity.org.au/afd/taxa/dc77ac41-d83c-44e0-b269-7139bb2c0662,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377230,Dasyuroides byrnei,Kowari,Dasyuroides byrnei,https://biodiversity.org.au/afd/taxa/c342ff42-9ee4-41f6-8365-62b15c4d27f2,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable\xa0(extinct in NT)'}]",Vulnerable,Vulnerable (extinct in NT)
4377176,Semotrachia esau,Krichauff Ranges Snail,Semotrachia esau,https://biodiversity.org.au/afd/taxa/d0e65c91-8737-469d-ad02-69ef0b40185f,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377089,Pristis pristis,Largetooth Sawfish,Pristis pristis,https://biodiversity.org.au/afd/taxa/4fc5aabd-2174-4c12-87ff-5e69007ecea2,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377108,Dermochelys coriacea,Leatherback Turtle,Dermochelys coriacea,https://biodiversity.org.au/afd/taxa/9b31383c-4745-4b8f-a3bd-8b9e91619e47,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
