"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Megachile deani","urn:lsid:biodiversity.org.au:afd.taxon:a62fe046-5605-4610-b2ad-cae0aed9868d","Megachile (Rhodomegachile) deanii","Megachilidae",,,,"(not listed)","(not listed)"
"Telicota colon argea","urn:lsid:biodiversity.org.au:afd.taxon:ddd212a0-6b83-416a-878b-142a8bf664ba","Telicota colon argea","Hesperiidae",,,,"(not listed)","(not listed)"
"Zygophyllum glaucum  ","https://id.biodiversity.org.au/taxon/apni/51311452","Roepera glauca","Zygophyllaceae",,,,,"(not listed)"
"Oliarus globosus","urn:lsid:biodiversity.org.au:afd.taxon:29f58e46-3c83-46cd-8a3a-a006ed141be2","Oliarus globosus","Cixiidae",,,,"(not listed)","Endemic to the N.T."
"Coryphistes ruricola","urn:lsid:biodiversity.org.au:afd.taxon:3f192e7c-5eec-4696-9bc7-68211c69f473","Coryphistes ruricola","Acrididae",,,,"(not listed)","(not listed)"
"Pitar coxeni","urn:lsid:biodiversity.org.au:afd.taxon:3d3d26ee-740b-4a6e-b1c4-afa934dd3272","Pitar (Pitar) coxeni","Veneridae",,,,"(not listed)","(not listed)"
"Psychotria coelosperma  ","https://id.biodiversity.org.au/node/apni/2898749","Psychotria coelosperma","Rubiaceae",,,,"Near Threatened","Native to the N.T."
"Clathria wesselensis","urn:lsid:biodiversity.org.au:afd.taxon:0dd28edc-a55d-4feb-a87f-09ce1c67376e","Clathria (Thalysias) wesselensis","Microcionidae",,,,"(not listed)","(not listed)"
"Proceraea filiformis","urn:lsid:biodiversity.org.au:afd.taxon:b91164fb-6003-4f06-93d3-162aaf68d3d2","Proceraea filiformis","Syllidae",,,,"(not listed)","Endemic to the N.T."
"Clerodendrum tomentosum var. tomentosum","https://id.biodiversity.org.au/node/apni/2886881","Clerodendrum tomentosum var. tomentosum","Lamiaceae",,,,"Least Concern","Native to the N.T."
"Xanthesma melanoclypearis","urn:lsid:biodiversity.org.au:afd.taxon:d4d1e01e-7a9c-4d11-853f-4904941ae008","Xanthesma (Xenohesma) melanoclypearis","Colletidae",,,,"(not listed)","(not listed)"
"Campion rubellus","urn:lsid:biodiversity.org.au:afd.taxon:770749c2-d6ff-48d8-b895-bb9de0c266aa","Campion rubellus","Mantispidae",,,,"(not listed)","(not listed)"
"Lithophaga teres","urn:lsid:biodiversity.org.au:afd.taxon:35720aca-c382-4719-b5b5-e068ec33cbf7","Lithophaga (Lithophaga) teres","Mytilidae",,,,"(not listed)","(not listed)"
"Upeneus tragula","urn:lsid:biodiversity.org.au:afd.taxon:382259a7-1ec9-4abd-826a-d161d6e83657","Upeneus tragula","Mullidae",,,,"(not listed)","(not listed)"
"Chamaecrista nomame  ","https://id.biodiversity.org.au/node/apni/2900170","Chamaecrista nomame","Fabaceae",,,,"INFRA","Native to the N.T."
"Tephrosia nematophylla  ","https://id.biodiversity.org.au/node/apni/2891113","Tephrosia nematophylla","Fabaceae",,,,"Least Concern","Endemic to the N.T."
"Samolus eremaeus  ","https://id.biodiversity.org.au/node/apni/2915668","Samolus eremaeus","Primulaceae",,,,"Least Concern","Native to the N.T."
"Atrobucca brevis","urn:lsid:biodiversity.org.au:afd.taxon:de36dc97-cd49-4746-95bc-b8ce7f184639","Atrobucca brevis","Sciaenidae",,,,"(not listed)","(not listed)"
"Carcharhinus longimanus","urn:lsid:biodiversity.org.au:afd.taxon:cb0a68ed-2516-40a0-8214-3e22def363c1","Carcharhinus longimanus","Carcharhinidae",,,,"(not listed)","(not listed)"
"Pterocaulon serrulatum  ","https://id.biodiversity.org.au/node/apni/2898547","Pterocaulon serrulatum","Asteraceae",,,,"Least Concern","Native to the N.T."
"Ectrosia danesii  ","https://id.biodiversity.org.au/node/apni/2892781","Ectrosia danesii","Poaceae",,,,"Least Concern","Native to the N.T."
"Parasmittina delicatula","urn:lsid:biodiversity.org.au:afd.taxon:fc241f0e-55fc-47d1-a443-a4a76b3c0612","Parasmittina delicatula","Smittinidae",,,,"(not listed)","(not listed)"
"Trianthema patellitecta  ","https://id.biodiversity.org.au/node/apni/2916782","Trianthema patellitectum","Aizoaceae",,,,"Least Concern","Native to the N.T."
"Mancinella tuberosa","urn:lsid:biodiversity.org.au:afd.taxon:118a6f8b-bf66-4cdf-a8eb-dba7ac6a9392","Menathais tuberosa","Muricidae",,,,"(not listed)","(not listed)"
"Alpheus paralcyone","urn:lsid:biodiversity.org.au:afd.taxon:13ca97e5-0d7a-45ad-b7a9-a1ac57a73547","Alpheus paralcyone","Alpheidae",,,,"(not listed)","(not listed)"
"Pediana horni","urn:lsid:biodiversity.org.au:afd.taxon:d3917018-7ecd-4adc-be46-363546d850ea","Pediana horni","Sparassidae",,,,"(not listed)","(not listed)"
"Gastrochaena philippinensis","urn:lsid:biodiversity.org.au:afd.taxon:6af520d6-2667-4724-a38a-0c082e2a18d8","Gastrochaena (Gastrochaena) philippinensis","Gastrochaenidae",,,,"(not listed)","(not listed)"
"Gallinago megala","urn:lsid:biodiversity.org.au:afd.taxon:6a6470ad-9928-49f3-9272-518fae2868c3","Gallinago (Gallinago) megala","Scolopacidae",,,,"Data Deficient","Native to the N.T."
"Auriculastra subula","urn:lsid:biodiversity.org.au:afd.taxon:587ed525-11c2-466c-af85-f67fcbc0de55","Auriculastra subula","Ellobiidae",,,,"(not listed)","(not listed)"
"Bactrocera opiliae","urn:lsid:biodiversity.org.au:afd.taxon:e241af5e-fb47-450b-a164-89a7cdce69d5","Bactrocera (Bactrocera) opiliae","Tephritidae",,,,"(not listed)","(not listed)"
"Thorectandra choanoides","urn:lsid:biodiversity.org.au:afd.taxon:060ea237-a5c2-4a16-ba24-98cda13977b4","Thorectandra choanoides","Thorectidae",,,,"(not listed)","(not listed)"
"Portunus rugosus","28911070","Portunus rugosus","Portunidae",,,,"(not listed)","(not listed)"
"Psitteuteles versicolor","urn:lsid:biodiversity.org.au:afd.taxon:b6796dbe-5cd2-4d44-aae8-9b7a6ef74773","Psitteuteles versicolor","Psittacidae",,,,"Least Concern","Native to the N.T."
"Silba atratula","urn:lsid:biodiversity.org.au:afd.taxon:d4933894-ff78-4db1-8a11-cbd12bc10852","Silba vanemdeni","Lonchaeidae",,,,"(not listed)","(not listed)"
"Sclerolaena muelleri  ","https://id.biodiversity.org.au/node/apni/2900652","Sclerolaena muelleri","Chenopodiaceae",,,,"Least Concern","Native to the N.T."
"Exitianus plebeius","urn:lsid:biodiversity.org.au:afd.taxon:49f151fb-1508-4faf-b0fd-d04cde1e204b","Exitianus plebeius","Cicadellidae",,,,"(not listed)","(not listed)"
"Charybdis miles","urn:lsid:biodiversity.org.au:afd.taxon:4bc9cf07-ffd6-4bff-bc06-51589d787c32","Charybdis (Charybdis) miles","Portunidae",,,,"(not listed)","(not listed)"
"Pyramica membranifera","urn:lsid:biodiversity.org.au:afd.taxon:f97f3885-4e46-4351-a933-db0602c36304","Strumigenys membranifera","Formicidae",,,,"(not listed)","(not listed)"
"Basedowia basicollis","urn:lsid:biodiversity.org.au:afd.taxon:482fa90c-075c-47ae-9ea1-1bf829ec419f","Basedowia basicollis","Curculionidae",,,,"(not listed)","Endemic to the N.T."
"Rutidosis helichrysoides subsp. acutiglumis","https://id.biodiversity.org.au/node/apni/2893422","Rutidosis helichrysoides subsp. acutiglumis","Asteraceae",,,,"Data Deficient","Native to the N.T."
"Eviota zebrina","urn:lsid:biodiversity.org.au:afd.taxon:2734e79b-0d78-431f-8f93-81bc5891a40a","Eviota zebrina","Gobiidae",,,,"(not listed)","(not listed)"
"Chrysobothris saundersii","urn:lsid:biodiversity.org.au:afd.taxon:5631c93b-c390-4740-81e3-1ea15a7ff44b","Chrysobothris saundersii","Buprestidae",,,,"(not listed)","(not listed)"
"Iridomyrmex exsanguis","urn:lsid:biodiversity.org.au:afd.taxon:d07fa47d-d469-49bf-b064-fe7d904111ce","Iridomyrmex exsanguis","Formicidae",,,,"(not listed)","(not listed)"
"Aristida holathera  ","https://id.biodiversity.org.au/node/apni/2911424","Aristida holathera","Poaceae",,,,"Least Concern","Native to the N.T."
"Goodenia lunata  ","https://id.biodiversity.org.au/node/apni/2898662","Goodenia lunata","Goodeniaceae",,,,"Least Concern","Native to the N.T."
"Eriochloa pseudoacrotricha  ","https://id.biodiversity.org.au/node/apni/2891895","Eriochloa pseudoacrotricha","Poaceae",,,,"Least Concern","Native to the N.T."
"Odilia mawsonae","urn:lsid:biodiversity.org.au:afd.taxon:1854113f-1553-4a5b-8bcb-e877c9b63d71","Chisholmia mawsonae","Trichostrongylidae",,,,"(not listed)","(not listed)"
"Lestoidea lewisiana","urn:lsid:biodiversity.org.au:afd.taxon:7c9d9ba9-620a-4f0c-bcea-8f15beeb22b1","Lestoidea lewisiana","Lestoideidae",,,,"(not listed)","(not listed)"
"Canthigaster rivulata","urn:lsid:biodiversity.org.au:afd.taxon:e950621f-7c13-40da-a2c4-e9d279921a54","Canthigaster rivulata","Tetraodontidae",,,,"(not listed)","(not listed)"
"Vermicella multifasciata","urn:lsid:biodiversity.org.au:afd.taxon:44a2ef2a-6941-4e6f-a28f-636fbb7412f5","Vermicella multifasciata","Elapidae",,,,"Data Deficient","Native to the N.T."
"Polygala eriocephala  ","https://id.biodiversity.org.au/node/apni/2908841","Polygala eriocephala","Polygalaceae",,,,"Least Concern","Native to the N.T."
"Illyria major","urn:lsid:biodiversity.org.au:afd.taxon:f4827a4d-1a0e-484c-bff7-71094f3f0735","Illyria major","Cicadidae",,,,"(not listed)","Endemic to the N.T."
"Owenia mirrawa","urn:lsid:biodiversity.org.au:afd.taxon:50924681-9fa9-453e-8a94-e6b9b87c6b9e","Owenia mirrawa","Oweniidae",,,,"(not listed)","(not listed)"
"Prismatopus aculeatus","urn:lsid:biodiversity.org.au:afd.taxon:94af2725-1330-4087-bf1c-abdfcbd84ffe","Prismatopus aculeatus","Majidae",,,,"(not listed)","(not listed)"
"Porrostoma eucerus","urn:lsid:biodiversity.org.au:afd.taxon:d5c74d17-3760-414b-a77e-843f18d6ba5d","Porrostoma (Porrostoma) eucerus","Lycidae",,,,"(not listed)","(not listed)"
"Junonia hedonia","urn:lsid:biodiversity.org.au:afd.taxon:450ab897-a07f-4238-99af-5bd788084c44","Junonia hedonia","Nymphalidae",,,,"(not listed)","(not listed)"
"Apion melvillense","urn:lsid:biodiversity.org.au:afd.taxon:a6207092-361c-4ed5-b565-9f4607be1d48","Apion melvillense","Brentidae",,,,"(not listed)","Endemic to the N.T."
"Goodenia neglecta  ","https://id.biodiversity.org.au/node/apni/2921231","Goodenia neglecta","Goodeniaceae",,,,"Least Concern","Endemic to the N.T."
"Acacia echinuliflora  ","https://id.biodiversity.org.au/node/apni/2895535","Acacia echinuliflora","Fabaceae",,,,"Least Concern","Endemic to the N.T."
"Cyperus ixiocarpus  ","https://id.biodiversity.org.au/node/apni/2915764","Cyperus ixiocarpus","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Megacephala intermedia","urn:lsid:biodiversity.org.au:afd.taxon:ffa8ac28-248f-484e-b6f8-1fa03330fb0f","Megacephala intermedia","Carabidae",,,,"(not listed)","(not listed)"
"Phascogale pirata","urn:lsid:biodiversity.org.au:afd.taxon:3a56cfa7-f2f1-4eb2-9f4b-33c0b57b5a4c","Phascogale pirata","Dasyuridae",,,,"Endangered","Native to the N.T."
"Yoldia narthecia","urn:lsid:biodiversity.org.au:afd.taxon:2af78133-d4be-4209-bd85-da4d94bfe6bb","Nuculana (Nuculana) fulgida","Nuculanidae",,,,"(not listed)","(not listed)"
"Kyphosus vaigiensis","urn:lsid:biodiversity.org.au:afd.taxon:cf4007e3-e7bc-420a-9837-0f1b2db79d92","Kyphosus vaigiensis","Kyphosidae",,,,"(not listed)","(not listed)"
"Liocheles australasiae","urn:lsid:biodiversity.org.au:afd.taxon:45270802-48c1-485f-a3cf-6d702f3a9253","Liocheles australasiae","Hormuridae",,,,"(not listed)","(not listed)"
"Lanice bidewa","urn:lsid:biodiversity.org.au:afd.taxon:d98a37b1-3c57-43e8-b594-cba992b24fe4","Lanice bidewa","Terebellidae",,,,"(not listed)","(not listed)"
"Braunsapis plebeia","urn:lsid:biodiversity.org.au:afd.taxon:dab20966-bc33-4901-8377-45869372c6eb","Braunsapis plebeia","Apidae",,,,"(not listed)","(not listed)"
"Mormopterus lumsdenae","urn:lsid:biodiversity.org.au:afd.taxon:f952a94f-4abd-4bd2-a8b9-e649fd236090","Ozimops lumsdenae","Molossidae",,,,"Least Concern","Native to the N.T."
"Swainsona rostrata  ","https://id.biodiversity.org.au/node/apni/2904735","Swainsona rostrata","Fabaceae",,,,"Least Concern","Native to the N.T."
"Clivipollia pulchra","urn:lsid:biodiversity.org.au:afd.taxon:06c594c1-be8f-411e-91a5-2ad3a9184bad","Clivipollia pulchra","Buccinidae",,,,"(not listed)","(not listed)"
"Phaius amboinensis  ","https://id.biodiversity.org.au/node/apni/2907181","Phaius amboinensis","Orchidaceae",,,,"Near Threatened","Native to the N.T."
"Hydrophis ornatus","39125028","Hydrophis ornatus","Elapidae",,,,"Least Concern","Native to the N.T."
"Scarus ghobban","urn:lsid:biodiversity.org.au:afd.taxon:1faefdff-7cd8-4b75-b43c-fd7e84d4bb7f","Scarus ghobban","Labridae",,,,"(not listed)","(not listed)"
"Larus pipixcan","NZOR-6-63652","Larus pipixcan","Laridae",,,,"Not Evaluated","Native to the N.T."
"Philoscaphus tuberculatus","urn:lsid:biodiversity.org.au:afd.taxon:8827253e-2024-4474-9716-a72047a703ab","Philoscaphus tuberculatus","Carabidae",,,,"(not listed)","(not listed)"
"Casuarina cunninghamiana  ","https://id.biodiversity.org.au/node/apni/2904436","Casuarina cunninghamiana","Casuarinaceae",,,,"Least Concern","Native to the N.T."
"Najas graminea var. graminea","https://id.biodiversity.org.au/node/apni/2886350","Najas graminea var. graminea","Hydrocharitaceae",,,,"Not Evaluated","(not listed)"
"Alectis ciliaris","urn:lsid:biodiversity.org.au:afd.taxon:85e81815-9486-466a-8d02-4d3ba4daf0c1","Alectis ciliaris","Carangidae",,,,"(not listed)","(not listed)"
"Amblypsilopus anomalicornis","urn:lsid:biodiversity.org.au:afd.taxon:20853d03-453a-4cee-b44a-3ec11f15e953","Amblypsilopus anomalicornis","Dolichopodidae",,,,"(not listed)","(not listed)"
"Euphorbia thymifolia  ","https://id.biodiversity.org.au/node/apni/2887850","Euphorbia thymifolia","Euphorbiaceae",,,,"Not Evaluated","(not listed)"
"Centipeda cunninghamii  ","https://id.biodiversity.org.au/node/apni/2916674","Centipeda cunninghamii","Asteraceae",,,,"Near Threatened","Native to the N.T."
"Leucobryum aduncum var. teysmannianum","https://id.biodiversity.org.au/node/ausmoss/10093646","Leucobryum aduncum var. teysmannianum","Leucobryaceae",,,,,"(not listed)"
"Tylophora benthamii  ","https://id.biodiversity.org.au/node/apni/2905425","Tylophora benthamii","Apocynaceae",,,,"Least Concern","Native to the N.T."
"Glycymeris persimilis","urn:lsid:biodiversity.org.au:afd.taxon:aa41cb63-6a27-41c5-9033-8ad3a00d3bde","Glycymeris (Glycymeris) persimilis","Glycymerididae",,,,"(not listed)","(not listed)"
"Heteractis malu","urn:lsid:biodiversity.org.au:afd.taxon:3673ab09-144a-4c8a-a550-8777911f950d","Heteractis malu","Stichodactylidae",,,,"(not listed)","(not listed)"
"Eragrostis petraea  ","https://id.biodiversity.org.au/node/apni/2903622","Eragrostis petraea","Poaceae",,,,"Data Deficient","Native to the N.T."
"Carcharhinus limbatus","urn:lsid:biodiversity.org.au:afd.taxon:b348cafd-112c-4984-8066-b1612a394069","Carcharhinus limbatus","Carcharhinidae",,,,"(not listed)","(not listed)"
"Typhaea stercorea","urn:lsid:biodiversity.org.au:afd.taxon:c90a6fcc-4aaf-4a7c-9243-029f09dc27b8","Typhaea stercorea","Mycetophagidae",,,,"(not listed)","(not listed)"
"Acacia ramulosa var. ramulosa","https://id.biodiversity.org.au/node/apni/2915768","Acacia ramulosa var. ramulosa","Fabaceae",,,,"Least Concern","Native to the N.T."
"Sida sp. Walhallow Station  ","ALA_Sida_sp_Walhallow_Station","Sida sp. Walhallow Station",,,,,"Near Threatened","Native to the N.T."
"Proeidosa polysema","urn:lsid:biodiversity.org.au:afd.taxon:2ca2a5bd-34e5-480b-bf4e-b1fe78562116","Proeidosa polysema","Hesperiidae",,,,"(not listed)","(not listed)"
"Jacksonia flexuosa  ","https://id.biodiversity.org.au/node/apni/2911302","Jacksonia flexuosa","Fabaceae",,,,"Least Concern","Endemic to the N.T."
"Triodia inutilis  ","https://id.biodiversity.org.au/node/apni/2891545","Triodia inutilis","Poaceae",,,,"Least Concern","Native to the N.T."
"Stylidium muscicola  ","https://id.biodiversity.org.au/node/apni/2917188","Stylidium muscicola","Stylidiaceae",,,,"Least Concern","Native to the N.T."
"Hemicordulia intermedia","urn:lsid:biodiversity.org.au:afd.taxon:c1244713-ddd0-4a16-88f1-3f3fa4919598","Hemicordulia intermedia","Corduliidae",,,,"(not listed)","(not listed)"
"Pogona minor","urn:lsid:biodiversity.org.au:afd.taxon:f777ebe8-250f-4b8e-9e25-b5944a2ea023","Pogona minor","Agamidae",,,,"Least Concern","Native to the N.T."
"Puffinus persicus","ALA_Puffinus_persicus","Puffinus persicus",,,,,"Not Evaluated","Native to the N.T."
"Embelia tiwiensis  ","https://id.biodiversity.org.au/node/apni/2915806","Embelia tiwiensis","Primulaceae",,,,"Near Threatened","Endemic to the N.T."
"Rhynobrissus pyramidalis","urn:lsid:biodiversity.org.au:afd.taxon:4f1f7f93-9fd4-4353-aa94-7f0a8dee0735","Rhynobrissus pyramidalis","Brissidae",,,,"(not listed)","Endemic to the N.T."
"Myristica lancifolia  ","https://id.biodiversity.org.au/node/apni/2909502","Myristica lancifolia","Myristicaceae",,,,"Least Concern","Endemic to the N.T."
"Leptogenys exigua","urn:lsid:biodiversity.org.au:afd.taxon:d4afe058-0318-4bd6-813a-925c7c151cd0","Leptogenys exigua","Formicidae",,,,"(not listed)","Endemic to the N.T."
"Aviassiminea palitans","urn:lsid:biodiversity.org.au:afd.taxon:bc5f6ba9-5bee-4257-b4ba-cf1ac8daf6f7","Aviassiminea palitans","Assimineidae",,,,"(not listed)","(not listed)"
"Heliocheilus cistella","urn:lsid:biodiversity.org.au:afd.taxon:db460e6d-609d-4290-a407-8156e1146c2c","Heliocheilus cistella","Noctuidae",,,,"(not listed)","(not listed)"
"Rapistrum rugosum  ","https://id.biodiversity.org.au/node/apni/2888769","Rapistrum rugosum","Brassicaceae",,,,"Least Concern","Introduced"
"Eragrostis ecarinata  ","https://id.biodiversity.org.au/node/apni/2895589","Eragrostis ecarinata","Poaceae",,,,"Data Deficient","Endemic to the N.T."
"Heliotropium skeleton  ","https://id.biodiversity.org.au/node/apni/2913667","Heliotropium skeleton","Boraginaceae",,,,"Least Concern","Native to the N.T."
"Neodon laevicollis","urn:lsid:biodiversity.org.au:afd.taxon:ebde7eae-dac8-4148-a779-9f9a56308cb6","Carneodon laevicollis","Scarabaeidae",,,,"(not listed)","(not listed)"
"Sphinctomyrmex septentrionalis","ALA_Sphinctomyrmex_septentrionalis","Sphinctomyrmex septentrionalis",,,,,"(not listed)","Endemic to the N.T."
"Ischaemum australe var. arundinaceum","https://id.biodiversity.org.au/node/apni/2917791","Ischaemum australe var. arundinaceum","Poaceae",,,,"Least Concern","Native to the N.T."
"Hoppea dichotoma  ","https://id.biodiversity.org.au/node/apni/2895798","Hoppea dichotoma","Gentianaceae",,,,"Data Deficient","Endemic to the N.T."
"Trithuria cookeana  ","https://id.biodiversity.org.au/node/apni/2919797","Trithuria cookeana","Hydatellaceae",,,,"Data Deficient","Native to the N.T."
"Tephrosia sp. sparse pinnae  ","ALA_Tephrosia_sp_sparse_pinnae","Tephrosia sp. sparse pinnae",,,,,"Not Evaluated","(not listed)"
"Austrosciapus bifarius","urn:lsid:biodiversity.org.au:afd.taxon:2c2617e1-8c92-4079-8388-dbc46f1f01f6","Austrosciapus bifarius","Dolichopodidae",,,,"(not listed)","(not listed)"
"Brachyscome iberidifolia  ","https://id.biodiversity.org.au/taxon/apni/51267823","Brachyscome iberidifolia","Asteraceae",,,,"Least Concern","Native to the N.T."
"Monocentris japonica","urn:lsid:biodiversity.org.au:afd.taxon:02349e9e-d098-4ad5-9399-736b77e1ffc8","Monocentris japonica","Monocentridae",,,,"(not listed)","(not listed)"
"Anthrax confluensis","urn:lsid:biodiversity.org.au:afd.taxon:053fdb66-509d-44aa-806e-3266f319e04f","Anthrax confluensis","Bombyliidae",,,,"(not listed)","(not listed)"
"Pentaphyllus pygmaeus","urn:lsid:biodiversity.org.au:afd.taxon:7d59ccc9-547c-4a3b-a461-b24187820d14","Pentaphyllus pygmaeus","Tenebrionidae",,,,"(not listed)","Endemic to the N.T."
"Oxyopes macilentus","urn:lsid:biodiversity.org.au:afd.taxon:fce959e5-8445-4fba-a880-26cd7a6517bf","Oxyopes macilentus","Oxyopidae",,,,"(not listed)","(not listed)"
"Goodenia quadrifida  ","https://id.biodiversity.org.au/node/apni/2897447","Goodenia quadrifida","Goodeniaceae",,,,"Data Deficient","Endemic to the N.T."
"Chaetodon lunula","urn:lsid:biodiversity.org.au:afd.taxon:f6675364-d516-4057-b2a0-f74b8e0849cb","Chaetodon lunula","Chaetodontidae",,,,"(not listed)","(not listed)"
"Omorgus mentitor","urn:lsid:biodiversity.org.au:afd.taxon:f94c92d7-9496-4597-9a8a-6813b2ba19eb","Omorgus (Omorgus) mentitor","Trogidae",,,,"(not listed)","(not listed)"
"Repomucenus sphinx","urn:lsid:biodiversity.org.au:afd.taxon:10f4831c-a2e8-4e7b-95f3-d2fbd1d434e7","Repomucenus sphinx","Callionymidae",,,,"(not listed)","(not listed)"
"Leptoclinides rigidus","urn:lsid:biodiversity.org.au:afd.taxon:5336b486-248f-45c6-a1e3-3b5dc45a2f22","Leptoclinides rigidus","Didemnidae",,,,"(not listed)","(not listed)"
"Favia pallida","urn:lsid:biodiversity.org.au:afd.taxon:a2152da1-f759-479d-b05f-f86e71173309","Dipsastraea pallida","Merulinidae",,,,"(not listed)","(not listed)"
"Smithia conferta  ","https://id.biodiversity.org.au/node/apni/2896335","Smithia conferta","Fabaceae",,,,"Least Concern","Native to the N.T."
"Pseudantechinus bilarni","urn:lsid:biodiversity.org.au:afd.taxon:b7dfe1ef-7242-4f70-b871-9e448aa6f548","Pseudantechinus bilarni","Dasyuridae",,,,"Least Concern","Endemic to the N.T."
"Polycarpa chinensis","urn:lsid:biodiversity.org.au:afd.taxon:4170bb3f-a552-4fc3-b931-0cc5f0ec727e","Polycarpa chinensis","Styelidae",,,,"(not listed)","(not listed)"
"Halophila spinulosa  ","https://id.biodiversity.org.au/node/apni/2886052","Halophila spinulosa","Hydrocharitaceae",,,,"Data Deficient","Native to the N.T."
"Raspailia nuda","urn:lsid:biodiversity.org.au:afd.taxon:9d041115-00b6-4ef8-ae5b-740cfcad8533","Raspailia (Parasyringella) nuda","Raspailiidae",,,,"(not listed)","(not listed)"
"Lucasium byrnei","urn:lsid:biodiversity.org.au:afd.taxon:e38aec03-8280-4366-b3f5-37221220e047","Lucasium byrnei","Diplodactylidae",,,,"Least Concern","Native to the N.T."
"Rostraria cristata  ","https://id.biodiversity.org.au/node/apni/2894159","Rostraria cristata","Poaceae",,,,"Least Concern","Introduced"
"Tylosurus acus","urn:lsid:biodiversity.org.au:afd.taxon:3d87d267-db9b-4338-9c14-b2ba98dee0e3","Tylosurus acus","Belonidae",,,,"(not listed)","(not listed)"
"Saurida filamentosa","urn:lsid:biodiversity.org.au:afd.taxon:3ddaf55c-0c3b-4234-9180-3611d51978ea","Saurida filamentosa","Synodontidae",,,,"(not listed)","(not listed)"
"Vexillum zebuense","urn:lsid:biodiversity.org.au:afd.taxon:58c4c1b2-03b1-4dd9-ba01-177573f21ba3","Vexillum (Costellaria) zebuense","Costellariidae",,,,"(not listed)","(not listed)"
"Pityrodia loricata  ","https://id.biodiversity.org.au/node/apni/2914987","Pityrodia loricata","Lamiaceae",,,,"Near Threatened","Native to the N.T."
"Smaragdia souverbiana","urn:lsid:biodiversity.org.au:afd.taxon:9a483d15-be13-482f-8b39-d1c4a7366f31","Smaragdia (Smaragdella) souverbiana","Neritidae",,,,"(not listed)","(not listed)"
"Thor amboinensis","urn:lsid:biodiversity.org.au:afd.taxon:a62c7dff-8dfb-42a9-8795-2455384c9073","Thor amboinensis","Thoridae",,,,"(not listed)","(not listed)"
"Zafra atrata","urn:lsid:biodiversity.org.au:afd.taxon:368d5123-34bc-48eb-bcf2-77eefca867c9","Zafra atrata","Columbellidae",,,,"(not listed)","(not listed)"
"Eleocharis atropurpurea  ","https://id.biodiversity.org.au/node/apni/2918547","Eleocharis atropurpurea","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Cissus adnata  ","https://id.biodiversity.org.au/node/apni/2908172","Cissus adnata","Vitaceae",,,,"Least Concern","Native to the N.T."
"Lima vulgaris","urn:lsid:biodiversity.org.au:afd.taxon:0364f8a5-1c92-4dd5-8747-d0415959c124","Lima (Lima) vulgaris","Limidae",,,,"(not listed)","(not listed)"
"Lepidotrigla russelli","urn:lsid:biodiversity.org.au:afd.taxon:6d4f7899-d6e3-49b3-a5eb-1ccf5815eb70","Lepidotrigla russelli","Triglidae",,,,"(not listed)","(not listed)"
"Macrothrix spinosa","urn:lsid:biodiversity.org.au:afd.taxon:3dfb705e-fed0-462f-8a65-aaee5768d2ce","Macrothrix spinosa","Macrotrichidae",,,,"(not listed)","(not listed)"
"Irolita westraliensis","urn:lsid:biodiversity.org.au:afd.taxon:027266fb-a8d8-4926-a83e-578129718516","Irolita westraliensis","Arhynchobatidae",,,,"(not listed)","(not listed)"
"Acanthobothrium jeanneae","urn:lsid:biodiversity.org.au:afd.taxon:aa7764fa-90b5-4fca-a1c5-fa67163914f9","Acanthobothrium jeanneae","Onchobothriidae",,,,"(not listed)","Endemic to the N.T."
"Macoma candida","urn:lsid:biodiversity.org.au:afd.taxon:047350ab-943f-419f-bb6a-c1fcca234fcb","Macoma (Psammacoma) candida","Tellinidae",,,,"(not listed)","(not listed)"
"Echinometra mathaei","urn:lsid:biodiversity.org.au:afd.taxon:b946b980-c15d-4d9d-ad00-0d9674eb3e5d","Echinometra mathaei","Echinometridae",,,,"(not listed)","(not listed)"
"Recluzia rollandiana","urn:lsid:biodiversity.org.au:afd.taxon:651237a7-4fe2-4563-b8ec-01152ec51477","Recluzia lutea","Epitoniidae",,,,"(not listed)","(not listed)"
"Stylidium prophyllum  ","https://id.biodiversity.org.au/node/apni/2912307","Stylidium prophyllum","Stylidiaceae",,,,"Data Deficient","Native to the N.T."
"Excellichlamys spectabilis","urn:lsid:biodiversity.org.au:afd.taxon:d684f25f-24a0-4470-8ddf-6fec96751225","Excellichlamys spectabilis","Pectinidae",,,,"(not listed)","(not listed)"
"Harpullia leichhardtii  ","https://id.biodiversity.org.au/node/apni/2887584","Harpullia leichhardtii","Sapindaceae",,,,"Least Concern","Endemic to the N.T."
"Goodenia glabra  ","https://id.biodiversity.org.au/node/apni/2900714","Goodenia glabra","Goodeniaceae",,,,"Least Concern","Native to the N.T."
"Dichromia quinqualis","urn:lsid:biodiversity.org.au:afd.taxon:0f1f69ef-e55a-463e-a0ea-9b718f07a374","Dichromia quinqualis","Erebidae",,,,"(not listed)","(not listed)"
"Metopograpsus thukuhar","urn:lsid:biodiversity.org.au:afd.taxon:917f9dec-2921-40ff-9137-916b58739ad1","Metopograpsus thukuhar","Grapsidae",,,,"(not listed)","(not listed)"
"Hesione splendida","urn:lsid:biodiversity.org.au:afd.taxon:572f717f-431a-4d20-8eba-b141f8a6f004","Hesione splendida","Hesionidae",,,,"(not listed)","(not listed)"
