"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Acacia manipularis  ","https://id.biodiversity.org.au/node/apni/2895472","Acacia manipularis","Fabaceae",,,,"Data Deficient","Native to the N.T."
"Stemodia tephropelina  ","https://id.biodiversity.org.au/node/apni/2901912","Stemodia tephropelina","Plantaginaceae",,,,"Least Concern","Native to the N.T."
"Ircinia ramosa","urn:lsid:biodiversity.org.au:afd.taxon:b7cfae81-191d-45a7-9e0a-4e7a5c0c1241","Ircinia ramosa","Irciniidae",,,,"(not listed)","(not listed)"
"Nicotiana rosulata subsp. ingulba","https://id.biodiversity.org.au/node/apni/2890845","Nicotiana rosulata subsp. ingulba","Solanaceae",,,,"Least Concern","Native to the N.T."
"Sisymbrium orientale  ","https://id.biodiversity.org.au/node/apni/2919433","Sisymbrium orientale","Brassicaceae",,,,"Least Concern","Introduced"
"Pantala flavescens","urn:lsid:biodiversity.org.au:afd.taxon:120c6e30-9dc3-4077-a4b9-3dabafc0eaf5","Pantala flavescens","Libellulidae",,,,"(not listed)","(not listed)"
"Iridomyrmex dromus","urn:lsid:biodiversity.org.au:afd.taxon:af39c700-af45-4d9f-b68d-ffd1370c92ad","Iridomyrmex dromus","Formicidae",,,,"(not listed)","(not listed)"
"Neospades chrysopygia","urn:lsid:biodiversity.org.au:afd.taxon:34e66ea4-3f98-40cb-8368-de1685a5cc1c","Neospades chrysopygia","Buprestidae",,,,"(not listed)","(not listed)"
"Corchorus walcottii  ","https://id.biodiversity.org.au/node/apni/2912384","Corchorus walcottii","Malvaceae",,,,"Least Concern","Native to the N.T."
"Terebellum terebellum","urn:lsid:biodiversity.org.au:afd.taxon:97064bb2-5e9e-4a9d-94e0-5c5167de7c4d","Terebellum terebellum","Seraphsidae",,,,"(not listed)","(not listed)"
"Calotis squamigera  ","https://id.biodiversity.org.au/node/apni/2898764","Calotis squamigera","Asteraceae",,,,"Near Threatened","Native to the N.T."
"Portulaca australis  ","https://id.biodiversity.org.au/node/apni/2914911","Portulaca australis","Portulacaceae",,,,"Least Concern","Native to the N.T."
"Sympycnus turbidus","urn:lsid:biodiversity.org.au:afd.taxon:3f7912df-a8f7-4f67-b864-a6dcd9417377","Sympycnus (Sympycnus) turbidus","Dolichopodidae",,,,"(not listed)","(not listed)"
"Thyridolepis xerophila  ","https://id.biodiversity.org.au/node/apni/2916279","Thyridolepis xerophila","Poaceae",,,,"Least Concern","Native to the N.T."
"Cyperus viscidulus  ","https://id.biodiversity.org.au/node/apni/2899230","Cyperus viscidulus","Cyperaceae",,,,"Data Deficient","Native to the N.T."
