id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,W A Taxon Id,status,sourceStatus,W A Status,W A Rank,E P B C Status,E P B C Desc,sensitivityZoneId,county,municipality,verbatimLocality,vernacular name,class,taxonRemarks
4039206,Micraira brevis subsp. brevis,,Micraira brevis subsp. brevis,ALA_DR2201_868,dr2201,"[{'key': 'W A Taxon Id', 'value': '34678.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Mt Elizabeth Stn., Prince Regnet N.R.'}]",34678.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Mt Elizabeth Stn., Prince Regnet N.R.",,,
4037706,Myriophyllum foveicola,Warty Rockpool Milfoil,Myriophyllum foveicola,https://id.biodiversity.org.au/name/apni/50665574,dr2201,"[{'key': 'W A Taxon Id', 'value': '48337.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Harding Range'}]",48337.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,Harding Range,,,
4036473,Najas foveolata,,Najas foveolata,https://id.biodiversity.org.au/node/apni/2895642,dr2201,"[{'key': 'W A Taxon Id', 'value': '34877.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Theda Stn, Doongan Stn., Carson River Stn.'}]",34877.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Theda Stn, Doongan Stn., Carson River Stn.",,,
4038179,Nymphoides beaglensis,Beagle Bay Marshwort,Nymphoides beaglensis,https://id.biodiversity.org.au/node/apni/2897880,dr2201,"[{'key': 'W A Taxon Id', 'value': '6546.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Dampier Peninsular, Beagle Bay, Lake Campion, Yabbagoody Clay Pan'}]",6546.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Dampier Peninsular, Beagle Bay, Lake Campion, Yabbagoody Clay Pan",,,
4037109,Olearia arguta var. arguta,,Olearia arguta var. arguta,https://id.biodiversity.org.au/node/apni/2887999,dr2201,"[{'key': 'W A Taxon Id', 'value': '14016.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Beverley Springs Stn., Kimbolton, Gibb River Stn.'}]",14016.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Beverley Springs Stn., Kimbolton, Gibb River Stn.",,,
4037924,Olearia arguta var. glabrous narrow leaves (E.M. Goble-Garratt 610),,Olearia arguta var. glabrous narrow leaves (E.M.Goble-Garratt 610),https://id.biodiversity.org.au/node/apni/2919237,dr2201,"[{'key': 'W A Taxon Id', 'value': '20402.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Prince Regent River, King Leopold Range'}]",20402.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Prince Regent River, King Leopold Range",,,
4038458,Olearia arguta var. lanata,,Olearia arguta var. lanata,https://id.biodiversity.org.au/node/apni/2907215,dr2201,"[{'key': 'W A Taxon Id', 'value': '14017.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Gibb River Stn., Mtichell Plateau, Berthier Is.'}]",14017.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Gibb River Stn., Mtichell Plateau, Berthier Is.",,,
4036846,Pavonia calycina,,Pavonia calycina,https://id.biodiversity.org.au/node/apni/2899729,dr2201,"[{'key': 'W A Taxon Id', 'value': '13564.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'buckle Head, glycomis Bay, Bougainville Peninsula, Cape Rulhieres, Cape Bernier, Walcott Inlet.'}]",13564.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","buckle Head, glycomis Bay, Bougainville Peninsula, Cape Rulhieres, Cape Bernier, Walcott Inlet.",,,
4038609,Pentalepis walcottii,,Pentalepis walcottii,https://id.biodiversity.org.au/node/apni/7054784,dr2201,"[{'key': 'W A Taxon Id', 'value': '42000.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Carson River, Vansittart Bay'}]",42000.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Carson River, Vansittart Bay",,,
4035997,Pityrodia obliqua,,Pityrodia obliqua,https://id.biodiversity.org.au/node/apni/2887508,dr2201,"[{'key': 'W A Taxon Id', 'value': '6815.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'King Leopold Range, Cockburn Range'}]",6815.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","King Leopold Range, Cockburn Range",,,
4036660,Polymeria sp. Broome (K.F. Kenneally 9759),,Polymeria sp. Broome (K.F.Kenneally 9759),https://id.biodiversity.org.au/node/apni/2906473,dr2201,"[{'key': 'W A Taxon Id', 'value': '41644.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Dampier Peninsula, Kununurra, La Grange'}]",41644.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Dampier Peninsula, Kununurra, La Grange",,,
4039273,Rhamphicarpa australiensis,,Rhamphicarpa australiensis,https://id.biodiversity.org.au/node/apni/2913344,dr2201,"[{'key': 'W A Taxon Id', 'value': '34682.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Doongan Stn., Harding Range, King Leopold Range'}]",34682.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Doongan Stn., Harding Range, King Leopold Range",,,
4038278,Rhynchospora brownii,Grassy Beak-sedge,Rhynchospora brownii,https://id.biodiversity.org.au/node/apni/2887062,dr2201,"[{'key': 'W A Taxon Id', 'value': '46914.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Kachana Stn., NT, QLD, NSW, VIC.'}]",46914.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Kachana Stn., NT, QLD, NSW, VIC.",,,
4039397,Rhynchospora rubra,,Rhynchospora rubra,https://id.biodiversity.org.au/node/apni/2896698,dr2201,"[{'key': 'W A Taxon Id', 'value': '16090.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Theda Stn., Mt Elizabeth Stn.,  N Charnley River, NT, QLD, NSW.'}]",16090.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Theda Stn., Mt Elizabeth Stn.,  N Charnley River, NT, QLD, NSW.",,,
