,status_id,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,taxon_id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
1682,153028,43297,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:09:55.69241,2019-07-23 00:09:55.69241,Western Australia,"Western Australia, AU",43297,https://www.inaturalist.org/taxa/43297,https://www.inaturalist.org/taxa/43297,https://www.inaturalist.org/taxa/43293,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,auratus,,2019-08-27T01:41:41Z,Isoodon auratus,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863016,,,
2299,153748,45203,708886,6827,16654,WA Department of Environment and Convservation,presumed extinct,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,70,2019-07-23 00:12:42.223264,2019-07-23 00:12:42.223264,Western Australia,"Western Australia, AU",45203,https://www.inaturalist.org/taxa/45203,https://www.inaturalist.org/taxa/45203,https://www.inaturalist.org/taxa/45194,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,gouldii,,2022-12-06T21:32:46Z,Pseudomys gouldii,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6884833,,,
2065,153474,45615,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:11:39.050916,2019-07-23 00:11:39.050916,Western Australia,"Western Australia, AU",45615,https://www.inaturalist.org/taxa/45615,https://www.inaturalist.org/taxa/45615,https://www.inaturalist.org/taxa/45614,Animalia,Chordata,Mammalia,Rodentia,Muridae,Conilurus,penicillatus,,2019-11-22T22:44:08Z,Conilurus penicillatus,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6884537,,,
2284,153732,45810,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:12:38.78242,2019-07-23 00:12:38.78242,Western Australia,"Western Australia, AU",45810,https://www.inaturalist.org/taxa/45810,https://www.inaturalist.org/taxa/45810,https://www.inaturalist.org/taxa/45809,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mesembriomys,gouldii,,2019-11-22T22:45:09Z,Mesembriomys gouldii,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6884702,,,
1849,153224,474095,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:41.411587,2019-07-23 00:10:41.411587,Western Australia,"Western Australia, AU",474095,https://www.inaturalist.org/taxa/474095,https://www.inaturalist.org/taxa/474095,https://www.inaturalist.org/taxa/474093,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Hysterobaeckea,ochropetala,,2020-11-16T22:17:13Z,Hysterobaeckea ochropetala,species,,,,
2478,153326,4801,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:05.154131,2020-07-21 19:33:47.237349,Western Australia,"Western Australia, AU",4801,https://www.inaturalist.org/taxa/4801,https://www.inaturalist.org/taxa/4801,https://www.inaturalist.org/taxa/4784,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,,2022-05-28T08:40:10Z,Charadrius hiaticula,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=3116,,,
2038,153437,485210,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,open,40,2019-07-23 00:11:30.886839,2022-10-25 07:02:51.82245,Western Australia,"Western Australia, AU",485210,https://www.inaturalist.org/taxa/485210,https://www.inaturalist.org/taxa/485210,https://www.inaturalist.org/taxa/51815,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,leptophylla,,2020-02-19T18:28:19Z,Eucalyptus leptophylla,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/4341049,,,
3421,153475,490748,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,open,30,2019-07-23 00:11:39.251526,2022-10-25 07:50:52.801558,Western Australia,"Western Australia, AU",490748,https://www.inaturalist.org/taxa/490748,https://www.inaturalist.org/taxa/490748,https://www.inaturalist.org/taxa/51815,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,rhodantha,,2019-02-12T10:50:02Z,Eucalyptus rhodantha,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/4330639,,,
3428,153104,499437,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,open,40,2019-07-23 00:10:12.37739,2022-10-25 08:17:41.604183,Western Australia,"Western Australia, AU",499437,https://www.inaturalist.org/taxa/499437,https://www.inaturalist.org/taxa/499437,https://www.inaturalist.org/taxa/51815,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,formanii,,2019-02-12T10:47:26Z,Eucalyptus formanii,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/4325252,,,
2080,153491,51593,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:43.114792,2019-07-23 00:11:43.114792,Western Australia,"Western Australia, AU",51593,https://www.inaturalist.org/taxa/51593,https://www.inaturalist.org/taxa/51593,https://www.inaturalist.org/taxa/51595,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Colubrina,asiatica,,2019-08-20T00:28:25Z,Colubrina asiatica,species,http://www.catalogueoflife.org/annual-checklist/2009/show_species_details.php?record_id=938684,,,
2027,153427,541617,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:11:28.519967,2019-07-23 00:11:28.519967,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Asterolasia nivea,,,,False,[]
1759,153119,543964,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:15.931297,2019-07-23 00:10:15.931297,Western Australia,"Western Australia, AU",543964,https://www.inaturalist.org/taxa/543964,https://www.inaturalist.org/taxa/543964,https://www.inaturalist.org/taxa/63993,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aristida,calycina,,2019-02-15T11:19:12Z,Aristida calycina,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9783104,,,
2473,152980,558438,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:43.580429,2020-07-21 19:10:19.396772,Western Australia,"Western Australia, AU",558438,https://www.inaturalist.org/taxa/558438,https://www.inaturalist.org/taxa/558438,https://www.inaturalist.org/taxa/558404,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,clypeata,,2022-12-23T16:50:48Z,Spatula clypeata,species,,,,
