taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status,id,taxonid,taxonstatus,authority,taxonurl
35259,Animalia,Insecta,Petaluridae,Petalura gigantea,south-eastern petaltail,"Leach, 1815",,N,,Intranational,,152593,323699,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
35260,Animalia,Insecta,Petaluridae,Petalura ingentissima,giant petaltail,"Tillyard, 1908",,N,,Queensland Endemic,,152491,503026,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
32098,Animalia,Insecta,Petaluridae,Petalura litorea,coastal petaltail,"Theishinger, 1999",,N,,Intranational,,152826,109169,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
35261,Animalia,Insecta,Petaluridae,Petalura pulcherrima,beautiful petaltail,"Tillyard, 1913",,N,,Queensland Endemic,,152781,109170,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
33590,Animalia,Malacostraca,Parastacidae,Euastacus bindal,Mt Elliot crayfish,"Morgan, 1989",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152757,100615,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
36167,Animalia,Malacostraca,Parastacidae,Euastacus binzayedi,,"Coughran & Furse, 2013",CR,Y,Critically Endangered,Queensland Endemic,,234877,782795,CR,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=36167
33594,Animalia,Malacostraca,Parastacidae,Euastacus jagara,Jagara hairy crayfish,"Morgan, 1988",CR,Y,Critically Endangered,Queensland Endemic,,152668,100635,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
33595,Animalia,Malacostraca,Parastacidae,Euastacus maidae,,"(Riek, 1956)",CR,Y,Critically Endangered,Queensland Endemic,,152461,100638,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
33596,Animalia,Malacostraca,Parastacidae,Euastacus monteithorum,,"Morgan, 1989",E,Y,Endangered,Queensland Endemic,,152860,100640,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
29182,Animalia,Arachnida,Theraphosidae,Selenocosmia strenua,,"(Thorell, 1881)",C,N,Least concern,Queensland Endemic,,152540,831562,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
29185,Animalia,Arachnida,Theraphosidae,Selenotypus plumipes,,"Pocock, 1895",C,N,Least concern,Queensland Endemic,,152504,702907,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
17957,Plantae,Equisetopsida,Aponogetonaceae,Aponogeton,,,,N,,Unknown,,152871,71977,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
12437,Plantae,Equisetopsida,Aponogetonaceae,Aponogeton elongatus,,F.Muell. ex Benth.,NT,Y,Near Threatened,Unknown,,152531,816357,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
6523,Plantae,Equisetopsida,Arecaceae,Archontophoenix myolensis,,Dowe,E,Y,Endangered,Queensland Endemic,Endangered,152558,364208,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
12864,Plantae,Equisetopsida,Arecaceae,Arenga australasica,,(H.Wendl. & Drude) S.T.Blake ex H.E. Moore,V,Y,Vulnerable,Intranational,,152617,364242,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
8610,Plantae,Equisetopsida,Arecaceae,Calamus aruensis,,Becc.,V,Y,Vulnerable,Regional Endemic,,152807,364154,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
12823,Plantae,Equisetopsida,Arecaceae,Calamus warburgii,,K.Schum.,V,Y,Vulnerable,Regional Endemic,,152678,364634,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
29580,Plantae,Equisetopsida,Arecaceae,Hydriastele costata,,F.M.Bailey,V,Y,Vulnerable,Regional Endemic,Vulnerable,152638,365351,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
12768,Plantae,Equisetopsida,Arecaceae,Linospadix palmerianus,,(F.M.Bailey) Burret,NT,Y,Near Threatened,Queensland Endemic,,152824,141458,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
26863,Plantae,Equisetopsida,Arecaceae,Livistona concinna,,Dowe & Barfod,NT,Y,Near Threatened,Queensland Endemic,,152704,365639,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
12780,Plantae,Equisetopsida,Arecaceae,Livistona drudei,Halifax fan palm,F.Muell.,V,Y,Vulnerable,Queensland Endemic,,152640,365637,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
3321,Plantae,Equisetopsida,Arecaceae,Livistona fulva,,Rodd,V,Y,Vulnerable,Queensland Endemic,,165530,365633,Vulnerable,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=3321
2224,Plantae,Equisetopsida,Arecaceae,Livistona lanuginosa,,Rodd,V,Y,Vulnerable,Queensland Endemic,Vulnerable,152566,365641,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
3322,Plantae,Equisetopsida,Arecaceae,Livistona nitida,,Rodd,NT,Y,Near Threatened,Queensland Endemic,,152611,365647,NT,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=3322
8539,Plantae,Equisetopsida,Arecaceae,Wodyetia bifurcata,foxtail palm,A.K.Irvine,V,Y,Vulnerable,Queensland Endemic,,152450,135348,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
13477,Plantae,Equisetopsida,Orchidaceae,Acianthus caudatus,mayfly orchid,R.Br.,SL,Y,Special least concern,Intranational,,152636,320644,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
14086,Plantae,Equisetopsida,Orchidaceae,Acianthus exsertus,,R.Br.,SL,Y,Special least concern,Intranational,,152637,323899,LC,QLD DEHP,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/73183
7931,Plantae,Equisetopsida,Orchidaceae,Acianthus pusillus,,D.L.Jones,SL,Y,Special least concern,Queensland Endemic,,152632,549968,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
35341,Plantae,Equisetopsida,Orchidaceae,Acianthus saxatilis,,D.L.Jones & M.A.Clem.,E,Y,Endangered,Queensland Endemic,,152567,739107,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
20094,Plantae,Equisetopsida,Orchidaceae,Acriopsis,,,C,N,Least concern,Unknown,,152867,425476,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=20094
20170,Plantae,Equisetopsida,Orchidaceae,Anoectochilus,,,C,N,Least concern,,,152682,140918,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=20170
9881,Plantae,Equisetopsida,Orchidaceae,Aphyllorchis anomala,,Dockrill,NT,Y,Near Threatened,Queensland Endemic,,152785,369719,Near threatened,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=9881
12863,Plantae,Equisetopsida,Orchidaceae,Aphyllorchis queenslandica,,Dockrill,NT,Y,Near Threatened,Queensland Endemic,,152693,827777,Near threatened,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=12863
