Unnamed: 0,id,name,commonName,scientificName_x,lsid,dataResourceUid,kvpValues,taxonId,W A  Status,D B C A  District,Distribution,status,sourceStatus,status description,category,sensitivityZoneId,W A  Rank,taxonRemarks,scientificName_y,canonicalName,canonicalNameComplete,type,rankMarker,wa_taxonID,wa_scientificName,wa_status,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
,,,,,https://id.biodiversity.org.au/name/apni/51414662,,,,,,,,,,,,,,,,,,,50596,Tephrosia funicularis,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/50596,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/name/apni/51415440,,,,,,,,,,,,,,,,,,,50601,Tephrosia lithosperma,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/50601,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/name/apni/50593992,,,,,,,,,,,,,,,,,,,48658,Tephrosia pedleyi,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/48658,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/taxon/apni/51363497,,,,,,,,,,,,,,,,,,,50654,Tephrosia sabulosa,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/50654,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2902236,,,,,,,,,,,,,,,,,,,20777,Tephrosia valleculata,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/20777,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2907630,,,,,,,,,,,,,,,,,,,16690,Tetragonia coronata,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/16690,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2897873,,,,,,,,,,,,,,,,,,,23982,Tetratheca angulata,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/23982,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2902462,,,,,,,,,,,,,,,,,,,29489,Tetratheca aphylla aphylla,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/29489,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2908066,,,,,,,,,,,,,,,,,,,29490,Tetratheca aphylla megacarpa,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/29490,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/taxon/apni/51294528,,,,,,,,,,,,,,,,,,,46773,Tetratheca butcheriana,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/46773,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2896404,,,,,,,,,,,,,,,,,,,14665,Tetratheca chapmanii,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14665,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2901540,,,,,,,,,,,,,,,,,,,4529,Tetratheca deltoidea,Critically Endangered,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/4529,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2894723,,,,,,,,,,,,,,,,,,,25768,Tetratheca fordiana,Priority 2: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/25768,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 2: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2891052,,,,,,,,,,,,,,,,,,,23987,Tetratheca paynterae cremnobata,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/23987,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2911614,,,,,,,,,,,,,,,,,,,23988,Tetratheca paynterae paynterae,Critically Endangered,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/23988,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2916190,,,,,,,,,,,,,,,,,,,34767,Tetratheca plumosa,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/34767,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2888300,,,,,,,,,,,,,,,,,,,41500,Tetratheca spenceri,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/41500,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
