id_x,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
170273,805543,702203,7830,,FFG Threatened List,CR,https://www.environment.vic.gov.au/__data/assets/pdf_file/0031/533893/20210714-FFG-Threatened-List.pdf,,,50,2021-07-29 12:46:10.627639,2021-07-29 12:46:10.627639,Victoria,"Victoria, AU",805543,https://www.inaturalist.org/taxa/805543,https://www.inaturalist.org/taxa/805543,https://www.inaturalist.org/taxa/323539,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,maxgrayi,,2021-07-29T12:46:10Z,Craspedia maxgrayi,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9485332,,,
170274,35029,702203,7830,,FFG Threatened List,CR,https://www.environment.vic.gov.au/__data/assets/pdf_file/0031/533893/20210714-FFG-Threatened-List.pdf,,obscured,50,2021-07-29 12:57:12.651753,2021-07-29 12:57:12.651753,Victoria,"Victoria, AU",35029,https://www.inaturalist.org/taxa/35029,https://www.inaturalist.org/taxa/35029,https://www.inaturalist.org/taxa/35027,Animalia,Chordata,Reptilia,Squamata,Elapidae,Denisonia,devisi,,2022-04-03T00:42:31Z,Denisonia devisi,species,http://reptile-database.reptarium.cz/search.php?genus=Denisonia&species=devisi&submit=Search,,,
223428,1096375,3669610,7308,,Queensland Nature Conservation Act 1992,VU,https://apps.des.qld.gov.au/species-search/details/?id=29782,,,30,2021-10-18 22:37:25.286582,2021-10-18 22:37:25.286582,Queensland,"Queensland, AU",1096375,https://www.inaturalist.org/taxa/1096375,https://www.inaturalist.org/taxa/1096375,https://www.inaturalist.org/taxa/157290,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Gonocarpus,hirtus,,2021-10-18T22:37:25Z,Gonocarpus hirtus,species,https://eol.org/pages/47126633,,,
264909,73005,3249428,7830,,Victoria Flora and Fauna Guarantee Act 1988,Critically Endangered,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,obscured,50,2022-06-11 04:17:36.157876,2022-06-11 04:17:36.157876,Victoria,"Victoria, AU",73005,https://www.inaturalist.org/taxa/73005,https://www.inaturalist.org/taxa/73005,https://www.inaturalist.org/taxa/12222,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina,melanotis,,2022-06-11T04:17:35Z,Manorina melanotis,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=5381,,,
264910,73005,3249428,6744,,Environment Protection and Biodiversity Conservation Act 1999,Endangered,https://www.environment.gov.au/epbc/about/epbc-act-lists#species,,obscured,40,2022-06-11 04:17:36.188665,2022-06-11 04:17:36.188665,Australia,Australia,73005,https://www.inaturalist.org/taxa/73005,https://www.inaturalist.org/taxa/73005,https://www.inaturalist.org/taxa/12222,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina,melanotis,,2022-06-11T04:17:35Z,Manorina melanotis,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=5381,,,
168006,538045,3669610,6744,,Australian Government,VU,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21189,,,30,2021-05-10 01:30:18.847122,2021-05-10 01:30:18.847122,Australia,Australia,538045,https://www.inaturalist.org/taxa/538045,https://www.inaturalist.org/taxa/538045,https://www.inaturalist.org/taxa/538046,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Hicksbeachia,pinnatifolia,,2021-05-10T01:30:18Z,Hicksbeachia pinnatifolia,species,http://eol.org/pages/5511190,,,
152563,83579,708886,7308,16653,QLD DEHP,LC,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,Least concern (Nature Conservation Act 1992) but considered by the QLD government as a confidential species (https://apps.des.qld.gov.au/species-search/details/?id=13280)),obscured,10,2019-07-23 00:08:03.630504,2021-04-18 22:13:20.271356,Queensland,"Queensland, AU",83579,https://www.inaturalist.org/taxa/83579,https://www.inaturalist.org/taxa/83579,https://www.inaturalist.org/taxa/882406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,aemulum,,2021-09-16T00:47:38Z,Dendrobium aemulum,species,http://www.catalogueoflife.org/annual-checklist/2010/details/species/id/7301546,,,
167753,898148,708886,7308,16653,QLD DEHP,endangered,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,,obscured,40,2021-04-19 16:30:53.849244,2021-04-19 16:30:53.849244,Queensland,"Queensland, AU",898148,https://www.inaturalist.org/taxa/898148,https://www.inaturalist.org/taxa/898148,https://www.inaturalist.org/taxa/180575,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,verticillatus,,2020-07-29T19:36:10Z,Phlegmariurus verticillatus,species,https://eol.org/pages/50922122,,,
168007,538045,3669610,6825,,New South Wales Office of Environment and Heritage,VU,https://www.environment.nsw.gov.au/threatenedspeciesapp/profile.aspx?id=10405,,,30,2021-05-10 01:30:18.917031,2021-05-10 01:30:18.917031,New South Wales,"New South Wales, AU",538045,https://www.inaturalist.org/taxa/538045,https://www.inaturalist.org/taxa/538045,https://www.inaturalist.org/taxa/538046,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Hicksbeachia,pinnatifolia,,2021-05-10T01:30:18Z,Hicksbeachia pinnatifolia,species,http://eol.org/pages/5511190,,,
160393,185435,383144,7308,,Queensland Government,Least Concern,https://apps.des.qld.gov.au/species-search/details/?id=11430,,,10,2020-08-03 20:47:42.48854,2021-07-01 11:34:41.752573,Queensland,"Queensland, AU",185435,https://www.inaturalist.org/taxa/185435,https://www.inaturalist.org/taxa/185435,https://www.inaturalist.org/taxa/185433,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Geijera,salicifolia,,2021-07-01T11:34:41Z,Geijera salicifolia,species,http://www.ubio.org/browser/details.php?namebankID=7141148,,,
