id,taxonid,taxonname,taxonstatus,authority,taxonurl,user_id,taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status
152441.0,146299.0,Myuchelys bellii,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152442.0,370064.0,Eulophia bicallosa,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,8203.0,Plantae,Equisetopsida,Orchidaceae,Eulophia bicallosa,,(D.Don) P.Hunt & Summerh.,NT,Y,Near Threatened,Not Endemic to Australia,
152443.0,136189.0,Cycas megacarpa,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,8445.0,Plantae,Equisetopsida,Cycadaceae,Cycas megacarpa,,K.D.Hill,E,Y,Endangered,Queensland Endemic,Endangered
152444.0,902946.0,Corybas undulatus,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,13327.0,Plantae,Equisetopsida,Orchidaceae,Corybas undulatus,tailed helmet orchid,(R.Cunn.) Rupp,SL,Y,Special least concern,Intranational,
152449.0,476576.0,Cophixalus petrophilus,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,34968.0,Animalia,Amphibia,Microhylidae,Cophixalus petrophilus,blotched boulder-frog,"Hoskin, 2013",C,N,Least concern,Queensland Endemic,
152450.0,135348.0,Wodyetia bifurcata,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,8539.0,Plantae,Equisetopsida,Arecaceae,Wodyetia bifurcata,foxtail palm,A.K.Irvine,V,Y,Vulnerable,Queensland Endemic,
152451.0,406519.0,Thelymitra longifolia,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,28222.0,Plantae,Equisetopsida,Orchidaceae,Thelymitra longifolia,,J.R.Forst. & G.Forst.,,N,,,
152454.0,557500.0,Dendrobium stratiotes,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,37193.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium stratiotes,,Rchb.f.,,,,,
152455.0,38404.0,Glaphyromorphus clandestinus,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,29318.0,Animalia,Reptilia,Scincidae,Glaphyromorphus clandestinus,Mt Elliot skink,"Hoskin & Couper, 2004",C,N,Least concern,Queensland Endemic,
152472.0,829460.0,Diuris abbreviata,Least concern,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=12793,708886.0,12793.0,Plantae,Equisetopsida,Orchidaceae,Diuris abbreviata,lemon doubletail,F.Muell. ex Benth.,SL,Y,Special least concern,Intranational,
152477.0,370071.0,Cheirostylis ovata,Least concern,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=13323,708886.0,13323.0,Plantae,Equisetopsida,Orchidaceae,Cheirostylis ovata,caterpillar orchid,(F.M.Bailey) Schltr.,SL,Y,Special least concern,Regional Endemic,
152461.0,100638.0,Euastacus maidae,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,33595.0,Animalia,Malacostraca,Parastacidae,Euastacus maidae,,"(Riek, 1956)",CR,Y,Critically Endangered,Queensland Endemic,
