vba_taxonID,vba_name,vba_status,vba_geoprivacy,lsid,scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,infraGeneric,sensu,bracketAuthorship,remarks,notho,authorship,vba_scientificName,new_geoprivacy,status_id,scientificName_x,taxon_id,user_id,description,iucn,authority,status,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,infraspecificEpithet,modified,scientificName_y,taxonRank,references
502325,Olearia sp. 1,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/2908253,Olearia sp. 1,INFORMAL,Olearia,sp.1,True,False,Olearia sp.1,Olearia sp.1,Olearia sp.1,sp.,,,,,,,,Olearia sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502348,Olearia sp. 2,Endangered,open,https://id.biodiversity.org.au/node/apni/2917814,Olearia sp. 2,INFORMAL,Olearia,sp.2,True,False,Olearia sp.2,Olearia sp.2,Olearia sp.2,sp.,,,,,,,,Olearia sp.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505906,Prasophyllum aff. occidentale D,Critically Endangered,open,ALA_DR655_370,Prasophyllum aff. occidentale D,INFORMAL,Prasophyllum,occidentale,True,False,Prasophyllum occidentale,Prasophyllum occidentale D,Prasophyllum occidentale,sp.,,,,, aff. occidentale,,D,Prasophyllum occidentale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507803,Prasophyllum sp. aff. correctum (Mortlake),Critically Endangered,open,ALA_DR655_383,Prasophyllum sp. aff. correctum (Mortlake),INFORMAL,Prasophyllum,,True,True,Prasophyllum spec.,Prasophyllum spec.,Prasophyllum spec.,sp.,,,,,,,,Prasophyllum spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507236,Prasophyllum sp. aff. montanum,Endangered,open,https://id.biodiversity.org.au/taxon/apni/51409935,Prasophyllum sp. aff. montanum,INFORMAL,Prasophyllum,,True,True,Prasophyllum spec.,Prasophyllum spec.,Prasophyllum spec.,sp.,,,,,,,,Prasophyllum spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504566,Prasophyllum sp. aff. occidentale C,Endangered,open,https://id.biodiversity.org.au/taxon/apni/51409958,Prasophyllum sp. aff. occidentale C,INFORMAL,Prasophyllum,,True,True,Prasophyllum spec.,Prasophyllum spec.,Prasophyllum spec.,sp.,,,,,,,,Prasophyllum spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507238,Prasophyllum sp. aff. occidentale E,Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51409751,Prasophyllum sp. aff. occidentale E,INFORMAL,Prasophyllum,,True,True,Prasophyllum spec.,Prasophyllum spec.,Prasophyllum spec.,sp.,,,,,,,,Prasophyllum spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504067,Prasophyllum sp. aff. validum,Endangered,open,https://id.biodiversity.org.au/taxon/apni/51409960,Prasophyllum sp. aff. validum,INFORMAL,Prasophyllum,,True,True,Prasophyllum spec.,Prasophyllum spec.,Prasophyllum spec.,sp.,,,,,,,,Prasophyllum spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504874,Pterostylis sp. aff. boormanii (Beechworth),Critically Endangered,open,ALA_DR655_403,Pterostylis sp. aff. boormanii (Beechworth),INFORMAL,Pterostylis,,True,True,Pterostylis spec.,Pterostylis spec.,Pterostylis spec.,sp.,,,,,,,,Pterostylis spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505482,Pterostylis sp. aff. plumosa (Anglesea),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51412336,Pterostylis sp. aff. plumosa (Anglesea),INFORMAL,Pterostylis,,True,True,Pterostylis spec.,Pterostylis spec.,Pterostylis spec.,sp.,,,,,,,,Pterostylis spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,,Endangered,,https://biodiversity.org.au/afd/taxa/bf06e830-3ce4-438f-b5d3-d57a67dbf641,,,,,,,,,,,,,,,,,,Austrogammarus haasei,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/bf06e830-3ce4-438f-b5d3-d57a67dbf641,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
75160,,Critically Endangered,,https://biodiversity.org.au/afd/taxa/1fb2623d-5a07-4d81-828a-8378ed1b1f4c,,,,,,,,,,,,,,,,,,Colubotelson joyneri,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/1fb2623d-5a07-4d81-828a-8378ed1b1f4c,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
75161,,Critically Endangered,,https://biodiversity.org.au/afd/taxa/1258c296-d3d0-4dbb-a2c6-a184c1d9b9f4,,,,,,,,,,,,,,,,,,Colubotelson searli,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/1258c296-d3d0-4dbb-a2c6-a184c1d9b9f4,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
2455,,Critically Endangered,,https://biodiversity.org.au/afd/taxa/7129a62a-3f07-405d-b06e-737afc3024e0,,,,,,,,,,,,,,,,,,Leptoperla kallistae,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/7129a62a-3f07-405d-b06e-737afc3024e0,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
3120,,Vulnerable,,https://biodiversity.org.au/afd/taxa/c09f4412-6e6b-4644-9a8a-6bed5f74d603,,,,,,,,,,,,,,,,,,Notoperata sparsa,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/c09f4412-6e6b-4644-9a8a-6bed5f74d603,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
3058,,Vulnerable,,https://biodiversity.org.au/afd/taxa/2d55377c-cdd7-413b-899d-2bfbb2d6c665,,,,,,,,,,,,,,,,,,Ramiheithrus virgatus,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/2d55377c-cdd7-413b-899d-2bfbb2d6c665,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
2496,,Vulnerable,,https://biodiversity.org.au/afd/taxa/9254de23-54ad-403d-bc8c-5fd37174ef18,,,,,,,,,,,,,,,,,,Riekoperla intermedia,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/9254de23-54ad-403d-bc8c-5fd37174ef18,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
