wildnetTaxonID,name,status,wildnet_geoprivacy,lsid,scientificName,canonicalName,canonicalNameComplete,type,rankMarker,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,status_inat,geoprivacy,place_id,place_display_name,new_authority,new_description,new_url,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
18382,Stylidium sp. (Aurukun C.Dalliston CC429),Special least concern,open,https://id.biodiversity.org.au/taxon/apni/51311312,Stylidium spec.,Stylidium spec.,Stylidium spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,Xanthorrhoea sp. (Cape Bedford M.Gandini AQ601576),Special least concern,open,https://id.biodiversity.org.au/node/apni/2906735,Xanthorrhoea spec.,Xanthorrhoea spec.,Xanthorrhoea spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33360,,Special least concern,,https://id.biodiversity.org.au/node/apni/7401847,Abrodictyum brassii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=33360,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
33359,,Special least concern,,https://id.biodiversity.org.au/node/apni/7402565,Abrodictyum obscurum,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=33359,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
41056,,Vulnerable,,ALA_DR652_969,Acacia castorum,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41056,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
40993,,Critically Endangered,,ALA_DR652_974,Acacia forsteri,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=40993,7308,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
14862,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2886854,Acacia lauta,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=14862,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
14873,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2892961,Acacia purpureopetala,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=14873,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
18100,,Near Threatened,,https://id.biodiversity.org.au/node/apni/2918474,Aceratium sericoleopsis,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=18100,7308,peggydnew,Vulnerable,Near Threatened,,,,,,,,,,,,,,,
7974,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51395389,Acianthus borealis,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7974,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
