sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
,Haloragis aspera,Lindl.,rough raspwort,Haloragaceae,v,,vascular
,Haloragis heterophylla,Brongn.,variable raspwort,Haloragaceae,r,,vascular
,Haloragis myriocarpa,Orchard,prickly raspwort,Haloragaceae,r,,vascular
,Hardenbergia violacea,(Schneev.) Stearn,purple coralpea,Fabaceae,e,,vascular
,Hedycarya angustifolia,A.Cunn.,australian mulberry,Monimiaceae,r,,vascular
end,Hibbertia basaltica,A.M.Buchanan & Schah.,basalt guineaflower,Dilleniaceae,e,EN,vascular
,Hibbertia calycina,(DC.) N.A.Wakef.,lesser guineaflower,Dilleniaceae,v,,vascular
,Hibbertia obtusifolia,DC.,grey guineaflower,Dilleniaceae,x,,vascular
,Hibbertia rufa,N.A.Wakef.,brown guineaflower,Dilleniaceae,r,,vascular
,Hibbertia virgata,R.Br. ex DC.,twiggy guineaflower,Dilleniaceae,r,,vascular
,Hovea corrickiae,J.H.Ross,glossy purplepea,Fabaceae,r,,vascular
,Hovea montana,(Hook.f.) J.H.Ross,mountain purplepea,Fabaceae,r,,vascular
end,Hovea tasmanica,I.Thomps. & J.H.Ross,rockfield purplepea,Fabaceae,r,,vascular
,Hyalosperma demissum,(A.Gray) Paul G.Wilson,moss sunray,Asteraceae,e,,vascular
,Hydrocotyle comocarpa,F.Muell.,fringefruit pennywort,Araliaceae,r,,vascular
,Hydrocotyle laxiflora,DC.,stinking pennywort,Araliaceae,e,,vascular
,Hydrorchis orbicularis,(R.S.Rogers) D.L.Jones & M.A.Clem.,swamp onion-orchid,Orchidaceae,r,,vascular
t,Hypolepis distans,Hook.,scrambling groundfern,Dennstaedtiaceae,e,EN,vascular
,Hypolepis muelleri,N.A.Wakef.,harsh groundfern,Dennstaedtiaceae,r,,vascular
,Isoetes drummondii subsp. drummondii,A.Braun,plain quillwort,Isoetaceae,r,,vascular
end,Isoetes elatior,F.Muell. ex A.Braun,tall quillwort,Isoetaceae,r,,vascular
