sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
end,Lissotes menalcas ,Westwood,Mount Mangana Stag Beetle,Coleoptera,r,,invertebrate
end,Mesacanthotelson setosus ,Nicholls,Isopod (Great Lake),Isopoda,r,,invertebrate
end,Mesacanthotelson tasmaniae ,Thomson,Isopod (Great Lake),Isopoda,r,,invertebrate
end,Micropathus kiernani ,Richards,Southern Sandstone Cave Cricket,Orthoptera,e,CR,invertebrate
end,Migas plomleyi ,Raven and Churchill,Spider (Cataract Gorge),Araneae,e,,invertebrate
end,Miselaoma weldii,(Tenison-Woods),Stanley Pinhead Snail,Sigmurethra,e,,invertebrate
end,Oecetis gilva ,Neboiss,Caddis Fly (South Esk River),Trichoptera,r,,invertebrate
end,Olgania excavata ,Hickman,Cave Spider (Bubs Hill Cave),Araneae,r,,invertebrate
end,Onchotelson brevicaudatus ,Smith,Isopod (Great Lake & Shannon Lagoon),Isopoda,r,,invertebrate
end,Onchotelson spatulatus ,Nicholls,Isopod (Great Lake),Isopoda,e,,invertebrate
end,Oreisplanus munionga larana ,Olliff ,Marrawah Skipper,Lepidoptera,e,VU,invertebrate
end,Oreixenica ptunarra ,Couchman,Ptunarra Brown Butterfly,Lepidoptera,e,EN,invertebrate
,Orphninotrichia maculata ,Mosley,Caddis Fly (Wedge River),Trichoptera,r,,invertebrate
,Orthotrichia adornata ,Wells,Caddis Fly (Derwent River),Trichoptera,r,,invertebrate
end,Oxyethira mienica ,Wells,Caddis Fly (Ouse River),Trichoptera,r,,invertebrate
end,Parvotettix rangaensis ,Richards,Cave Cricket,Orthoptera,r,,invertebrate
end,Parvotettix whinrayi ,Richards,Whinray's Cave Cricket,Orthoptera,r,,invertebrate
end,Parvulastra vivipara ,(Dartnall),Live-bearing Seastar,Asterinidae,v,VU,invertebrate
end,Pasmaditta jungermanniae ,Petterd,Cataract Gorge Pinhead Snail,Sigmurethra,v,,invertebrate
end,Patiriella littoralis,(Dartnell),Derwent River Seastar,Asterinidae,e,CR,invertebrate
end,Phrantela annamurrayae ,Ponder & Clark,Warratah Road Hydrobiid Snail,Mesogastropoda,r,,invertebrate
end,Phrantela conica ,Ponder & Clark,Little Henty River Hydrobiid Snail,Mesogastropoda,r,,invertebrate
end,Phrantela marginata ,Petterd,Heazlewood River Hydrobiid Snail,Mesogastropoda,r,,invertebrate
end,Phrantela pupiformis ,Ponder & Clark,Tyenna River Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Plesiothele fentoni ,Hickman,Lake Fenton Trapdoor Spider,Araneae,e,,invertebrate
end,Pseudalmenus chlorinda myrsilus,Couchman,Tasmanian Hairstreak (butterfly),Lepidoptera,r,,invertebrate
end,Pseudotyrannochthonius typhlus ,Dartnall,Cave Pseudoscorpion (Mole Creek),Pseudoscorpionida,r,,invertebrate
end,Ramiheithrus kocinus ,Neboiss,Caddis Fly (Corinna),Trichoptera,r,,invertebrate
end,Schayera baiulus,Erichson,Schayer's Grasshopper,Orthoptera,e,,invertebrate
end,Smilasterias tasmaniae ,O'Loughlin and O'Hara,Bruny Island Seastar,Asterinidae,e,,invertebrate
end,Stenopsychodes lineata ,Neboiss,Caddis Fly (Bluff Hill Creek),Trichoptera,r,,invertebrate
end,Tasimia drepana ,Neboiss,Caddis Fly (Huon & Picton Rivers),Trichoptera,r,,invertebrate
end,Taskiria mccubbini ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,e,,invertebrate
end,Taskiropsyche lacustris ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,e,,invertebrate
end,Tasmanipatus barretti ,Ruhberg,Giant Velvet Worm,Onychophora,r,,invertebrate
end,Tasmanotrechus cockerilli ,Moore,Cave Beetle (Mole Creek),Coleoptera,r,,invertebrate
end,Tasniphargus tyleri ,Williams & Barnard,Amphipod (Great Lake),Amphipoda,r,,invertebrate
end,Theclinesthes serpentata lavara,(Herrich-Schäffer),Chequered blue,Lepidoptera,r,,invertebrate
end,Uramphisopus pearsoni ,Nicholls,Isopod (Great Lake),Isopoda,r,,invertebrate
end,Acanthiza pusilla archibaldi,Mathews,King Island Brown Thornbill,Birds,e,EN,vertebrate
end,Acanthornis magna greeniana,Schodde & Mason,King Island Scrubtit,Birds,e,CR,vertebrate
,Accipiter novaehollandiae ,Gmelin,Grey Goshawk,Birds,e,,vertebrate
end,Antechinus vandycki,"Baker, Mutton, Mason & Gray",Tasman Peninsula Dusky Antechinus,Mammals,v,,vertebrate
end,Aquila audax fleayi ,Latham,Wedge-tailed Eagle,Birds,e,EN,vertebrate
,Arctocephalus forsteri ,Lesson,New Zealand Fur Seal,Mammals,r,,vertebrate
,Arctocephalus tropicalis,Gray,Subantarctic Fur Seal,Mammals,e,EN,vertebrate
mig,Balaenoptera borealis,Lesson,Sei Whale,Mammals,,VU,vertebrate
mig,Balaenoptera musculus,Linnaeus,Blue Whale,Mammals,e,EN,vertebrate
mig,Balaenoptera physalus,Linnaeus,Fin Whale,Mammals,v,VU,vertebrate
,Botaurus poiciloptilus,(Wagler) ,Australasian Bittern,Birds,,EN,vertebrate
end,Brachiopsilus dianthus,"Last and Gledhill, Fish",pink handfish,Fish,e,EN,vertebrate
end,Brachionichthys hirsutus,Lacepede,Spotted Handfish,Fish,e,CR,vertebrate
end,Brachiopsilus ziebelli,Last & Gledhill,Ziebell's Handfish,Fish,e,VU,vertebrate
,Calidris canutus,(Linnaeus),Red Knot,Birds,,EN,vertebrate
,Calidris ferruginea,(Pontoppidan),Curlew Sandpiper,Birds,,CR,vertebrate
,Calidris tenuirostris,(Horsfield),Great Knot,Birds,,CR,vertebrate
,Carcharodon carcharias,Linnaeus,Great White Shark,Fish,v,VU,vertebrate
,Caretta caretta ,Linnaeus,Loggerhead Turtle,Reptiles,e,EN,vertebrate
end,Carinascincus palfreymani,(Rawlinson),Pedra Branca Skink,Reptiles,e,VU,vertebrate
,Centrophorus harrissoni,McCulloch,Harrisson's Deepsea Dogfish,Fish,,CD,vertebrate
,Centrophorus zeehaani,"White, Ebert & Compagno",Southern Dogfish,Fish,,CD,vertebrate
,Ceyx azureus diemenensis,(Gould),Tasmanian Azure Kingfisher,Birds,e,EN,vertebrate
,Charadrius leschenaultii,Lesson,Greater Sand Plover,Birds,,VU,vertebrate
,Charadrius mongolus,Pallas,Lesser Sand Plover,Birds,,EN,vertebrate
,Chelonia mydas ,Linnaeus,Green Turtle,Reptiles,v,VU,vertebrate
,Cyanoramphus novaezelandiae erythrotis ,Wagler,Macquarie Island Parakeet,Birds,x,EX,vertebrate
,Dasyurus maculatus maculatus,(Kerr),Spotted-tail Quoll,Mammals,r,VU,vertebrate
,Dasyurus viverrinus,(Shaw),Eastern Quoll,Mammals,,EN,vertebrate
,Dermochelys coriacea,Linnaeus,Leathery Turtle,Reptiles,v,VU,vertebrate
,Diomedea amsterdamensis,"Roux, Jouventin, Mougin, Stahl & Weimerskirch",Amsterdam Albatross,Birds,*,EN,vertebrate
,Diomedea antipodensis,Robertson & Warham,Antipodean Albatross,Birds,*,VU,vertebrate
,Diomedea antipodensis gibsoni,Robertson & Warham,Gibson's Albatross,Birds,*,VU,vertebrate
,Diomedea epomophora (sensu stricto),Lesson,Southern Royal Albatross,Birds,,VU,vertebrate
,Diomedea exulans,Linnaeus,Wandering Albatross,Birds,e,VU (sensu lato),vertebrate
,Diomedea dabbenena,Matthews,Tristan Albatross,Birds,*,EN,vertebrate
,Diomedea sanfordi,Murphy,Northern Royal Albatross,Birds,,EN,vertebrate
,Dromaius ater,Vieillot,King Island Emu,Birds,x,EX,vertebrate
,Dromaius novaehollandiae diemenensis,Le Souef,Tasmanian Emu,Birds,x,EX,vertebrate
,Eretmochelys imbricata ,Linnaeus,Hawksbill Turtle,Reptiles,v,VU,vertebrate
mig,Eubalaena australis,Desmoulins,Southern Right Whale,Mammals,e,EN,vertebrate
end,Galaxias auratus ,Johnston,Golden Galaxias,Fish,r,EN,vertebrate
end,Galaxias fontanus ,Fulton,Swan Galaxias,Fish,e,EN,vertebrate
end,Galaxias johnstoni ,Scott,Clarence Galaxias,Fish,e,EN,vertebrate
end,Galaxias parvus ,Frankenburg,Swamp Galaxias,Fish,v,VU,vertebrate
end,Galaxias pedderensis,Frankenberg,Pedder Galaxias,Fish,e,EW,vertebrate
end,Galaxias tanycephalus ,Fulton,Saddled Galaxias,Fish,v,VU,vertebrate
,Galaxiella pusilla ,Mack,Dwarf Galaxias,Fish,v,VU,vertebrate
,Galeorhinus galeus,,School Shark,Fish,,CD,vertebrate
eMI,Gallirallus philippensis macquariensis,Hutton,Macquarie Island Rail,Birds,x,EX,vertebrate
,Haliaeetus leucogaster,(Gmelin),White-bellied Sea-Eagle,Birds,v,,vertebrate
,Halobaena caerulea,Gmelin,Blue Petrel,Birds,v,VU,vertebrate
,Hirundapus caudacutus,Latham,White-throated Needletail,Birds,,VU,vertebrate
,Hoplostethus atlanticus,Collett,"Orange Roughy, Deep-sea Perch, Red Roughy",Fish,,CD,vertebrate
br end,Lathamus discolor,Shaw ,Swift Parrot,Birds,e,CR,vertebrate
,Leucocarbo atriceps purpurascens,Brant,Macquarie Island Shag,Birds,v,VU,vertebrate
,Limnodynastes peroni,Dumeril & Bibron,Striped Marsh Frog,Amphibians,e,,vertebrate
,Limosa lapponica baueri,Naumann,Western Alaskan Bar-tailed Godwit,Birds,,VU,vertebrate
,Limosa lapponica menzbieri,Portenko,Northern Siberian Bar-tailed Godwit,Birds,,CR,vertebrate
,Litoria raniformis ,Keferstein,Green and Gold Frog,Amphibians,v,VU,vertebrate
,Macronectes giganteus,Gmelin,Southern Giant Petrel,Birds,v,EN,vertebrate
,Macronectes halli,Mathews,Northern Giant Petrel,Birds,r,VU,vertebrate
mig,Megaptera novaeangliae,Borowski,Humpback Whale,Mammals,e,VU,vertebrate
,Mirounga leonina,Gray,Southern Elephant Seal,Mammals,e,VU,vertebrate
br end,Neophema chrysogaster,Latham,Orange-bellied Parrot,Birds,e,CR,vertebrate
,Numenius madagascariensis,Linnaeus,Eastern Curlew,Birds,e,CR,vertebrate
,Oceanites oceanicus ,Kuhl,Wilson's Storm Petrel,Birds,r,,vertebrate
,Pachyptila turtur subantarctica ,Kuhl,Southern Fairy Prion,Birds,e,VU,vertebrate
end,Paragalaxias dissimilis,Regan,Shannon Paragalaxias,Fish,v,VU,vertebrate
end,Paragalaxias eleotroides ,McDowall and Fulton,Great Lake Paragalaxias,Fish,v,VU,vertebrate
end,Paragalaxias julianus ,McDowall and Fulton,Western Paragalaxias,Fish,r,,vertebrate
end,Paragalaxias mesotes ,McDowall and Fulton,Arthurs Paragalaxias,Fish,e,EN,vertebrate
end,Pardalotus quadragintus ,Gould,Forty-spotted Pardalote,Birds,e,EN,vertebrate
,Perameles gunnii gunnii ,,Eastern-barred bandicoot,Mammals,,VU,vertebrate
,Phoebetria fusca ,Hilsenberg,Sooty Albatross,Birds,r,VU,vertebrate
,Phoebetria palpebrata ,Forster,Light-mantled Albatross,Birds,v,,vertebrate
end,Platycercus caledonicus brownii,(Kuhl),King Island Green Rosella,Birds,v,VU,vertebrate
,Podiceps cristatus,Linne,Great Crested Grebe,Birds,v,,vertebrate
,Procellaria cinerea,Gmelin,Grey Petrel,Birds,e,,vertebrate
,Prototroctes maraena,Gunther,Australian Grayling,Fish,v,VU,vertebrate
,Pseudemoia pagenstecheri ,Lindholm,Tussock Skink,Reptiles,v,,vertebrate
,Pseudemoia rawlinsoni ,Hutchinson & Donnellan,Glossy Grass Skink,Reptiles,r,,vertebrate
,Pseudomys novaehollandiae,Waterhouse,New Holland Mouse,Mammals,e,VU,vertebrate
,Pterodroma lessonii ,Garnot,White-headed Petrel,Birds,v,,vertebrate
,Pterodroma mollis ,Gould,Soft-plumaged Petrel,Birds,e,VU,vertebrate
,Rexea solandri (eastern Australian population),Cuvier,Eastern Gemfish,Fish,,CD,vertebrate
,Rhincodon typus,(Smith),Whale Shark,Fish,,VU,vertebrate
end,Sarcophilus harrisii,(Thomas),Tasmanian Devil,Mammals,e,EN,vertebrate
,Seriolella brama,(Günther),Blue Warehou,Fish,,CD,vertebrate
,Sterna striata ,Gmelin,White-fronted Tern,Birds,v,,vertebrate
,Sterna vittata bethunei ,Buller,Antarctic Tern,Birds,e,EN,vertebrate
,Sternula albifrons sinensis ,Gmelin,Little Tern,Birds,e,,vertebrate
,Sternula nereis nereis,Gould,Fairy Tern,Birds,v,VU,vertebrate
,Strepera fuliginosa colei,Mathews,Black Currawong (King Island),Birds,,VU,vertebrate
,Thalassarche bulleri,(Rothschild) ,"Buller's Albatross, Pacific Albatross ",Birds,,VU,vertebrate
,Thalassarche bulleri platei,(Reichenow) ,"Northern Buller's Albatross, Pacific Albatross",Birds,,VU,vertebrate
,Thalassarche cauta,Gould,Shy Albatross,Birds,v,EN (sensu stricto),vertebrate
,Thalassarche steadi,(Falla),White-capped Albatross,Birds,*,VU,vertebrate
,Thalassarche chrysostoma,Forster,Grey-headed Albatross,Birds,e,EN,vertebrate
,Thalassarche eremita,Chatham  Albatross,Chatham  Albatross,Birds,*,EN,vertebrate
,Thalassarche impavida,Mathews ,Campbell Albatross,Birds,*,VU,vertebrate
,Thalassarche melanophris,(Temminck),Black-browed Albatross,Birds,e,VU,vertebrate
,Thalassarche salvini,(Rothschild) ,Salvin's Albatross,Birds,*,VU,vertebrate
,Thinornis rubricollis rubricollis ,(Gmelin)  ,Hooded Plover (eastern),Birds,,VU,vertebrate
,Thunnus maccoyii,Castelnau,Southern Bluefin Tuna,Fish,,CD,vertebrate
end,Thylacinus cynocephalus ,Harris,Thylacine,Mammals,x,EX,vertebrate
end,Thymichthys politus,(Richardson),Red Handfish,Fish,e,CR,vertebrate
end,Tyto novaehollandiae castanops,(Gould),Masked Owl,Birds,e,VU,vertebrate
,Vombatus ursinus ursinus,,Bass Strait Wombat,Mammals,,VU,vertebrate
end,Zearaja maugeana,Last & Gledhill,Maugean Skate,Fish,e,EN,vertebrate
