,Name ID,Taxon, WA Status,WA Rank,WA IUCN Criteria,EPBC,DBCA Region,DBCA District,Distribution,Flowering Period,Recovery Plan,Notes
3427,19056,Synaphea sp. Jilakin Flat Rocks Rd (R. Butcher et. al RB200) PN,1,,,,"SCST,WHTB","ALBANY,CENTRAL WHEATBELT"," Newdegate, South Hyden",September,,
3428,33696,Synaphea sp. Kwornicup (D. Trenowden 429),2,,,,"SCST,WARR","ALBANY,FRANKLAND","Mt Barker, Kendenup, Wamballup N.R., Rocky Gully",Sep-Oct,,
3429,19055,Synaphea sp. Pinjarra (R. Davis 6578),T,CR,B1+2ce,CR,SWAN,SWAN COASTAL,Dandalup,Sep,IRP,
3430,30751,Synaphea sp. Pinjarra Plain (A.S. George 17182),T,EN,"B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v); C2(a)(i)",EN,SWAN,SWAN COASTAL,"Mundijong, Serpentine",Oct,IRP,
3431,18591,Synaphea sp. Redgate Road (J. Scott 16),1,,,,SWST,BLACKWOOD,"Capel, Witchcliffe",Oct-Nov,,
3432,28354,Synaphea sp. Serpentine (G.R. Brand 103),T,CR,"B1ab(ii,iii,v)",CR,"SWAN,SWST","SWAN COASTAL,WELLINGTON","Serpentine, Mundijong, Byford, Yarloop",Aug-Nov,IRP,
3433,30711,Synaphea sp. Woodanilling (G.J. Keighery & N. Gibson 4614),2,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Woodanilling, Fitzgerald",Sep-Nov,,
3434,33336,Synaphea sp. flat canaliculata (M. Bennett 794),1,,,,SCST,ALBANY,Ravensthorpe,Oct,,
3435,16764,Synaphea sparsiflora,2,,,,MWST,MOORA,"Eneabba, Gillingarra",Aug-Sep,,
3436,16749,Synaphea stenoloba,T,CR,B1ab(iii)+2ab(iii),EN,SWAN,"PERTH HILLS,SWAN COASTAL",Pinjarra,Aug-Oct,IRP,
3437,16771,Synaphea tamminensis,2,,,,WHTB,CENTRAL WHEATBELT,Tammin,Aug-Sep,,
3438,31780,Synaphea trinacriformis,1,,,,SWST,WELLINGTON,Bowelling,Sep-Oct,,
3439,16763,Synaphea tripartita,3,,,,"SCST,WHTB","ESPERANCE,GREAT SOUTHERN,CENTRAL WHEATBELT","Dragon Rocks, Flat Rock, Merilup N.R., Quairading, South Bumiche N.R., North Tarin Rock N.R., Mt Gibbs",Jul-Oct,,
3440,30452,Synaphea xela,2,,,,MWST,MOORA,"Eneabba, Lesueur",Jul-Sep,,
3441,51146,Synostemon arenosus,3,,,,"GOLD,PILB","KALGOORLIE,KARRATHA","Gregory Range, Canning Stock Route, Great Sandy Desert",May,,
3442,44786,Synostemon hamersleyensis,1,,,,PILB,KARRATHA,Juna Downs,"Aug,Oct-Nov",,
3443,48204,Synostemon hubbardii,3,,,,KIMB,EAST KIMBERLEY,"Ord River, NT, QLD",,,
3444,48209,Synostemon judithae,2,,,,KIMB,EAST KIMBERLEY,"Mt Barnett Stn, Drysdale River Stn",May-Jun,,
3445,49312,Synostemon rigidulus,3,,,,KIMB,EAST KIMBERLEY,"Osmond Range, Cockburn Range",Mar-Jul,,
3446,48207,Synostemon salignus,1,,,,KIMB,EAST KIMBERLEY,"Carson Escarpment, Osborne Island",Apr,,
3447,48208,Synostemon umbrosus,1,,,,KIMB,EAST KIMBERLEY,Morgan River,Feb,,
3448,19269,Tadehagi robustum,1,,,,KIMB,EAST KIMBERLEY,Mitchell Plateau,,,
3449,12962,Taenitis pinnata,2,,,,KIMB,EAST KIMBERLEY,Purnululu N.P.,,,
3450,8244,Taraxacum cygnorum,X,EX,,VU,SCST,ESPERANCE,"Israelite Bay, TAS, VIC",,RP,
3451,34838,Tecticornia annelida,1,,,,MWST,GERALDTON,"Gunyidi, Mullewa",Jul-Aug,,
