scientificName,family,vernacularName,status,sourceStatus
Ramphotyphlops endoterus,Typhlopidae,Interior Blind Snake,Endangered,Endangered
Notamacropus parma,Macropodidae,Parma Wallaby,Vulnerable,Vulnerable
Neophema chrysostoma,Psittacidae,Blue-winged Parrot,Vulnerable,Vulnerable
Dasyurus geoffroii,Dasyuridae,Western Quoll,Extinct,Extinct
Dasyurus viverrinus,Dasyuridae,Eastern Quoll,Endangered,Endangered
Potorous tridactylus,Potoroidae,Long-nosed Potoroo,Vulnerable,Vulnerable
Petauroides volans,Pseudocheiridae,Southern Greater Glider,Endangered,Endangered
Aspidites ramsayi,Pythonidae,Woma,Vulnerable,Vulnerable
Cyclopsitta diophthalma coxeni,Psittacidae,Coxen's Fig-Parrot,Critically Endangered,Critically Endangered
Haematopus fuliginosus,Haematopodidae,Sooty Oystercatcher,Vulnerable,Vulnerable
Hieraaetus morphnoides,Accipitridae,Little Eagle,Vulnerable,Vulnerable
Petaurus norfolcensis,Petauridae,Squirrel Glider,Vulnerable,Vulnerable
Strepera graculina crissalis,Artamidae,Pied Currawong (Lord Howe Is. subsp.),Vulnerable,Vulnerable
Irediparra gallinacea,Jacanidae,Comb-crested Jacana,Vulnerable,Vulnerable
Leipoa ocellata,Megapodiidae,Malleefowl,Endangered,Endangered
Potorous longipes,Potoroidae,Long-footed Potoroo,Critically Endangered,Critically Endangered
Pomatostomus halli,Pomatostomidae,Hall's Babbler,Vulnerable,Vulnerable
Lophoictinia isura,Accipitridae,Square-tailed Kite,Vulnerable,Vulnerable
Grus rubicunda,Gruidae,Brolga,Vulnerable,Vulnerable
Erythrotriorchis radiatus,Accipitridae,Red Goshawk,Endangered,Endangered
Ardenna carneipes,Procellariidae,Flesh-footed Shearwater,Vulnerable,Vulnerable
Lophochroa leadbeateri,Cacatuidae,Pink Cockatoo,Vulnerable,Vulnerable
Falco subniger,Falconidae,Black Falcon,Vulnerable,Vulnerable
Bettongia gaimardi,Potoroidae,Tasmanian Bettong,Extinct,Extinct
Circus assimilis,Accipitridae,Spotted Harrier,Vulnerable,Vulnerable
Puffinus assimilis,Procellariidae,Little Shearwater,Vulnerable,Vulnerable
Manorina melanotis,Meliphagidae,Black-eared Miner,Critically Endangered,Critically Endangered
Hoplocephalus bitorquatus,Elapidae,Pale-headed Snake,Vulnerable,Vulnerable
Menura alberti,Menuridae,Albert's Lyrebird,Vulnerable,Vulnerable
Sminthopsis leucopus,Dasyuridae,White-footed Dunnart,Vulnerable,Vulnerable
Stictonetta naevosa,Anatidae,Freckled Duck,Vulnerable,Vulnerable
Atrichornis rufescens,Atrichornithidae,Rufous Scrub-bird,Vulnerable,Vulnerable
Oxyura australis,Anatidae,Blue-billed Duck,Vulnerable,Vulnerable
Onychoprion fuscata,Laridae,Sooty Tern,Vulnerable,Vulnerable
Calidris alba,Scolopacidae,Sanderling,Vulnerable,Vulnerable
Petrogale xanthopus,Macropodidae,Yellow-footed Rock-wallaby,Endangered,Endangered
Xenus cinereus,Scolopacidae,Terek Sandpiper,Vulnerable,Vulnerable
Lasiorhinus latifrons,Vombatidae,Southern Hairy-nosed Wombat,Endangered,Endangered
Charadrius mongolus,Charadriidae,Lesser Sand-plover,Vulnerable,Vulnerable
Mixophyes balbus,Myobatrachidae,Stuttering Frog,Endangered,Endangered
Litoria castanea,Hylidae,Yellow-spotted Tree Frog,Critically Endangered,Critically Endangered
Mixophyes fleayi,Myobatrachidae,Fleay's Barred Frog,Endangered,Endangered
Litoria olongburensis,Hylidae,Olongburra Frog,Vulnerable,Vulnerable
Daphoenositta chrysoptera,Neosittidae,Varied Sittella,Vulnerable,Vulnerable
Ctenotus brooksi,Scincidae,Wedgesnout Ctenotus,Vulnerable,Vulnerable
Philoria sphagnicolus,Limnodynastidae,Sphagnum Frog,Vulnerable,Vulnerable
Hylacola cautus,Acanthizidae,Shy Heathwren,Vulnerable,Vulnerable
Eulamprus leuraensis,Scincidae,Blue Mountains Water Skink,Endangered,Endangered
Grantiella picta,Meliphagidae,Painted Honeyeater,Vulnerable,Vulnerable
Dugong dugon,Dugongidae,Dugong,Endangered,Endangered
Phoniscus papuensis,Vespertilionidae,Golden-tipped Bat,Vulnerable,Vulnerable
Pseudomys pilligaensis,Muridae,Pilliga Mouse,Vulnerable,Vulnerable
Polytelis anthopeplus monarchoides,Psittacidae,Regent Parrot (eastern subspecies),Endangered,Endangered
Notomys mitchellii,Muridae,Mitchell's Hopping-mouse,Extinct,Extinct
Arctocephalus forsteri,Otariidae,New Zealand Fur-seal,Vulnerable,Vulnerable
Philoria kundagungan,Limnodynastidae,Mountain Frog,Endangered,Endangered
Pseudomys gracilicaudatus,Muridae,Eastern Chestnut Mouse,Vulnerable,Vulnerable
Cinclosoma castanotum,Psophodidae,Chestnut Quail-thrush,Vulnerable,Vulnerable
Aphelocephala leucopsis,Acanthizidae,Southern Whiteface,Vulnerable,Vulnerable
Nyctophilus bifax,Vespertilionidae,Eastern Long-eared Bat,Vulnerable,Vulnerable
Conilurus albipes,Muridae,White-footed Tree-rat,Extinct,Extinct
Aprasia inaurita,Pygopodidae,Mallee Worm-lizard,Endangered,Endangered
Saccolaimus flaviventris,Emballonuridae,Yellow-bellied Sheathtail-bat,Vulnerable,Vulnerable
Heleioporus australiacus,Limnodynastidae,Giant Burrowing Frog,Vulnerable,Vulnerable
Scoteanax rueppellii,Vespertilionidae,Greater Broad-nosed Bat,Vulnerable,Vulnerable
Pseudophryne australis,Myobatrachidae,Red-crowned Toadlet,Vulnerable,Vulnerable
Tympanocryptis lineata,Agamidae,Canberra Grassland Earless Dragon,Critically Endangered,Critically Endangered
Falsistrellus tasmaniensis,Vespertilionidae,Eastern False Pipistrelle,Vulnerable,Vulnerable
Coracina lineata,Campephagidae,Barred Cuckoo-shrike,Vulnerable,Vulnerable
Pyrrholaemus brunneus,Acanthizidae,Redthroat,Vulnerable,Vulnerable
Pachycephala rufogularis,Pachycephalidae,Red-lored Whistler,Critically Endangered,Critically Endangered
Pteropus poliocephalus,Pteropodidae,Grey-headed Flying-fox,Vulnerable,Vulnerable
Macropus dorsalis,Macropodidae,Black-striped Wallaby,Endangered,Endangered
Chalinolobus picatus,Vespertilionidae,Little Pied Bat,Vulnerable,Vulnerable
Certhionyx variegatus,Meliphagidae,Pied Honeyeater,Vulnerable,Vulnerable
Litoria brevipalmata,Hylidae,Green-thighed Frog,Vulnerable,Vulnerable
Mixophyes iteratus,Myobatrachidae,Giant Barred Frog,Endangered,Endangered
Christinus guentheri,Gekkonidae,Lord Howe Island Southern Gecko,Vulnerable,Vulnerable
Epthianura albifrons,Meliphagidae,White-fronted Chat,Vulnerable,Vulnerable
Chalinolobus nigrogriseus,Vespertilionidae,Hoary Wattled Bat,Vulnerable,Vulnerable
Pseudomys desertor,Muridae,Desert Mouse,Critically Endangered,Critically Endangered
Lichenostomus cratitius,Meliphagidae,Purple-gaped Honeyeater,Vulnerable,Vulnerable
Notomys fuscus,Muridae,Dusky Hopping-mouse,Endangered,Endangered
Rattus villosissimus,Muridae,Long-haired Rat,Vulnerable,Vulnerable
Litoria piperata,Hylidae,Peppered Tree Frog,Critically Endangered,Critically Endangered
Petroica rodinogaster,Petroicidae,Pink Robin,Vulnerable,Vulnerable
Coeranoscincus reticulatus,Scincidae,Three-toed Snake-tooth Skink,Vulnerable,Vulnerable
Pseudomys oralis,Muridae,Hastings River Mouse,Endangered,Endangered
Delma australis,Pygopodidae,Marble-faced Delma,Endangered,Endangered
Podargus ocellatus,Podargidae,Marbled Frogmouth,Vulnerable,Vulnerable
Nyctimene robinsoni,Pteropodidae,Eastern Tube-nosed Bat,Vulnerable,Vulnerable
Falco hypoleucos,Falconidae,Grey Falcon,Vulnerable,Vulnerable
Anseranas semipalmata,Anseranatidae,Magpie Goose,Vulnerable,Vulnerable
Myrmecobius fasciatus,Myrmecobiidae,Numbat,Extinct,Extinct
Petroica phoenicea,Petroicidae,Flame Robin,Vulnerable,Vulnerable
Notomys cervinus,Muridae,Fawn Hopping-mouse,Extinct,Extinct
Oligosoma lichenigera,Scincidae,Lord Howe Island Skink,Vulnerable,Vulnerable
Turnix melanogaster,Turnicidae,Black-breasted Button-quail,Critically Endangered,Critically Endangered
Litoria aurea,Hylidae,Green and Golden Bell Frog,Endangered,Endangered
Lerista xanthura,Scincidae,Yellow-tailed Plain Slider,Vulnerable,Vulnerable
Todiramphus chloris,Alcedinidae,Collared Kingfisher,Vulnerable,Vulnerable
Chthonicola sagittata,Acanthizidae,Speckled Warbler,Vulnerable,Vulnerable
Drymodes brunneopygia,Petroicidae,Southern Scrub-robin,Vulnerable,Vulnerable
Pachycephala olivacea,Pachycephalidae,Olive Whistler,Vulnerable,Vulnerable
Rostratula australis,Rostratulidae,Australian Painted Snipe,Endangered,Endangered
Procelsterna cerulea,Laridae,Grey Ternlet,Vulnerable,Vulnerable
Hypotaenidia sylvestris,Rallidae,Lord Howe Woodhen,Endangered,Endangered
Haematopus longirostris,Haematopodidae,Pied Oystercatcher,Endangered,Endangered
Anomalopus mackayi,Scincidae,Five-clawed Worm-skink,Endangered,Endangered
Leggadina forresti,Muridae,Forrest's Mouse,Vulnerable,Vulnerable
Pseudophryne corroboree,Myobatrachidae,Southern Corroboree Frog,Critically Endangered,Critically Endangered
Polytelis swainsonii,Psittacidae,Superb Parrot,Vulnerable,Vulnerable
Sminthopsis macroura,Dasyuridae,Stripe-faced Dunnart,Vulnerable,Vulnerable
Pedionomus torquatus,Pedionomidae,Plains-wanderer,Endangered,Endangered
Vespadelus baverstocki,Vespertilionidae,Inland Forest Bat,Vulnerable,Vulnerable
Petrogale penicillata,Macropodidae,Brush-tailed Rock-wallaby,Endangered,Endangered
Lasiorhinus krefftii,Vombatidae,Northern Hairy-nosed Wombat,Extinct,Extinct
Cercartetus nanus,Burramyidae,Eastern Pygmy-possum,Vulnerable,Vulnerable
Ningaui yvonneae,Dasyuridae,Southern Ningaui,Vulnerable,Vulnerable
Cercartetus concinnus,Burramyidae,Western Pygmy Possum,Endangered,Endangered
Ptilinopus superbus,Columbidae,Superb Fruit-Dove,Vulnerable,Vulnerable
Macrotis lagotis,Thylacomyidae,Bilby,Extinct,Extinct
Phascolarctos cinereus,Phascolarctidae,Koala,Endangered,Endangered
Sternula albifrons,Laridae,Little Tern,Endangered,Endangered
Ptilinopus magnificus,Columbidae,Wompoo Fruit-Dove,Vulnerable,Vulnerable
Ptilinopus regina,Columbidae,Rose-crowned Fruit-Dove,Vulnerable,Vulnerable
Vespadelus troughtoni,Vespertilionidae,Eastern Cave Bat,Vulnerable,Vulnerable
Eubalaena australis,Balaenidae,Southern Right Whale,Endangered,Endangered
Micronomus norfolkensis,Molossidae,Eastern Coastal Free-tailed Bat,Vulnerable,Vulnerable
Physeter macrocephalus,Physeteridae,Sperm Whale,Vulnerable,Vulnerable
Balaenoptera musculus,Balaenopteridae,Blue Whale,Endangered,Endangered
Litoria littlejohni,Hylidae,Littlejohn's Tree Frog,Endangered,Endangered
Tylophora woollsii,Apocynaceae,Cryptic Forest Twiner,Endangered,Endangered
Micromyrtus minutiflora,Myrtaceae,,Endangered,Endangered
Brachyscome muelleroides,Asteraceae,Claypan Daisy,Vulnerable,Vulnerable
Pimelea bracteata,Thymelaeaceae,,Critically Endangered,Critically Endangered
Persicaria elatior,Polygonaceae,Tall Knotweed,Vulnerable,Vulnerable
Pterostylis oreophila,Orchidaceae,Blue-tongued Greenhood,Critically Endangered,Critically Endangered
Maundia triglochinoides,Juncaginaceae,,Vulnerable,Vulnerable
Neoastelia spectabilis,Asteliaceae,Silver Sword Lily,Vulnerable,Vulnerable
Genoplesium baueri,Orchidaceae,Bauer's Midge Orchid,Endangered,Endangered
Banksia conferta,Proteaceae,,Critically Endangered,Critically Endangered
Diuris tricolor,Orchidaceae,Pine Donkey Orchid,Vulnerable,Vulnerable
Knoxia sumatrensis,Rubiaceae,,Extinct,Extinct
Persoonia marginata,Proteaceae,Clandulla Geebung,Vulnerable,Vulnerable
Atriplex sturtii,Chenopodiaceae,A saltbush,Endangered,Endangered
Endiandra floydii,Lauraceae,Crystal Creek Walnut,Endangered,Endangered
Swainsona adenophylla,Fabaceae (Faboideae),Violet Swainson-Pea,Endangered,Endangered
Cryptostylis hunteriana,Orchidaceae,Leafless Tongue Orchid,Vulnerable,Vulnerable
Peristeranthus hillii,Orchidaceae,Brown Fairy-chain Orchid,Vulnerable,Vulnerable
Grevillea hilliana,Proteaceae,White Yiel Yiel,Endangered,Endangered
Pultenaea pedunculata,Fabaceae (Faboideae),Matted Bush-pea,Endangered,Endangered
Wahlenbergia scopulicola,Campanulaceae,Rock-face Bluebell,Endangered,Endangered
Grevillea quadricauda,Proteaceae,Four-tailed Grevillea,Vulnerable,Vulnerable
Pomaderris parrisiae,Rhamnaceae,Parris' Pomaderris,Vulnerable,Vulnerable
Boronia ruppii,Rutaceae,Rupp's Boronia,Endangered,Endangered
Acacia rivalis,Fabaceae (Mimosoideae),Creek Wattle,Endangered,Endangered
Oldenlandia galioides,Rubiaceae,Sweet False Galium,Endangered,Endangered
Wilsonia rotundifolia,Convolvulaceae,Round-leafed Wilsonia,Endangered,Endangered
Tetratheca pilosa subsp. pilosa,Elaeocarpaceae,,Extinct,Extinct
Eucalyptus rubida subsp. barbigerorum,Myrtaceae,Blackbutt Candlebark,Vulnerable,Vulnerable
Thelymitra epipactoides,Orchidaceae,,Extinct,Extinct
Acacia flocktoniae,Fabaceae (Mimosoideae),Flockton Wattle,Vulnerable,Vulnerable
Astrotricha roddii,Araliaceae,Rodd's Star Hair,Endangered,Endangered
Amphibromus fluitans,Poaceae,Floating Swamp Wallaby-grass,Vulnerable,Vulnerable
Arthropteris palisotii,Davalliaceae,Lesser Creeping Fern,Endangered,Endangered
Acacia macnuttiana,Fabaceae (Mimosoideae),MacNutt's Wattle,Vulnerable,Vulnerable
Pultenaea baeuerlenii,Fabaceae (Faboideae),Budawangs Bush-pea,Vulnerable,Vulnerable
Correa baeuerlenii,Rutaceae,Chef's Cap Correa,Vulnerable,Vulnerable
Acacia acrionastes,Fabaceae (Mimosoideae),Pindari Wattle,Endangered,Endangered
Gentiana baeuerlenii,Gentianaceae,Baeuerlen's Gentian,Endangered,Endangered
Erodiophyllum elderi,Asteraceae,Koonamore Daisy,Endangered,Endangered
Cyperus rupicola,Cyperaceae,Cliff Sedge,Vulnerable,Vulnerable
Gaultheria viridicarpa,Ericaceae,Green Waxberry,Endangered,Endangered
Acacia ruppii,Fabaceae (Mimosoideae),Rupp's Wattle,Endangered,Endangered
Xylosma terrae-reginae,Flacourtiaceae,Queensland Xylosma,Endangered,Endangered
Haloragis stricta,Haloragaceae,,Extinct,Extinct
Helichrysum calvertianum,Asteraceae,,Vulnerable,Vulnerable
Melaleuca biconvexa,Myrtaceae,Biconvex Paperbark,Vulnerable,Vulnerable
Polygala linariifolia,Polygalaceae,Native Milkwort,Endangered,Endangered
Lindsaea fraseri,Lindsaeaceae,Fraser's Screw Fern,Endangered,Endangered
Homoranthus floydii,Myrtaceae,,Vulnerable,Vulnerable
Picris evae,Asteraceae,Hawkweed,Vulnerable,Vulnerable
Archidendron hendersonii,Fabaceae (Mimosoideae),White Lace Flower,Vulnerable,Vulnerable
Dodonaea microzyga var. microzyga,Sapindaceae,Brilliant Hopbush,Endangered,Endangered
Rhynchosia acuminatissima,Fabaceae (Faboideae),Pointed Trefoil,Vulnerable,Vulnerable
Grevillea rhizomatosa,Proteaceae,Gibraltar Grevillea,Vulnerable,Vulnerable
Persoonia acerosa,Proteaceae,Needle Geebung,Vulnerable,Vulnerable
Randia moorei,Rubiaceae,Spiny Gardenia,Endangered,Endangered
Grevillea molyneuxii,Proteaceae,Wingello Grevillea,Vulnerable,Vulnerable
Callistemon linearifolius,Myrtaceae,Netted Bottle Brush,Vulnerable,Vulnerable
Lepidium aschersonii,Brassicaceae,Spiny Peppercress,Vulnerable,Vulnerable
Baloghia marmorata,Euphorbiaceae,Jointed Baloghia,Vulnerable,Vulnerable
Macrozamia johnsonii,Zamiaceae,Johnson's Cycad,Endangered,Endangered
Drynaria rigidula,Polypodiaceae,Basket Fern,Endangered,Endangered
Sophora tomentosa,Fabaceae (Faboideae),Silverbush,Endangered,Endangered
Allocasuarina simulans,Casuarinaceae,Nabiac Casuarina,Vulnerable,Vulnerable
Lindsaea incisa,Lindsaeaceae,Slender Screw Fern,Endangered,Endangered
Boronia umbellata,Rutaceae,Orara Boronia,Vulnerable,Vulnerable
Prostanthera marifolia,Lamiaceae,Seaforth Mintbush,Critically Endangered,Critically Endangered
Boronia granitica,Rutaceae,Granite Boronia,Vulnerable,Vulnerable
Euphrasia scabra,Orobanchaceae,Rough Eyebright,Endangered,Endangered
Diuris praecox,Orchidaceae,Rough Doubletail,Vulnerable,Vulnerable
Dodonaea procumbens,Sapindaceae,Creeping Hop-bush,Vulnerable,Vulnerable
Epacris purpurascens var. purpurascens,Ericaceae,,Vulnerable,Vulnerable
Dodonaea sinuolata subsp. acrodentata,Sapindaceae,A Hopbush,Endangered,Endangered
Desmodium campylocaulon,Fabaceae (Faboideae),Creeping Tick-trefoil,Endangered,Endangered
Allocasuarina portuensis,Casuarinaceae,Nielsen Park She-oak,Endangered,Endangered
Elaeocarpus williamsianus,Elaeocarpaceae,Hairy Quandong,Endangered,Endangered
Eucalyptus imlayensis,Myrtaceae,Imlay Mallee,Critically Endangered,Critically Endangered
Persoonia glaucescens,Proteaceae,Mittagong Geebung,Vulnerable,Vulnerable
Eriocaulon australasicum,Eriocaulaceae,Austral Pipewort,Endangered,Endangered
Uromyrtus australis,Myrtaceae,Peach Myrtle,Endangered,Endangered
Diospyros mabacea,Ebenaceae,Red-fruited Ebony,Endangered,Endangered
Eriocaulon carsonii,Eriocaulaceae,Salt Pipewort,Endangered,Endangered
Dichanthium setosum,Poaceae,Bluegrass,Vulnerable,Vulnerable
Tasmannia purpurascens,Winteraceae,Broad-leaved Pepperbush,Vulnerable,Vulnerable
Marsdenia longiloba,Apocynaceae,Slender Marsdenia,Endangered,Endangered
Indigofera efoliata,Fabaceae (Faboideae),Leafless Indigo,Endangered,Endangered
Rhodamnia maideniana,Myrtaceae,Smooth Scrub Turpentine,Critically Endangered,Critically Endangered
Endiandra hayesii,Lauraceae,Rusty Rose Walnut,Vulnerable,Vulnerable
Acacia courtii,Fabaceae (Mimosoideae),North Brother Wattle,Vulnerable,Vulnerable
Symplocos baeuerlenii,Symplocaceae,Small-leaved Hazelwood,Vulnerable,Vulnerable
Hakea pulvinifera,Proteaceae,Lake Keepit Hakea,Endangered,Endangered
Corchorus cunninghamii,Tiliaceae,Native Jute,Endangered,Endangered
Epacris hamiltonii,Ericaceae,,Endangered,Endangered
