scientificName,vernacularName,sourceStatus,family,genus,species,status
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Maluridae,Amytornis,merrotsyi,Endangered
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Maluridae,Amytornis,modestus,Vulnerable
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Maluridae,Amytornis,modestus,Critically Endangered
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,Maluridae,Amytornis,striatus,Endangered
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,Maluridae,Amytornis,striatus,Critically Endangered
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Maluridae,Amytornis,textilis,Vulnerable
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Maluridae,Amytornis,woodwardi,Vulnerable
Andersonia annelsii,-,Critically Endangered,Ericaceae,Andersonia,annelsii,Critically Endangered
Andersonia axilliflora,Giant Andersonia,Critically Endangered,Ericaceae,Andersonia,axilliflora,Critically Endangered
Andersonia gracilis,Slender Andersonia,Endangered,Epacridaceae,Andersonia,gracilis,Endangered
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Epacridaceae,Andersonia,pinaster,Vulnerable
Androcalva adenothalia,-,Critically Endangered,Malvaceae,Androcalva,adenothalia,Critically Endangered
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Malvaceae,Androcalva,bivillosa,Critically Endangered
Androcalva perkinsiana,Headland Commersonia,Critically Endangered,Malvaceae,Androcalva,perkinsiana,Critically Endangered
Androcalva perlaria,Pearl-like Androcalva,Endangered,Malvaceae,Androcalva,perlaria,Endangered
Androcalva procumbens,-,Vulnerable,Malvaceae,Androcalva,procumbens,Vulnerable
Androcalva rosea,Sandy Hollow Commersonia,Endangered,Malvaceae,Androcalva,rosea,Endangered
Angophora inopina,Charmhaven Apple,Vulnerable,Myrtaceae,Angophora,inopina,Vulnerable
Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Myrtaceae,Angophora,robur,Vulnerable
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Haemodoraceae,Anigozanthos,bicolor,Endangered
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Vulnerable,Haemodoraceae,Anigozanthos,viridis,Vulnerable
Anilios insperatus,Fassifern Blind Snake,Critically Endangered,Typhlopidae,Anilios,insperatus,Critically Endangered
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Scincidae,Anomalopus,mackayi,Vulnerable
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Laridae,Anous,tenuirostris,Vulnerable
Antechinus argentus,Silver-headed Antechinus,Endangered,Dasyuridae,Antechinus,argentus,Endangered
Antechinus arktos,Black-tailed Antechinus,Endangered,Dasyuridae,Antechinus,arktos,Endangered
Antechinus bellus,Fawn Antechinus,Vulnerable,Dasyuridae,Antechinus,bellus,Vulnerable
